SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
COROENGG,20110217,297.95,297.95,271.4,293.95,118,0
COROENGG,20110218,307.5,307.5,307.5,307.5,1,0
COROENGG,20110228,300,300,300,300,6,0
COROENGG,20110307,285,285,285,285,10,0
COROENGG,20110323,270.75,270.75,270.75,270.75,4,4
COROENGG,20110324,257.25,257.25,257.25,257.25,86,0
COROENGG,20110325,244.4,244.4,244.4,244.4,250,0
COROENGG,20110328,256.65,256.65,236.05,239,260,0
COROENGG,20110329,230.5,248.25,228.6,228.6,532,31
COROENGG,20110330,220,220,220,220,65,65
COROENGG,20110405,231,231,231,231,20,20
COROENGG,20110406,242.55,242.55,240,242.55,27,21
COROENGG,20110407,254.7,254.7,254.7,254.7,10,10
COROENGG,20110408,243,243,243,243,20,20
COROENGG,20110411,231.15,253,231.15,253,101,40
COROENGG,20110413,253,263.5,242,259.05,51,51
COROENGG,20110415,247,255,247,251.05,90,70
COROENGG,20110418,239.3,263.6,239.3,263.6,5640,525
COROENGG,20110419,265,276.8,252,256.15,360,149
COROENGG,20110420,266,266,266,266,12,12
COROENGG,20110421,279.3,279.3,279.3,279.3,101,101
COROENGG,20110425,293,293,280,280,40,40
COROENGG,20110426,294,294,294,294,1,1
COROENGG,20110427,280,280,280,280,1,1
COROENGG,20110428,275,280,275,280,20,20
COROENGG,20110503,280,288,280,288,8,0
COROENGG,20110519,241,265.65,241,265.65,11,0
COROENGG,20110524,265.65,265.65,265.65,265.65,5,0
COROENGG,20110531,275,275,252.4,252.4,19,0
COROENGG,20110601,240.5,240.5,240.5,240.5,5,0
COROENGG,20110603,252,252,252,252,25,0
COROENGG,20110606,264.5,264.6,264.5,264.6,4,0
COROENGG,20110607,264.6,264.6,264.6,264.6,20,0
COROENGG,20110608,251.75,251.75,251.75,251.75,20,0
COROENGG,20110609,251,251,251,251,50,0
COROENGG,20110613,263.55,263.55,263.55,263.55,1,0
COROENGG,20110617,276.75,276.75,255.1,255.1,204,0
COROENGG,20110623,267.9,267.9,254.25,255.75,107,101
COROENGG,20110629,243.6,243.6,243.6,243.6,50,0
COROENGG,20110705,255.8,255.8,255.8,255.8,25,25
COROENGG,20110712,256,256,256,256,4,0
COROENGG,20110715,255.25,255.25,255.25,255.25,9,9
COROENGG,20110727,268.05,268.05,267,267,300,300
COROENGG,20110728,280.35,280.35,280.35,280.35,15,15
COROENGG,20110802,294,294,294,294,30,30
COROENGG,20110803,308,308,308,308,40,0
COROENGG,20110804,323,323,323,323,15,15
COROENGG,20110805,339,339.1,307.1,331.8,140,0
COROENGG,20110817,261.85,261.85,261.85,261.85,20,0
COROENGG,20110818,274.95,274.95,251.25,274.95,89,67
COROENGG,20110819,261.25,261.25,261.25,261.25,15,15
COROENGG,20110822,274.35,274.35,274.35,274.35,5,0
COROENGG,20110823,275.05,287.9,275,287.9,532,531
COROENGG,20110824,273.5,273.5,273.5,273.5,1,1
COROENGG,20110825,287.2,287.2,287.2,287.2,2,0
COROENGG,20110830,301.6,301.6,301.6,301.6,5,0
COROENGG,20110905,300.3,300.3,300.3,300.3,50,50
COROENGG,20110906,288.3,288.3,288.3,288.3,2,2
COROENGG,20110907,300,300,300,300,25,25
COROENGG,20110908,290,299,285,285,121,101
COROENGG,20110909,275.05,275.05,270.75,270.75,84,0
COROENGG,20110912,270,270,270,270,1,0
COROENGG,20110913,282.9,282.9,270,270,15,0
COROENGG,20110915,282.5,282.5,282.5,282.5,15,0
COROENGG,20110916,270.05,279.75,270.05,279.75,55,55
COROENGG,20110919,265.8,265.8,265.8,265.8,28,28
COROENGG,20110920,260,260,259,260,115,115
COROENGG,20110927,268.9,268.9,268.9,268.9,1,0
COROENGG,20110930,255.45,255.45,255.45,255.45,1,0
COROENGG,20111004,249.9,249.9,249.9,249.9,1,1
COROENGG,20111005,249.9,249.9,249.9,249.9,10,10
COROENGG,20111010,240.05,240.05,237.4,237.4,100,100
COROENGG,20111011,249.2,249.3,249.2,249.3,130,0
COROENGG,20111012,261.8,261.8,261.8,261.8,125,115
COROENGG,20111013,248.9,259,248.9,249.05,96,96
COROENGG,20111014,261.5,261.5,245,250,7,5
COROENGG,20111017,242.3,243,242.2,242.25,300,0
COROENGG,20111018,233.1,253,233.1,253,401,0
COROENGG,20111019,264.9,264.9,242.1,242.1,45,0
COROENGG,20111020,254.25,254.25,254.25,254.25,1,0
COROENGG,20111021,254.05,254.05,250,251,140,0
COROENGG,20111025,250,250,250,250,251,0
COROENGG,20111026,262.5,262.5,238,252.2,54,14
COROENGG,20111028,240.05,241.35,240.05,241.35,142,142
COROENGG,20111104,240.1,240.1,240.1,240.1,2,0
COROENGG,20111108,252.15,252.15,240,248.95,650,600
COROENGG,20111109,245.6,245.6,245.4,245.4,200,200
COROENGG,20111111,234.3,247.9,233.15,243.1,375,325
COROENGG,20111114,232.5,254.5,232.5,254.5,15,10
COROENGG,20111116,241.8,241.8,241.8,241.8,55,0
COROENGG,20111117,229.75,249.9,229.75,249.9,237,0
COROENGG,20111121,237.4,237.4,237.4,237.4,3,0
COROENGG,20111124,225.55,249.1,225.55,249.1,2,1
COROENGG,20111207,215.6,220,215.6,220,757,666
COROENGG,20111208,231,231,209,229.9,535,520
COROENGG,20111219,189.3,198.9,189.3,189.55,161,159
COROENGG,20111220,181.1,199,181,199,737,637
COROENGG,20111221,190.1,190.1,189.05,189.05,398,398
COROENGG,20111222,181,181,181,181,1,1
COROENGG,20111226,190.05,190.05,190.05,190.05,5,5
COROENGG,20111227,199.55,199.55,199.55,199.55,11,11
COROENGG,20111228,209.5,209.5,209.5,209.5,40,40
COROENGG,20111230,219.95,219.95,219.95,219.95,25,25
COROENGG,20120106,209.1,209.1,209.1,209.1,10,0
COROENGG,20120116,260.5,264.7,239.5,239.55,33,0
COROENGG,20120119,234,234,234,234,5,0
COROENGG,20120120,242,242,242,242,2,0
COROENGG,20120123,230,230,230,230,60,0
COROENGG,20120131,218.75,218.75,218.75,218.75,1,0
COROENGG,20120203,229.65,229.65,229.65,229.65,1,0
COROENGG,20120206,220.2,220.2,220.2,220.2,10,0
COROENGG,20120213,218,220,211.1,211.1,81,0
COROENGG,20120216,202.1,202.1,202,202,150,0
COROENGG,20120305,230.3,230.3,212,212,2,1
COROENGG,20120306,201.4,205.05,201.4,205.05,11,11
COROENGG,20120309,199,199,194.85,194.95,245,245
COROENGG,20120312,190.1,190.1,190,190,126,126
COROENGG,20120321,197,197,197,197,100,100
COROENGG,20120322,187.15,197,187.15,197,35,25
COROENGG,20120323,197,197,197,197,50,50
COROENGG,20120327,188,188,187.15,187.15,20,20
COROENGG,20120330,190,192,190,192,38,35
COROENGG,20120402,195,201.6,193,201.5,49,48
COROENGG,20120404,201,201,195,195,50,15
COROENGG,20120409,191.5,191.5,191.5,191.5,52,0
COROENGG,20120412,191.5,191.5,191.5,191.5,1,0
COROENGG,20120413,182,183.3,182,183.3,40,0
COROENGG,20120417,183,183,183,183,10,0
COROENGG,20120418,183.9,184,183.9,184,20,0
COROENGG,20120419,193.2,193.2,193.2,193.2,13,0
COROENGG,20120420,186.05,186.15,186.05,186.1,20,0
COROENGG,20120423,186.1,187.1,186.1,187.1,20,0
COROENGG,20120424,196.45,196.45,196.45,196.45,20,0
COROENGG,20120427,187,189,187,189,12,0
COROENGG,20120430,198.45,198.45,198.45,198.45,9,0
COROENGG,20120509,208.35,208.35,191,194,22,0
COROENGG,20120514,187.5,187.5,185,185,61,0
COROENGG,20120516,185,185,185,185,70,0
COROENGG,20120518,185,185,185,185,3,0
COROENGG,20120521,177.1,185,175.75,180,123,0
COROENGG,20120524,177.1,179.95,171,179.95,71,0
COROENGG,20120604,188,188,171.05,187,15,0
COROENGG,20120608,187.45,187.45,187.45,187.45,19,0
COROENGG,20120611,186,186,186,186,100,0
COROENGG,20120613,195.3,195.3,187.45,187.45,13,0
COROENGG,20120614,178.1,185,178.1,185,12,0
COROENGG,20120615,181.15,181.15,181.15,181.15,1,0
COROENGG,20120625,172.1,172.1,172.1,172.1,166,0
COROENGG,20120626,166.7,166.7,163.5,163.5,150,0
COROENGG,20120627,163.5,163.5,163.5,163.5,109,0
COROENGG,20120629,160,160,155.35,155.35,372,0
COROENGG,20120702,163.1,163.1,148.15,163.1,235,0
COROENGG,20120703,163.1,163.1,163.1,163.1,10,0
COROENGG,20120705,155.25,155.25,155.25,155.25,23,0
COROENGG,20120709,163,163,163,163,5,0
COROENGG,20120710,156.1,163,156.1,156.75,27,0
COROENGG,20120712,164.5,164.5,164.5,164.5,1,0
COROENGG,20120713,164.5,166.65,157.55,157.55,51,0
COROENGG,20120718,157,165.4,157,165.4,85,0
COROENGG,20120719,162,162,162,162,25,0
