SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
COSMOFILMS,19950228,153,153,153,153,50,0
COSMOFILMS,19950301,150,150,150,150,50,0
COSMOFILMS,19950308,150,150,150,150,50,0
COSMOFILMS,19950321,149,149,149,149,50,0
COSMOFILMS,19950407,151,152.5,151,152.5,1100,0
COSMOFILMS,19950410,151,152,151,152,200,0
COSMOFILMS,19950412,152,152,152,152,100,0
COSMOFILMS,19950418,155,155,155,155,50,0
COSMOFILMS,19950424,142,142,142,142,100,0
COSMOFILMS,19950505,150.25,150.25,150.25,150.25,100,0
COSMOFILMS,19950522,135,135,135,135,10000,0
COSMOFILMS,19950523,135,135,134.5,134.5,5200,0
COSMOFILMS,19950605,130,130,130,130,50,0
COSMOFILMS,19950608,140,140,140,140,50,0
COSMOFILMS,19950613,144.5,144.5,144.5,144.5,100,0
COSMOFILMS,19950621,148,148,148,148,50,0
COSMOFILMS,19950728,147,147,146,146,250,0
COSMOFILMS,19950801,145,145,145,145,50,0
COSMOFILMS,19950803,144.95,144.95,144.95,144.95,50,0
COSMOFILMS,19950811,140,140,140,140,100,0
COSMOFILMS,19950821,140,140,140,140,100,0
COSMOFILMS,19950824,150,150,141.5,141.5,150,0
COSMOFILMS,19950825,139,140,139,139.5,100,0
COSMOFILMS,19950828,130,130,130,130,100,0
COSMOFILMS,19950906,135.75,135.75,135.75,135.75,7000,0
COSMOFILMS,19950913,134,134,134,134,100,0
COSMOFILMS,19950921,121,122,121,122,150,0
COSMOFILMS,19950926,121,130,121,129.15,5000,0
COSMOFILMS,19950927,127,127,127,127,200,0
COSMOFILMS,19951009,127,137,137,137,100,0
COSMOFILMS,19951117,144,144,144,144,50,0
COSMOFILMS,19960208,105,105,105,105,100,0
COSMOFILMS,19960209,105,105,105,105,200,0
COSMOFILMS,19960212,105,107.5,105,107.5,350,0
COSMOFILMS,19960213,107.5,108,107.5,108,100,0
COSMOFILMS,19960214,108,108,107,107,350,0
COSMOFILMS,19960215,110,110,109.5,109.5,400,0
COSMOFILMS,19960216,110,113.5,110,113.5,300,0
