SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CRONIMET,20100602,43.35,43.35,42.3,42.45,2360,1502
CRONIMET,20100603,42.7,44.5,39,42,8453,3362
CRONIMET,20100604,41.1,42.7,41.1,41.7,1555,1332
CRONIMET,20100607,40.1,42.7,39.2,42.35,11607,6573
CRONIMET,20100608,40.65,43.5,40.65,42.55,6993,5044
CRONIMET,20100609,41.1,42.95,40.4,41.25,12567,8279
CRONIMET,20100610,40.45,42.35,40.45,41.9,4086,3544
CRONIMET,20100611,41.2,43.85,41.2,43.5,42770,37096
CRONIMET,20100614,42.5,45.95,42.5,45.4,16878,14169
CRONIMET,20100615,43.75,45.8,43.75,45.15,10104,7977
CRONIMET,20100616,44,47.9,43,44.75,24450,14126
CRONIMET,20100617,43.6,46.5,43,44.85,27636,15068
CRONIMET,20100618,44.1,45.85,44.1,45.05,6973,4747
CRONIMET,20100621,44.1,49.5,44.1,46.25,36107,12341
CRONIMET,20100622,44.1,47.85,44.1,47.55,11720,8081
CRONIMET,20100623,45.1,49.25,45.1,48.6,13081,10441
CRONIMET,20100624,46.5,49.9,46.5,49.05,18714,13555
CRONIMET,20100625,47.1,49.5,47.1,49.4,6918,5969
CRONIMET,20100628,47.1,52.5,47.1,50.45,35047,21216
CRONIMET,20100629,47.8,53,47.8,51.95,75963,67561
CRONIMET,20100630,49.1,54.45,49.1,52.7,39483,29555
CRONIMET,20100701,48.9,53,48.9,50.35,6860,4739
CRONIMET,20100702,48.1,50.9,48.1,49.5,5862,4524
CRONIMET,20100705,48.1,50.8,48.1,50.5,3411,2893
CRONIMET,20100706,49.1,50.5,49,50.3,7462,5877
CRONIMET,20100707,49.1,50.9,49.1,49.85,13344,12252
CRONIMET,20100708,49.3,51.5,48,49.4,26285,15866
CRONIMET,20100709,48.1,49.5,48.1,49.15,2984,1855
CRONIMET,20100712,48.1,49.7,48.1,48.5,3669,2973
CRONIMET,20100713,48.1,49.4,48,48,3057,2842
CRONIMET,20100714,47.1,48,46.5,47.1,5524,3607
CRONIMET,20100715,45.1,47.9,44.75,45.6,9092,4398
CRONIMET,20100716,44.1,47.75,44.1,47.3,3208,2429
CRONIMET,20100719,45.2,48.1,45.2,46.75,6954,1722
CRONIMET,20100720,46,52,46,48.35,10009,6242
CRONIMET,20100721,47.2,49,47.2,48.1,3092,3058
CRONIMET,20100722,47.1,48.8,47.1,48.45,7003,6889
CRONIMET,20100723,47.5,51.45,47.5,50.45,16529,13601
CRONIMET,20100726,49.1,56.5,49.1,53.3,173623,39960
CRONIMET,20100727,52.1,58.5,52.1,57.75,208743,52267
CRONIMET,20100728,56.1,59.5,56.1,57.35,65447,27086
CRONIMET,20100729,56.1,57.9,55.55,56.15,13827,7227
CRONIMET,20100730,55.1,59,55.1,57.35,129211,45786
CRONIMET,20100802,56.1,59.25,56.1,58.75,49155,30420
CRONIMET,20100803,57.1,60.5,57.1,59.85,34353,19640
CRONIMET,20100804,58.1,59,57,57.6,9900,6524
CRONIMET,20100805,56.1,57.5,54.1,54.7,14916,10407
CRONIMET,20100806,53.1,54.9,52.6,53.4,22536,12925
CRONIMET,20100809,54,55.45,53.15,54.45,7575,3359
CRONIMET,20100810,54,56.25,53.65,54.35,6697,3414
CRONIMET,20100811,56,65,56,58.05,91094,27830
CRONIMET,20100812,59,60.4,57.1,58.2,14080,5286
CRONIMET,20100813,58.2,63.4,58.2,61,47507,29843
CRONIMET,20100816,61.5,62.9,58.6,58.85,13304,10196
CRONIMET,20100817,58.6,59.7,58.1,59.05,4272,3432
CRONIMET,20100818,58.45,59.7,57.55,58.2,7919,4542
CRONIMET,20100819,57.65,59.9,57.15,59.25,8780,5395
CRONIMET,20100820,58.75,59.6,58.75,59.1,4022,3758
CRONIMET,20100823,58.6,60.85,58.55,59,7648,6635
CRONIMET,20100824,58.1,59.7,58.1,59.15,9876,6914
CRONIMET,20100825,58.1,62.4,58.1,59.55,25232,15323
CRONIMET,20100826,59.55,61.5,59.45,60.75,24492,19056
CRONIMET,20100827,60.4,61.3,59.45,59.6,10133,9115
CRONIMET,20100830,60.9,61.95,60,60.25,8311,6870
CRONIMET,20100831,59.1,62.75,59.1,61.6,23833,15620
CRONIMET,20100901,60,67.5,60,64.65,76326,34811
CRONIMET,20100902,61.25,74.45,61.25,73.35,101003,41205
CRONIMET,20100903,70,86.5,70,80.3,425364,105793
CRONIMET,20100906,81,85,77.55,79.5,182157,94951
CRONIMET,20100907,77.6,80.7,73.6,76.3,71208,34756
CRONIMET,20100908,75.1,76.3,72.3,72.95,63082,38673
CRONIMET,20100909,74,74.9,72.15,73.15,27559,17969
CRONIMET,20100913,74,75.9,71.1,74,27276,16606
CRONIMET,20100914,73.1,74.4,66.8,67.65,60790,48184
CRONIMET,20100915,66.1,76.6,66.1,74.35,187981,51618
CRONIMET,20100916,79,79,73.1,74.6,41434,20533
CRONIMET,20100917,70.65,76.45,70.65,74,22988,10771
CRONIMET,20100920,70.65,78.95,70.65,75,38953,23336
CRONIMET,20100921,75,78.3,75,76.2,40476,22537
CRONIMET,20100922,75.1,78.3,75.1,76.4,35186,25095
CRONIMET,20100923,74.1,77.8,74.1,77.35,25657,20721
CRONIMET,20100924,75.45,84.95,75.45,79,27871,17422
CRONIMET,20100927,76.1,86.5,76.1,85.7,111099,71047
CRONIMET,20100928,83.1,91.5,83.1,86.3,111345,57829
CRONIMET,20100929,87.9,89.95,85,86.15,43844,22965
CRONIMET,20100930,85.2,90,83,85,33199,20733
CRONIMET,20101001,82.1,87.5,82.1,85.1,22362,16968
CRONIMET,20101004,84,88.65,84,84.7,22703,15546
CRONIMET,20101005,82.6,86,81.2,82.4,11136,6455
CRONIMET,20101006,81.2,86.05,80,84.1,23021,14385
CRONIMET,20101007,80.35,86.45,80.35,81.75,25828,17183
CRONIMET,20101008,81.2,84,80.55,81.4,32804,29704
CRONIMET,20101011,81.9,83.6,81.5,82.45,16627,0
CRONIMET,20101012,83.5,84,80.5,81.2,10981,0
CRONIMET,20101013,81.1,82.6,81,81.1,8355,0
CRONIMET,20101014,81.2,83.25,80.5,81,9960,0
CRONIMET,20101015,80.6,84.5,80.6,82.5,18076,0
CRONIMET,20101018,80.5,89.5,80.5,88.45,37195,0
CRONIMET,20101019,90.2,95.7,90.2,91.2,79694,43093
CRONIMET,20101020,90,90.95,87.2,88.1,10344,0
CRONIMET,20101021,81.95,93.4,81.95,92.65,32112,0
CRONIMET,20101022,86.95,108,86.95,101.95,324963,62030
CRONIMET,20101025,100.5,104.8,92.2,94,66361,30602
CRONIMET,20101026,93.05,104.25,93.05,99.7,88555,23412
CRONIMET,20101027,97,101.9,97,99.85,31075,16611
CRONIMET,20101028,96,103,96,97.85,20403,10470
CRONIMET,20101029,95.1,101,95.1,95.9,18511,12910
CRONIMET,20101101,96.55,99.85,96.55,97.05,10116,7731
CRONIMET,20101102,95.3,97.95,95.3,95.85,13162,0
CRONIMET,20101103,94.05,103.6,94.05,101.35,32442,0
CRONIMET,20101104,93.95,104.5,93.95,101,34558,24363
CRONIMET,20101105,108,108,101,103.85,15902,8489
CRONIMET,20101108,97.95,106,97.95,104.85,26114,20474
CRONIMET,20101109,101.1,105.9,100.5,101.65,26348,0
CRONIMET,20101110,97.65,111,97.65,109.3,55146,0
CRONIMET,20101111,106.5,114.75,106.5,112.5,63857,44364
CRONIMET,20101112,106.95,119.2,106.2,110.65,118559,0
CRONIMET,20101115,114.5,114.5,91,104.7,53616,35884
CRONIMET,20101116,101.2,108.5,101,104.05,36845,28990
CRONIMET,20101118,101,108,101,107.05,36599,28461
CRONIMET,20101119,107,108.5,104.5,106.5,10732,7813
CRONIMET,20101122,104.5,111,104.5,109.1,15049,0
CRONIMET,20101123,108,111,95,108.1,20100,13504
CRONIMET,20101124,104,111,104,107.8,12918,8659
CRONIMET,20101125,103,110,100.15,105.15,23280,14419
CRONIMET,20101126,109.7,109.7,92,99.5,18389,11553
CRONIMET,20101129,98.5,100.05,91,92.65,24929,18095
CRONIMET,20101130,87,98,87,95.25,8235,0
CRONIMET,20101201,90,99,90,98.6,8870,6509
CRONIMET,20101202,100,106,97,105.45,28488,19652
CRONIMET,20101203,98.15,108.5,98.15,106.95,28976,22304
CRONIMET,20101206,105,107.7,101.1,104.85,13262,10291
CRONIMET,20101207,102,107,100.6,104.6,17303,11927
