SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CTE,20070207,45,109.7,45,100.9,29577947,1168693
CTE,20070208,109,121.1,101,113.6,12606917,940136
CTE,20070209,112.45,113.45,93.55,98.15,4437058,605941
CTE,20070212,94,110.9,81,106.25,8212693,601581
CTE,20070213,98.7,108.9,92.25,100.1,5369586,348910
CTE,20070214,97.9,102.9,95.1,98.5,2125334,179737
CTE,20070215,99,110.5,99,105.6,3551422,342227
CTE,20070219,105.8,107.9,96.55,98.45,1717260,278586
CTE,20070220,98.95,103.2,95.5,96.25,1298249,166010
CTE,20070221,97,100.8,96,96.75,1018229,112788
CTE,20070222,97.05,97.85,90.55,91.3,512293,107910
CTE,20070226,77,79.2,70.25,72.3,576774,101087
CTE,20070227,72,84.35,70,81,1813032,159699
CTE,20070228,77,77,67.7,73.15,813039,115171
CTE,20070301,73.7,78.65,72.15,73.5,303608,57348
CTE,20070302,73.95,77.5,70,71.1,297047,65482
CTE,20070305,67,70,61.45,62.2,233265,66213
CTE,20070306,62.25,67.5,61,62.75,304337,63440
CTE,20070307,65.9,66.3,55,56.15,250203,59989
CTE,20070308,57,60.7,53.65,58.45,294932,52229
CTE,20070309,59.9,63.7,55.25,59.75,330682,58168
CTE,20070312,60,62.6,57.75,60.8,262928,52021
CTE,20070313,62,63.9,58.5,62.05,227581,39146
CTE,20070314,59.5,60.75,57.2,59.2,96373,34119
CTE,20070315,61.5,66.25,60.6,61.5,293683,50023
CTE,20070316,63,63.5,58.55,59.45,113747,43556
CTE,20070319,60,62,58.75,59.85,95665,25046
CTE,20070320,61.5,62.9,59.35,59.75,115291,23516
CTE,20070321,60.1,60.35,57.7,58.3,68666,32746
CTE,20070322,60.2,61.7,59,59.35,107021,31713
CTE,20070323,60.95,61.7,58.6,59.35,86697,30935
CTE,20070326,59.95,61.15,57.3,58.1,89374,30644
CTE,20070328,57.15,57.6,54.9,55.35,57127,23647
CTE,20070329,55.3,56,54.2,55.15,60123,17917
CTE,20070330,56.25,56.5,54.6,54.85,49868,19220
CTE,20070402,54,54,50.3,51.1,54595,25118
CTE,20070404,52,52.9,48,50.8,43050,17258
CTE,20070405,51.9,51.9,50,50.5,52308,15187
CTE,20070409,51,53.7,50.5,52.1,149330,0
CTE,20070410,53.5,54,51.9,52.35,68083,27304
CTE,20070411,52.2,54,52.2,52.7,86569,0
CTE,20070412,51.6,52.4,51.5,51.85,28436,0
CTE,20070413,53.5,57.1,51.2,54.65,213604,0
CTE,20070416,56.4,65.6,55.25,62.25,511724,130311
CTE,20070417,68,74.7,64,72.7,1641894,0
CTE,20070418,73.15,74.6,65,66.55,771484,0
CTE,20070419,64.9,66.5,63.5,65.05,239099,0
CTE,20070420,65.7,67.95,64.15,64.9,137566,0
CTE,20070423,66.5,67.4,63.2,63.8,146474,44668
CTE,20070424,64,64.65,61.5,62.2,89921,43383
CTE,20070425,63,68.45,60.8,66.95,646485,113956
CTE,20070426,67,67.95,62.7,63.2,256603,76915
CTE,20070427,60,60.95,56.9,59.15,168444,65688
CTE,20070430,58.2,61.65,57,60,94999,24081
CTE,20070503,62,62.5,60.5,60.75,114301,31830
CTE,20070504,60.6,61.25,59.05,59.25,60717,28491
CTE,20070507,60.9,60.9,57.65,58.1,89293,30363
CTE,20070508,59,59,57,57.25,38937,0
CTE,20070509,58,60.2,55.5,58,163512,31006
CTE,20070510,58.95,59.75,58,58.1,57155,0
CTE,20070511,58,58,56.2,56.8,37548,0
CTE,20070514,59,59.25,57,57.1,34059,0
CTE,20070515,58,58.45,56.5,57.25,48866,0
CTE,20070516,57.9,60.95,57.25,59.5,217169,58886
CTE,20070517,60.1,62.9,58.65,59.35,138910,57304
CTE,20070518,58.7,59.85,57.5,58.05,48348,0
CTE,20070521,59,59.9,58.15,58.9,41291,0
CTE,20070522,59,59.9,57.2,57.65,33758,0
CTE,20070523,58.5,59.5,57.1,57.55,43362,0
CTE,20070524,58.2,60.4,55.8,58.6,115247,0
CTE,20070525,56.4,59.5,56.4,58.65,56179,0
CTE,20070528,59.9,61.8,58.5,60.2,227057,0
CTE,20070529,60.2,64,60.2,61,199996,0
CTE,20070530,60.5,61.45,59,59.25,45426,19994
CTE,20070531,59.9,60.6,58,58.45,48614,26375
CTE,20070601,59.15,59.4,57.4,57.75,38965,29103
CTE,20070604,59,59,56.55,56.9,37681,0
CTE,20070605,58,58,56.5,56.8,14596,8565
CTE,20070606,56,57.9,55.5,55.85,35820,0
CTE,20070607,57,57,55,55.2,27487,0
CTE,20070608,55,55,53.5,54,27094,0
CTE,20070611,54.9,55.65,54.05,54.1,18351,0
CTE,20070612,54,54.5,52.1,52.2,24127,0
CTE,20070613,53,53,51.3,51.85,22028,0
CTE,20070614,52.9,53,51.6,52.3,14397,0
CTE,20070615,53.85,55.7,52.5,54.25,56012,0
CTE,20070618,53.3,56.35,52.15,53.7,49792,0
CTE,20070619,52.9,54,52.3,53.2,27354,0
CTE,20070620,53.8,53.8,52.1,52.25,30692,0
CTE,20070621,50.2,52.75,50.2,51.15,23519,0
CTE,20070622,51.15,52.15,49,51.1,15519,0
CTE,20070625,51.5,53,50,52.35,27782,0
CTE,20070626,52.95,52.95,51.75,51.85,17515,0
CTE,20070627,52.05,52.45,50.5,51.15,14826,0
CTE,20070628,51.9,52,51,51.5,13618,0
CTE,20070629,50.6,53.65,50.6,51.3,41038,0
CTE,20070702,51,51.65,50.55,50.85,27328,0
CTE,20070703,51.5,51.8,50.65,50.95,27342,0
CTE,20070704,51.5,51.95,50.55,50.7,17669,0
CTE,20070705,51,51.05,49.15,49.85,22878,0
CTE,20070706,49.3,51.4,49.3,50.05,32938,0
CTE,20070709,50.2,52.9,50.2,50.7,45075,0
CTE,20070710,50.6,51.85,49.05,49.9,21423,0
CTE,20070711,49.25,50.35,49.05,49.35,12818,0
CTE,20070712,50.95,51,49,49.35,20917,0
CTE,20070713,50.4,51.7,48.05,48.95,25723,0
CTE,20070716,49.2,50.2,48,48.3,16724,0
CTE,20070717,48.25,49.3,47.1,47.6,22110,14983
CTE,20070718,46.5,47.95,45.5,45.9,23975,13963
CTE,20070719,46.3,55.1,45.2,55.1,436454,0
CTE,20070720,58,64.9,56.7,58.6,984539,0
CTE,20070723,60.9,60.9,54.75,55.3,130840,0
CTE,20070724,55.9,59.25,54.1,56,217770,0
CTE,20070725,55.8,56.25,52.05,52.55,105129,0
CTE,20070726,53.7,56,53,53.65,71336,0
CTE,20070727,52.2,52.75,51,51.25,48885,0
CTE,20070730,52.5,52.5,48.25,49.1,45591,0
CTE,20070731,50.75,50.9,48.9,49.25,41496,0
CTE,20070801,49.25,50,47.7,48.45,33729,0
CTE,20070802,49,49,47.5,47.85,22900,0
CTE,20070803,48.5,49,47,47.35,26732,0
CTE,20070806,47,47,45,46.05,23344,0
CTE,20070807,48.5,48.5,45.75,46.25,26260,0
CTE,20070808,47.4,48.95,46.6,47.8,91035,0
CTE,20070809,48.5,48.95,46.15,46.3,45637,0
CTE,20070810,45,46.9,43,45.6,25043,0
CTE,20070813,46.8,47,45.5,46,15007,0
CTE,20070814,46.75,46.75,45.3,45.6,15032,0
CTE,20070816,46,46,44.45,44.7,20305,15511
CTE,20070817,45,45.45,43.05,44.1,26704,17953
CTE,20070820,45.45,46,44.5,45.05,30634,22404
CTE,20070821,46.9,46.9,43.05,43.35,18104,13604
CTE,20070822,43.35,44,41.05,41.7,32879,23659
CTE,20070823,42.5,43.95,41.3,41.55,16235,12051
CTE,20070824,42,42.8,40.5,40.7,19589,12069
CTE,20070827,40.8,43,40.4,42.25,18558,10175
CTE,20070828,41.8,45.45,41.6,44.35,24746,15398
CTE,20070829,41.1,52.5,41.1,50.1,166835,66057
CTE,20070830,51,54.9,50.05,50.5,98306,36573
CTE,20070831,51.55,51.55,47.6,48.5,40713,18608
CTE,20070903,46.6,49,46.55,48.65,19638,12380
CTE,20070904,49.15,50,47.2,49.35,57075,28910
CTE,20070905,52,56.05,49.75,51.95,199032,55099
CTE,20070906,51.5,53.85,48.1,53,60869,37173
CTE,20070907,53.8,54,52,52.5,44183,28462
CTE,20070910,50.5,51.7,49.6,50.8,58207,36319
CTE,20070911,51.5,51.9,49.1,49.55,31367,20816
CTE,20070912,50.75,54.2,49.7,53.2,115836,60332
CTE,20070913,53.9,62.25,53.9,59.3,514455,0
CTE,20070914,62,63.6,59,59.35,329930,135193
CTE,20070917,59.35,61.5,58.55,59.1,85654,36594
CTE,20070918,57,59.15,57,57.9,41513,22931
CTE,20070919,59,62.5,57.55,58,48821,26112
CTE,20070920,55.25,58,55.25,57.65,39092,26588
CTE,20070921,57.7,58,53.5,54.65,41599,27778
CTE,20070924,55,57.6,53.15,54.65,35728,20873
CTE,20070925,52.5,55.5,51.6,52.1,21356,14697
CTE,20070926,51.8,56.7,51.7,54.2,70346,0
CTE,20070927,55,56.55,52.2,54.2,53230,0
CTE,20070928,54.5,55.5,53.25,53.85,12214,5718
CTE,20071001,53.15,55,52.25,52.75,35687,28879
CTE,20071003,50,53.7,49.3,49.9,66485,48723
CTE,20071004,49.5,51.5,49.3,50.2,13721,7956
CTE,20071005,49.9,50,48.05,48.65,17125,11881
CTE,20071008,47,48.5,46.05,46.85,18079,11439
CTE,20071009,46.8,48.7,46,47.9,20124,0
CTE,20071010,49.9,54,48.1,52.15,58978,35371
CTE,20071011,52,52.7,49.25,49.65,16942,10208
CTE,20071012,49.6,50,47.55,47.95,41714,34643
CTE,20071015,47,49.75,47,47.45,14063,10196
CTE,20071016,52,52,46.6,47.75,19960,11833
CTE,20071017,46.2,47.8,38.5,46.25,13807,8077
CTE,20071018,45.2,48.25,45.2,45.9,22419,15620
CTE,20071019,41.55,46.5,41.55,43.2,23324,17572
CTE,20071022,42,44.85,42,43.65,17418,9278
CTE,20071023,44.1,46.6,44.1,44.9,10720,7275
CTE,20071024,44.25,47.4,40.5,45.05,16507,8922
CTE,20071025,46.05,46.05,44.4,45.4,7553,5430
CTE,20071026,43.6,46.45,43.6,44.75,12569,8696
CTE,20071029,45.1,46.4,45,45.25,17288,9369
CTE,20071030,45.3,46,38.2,43.15,20650,13591
CTE,20071031,43.2,44.8,37,43.6,12016,6960
CTE,20071101,48.6,48.6,39,40.2,41611,32740
CTE,20071102,42.9,43,40.2,41.9,19118,11056
CTE,20071105,42,50.3,42,50.3,82774,0
CTE,20071106,56.65,60.4,56.65,60.4,268932,0
CTE,20071107,65.85,66.45,56.4,58.45,380417,168106
CTE,20071108,57.5,59.8,55.1,58,81307,37833
CTE,20071109,58.5,60.8,57,58.8,19367,0
CTE,20071112,55.1,58.8,55,57.15,43672,0
CTE,20071113,57.5,60,56.2,59.8,45321,0
CTE,20071114,62,65,60.2,63.25,82857,57368
CTE,20071115,64.4,64.5,61.05,62.15,32209,0
CTE,20071116,61,63,59.5,60.55,31728,0
CTE,20071119,60,61.2,58.2,60.1,30395,19674
CTE,20071120,58,60,58,58.65,18521,11206
CTE,20071121,58.2,61,52.8,57.35,19963,12067
CTE,20071122,58,58,52.05,53.5,24361,14661
CTE,20071123,51.5,57.45,48.2,56.55,18832,8702
CTE,20071126,57.5,62.25,57.5,62.25,48052,35876
CTE,20071127,64,65.5,62.5,64.15,60302,36102
CTE,20071128,65,67,62.05,65.3,75168,49528
CTE,20071129,69.9,70,65.5,67.7,72901,39635
CTE,20071130,69.3,71.1,67.55,71.1,69512,58047
CTE,20071203,71.1,74.7,71.1,74.7,18128,15963
CTE,20071204,78.3,78.45,78.3,78.45,6570,6568
CTE,20071205,82.4,82.4,82.4,82.4,48505,48355
CTE,20071206,86.55,86.55,78.3,80.55,125289,74876
CTE,20071207,81,83.5,77,78.7,37529,20636
CTE,20071210,78.15,82,77,77.6,23590,14251
CTE,20071211,80,81.5,76.5,78.75,22000,15117
CTE,20071212,75.3,79.4,75,78.85,31198,20406
CTE,20071213,81,81,75,77.3,90620,80524
CTE,20071214,74.6,80.1,74.55,79.55,23594,18724
CTE,20071217,80.95,83.55,78.65,83.55,20414,18444
CTE,20071218,87.5,87.5,79.4,79.55,14485,8749
CTE,20071219,81,81.5,76,79.1,18788,13513
CTE,20071220,80,81,78.55,79.8,12644,10351
CTE,20071224,79,83.8,79,80.9,13726,10188
CTE,20071226,82.9,83,77,82.2,24797,0
