SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
CUPID,20160916,331,348.9,301,308.3,229821,0
CUPID,20160919,314.5,321.7,310,317,51068,31881
CUPID,20160920,316.15,321.85,315.15,318.65,27511,0
CUPID,20160921,318,326,312.15,319.75,50781,0
CUPID,20160922,320.95,324,315,317.2,18350,0
CUPID,20160923,319.75,319.9,309.15,312.6,12837,10135
CUPID,20160926,310,319,305,316,21190,15543
CUPID,20160927,316,317,310,310.2,11379,9056
CUPID,20160928,311,314.85,302.5,305.9,19224,14058
CUPID,20160929,309,310.9,282,288.9,34734,26046
CUPID,20160930,287,299.95,275,293.95,19738,12949
CUPID,20161003,294.2,305,291,303.3,15717,0
CUPID,20161004,301.4,307.5,300,301.4,11048,7300
CUPID,20161005,303,303.85,282.55,301.55,18265,13439
CUPID,20161006,303,313,296,300.2,22796,14975
CUPID,20161007,308,312.4,305,307.85,18311,10370
CUPID,20161010,307,307.65,302.2,304.75,8830,6306
CUPID,20161013,304.95,305,295.1,296.65,13823,0
CUPID,20161014,292.55,308.5,292.55,306.35,13776,0
CUPID,20161017,315,325,309,315.25,114134,85685
CUPID,20161018,315,324,314.95,319.75,45956,35932
CUPID,20161019,317.5,329,317,327.2,68185,48159
CUPID,20161020,331.5,333.95,319,322.55,63347,0
CUPID,20161021,326.1,326.1,315,316.05,34864,27852
CUPID,20161024,319.75,321.95,314,317.55,57779,36147
CUPID,20161025,316.05,320,315,318.55,16976,0
CUPID,20161026,320,325.95,318.15,320.25,65353,0
CUPID,20161027,323,324.25,313.85,315.85,24429,0
CUPID,20161028,334.8,373.95,326.95,359.35,698984,196983
CUPID,20161030,365,370.85,364.45,366.8,61826,38075
CUPID,20161101,369.5,374.85,350,352.55,110721,67675
CUPID,20161102,354.8,354.8,333,335,68205,46018
CUPID,20161103,337.75,337.75,316,320.15,73434,51458
CUPID,20161104,319.95,332.2,308.1,313.65,78978,0
CUPID,20161107,319.85,332,312,315.1,81760,0
CUPID,20161108,317.45,322,309.1,314.35,45892,25064
CUPID,20161109,289.5,310,275,305.35,116755,0
CUPID,20161110,317.9,320.6,307.05,311.75,42264,23074
CUPID,20161111,309.8,309.95,301.05,303.55,41701,0
CUPID,20161115,309.8,309.8,287,291.1,55315,40373
CUPID,20161116,300,305,292,295.7,34589,19213
CUPID,20161117,297,301.25,287,288.2,27371,17433
CUPID,20161121,299.95,305.05,280.05,286.9,36129,20260
