SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
DALMIAREF,20140522,51.1,54,51.1,52.5,721,0
DALMIAREF,20140523,52,54.85,51.05,54.85,597,0
DALMIAREF,20140526,57.55,57.55,57.55,57.55,640,0
DALMIAREF,20140527,55,55,55,55,100,0
DALMIAREF,20140528,57.75,57.75,57.75,57.75,50,0
DALMIAREF,20140529,57.75,60.6,57.75,60.1,150,150
DALMIAREF,20140530,63.1,63.1,63.1,63.1,100,0
DALMIAREF,20140602,66.25,66.25,66.25,66.25,125,125
DALMIAREF,20140603,69.55,69.55,69.55,69.55,215,215
DALMIAREF,20140604,73,73,73,73,125,0
DALMIAREF,20140605,76.65,76.65,76.65,76.65,50,0
DALMIAREF,20140606,80.45,80.45,80.45,80.45,50,50
DALMIAREF,20140609,84.45,84.45,77,84.3,820,0
DALMIAREF,20140610,88.5,88.5,83.25,88.45,1110,0
DALMIAREF,20140611,88,91,87.5,87.95,345,0
DALMIAREF,20140612,84,90,84,84.05,907,0
DALMIAREF,20140613,84.05,84.05,84.05,84.05,50,0
DALMIAREF,20140616,80,80,80,80,4,0
DALMIAREF,20140617,76.5,76.5,76.5,76.5,100,0
DALMIAREF,20140618,72.8,80,72.8,78,43,0
DALMIAREF,20140624,74.1,74.1,74.1,74.1,150,0
DALMIAREF,20140625,75,77.8,75,76.55,250,0
DALMIAREF,20140626,76,80.35,76,80.35,680,0
DALMIAREF,20140627,84.35,84.35,78,84,1065,0
DALMIAREF,20140630,88,88.2,88,88.2,1300,0
DALMIAREF,20140701,92.25,92.25,92.25,92.25,84,0
DALMIAREF,20140703,92,96.85,92,95.45,1876,0
DALMIAREF,20140704,100,100.2,100,100.2,2147,0
DALMIAREF,20140707,105,105.2,105,105.2,1009,0
DALMIAREF,20140708,110.45,110.45,110.4,110.45,1755,0
DALMIAREF,20140709,115.95,115.95,105,112.85,3382,0
DALMIAREF,20140710,111.65,118.45,111.65,118.45,915,0
DALMIAREF,20140711,124.35,124.35,124,124.25,1668,0
DALMIAREF,20140714,125,130.45,125,128.35,1904,0
DALMIAREF,20140715,134.75,134.75,134,134.5,1857,0
DALMIAREF,20140716,141,141.2,128,138,2110,0
DALMIAREF,20140717,144.9,144.9,131.1,131.1,655,0
DALMIAREF,20140718,132.55,132.55,124.55,124.55,643,0
DALMIAREF,20140721,125,125,118.35,118.35,662,0
DALMIAREF,20140722,112.45,118,112.45,112.45,613,0
DALMIAREF,20140723,106.85,107,106.85,106.85,701,0
DALMIAREF,20140724,101.55,112.15,101.55,110,861,0
DALMIAREF,20140725,115.5,115.5,104.5,104.5,353,0
DALMIAREF,20140728,99.3,100.8,99.3,99.3,3814,0
DALMIAREF,20140730,96.05,96.05,96.05,96.05,10,0
DALMIAREF,20140731,100,100.85,100,100.85,150,0
DALMIAREF,20140801,98,98,95.85,95.85,425,0
DALMIAREF,20140806,96,96,96,96,200,0
DALMIAREF,20140807,96.2,96.2,95.5,95.5,103,0
DALMIAREF,20140811,91.2,91.2,91.2,91.2,25,0
DALMIAREF,20140818,95.75,95.75,95.4,95.4,230,0
DALMIAREF,20140819,98,99,90.65,94,440,0
DALMIAREF,20140820,97.4,98,91,96.9,236,0
DALMIAREF,20140821,101,101,97.5,97.5,80,0
DALMIAREF,20140822,93.2,93.6,93,93.55,1718,0
DALMIAREF,20140825,90,90.25,90,90.25,246,0
DALMIAREF,20140826,86.5,88,86.5,87,455,0
DALMIAREF,20140827,83,88,83,88,130,0
DALMIAREF,20140828,84.2,84.2,84,84,603,0
DALMIAREF,20140901,88.2,88.2,88.2,88.2,25,0
DALMIAREF,20140902,83.9,92.6,83.8,92.5,125,0
DALMIAREF,20140903,96.9,96.9,87.9,89.15,440,0
DALMIAREF,20140904,93,93,84.8,86,98,0
DALMIAREF,20140905,87,90.3,87,90.3,100,0
DALMIAREF,20140908,94.75,94.8,85.8,94.8,545,0
DALMIAREF,20140909,94,99.5,94,99.15,360,0
DALMIAREF,20140910,104.1,104.1,104.1,104.1,587,0
DALMIAREF,20140911,109.3,109.3,109.3,109.3,442,0
DALMIAREF,20140912,114,114.75,113.95,114.75,519,0
DALMIAREF,20140915,120.45,120.45,116.1,120.45,238,0
DALMIAREF,20140916,124.9,126.45,114.45,119.9,1880,0
DALMIAREF,20140917,114,125.85,113.95,120,3635,0
DALMIAREF,20140918,114.7,126,114,123,547,470
DALMIAREF,20140919,124.9,124.9,117.5,124,327,312
DALMIAREF,20140922,125,125,124,125,430,430
DALMIAREF,20140923,120,127.75,120,125.15,4479,4353
DALMIAREF,20140924,125,125.2,125,125,600,600
DALMIAREF,20140925,125,125,125,125,205,205
DALMIAREF,20140926,118.75,118.75,118.75,118.75,50,50
DALMIAREF,20140929,120,122,120,120.2,3025,3025
DALMIAREF,20140930,119,126,114.2,118.6,704,0
DALMIAREF,20141001,112.7,112.7,112.7,112.7,45,0
DALMIAREF,20141007,117.95,117.95,112,112,101,0
DALMIAREF,20141008,100.8,100.8,100.8,100.8,1,0
DALMIAREF,20141010,105,110.85,105,110.15,200,140
DALMIAREF,20141013,121.15,121.15,121.15,121.15,717,717
DALMIAREF,20141014,133.25,133.25,128,132.95,1615,1415
DALMIAREF,20141016,140,145.75,135,136.45,974,532
DALMIAREF,20141017,136,143.25,133,137.7,1945,1475
DALMIAREF,20141020,144.55,144.55,135.65,136.5,234,197
DALMIAREF,20141021,133,133,129.7,129.8,121,107
DALMIAREF,20141022,128.2,128.2,128.2,128.2,5,5
DALMIAREF,20141023,134,134.6,130.1,133.25,434,384
DALMIAREF,20141027,137,139.9,132,139.85,4503,3397
DALMIAREF,20141028,140,140,132.9,134.9,1957,1114
DALMIAREF,20141029,130,134.9,129.05,132,154,140
DALMIAREF,20141030,137.9,137.9,126.6,136.5,3384,3337
DALMIAREF,20141031,141.9,143.3,136.2,143.2,3741,3262
DALMIAREF,20141103,143.5,150.35,141,148.5,2623,2265
DALMIAREF,20141105,150,154.7,150,153.8,525,520
DALMIAREF,20141107,147,152,147,148.55,1414,1413
DALMIAREF,20141110,150,150,149.9,149.9,270,270
DALMIAREF,20141111,143,150,140.1,142,1099,971
DALMIAREF,20141112,132.05,145,132.05,140,337,237
DALMIAREF,20141113,134,153,134,153,1984,1744
DALMIAREF,20141114,145,165,143,160.95,1388,1201
DALMIAREF,20141117,161,163.8,151.1,156.9,1501,910
DALMIAREF,20141118,159,170,153.5,154.15,1638,1126
DALMIAREF,20141119,148,151.2,147,151.2,222,171
DALMIAREF,20141120,150,155,146,148,1110,398
DALMIAREF,20141121,157,157,149,149,53,51
DALMIAREF,20141124,141,145,135,138,4724,2362
DALMIAREF,20141125,137.9,137.9,126.55,128.1,740,445
DALMIAREF,20141126,128.1,136,128.1,133.95,881,0
DALMIAREF,20141127,131,133,130,133,302,0
DALMIAREF,20141128,134,134,130,130,120,0
DALMIAREF,20141201,133,133,133,133,205,0
DALMIAREF,20141202,128,132.75,128,130,961,714
DALMIAREF,20141203,131,137.9,131,135.55,1220,0
DALMIAREF,20141204,131.1,136.8,131.1,136.8,248,0
DALMIAREF,20141205,137,137,130,132.8,290,290
DALMIAREF,20141208,136,136,130,130,429,0
DALMIAREF,20141209,130,135,124.6,125.45,325,0
DALMIAREF,20141210,126,130,124,130,61,0
DALMIAREF,20141211,126.1,126.1,126.1,126.1,10,0
DALMIAREF,20141212,125,136.85,118.5,133.25,1802,0
DALMIAREF,20141216,131.5,131.5,116,123.45,2516,0
DALMIAREF,20141218,129.95,129.95,129.95,129.95,500,0
DALMIAREF,20141219,149.5,149.5,126.85,126.85,3,1
