SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
DECCANCEM,19950823,51.5,51.5,51.5,51.5,100,0
DECCANCEM,19950919,54,54,53,53,300,0
DECCANCEM,19950926,52,52,52,52,100,0
DECCANCEM,19951013,52.7,53,52,52.55,3400,0
DECCANCEM,19951016,56,58,56,58,2200,0
DECCANCEM,19951017,56,57.75,56,57.75,1500,0
DECCANCEM,19951023,57.75,57.75,57.75,57.75,200,0
DECCANCEM,19951127,57,57,57,57,50,0
DECCANCEM,19951204,51.45,51.45,51.45,51.45,100,0
DECCANCEM,19951205,51,51,51,51,100,0
DECCANCEM,19951212,48,48,48,48,100,0
DECCANCEM,19951214,47,47,47,47,500,0
DECCANCEM,19951215,43.45,43.45,42.5,42.5,200,0
DECCANCEM,19951218,42.5,42.5,39.25,39.25,250,0
DECCANCEM,19951219,39,40,38.6,39.3,800,0
DECCANCEM,19951220,39.3,39.25,39,39.05,800,0
DECCANCEM,19951221,39,39.5,39,39.5,750,0
DECCANCEM,19951222,39.5,39.5,39.5,39.5,50,0
DECCANCEM,19951226,39.05,39.05,39.05,39.05,200,0
DECCANCEM,19951227,40,40,39.5,39.5,900,0
DECCANCEM,19951228,39.5,40.5,39.5,40.5,200,0
DECCANCEM,19951229,40.5,43,40.5,43,100,0
DECCANCEM,19960101,43,40.5,40,40.5,150,0
DECCANCEM,19960102,41,41,39,41,600,0
DECCANCEM,19960103,41,41,41,41,300,0
DECCANCEM,19960104,38.5,39.75,38.5,39.5,300,0
DECCANCEM,19960105,39,40,39,39,450,0
DECCANCEM,19960108,37,39,37,39,400,0
DECCANCEM,19960109,37,38.5,37,38.4,700,0
DECCANCEM,19960110,37,38.4,37,38.4,400,0
DECCANCEM,19960111,38.4,40,38.4,40,150,0
DECCANCEM,19960116,40.9,40.9,39,39,550,0
DECCANCEM,19960117,38,38,38,38,100,0
DECCANCEM,19960118,36.5,36.5,36.5,36.5,50,0
DECCANCEM,19960123,37,37,37,37,200,0
DECCANCEM,19960124,37,37,37,37,100,0
DECCANCEM,19960125,37,37.5,37,37.5,250,0
DECCANCEM,19960129,38,38,37,37,400,0
DECCANCEM,19960130,36,36,36,36,500,0
DECCANCEM,19960201,36,36,36,36,100,0
DECCANCEM,19960202,36,36,36,36,300,0
DECCANCEM,19960205,37,37,36.75,36.75,200,0
DECCANCEM,19960206,40,40.4,40,40.4,750,0
DECCANCEM,19960207,39.5,39.5,39.5,39.5,1000,0
DECCANCEM,19960208,39,40.5,39,40.5,900,0
DECCANCEM,19960209,40,42,40,41.5,1800,0
DECCANCEM,19960212,44,45,43.5,45,1500,0
DECCANCEM,19960213,46,49,46,48.65,3900,0
DECCANCEM,19960214,53.5,53.6,53.5,53.6,1350,0
DECCANCEM,19960215,53.6,56,53,54.5,3000,0
DECCANCEM,19960216,54.95,54.95,53.2,53.2,2400,0
DECCANCEM,19960219,48,49,48,49,350,0
DECCANCEM,19960220,48.5,49,48,48,4100,0
DECCANCEM,19960222,49,50,48.25,48.25,700,0
DECCANCEM,19960223,50,50,46,47.5,1200,0
DECCANCEM,19960226,47.5,47.5,46,46.4,750,0
DECCANCEM,19960227,47.5,47.5,45.5,46.5,1150,0
DECCANCEM,19960228,46.75,47,46.75,47,200,0
DECCANCEM,19960229,44,44,44,44,200,0
DECCANCEM,19960301,43.5,43.5,43.5,43.5,500,0
DECCANCEM,19960304,43,43,43,43,550,0
DECCANCEM,19960306,43,43,43,43,300,0
DECCANCEM,19960307,41.05,41.5,41.05,41.5,550,0
DECCANCEM,19960308,41,41.5,41,41.5,450,0
DECCANCEM,19960311,41.75,41.75,40.25,40.25,1250,0
DECCANCEM,19960312,40.5,40.5,39.75,40,350,0
DECCANCEM,19960313,41.25,42,41.25,42,200,0
DECCANCEM,19960314,41.25,41.25,41.25,41.25,200,0
DECCANCEM,19960315,43.5,45,43.5,45,1400,0
DECCANCEM,19960318,44.25,47,44,47,2750,0
DECCANCEM,19960319,47,48.95,45.9,47.75,5350,0
DECCANCEM,19960321,47,50.95,47,50.95,2100,0
DECCANCEM,19960322,47.5,49.5,47.5,49,1650,0
DECCANCEM,19960325,49,50,47.6,49.55,4050,0
DECCANCEM,19960326,49.55,49.5,49,49.2,1950,0
DECCANCEM,19960327,49.2,54,49,50.9,11100,0
DECCANCEM,19960328,50.9,55.1,52.4,55,7750,0
DECCANCEM,19960329,55,60,55,59.2,12100,0
DECCANCEM,19960401,59.2,59,55.05,55.95,5250,0
DECCANCEM,19960402,55.95,55,53,53,1800,0
DECCANCEM,19960403,53,52,50,50.95,1200,0
DECCANCEM,19960408,50.95,49.95,49,49.5,1400,0
DECCANCEM,19960409,48.5,49,48.1,48.1,400,0
DECCANCEM,19960410,48.1,49,47,47,1150,0
DECCANCEM,19960411,47,47,44,46.9,900,0
DECCANCEM,19960412,46.9,47,46.25,46.25,500,0
DECCANCEM,19960415,46.25,48.25,47,47.5,500,0
DECCANCEM,19960416,47.5,47.5,46,47.2,2200,0
DECCANCEM,19960417,47.2,47.9,47.25,47.5,1700,0
DECCANCEM,19960418,47.5,49.75,47.3,49,1400,0
DECCANCEM,19960419,49,52,49.6,50.5,3200,0
DECCANCEM,19960423,48,48,46.75,46.95,950,0
DECCANCEM,19960424,46.95,49,49,49,500,0
DECCANCEM,19960425,49,54,51.1,54,3350,0
DECCANCEM,19960426,52.5,52.5,48.75,51.4,3550,0
DECCANCEM,19960429,51.4,51.75,51.05,51.75,250,0
DECCANCEM,19960430,51.75,51,49.55,49.9,1900,0
DECCANCEM,19960501,49.9,51.5,51,51,200,0
DECCANCEM,19960502,51,50,50,50,300,0
DECCANCEM,19960503,50,51,51,51,200,0
DECCANCEM,19960506,51,49.5,48,48,1150,0
DECCANCEM,19960507,48.1,48.5,48.1,48.5,150,0
DECCANCEM,19960508,48.5,51,48,49.3,950,0
DECCANCEM,19960509,49.3,50,48,49,650,0
DECCANCEM,19960510,49,47.45,46,47,1250,0
DECCANCEM,19960513,46.5,47,46.05,47,600,0
DECCANCEM,19960514,46.05,47.75,46.05,47,650,0
DECCANCEM,19960515,47,48.5,47,48.4,1950,0
DECCANCEM,19960516,48.4,51.9,49,49.3,2350,0
DECCANCEM,19960517,49.3,52,49.75,49.75,2500,0
DECCANCEM,19960520,49.75,50,47.25,47.25,1200,0
DECCANCEM,19960521,48,48,45,45,2600,0
DECCANCEM,19960522,46.95,46.95,45.4,45.6,1350,0
DECCANCEM,19960523,46,46.1,46,46.1,150,0
DECCANCEM,19960524,46.1,46,45,45,800,0
DECCANCEM,19960527,45,46.75,44,44,1150,0
DECCANCEM,19960528,44,43,41,43,400,0
DECCANCEM,19960529,43,45.45,44.5,44.5,800,0
DECCANCEM,19960530,45.5,45.5,45,45.3,500,0
DECCANCEM,19960531,45.3,44.5,44,44.5,1800,0
DECCANCEM,19960603,44.5,46,45,45.55,1150,0
DECCANCEM,19960604,45.5,45.5,42.55,42.75,1200,0
DECCANCEM,19960605,44,46,44,44,400,0
DECCANCEM,19960606,44,44,43,43,1200,0
DECCANCEM,19960607,43.25,43.5,40.05,40.05,1100,0
DECCANCEM,19960610,42.5,44,42,43,1450,0
DECCANCEM,19960611,47,47,42.55,42.7,3600,0
DECCANCEM,19960612,46.5,47,45.75,46.9,4200,0
DECCANCEM,19960613,47.5,47.5,46.1,46.15,2600,0
DECCANCEM,19960614,46.15,47.75,46.15,46.15,650,0
DECCANCEM,19960617,43,46.5,43,46,1350,0
DECCANCEM,19960618,46,48,46,47,3150,0
DECCANCEM,19960619,47.5,47.5,47.5,47.5,1100,0
DECCANCEM,19960620,47,48,47,47.5,2500,0
DECCANCEM,19960621,48,48,45,47.5,1500,0
DECCANCEM,19960624,47,47.5,47,47.5,650,0
DECCANCEM,19960625,46.1,47,44.3,44.3,1000,0
DECCANCEM,19960626,46,46.75,44.3,44.3,2000,0
DECCANCEM,19960627,45.15,45.15,43.05,43.05,200,0
DECCANCEM,19960628,44.25,44.25,44.25,44.25,200,0
DECCANCEM,19960701,43.5,44.05,42.5,42.65,1100,0
DECCANCEM,19960702,43,43,41,41.5,600,0
DECCANCEM,19960703,41,41,40,40,1000,0
DECCANCEM,19960704,39.05,40,39.05,39.05,500,0
DECCANCEM,19960705,39,40,39,39,700,0
DECCANCEM,19960708,41,41,41,41,300,0
DECCANCEM,19960709,40,40,38,38,250,0
DECCANCEM,19960710,38.1,38.1,38,38,500,0
DECCANCEM,19960711,38,39,36,36,2000,0
DECCANCEM,19960712,34.75,37,34.75,36,800,0
DECCANCEM,19960715,35.5,36.95,35,35.2,550,0
DECCANCEM,19960716,32.2,37,32.2,34.05,3300,0
DECCANCEM,19960717,32.7,34,32.7,34,300,0
DECCANCEM,19960719,35.55,35.55,34,34.9,800,0
DECCANCEM,19960722,36,37,35.5,36,1700,0
DECCANCEM,19960723,36,36.75,34.75,34.75,650,0
DECCANCEM,19960724,34,35,33,34.3,800,0
DECCANCEM,19960725,34,34,34,34,450,0
DECCANCEM,19960726,35,36.5,35,36,1000,0
DECCANCEM,19960729,34.5,35,34.5,34.75,300,0
DECCANCEM,19960730,34,34,32.5,32.5,150,0
DECCANCEM,19960731,35,35,32.1,34.25,500,0
DECCANCEM,19960801,34,34,33,33,800,0
DECCANCEM,19960802,32.05,32.05,30,30,2350,0
DECCANCEM,19960805,30,30,27.1,30,650,0
DECCANCEM,19960806,29,29,29,29,100,0
DECCANCEM,19960807,29.6,29.6,28.75,28.75,500,0
DECCANCEM,19960808,29,29,28.5,29,800,0
DECCANCEM,19960809,28.5,28.5,28,28.15,3400,0
DECCANCEM,19960812,28.5,28.5,27,28.05,3050,0
DECCANCEM,19960813,28.5,29.25,28.5,28.55,2600,0
DECCANCEM,19960814,29.5,29.5,27.75,27.8,53450,0
DECCANCEM,19960816,29,29,29,29,400,0
DECCANCEM,19960819,29,29,28,28,350,0
DECCANCEM,19960820,28,28,26,26.7,6150,0
DECCANCEM,19960821,26.5,26.7,26,26.5,51150,0
DECCANCEM,19960822,26.75,26.75,26,26.05,5750,0
DECCANCEM,19960823,26.5,26.9,26.5,26.9,700,0
DECCANCEM,19960826,26.75,28,26.75,27.25,2950,0
DECCANCEM,19960827,27,27.1,26.5,26.55,2200,0
DECCANCEM,19960828,27,27,26,26,2400,0
DECCANCEM,19960829,27.4,28,26.85,27,52050,0
DECCANCEM,19960830,27.55,28.45,27.25,28.25,1650,0
DECCANCEM,19960902,28.4,29.5,28.4,29.5,1400,0
DECCANCEM,19960903,30,30,29,29.4,1800,0
DECCANCEM,19960904,29,30,28.75,30,2500,0
DECCANCEM,19960905,30,31,29.5,29.5,4350,0
DECCANCEM,19960906,27.5,29.5,27.5,29,650,0
DECCANCEM,19960909,29,29,28.5,28.5,500,0
DECCANCEM,19960910,28.1,28.9,28,28.7,2200,0
DECCANCEM,19960911,28.5,28.85,28.5,28.85,1550,0
DECCANCEM,19960912,28,28.9,28,28.5,1000,0
DECCANCEM,19960913,29,29,28,28,1400,0
DECCANCEM,19960917,27,27.5,27,27,450,0
DECCANCEM,19960918,27,27,26.6,26.6,150,0
DECCANCEM,19960919,26.8,26.8,26.5,26.55,1600,0
DECCANCEM,19960920,26.5,26.5,26.3,26.3,600,0
DECCANCEM,19960923,26.4,26.4,26.3,26.3,400,0
DECCANCEM,19960924,26.3,26.9,25.1,26,3400,0
DECCANCEM,19960925,27.7,27.7,26,26.75,1300,0
DECCANCEM,19960926,26.15,26.15,26,26,300,0
DECCANCEM,19960927,25.1,26.85,25.1,26.85,250,0
DECCANCEM,19960930,26,26,25.1,25.5,350,0
DECCANCEM,19961001,25.9,25.9,25.1,25.5,2000,0
DECCANCEM,19961003,25.5,25.5,25.45,25.5,450,0
DECCANCEM,19961004,25,25,25,25,1500,0
DECCANCEM,19961007,24.5,24.5,22.5,23.7,2300,0
DECCANCEM,19961008,23,23.7,23,23.7,1400,0
DECCANCEM,19961009,23.5,24.5,23.5,24.5,750,0
DECCANCEM,19961010,25,25.5,24.7,25.5,1150,0
DECCANCEM,19961011,25.5,26.9,24,24.45,4800,0
DECCANCEM,19961014,24.55,24.9,24.5,24.5,400,0
DECCANCEM,19961015,23.5,24.75,23.5,24.75,1900,0
DECCANCEM,19961017,25,26.4,25,26.4,700,0
DECCANCEM,19961018,26,26,25.5,25.5,350,0
DECCANCEM,19961022,27,27,25.75,25.75,400,0
DECCANCEM,19961023,26.75,27,26.35,26.35,1900,0
DECCANCEM,19961024,26.5,28,26.5,27,600,0
DECCANCEM,19961025,27.7,27.7,24.4,25.5,750,0
DECCANCEM,19961028,25.1,25.1,24.75,24.8,850,0
DECCANCEM,19961029,25,25.35,24.75,25,400,0
DECCANCEM,19961031,24.15,24.15,24.1,24.1,200,0
DECCANCEM,19961101,23.6,24,23.6,23.6,450,0
DECCANCEM,19961104,23,23,23,23,200,0
DECCANCEM,19961105,24.5,24.5,24.5,24.5,300,0
DECCANCEM,19961106,23.1,23.1,23.1,23.1,300,0
DECCANCEM,19961107,24,24,23.6,23.6,200,0
DECCANCEM,19961111,23,24.5,23,24.5,200,0
DECCANCEM,19961114,24.5,24.5,24.5,24.5,300,0
DECCANCEM,19961115,24.3,24.45,23.8,24.45,900,0
DECCANCEM,19961118,24.5,24.5,24.5,24.5,50,0
DECCANCEM,19961119,23.5,23.5,23,23.5,250,0
DECCANCEM,19961120,24.2,24.2,23.55,24.05,650,0
DECCANCEM,19961121,24,24,24,24,200,0
DECCANCEM,19961122,24,24,24,24,300,0
DECCANCEM,19961125,24,25.5,24,25.5,150,0
DECCANCEM,19961126,25.5,25.9,24.4,25.5,6300,0
DECCANCEM,19961127,25,25,25,25,100,0
DECCANCEM,19961128,25,27.5,25,26.95,1800,0
DECCANCEM,19961129,26.5,28.25,26.5,28.05,2750,0
DECCANCEM,19961202,26.75,26.75,25.4,25.4,600,0
DECCANCEM,19961203,23.75,24,23.75,24,1450,0
DECCANCEM,19961204,24,24,24,24,100,0
DECCANCEM,19961205,24,25.5,24,25.5,600,0
DECCANCEM,19961206,25.8,25.85,25.8,25.85,400,0
DECCANCEM,19961209,25,25.85,25,25.85,500,0
DECCANCEM,19961210,24,24,24,24,150,0
DECCANCEM,19961211,25.95,25.95,25,25.85,850,0
DECCANCEM,19961212,26,26,25.5,25.5,450,0
DECCANCEM,19961213,25,25,25,25,100,0
DECCANCEM,19961216,26,26,26,26,50,0
DECCANCEM,19961217,25,26,25,26,300,0
DECCANCEM,19961218,24,26,24,26,200,0
DECCANCEM,19961219,25,25.5,24.8,24.8,400,0
DECCANCEM,19961220,24.8,26.25,24.8,26,700,0
DECCANCEM,19961223,26.5,26.5,24.05,24.75,700,0
DECCANCEM,19961226,24.9,26.5,24.9,26.5,550,0
DECCANCEM,19961231,26.5,29,26.5,27.5,2250,0
DECCANCEM,19970101,28,29.5,28,29.4,600,0
DECCANCEM,19970102,31,31,29.25,29.9,1800,0
DECCANCEM,19970103,28.5,29.5,28.5,28.55,400,0
DECCANCEM,19970106,29.9,30.95,29.9,30.95,650,0
DECCANCEM,19970107,29.75,29.75,28.5,28.9,1150,0
DECCANCEM,19970108,28.1,31.35,28.1,30,1450,0
DECCANCEM,19970109,30,30.15,29.1,29.1,1250,0
DECCANCEM,19970110,29,31,29,30.3,1450,0
DECCANCEM,19970113,30.75,30.75,29.5,30,1150,0
DECCANCEM,19970114,29.75,30.5,29.75,29.8,1450,0
DECCANCEM,19970115,30.95,32,30.95,32,300,0
DECCANCEM,19970116,33,34,31.1,32.7,3650,0
DECCANCEM,19970117,32,32.7,30.5,30.5,1050,0
DECCANCEM,19970120,31.75,31.75,28,28,550,0
DECCANCEM,19970121,26,27,25.25,26,1200,0
DECCANCEM,19970122,25.5,28,25.5,26.7,1800,0
DECCANCEM,19970124,26.5,26.5,26.5,26.5,200,0
DECCANCEM,19970127,26.5,27,26.5,26.55,550,0
DECCANCEM,19970128,26.5,26.85,25,25.5,1400,0
DECCANCEM,19970129,27,27,27,27,100,0
DECCANCEM,19970131,27,27.1,27,27,500,0
DECCANCEM,19970204,25,25.9,25,25.9,950,0
DECCANCEM,19970205,25.1,26.5,25,26.5,900,0
DECCANCEM,19970207,25.6,27,25.6,26.1,900,0
DECCANCEM,19970210,25.6,26.35,25.6,26.35,150,0
DECCANCEM,19970211,27.4,27.45,26.8,27.25,850,0
DECCANCEM,19970212,28,28.1,27.6,27.75,1050,0
DECCANCEM,19970213,26.8,27.65,26.8,27,1650,0
DECCANCEM,19970214,27,27.4,27,27.05,1050,0
DECCANCEM,19970217,27,27.6,26,26,1950,0
DECCANCEM,19970218,26.45,27,25.1,25.5,1550,0
DECCANCEM,19970219,26,26.85,25.2,26.85,350,0
DECCANCEM,19970221,26.8,26.8,26.8,26.8,500,0
