SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
DELTAIND,19950512,124,125,124,125,300,0
DELTAIND,19950515,125,125,123.75,123.75,200,0
DELTAIND,19950516,122,122,120,120,300,0
DELTAIND,19950518,124,124,124,124,100,0
DELTAIND,19950519,125,125,125,125,100,0
DELTAIND,19950522,120,120,115,115,900,0
DELTAIND,19950523,112,116.25,112,113.5,900,0
DELTAIND,19950524,122,126,122,126,600,0
DELTAIND,19950525,125,125,125,125,500,0
DELTAIND,19950526,125,125,125,125,400,0
DELTAIND,19950529,125,126,125,125,700,0
DELTAIND,19950530,126,126,126,126,500,0
DELTAIND,19950606,135,137,135,135,400,0
DELTAIND,19950607,125,140,125,138.5,2000,0
DELTAIND,19950609,131,131,130.05,130.05,200,0
DELTAIND,19950612,130,130,130,130,200,0
DELTAIND,19950613,125,130,125,130,200,0
DELTAIND,19950614,121.05,123,121.05,122.7,1200,0
DELTAIND,19950615,120,122,120,122,600,0
DELTAIND,19950616,115,115,115,115,300,0
DELTAIND,19950619,122,122,122,122,100,0
DELTAIND,19950620,120,120,119.05,119.05,300,0
DELTAIND,19950621,120,120,120,120,100,0
DELTAIND,19950630,110,110,110,110,100,0
DELTAIND,19950703,110,110,110,110,100,0
DELTAIND,19950704,113,113,113,113,100,0
DELTAIND,19950710,108.25,108.25,108,108,200,0
DELTAIND,19950712,105,105,105,105,200,0
DELTAIND,19950714,104,104,104,104,200,0
DELTAIND,19950717,104,110,104,110,400,0
DELTAIND,19950719,110,110,108,108,300,0
DELTAIND,19950721,115,115,115,115,100,0
DELTAIND,19950727,110,110,107,109.75,300,0
DELTAIND,19950728,109,109,109,109,100,0
DELTAIND,19950731,104,104,102,103,200200,0
DELTAIND,19950801,103,104,101,103.5,40300,0
DELTAIND,19950802,106,106,106,106,100,0
DELTAIND,19950803,109,109,107,107.45,700,0
DELTAIND,19950807,106,106,106,106,100,0
DELTAIND,19950808,106,106,106,106,100,0
DELTAIND,19950811,104,104,104,104,100,0
DELTAIND,19950814,101.1,101.1,101.1,101.1,100,0
DELTAIND,19950821,101.95,102,101.5,101.55,600,0
DELTAIND,19950822,101,101,100,100,1100,0
DELTAIND,19950823,101.25,101.25,101.25,101.25,100,0
DELTAIND,19950824,102,102,101,101,300,0
DELTAIND,19950825,92,100,92,100,200,0
DELTAIND,19950828,102,102,95,95,300400,0
DELTAIND,19950831,92,92,91,91,200,0
DELTAIND,19950906,90.5,90.5,90.5,90.5,100,0
DELTAIND,19950912,91,91,91,91,100,0
DELTAIND,19950919,92,92,92,92,100,0
DELTAIND,19950920,92.1,92.1,92,92,500,0
DELTAIND,19950921,92.5,93,92.5,93,200,0
DELTAIND,19950922,95,96,95,96,600,0
DELTAIND,19950925,105,105,105,105,300,0
DELTAIND,19950926,110,113.05,110,112,1000,0
DELTAIND,19950927,109,109,105,105,500,0
DELTAIND,19950929,97,97,96.5,97,500,0
DELTAIND,19951009,97,97,97,97,100,0
DELTAIND,19951010,95,95,95,95,500,0
DELTAIND,19951011,92.05,92.05,92.05,92.05,100,0
DELTAIND,19951012,97,97,97,97,100,0
DELTAIND,19951013,94,94,94,94,100,0
DELTAIND,19951017,93,93,93,93,200,0
DELTAIND,19951019,95,95,95,95,2500,0
DELTAIND,19951020,95,95,94,94,1200,0
DELTAIND,19951023,94.75,94.75,94,94.15,600,0
DELTAIND,19951024,90,93,90,93,300,0
DELTAIND,19951031,90,90,89,90,900,0
DELTAIND,19951101,87,90,87,90,500,0
DELTAIND,19951102,91,91,90,91,300,0
DELTAIND,19951103,92,92,90,90,200,0
DELTAIND,19951106,90,90,90,90,200,0
DELTAIND,19951107,89,89,86,86,400,0
DELTAIND,19951108,86,86.1,84.05,84.05,800,0
DELTAIND,19951109,86,86,86,86,100,0
DELTAIND,19951110,89.5,90,89.5,90,1300,0
DELTAIND,19951113,85.1,85.1,85.1,85.1,200,0
DELTAIND,19951114,82,82,82,82,100,0
DELTAIND,19951116,82.6,82.6,82.6,82.6,100,0
DELTAIND,19951117,81.5,82,81.5,82,300,0
DELTAIND,19951120,81.5,82.05,81.5,82.05,800,0
DELTAIND,19951121,80,81,80,81,500,0
DELTAIND,19951122,80.8,83.9,80.8,82.25,400,0
DELTAIND,19951123,80,80,78,78,900,0
DELTAIND,19951124,77.75,78,77.75,78,400,0
DELTAIND,19951127,80,80,80,80,100,0
DELTAIND,19951204,80,80,80,80,300,0
DELTAIND,19951205,76,76,76,76,100,0
DELTAIND,19951206,75,76,75,75.7,500,0
DELTAIND,19951207,74,76,74,76,200,0
DELTAIND,19951208,81,81,80,80,200,0
DELTAIND,19951212,80,83,80,80,2200,0
DELTAIND,19951214,75,75,75,75,100,0
DELTAIND,19951215,75,75,73,73,300,0
DELTAIND,19951218,72,72,71.25,72,900,0
DELTAIND,19951219,71,71.95,71,71.95,400,0
DELTAIND,19951226,73,73,72.5,72.5,200,0
DELTAIND,19951227,72.5,72.5,72.25,72.25,200,0
DELTAIND,19960101,75,75,75,75,100,0
DELTAIND,19960102,74.5,75,74.5,75,200,0
DELTAIND,19960105,72,72,70.05,70.05,600,0
DELTAIND,19960108,70,73.5,70,72,2200,0
DELTAIND,19960109,70,72,70,72,1500,0
DELTAIND,19960110,72,72,72,72,400,0
DELTAIND,19960111,70,72,70,72,1600,0
DELTAIND,19960112,70,70,70,70,100,0
DELTAIND,19960115,70,70,70,70,500,0
DELTAIND,19960116,70,70,70,70,300,0
DELTAIND,19960117,70,71,70,70.5,400,0
DELTAIND,19960118,70,70,70,70,100,0
DELTAIND,19960119,69,69,65,67,400,0
DELTAIND,19960122,69.95,69.95,69.95,69.95,900,0
DELTAIND,19960123,69.75,70,68,68.75,700,0
DELTAIND,19960124,71,71.5,69.75,71.05,1700,0
DELTAIND,19960125,69.75,71.5,69.75,71.5,3500,0
DELTAIND,19960129,69.75,72,69.75,72,1300,0
DELTAIND,19960130,71.25,71.25,71.25,71.25,100,0
DELTAIND,19960131,74,74.5,70.25,70.25,900,0
DELTAIND,19960201,72,72,72,72,300,0
DELTAIND,19960202,74,74,74,74,400,0
DELTAIND,19960205,73.5,74,73.5,74,200,0
DELTAIND,19960206,73.5,73.5,73.5,73.5,100,0
DELTAIND,19960207,73.5,73.5,73.5,73.5,100,0
DELTAIND,19960209,73.5,74,72,74,200,0
DELTAIND,19960212,78,78,73,73,300,0
DELTAIND,19960213,73,74,73.05,74,1800,0
DELTAIND,19960214,74,78,75.25,78,1000,0
DELTAIND,19960215,77,78.45,77,78.4,1400,0
DELTAIND,19960216,78.4,78,77,78,400,0
DELTAIND,19960219,76,76,74.5,76,600,0
DELTAIND,19960220,73.5,74.5,72,72.25,1300,0
DELTAIND,19960222,72.25,73,72.75,72.95,800,0
DELTAIND,19960223,72,72.9,71.5,72,700,0
DELTAIND,19960226,72,73,72,72.4,800,0
DELTAIND,19960227,72.4,70,70,70,300,0
DELTAIND,19960228,70.25,70.25,70.25,70.25,100,0
DELTAIND,19960229,70.5,70.5,70,70,300,0
DELTAIND,19960301,69,69,65,65,200,0
DELTAIND,19960304,67,67,67,67,100,0
DELTAIND,19960306,68,68,68,68,100,0
DELTAIND,19960307,68,70,68,70,700,0
DELTAIND,19960308,66.05,68,66,67.5,600,0
DELTAIND,19960311,67.5,65,65,65,200,0
DELTAIND,19960312,65,62,59,59.25,500,0
DELTAIND,19960313,59.25,60,59.3,60,200,0
DELTAIND,19960314,60,59,56.05,56.05,500,0
DELTAIND,19960315,56.05,57.7,56,57.7,700,0
DELTAIND,19960318,57.7,54,52.25,52.25,400,0
DELTAIND,19960319,52.25,50.95,49,50,800,0
DELTAIND,19960321,51,51,50,50,200,0
DELTAIND,19960322,49,49,47,47,400,0
DELTAIND,19960325,46,46,44.5,44.5,400,0
DELTAIND,19960326,42,42,41,41.25,600,0
DELTAIND,19960327,38,43,38,39.5,1500,0
DELTAIND,19960328,40,41,39,39,900,0
DELTAIND,19960329,39.05,42,39.05,42,700,0
DELTAIND,19960401,40,45.2,40,43.7,400,0
DELTAIND,19960402,43.9,44,42.1,44,700,0
DELTAIND,19960403,45,45,45,45,100,0
DELTAIND,19960404,49.45,49.45,45.25,47.95,300,0
DELTAIND,19960408,47.95,47,47,47,100,0
DELTAIND,19960409,45,46,44.95,45,900,0
DELTAIND,19960410,45,49.45,44,45.5,900,0
DELTAIND,19960411,45,45.5,45,45,600,0
DELTAIND,19960412,43.5,43.5,43,43,600,0
DELTAIND,19960415,41,42.7,41,42.7,300,0
DELTAIND,19960416,42.7,43.5,41,43.5,1200,0
DELTAIND,19960417,43.5,48,43,46.5,900,0
DELTAIND,19960418,46,46.5,46,46.5,200,0
DELTAIND,19960419,46.5,50,48,50,1100,0
DELTAIND,19960423,47,47.45,46.05,47.45,1300,0
DELTAIND,19960424,47.45,47,43,47,300,0
DELTAIND,19960425,47,47.5,47,47,200,0
DELTAIND,19960426,43.5,43.5,42.7,43,600,0
DELTAIND,19960429,43.25,44.75,43,43,800,0
DELTAIND,19960430,43,42.9,42,42.9,400,0
DELTAIND,19960501,42.9,42.5,40,41.5,600,0
DELTAIND,19960502,41.5,42.5,41.25,41.25,500,0
