SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
DHARAMSI,20211201,310.9,343,300.05,305.95,9544,0
DHARAMSI,20211202,317,330,307.95,314.15,24043,0
DHARAMSI,20211203,323.95,323.95,310.15,313.45,8269,0
DHARAMSI,20211206,315,318.5,310.05,314.85,13046,0
DHARAMSI,20211207,313.85,324.9,313.25,318.7,4375,0
DHARAMSI,20211208,326.5,326.5,315.1,316.1,5083,0
DHARAMSI,20211209,313.5,317.9,310,311.45,4545,0
DHARAMSI,20211210,312.95,314.3,306.05,311.05,6703,0
DHARAMSI,20211213,306,322,306,311.4,7000,0
DHARAMSI,20211214,319,319.5,309,314.7,5892,0
DHARAMSI,20211215,315.5,317.65,312.1,315.9,5043,0
DHARAMSI,20211216,315.95,320,312,315.15,10968,0
DHARAMSI,20211217,317.95,317.95,309,311.35,14912,0
DHARAMSI,20211220,297,329.05,294.55,303.65,10307,0
DHARAMSI,20211221,311.75,311.75,303,303.75,3460,0
DHARAMSI,20211222,312.75,313,300.2,301.75,3952,0
DHARAMSI,20211223,311.05,312.45,303.95,306.3,3597,0
DHARAMSI,20211224,307.2,312.05,303.65,308.45,4179,0
DHARAMSI,20211227,308.45,308.45,299.3,306,4780,0
DHARAMSI,20211228,311,313.2,303,308.6,12508,0
DHARAMSI,20211229,315.9,315.9,301.1,306.1,8067,0
DHARAMSI,20211230,306.65,312.85,306,310.05,3543,0
DHARAMSI,20211231,315,349.9,306,332.75,58102,0
DHARAMSI,20220103,332.75,341,313.65,324.65,15352,0
DHARAMSI,20220104,326,334,317.35,319.9,10573,0
DHARAMSI,20220105,327.9,327.9,316.05,322.7,16388,0
DHARAMSI,20220106,322.15,329.1,320,322.55,11591,0
DHARAMSI,20220107,323.45,340,322.05,329.65,19047,0
DHARAMSI,20220110,341,395.55,325.5,380.5,113744,0
DHARAMSI,20220111,399,399,366.95,380.1,57284,0
DHARAMSI,20220112,382,387.1,360.2,379.85,36087,0
DHARAMSI,20220113,385,387.45,368.05,372.25,21341,0
DHARAMSI,20220114,375.25,377,350,358.3,20310,0
DHARAMSI,20220117,369,370.9,352.2,364.1,17346,0
