SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
DUNCANSLTD,20130705,23.6,23.65,23.6,23.65,1010,0
DUNCANSLTD,20130709,22.5,24.65,22.5,23.6,3903,0
DUNCANSLTD,20130710,22.45,22.5,22.45,22.45,464,0
DUNCANSLTD,20130711,21.35,22,21.35,22,1195,0
DUNCANSLTD,20130717,20.9,20.9,20.9,20.9,1,0
DUNCANSLTD,20130719,20.65,21.45,19,20.5,4510,4150
DUNCANSLTD,20130722,17.05,19.45,17.05,19.05,828,0
DUNCANSLTD,20130723,17.55,21,17.55,20.35,6152,0
DUNCANSLTD,20130724,18.3,20.95,18.3,20.65,1991,0
DUNCANSLTD,20130725,18.7,21,18.35,20.55,4686,0
DUNCANSLTD,20130726,20.55,20.65,18.55,19.75,5347,4816
DUNCANSLTD,20130729,18.8,20.75,18.8,20.45,5306,0
DUNCANSLTD,20130730,19.15,20.3,18.55,20.05,2546,0
DUNCANSLTD,20130731,18.2,21,18.2,20.25,7433,0
DUNCANSLTD,20130801,20.5,21,18.85,20.5,7624,0
DUNCANSLTD,20130802,19.25,21.25,19.15,20.65,6090,0
DUNCANSLTD,20130805,19.3,21,19.2,20.9,11188,0
DUNCANSLTD,20130806,21.05,21.5,20,21.05,3455,2535
DUNCANSLTD,20130807,17.1,21.45,17.1,21.25,4803,0
DUNCANSLTD,20130808,20.2,22.45,20.2,21.85,4220,0
DUNCANSLTD,20130812,20.1,23,20.1,21.8,1412,0
DUNCANSLTD,20130813,21.6,21.95,20,21.1,10322,0
DUNCANSLTD,20130814,21.5,22,20.25,21.95,8243,0
DUNCANSLTD,20130816,22,22.05,21.1,21.3,5899,0
DUNCANSLTD,20130819,20.1,21.95,19.7,20.85,2783,0
DUNCANSLTD,20130820,20.5,21.6,20.45,20.8,973,0
DUNCANSLTD,20130821,21,21,20,20.05,1290,0
DUNCANSLTD,20130822,21.5,22,19.6,20.9,3390,0
DUNCANSLTD,20130823,21.4,21.45,20,20.2,2102,1651
DUNCANSLTD,20130827,19.8,20.9,18.65,20.8,3893,0
DUNCANSLTD,20130828,19.85,21,19.6,20.9,2900,0
DUNCANSLTD,20130829,19.75,20.5,19.75,19.9,1440,0
DUNCANSLTD,20130830,19.45,20.4,19.45,19.5,1505,0
DUNCANSLTD,20130902,19.1,19.95,19.1,19.95,405,0
DUNCANSLTD,20130903,19.2,19.2,18.2,18.35,630,0
DUNCANSLTD,20130904,18.5,20,17.8,19.55,4763,0
DUNCANSLTD,20130905,20.8,20.8,18.55,19.85,3778,0
DUNCANSLTD,20130906,19,21,19,20.4,5342,0
DUNCANSLTD,20130910,18.85,21,18.85,20,1666,0
DUNCANSLTD,20130911,19.1,20.8,19.1,20.2,2224,0
DUNCANSLTD,20130912,19.1,19.95,19,19.1,1076,0
DUNCANSLTD,20130913,18.95,19.75,18.6,19.5,1541,0
DUNCANSLTD,20130916,18.85,19.35,18.3,19.1,1187,940
DUNCANSLTD,20130917,18.95,19,18.5,18.6,379,364
DUNCANSLTD,20130918,19.75,19.75,18.5,19.05,503,0
DUNCANSLTD,20130919,18.3,19.5,18,19.2,4677,0
DUNCANSLTD,20130920,18.3,19.25,18.05,18.1,1262,0
DUNCANSLTD,20130923,17.85,17.85,17.35,17.35,620,620
DUNCANSLTD,20130924,17.75,17.75,17,17,6622,5176
DUNCANSLTD,20130925,17.3,17.3,16.6,16.75,2571,0
DUNCANSLTD,20130926,16.25,16.65,16.25,16.35,566,0
DUNCANSLTD,20130927,17.35,17.35,15.8,16.85,1164,0
DUNCANSLTD,20130930,20.1,20.1,16.15,16.5,1784,0
DUNCANSLTD,20131001,16.75,17.45,16.15,16.8,4352,3829
DUNCANSLTD,20131003,16.5,17.35,16.5,16.9,5566,0
DUNCANSLTD,20131004,16.8,17.35,16.2,16.95,2192,0
DUNCANSLTD,20131007,16.15,16.85,15.35,15.9,691,460
DUNCANSLTD,20131008,16,17.5,15.35,16.1,1783,0
DUNCANSLTD,20131009,16.4,17,16.35,16.9,476,0
DUNCANSLTD,20131010,16.8,16.8,16.1,16.1,200,0
DUNCANSLTD,20131011,16.2,17.4,16.15,16.65,2201,0
DUNCANSLTD,20131014,16.5,17.45,16.5,16.6,112,0
DUNCANSLTD,20131015,16.25,16.6,16.25,16.6,630,412
DUNCANSLTD,20131017,15,16.85,15,16.6,1086,706
DUNCANSLTD,20131018,16.35,16.35,16.35,16.35,200,200
DUNCANSLTD,20131021,16.05,17.75,16.05,17,631,592
DUNCANSLTD,20131022,17,18.45,17,17.7,7551,7092
DUNCANSLTD,20131023,17.8,18.25,17.45,17.75,9522,0
DUNCANSLTD,20131024,17.8,17.8,17.1,17.7,977,0
DUNCANSLTD,20131025,17.2,18,17.2,18,310,305
DUNCANSLTD,20131028,17.9,17.95,17.9,17.95,100,0
DUNCANSLTD,20131029,16.4,18,16.4,17.5,859,0
DUNCANSLTD,20131030,17.15,17.85,17.1,17.35,600,450
DUNCANSLTD,20131031,17.3,17.95,16.8,17.05,738,688
DUNCANSLTD,20131101,17.05,18.3,17.05,17.55,1138,945
DUNCANSLTD,20131103,17.85,18.9,17.2,17.8,2102,1607
DUNCANSLTD,20131105,17,18,17,17.3,1144,1110
DUNCANSLTD,20131106,17,18,16.9,16.95,515,0
DUNCANSLTD,20131107,16.95,17.5,16.7,16.8,3540,0
DUNCANSLTD,20131108,16.5,16.8,16.5,16.65,4296,0
DUNCANSLTD,20131111,16.55,17,16.5,16.55,680,0
DUNCANSLTD,20131112,16.65,17,16.5,16.6,191,176
DUNCANSLTD,20131113,16.55,17.3,16.45,16.6,2053,0
DUNCANSLTD,20131114,17.75,18.5,17.05,17.1,2066,2056
DUNCANSLTD,20131118,17.2,17.45,16.5,16.95,2944,0
DUNCANSLTD,20131119,17.85,17.9,16.9,16.9,340,0
DUNCANSLTD,20131120,16.8,16.9,16.7,16.7,1640,0
DUNCANSLTD,20131121,16.4,16.95,16.4,16.55,1925,0
DUNCANSLTD,20131122,16.75,17.3,16.3,17,4331,0
DUNCANSLTD,20131125,17,18,16.7,17.6,5573,3970
DUNCANSLTD,20131126,17.25,17.75,17,17.75,2780,2580
DUNCANSLTD,20131127,17.95,18,17.5,17.55,4052,0
DUNCANSLTD,20131128,17.2,17.75,17.2,17.5,12011,0
DUNCANSLTD,20131129,17,18.45,16.35,16.75,2258,0
DUNCANSLTD,20131202,16.75,17.5,16.75,17.5,318,0
DUNCANSLTD,20131203,16.95,17.9,16.6,17.7,1589,0
DUNCANSLTD,20131204,17.2,17.9,17.2,17.85,258,0
DUNCANSLTD,20131205,17.35,18,17.2,17.35,1398,0
DUNCANSLTD,20131206,17.95,17.95,17.25,17.3,1400,0
DUNCANSLTD,20131209,18,18,16.65,16.8,915,912
DUNCANSLTD,20131210,19.9,19.9,16.35,16.7,55,0
DUNCANSLTD,20131211,17.4,17.4,16.55,16.7,308,0
DUNCANSLTD,20131212,17.5,17.85,16.05,16.35,930,0
DUNCANSLTD,20131213,16.55,16.8,16.1,16.25,938,0
DUNCANSLTD,20131216,16.2,16.25,15.65,16.05,1428,0
DUNCANSLTD,20131218,16.2,16.95,16.2,16.9,735,642
DUNCANSLTD,20131219,16.3,16.5,16,16.2,3102,0
DUNCANSLTD,20131220,16,16.6,16,16.6,120,80
DUNCANSLTD,20131223,17,17.45,16.3,16.4,3263,0
DUNCANSLTD,20131224,16.1,16.45,16,16.2,5315,0
DUNCANSLTD,20131226,16.85,16.9,16.5,16.55,2548,0
DUNCANSLTD,20131227,16.5,16.9,16.5,16.5,2485,0
DUNCANSLTD,20131230,16.35,16.8,16.35,16.7,919,0
DUNCANSLTD,20131231,16.95,17.35,16.6,16.8,2220,0
DUNCANSLTD,20140101,16.5,17.5,16.5,17.5,1355,0
DUNCANSLTD,20140102,17.9,17.9,16.75,16.95,3169,1918
DUNCANSLTD,20140103,16.75,17.9,16.75,16.9,3334,2952
DUNCANSLTD,20140106,16.75,17.35,16.75,16.8,990,0
DUNCANSLTD,20140107,15.75,17.8,15.75,16.5,2722,0
DUNCANSLTD,20140108,16.75,19.15,16.3,17.8,83042,37418
DUNCANSLTD,20140109,18,18.5,17.5,17.65,20809,16086
DUNCANSLTD,20140110,17.4,17.75,17.15,17.15,6109,4553
DUNCANSLTD,20140113,17.05,17.2,16.25,16.75,6834,4415
DUNCANSLTD,20140114,17.8,17.8,16.3,16.65,3302,0
DUNCANSLTD,20140115,16.55,16.55,13.35,15.6,52719,45816
DUNCANSLTD,20140116,14.6,16.3,14.6,15.8,4239,3735
DUNCANSLTD,20140117,15.6,16,15.6,15.85,4067,0
DUNCANSLTD,20140120,16,16.15,15.4,15.55,2654,0
DUNCANSLTD,20140121,15,16.15,15,15.5,2262,2009
DUNCANSLTD,20140122,15.6,15.9,15.35,15.35,1381,0
DUNCANSLTD,20140123,15.95,17.75,15.4,15.65,4173,2620
DUNCANSLTD,20140124,15.25,15.4,15.25,15.35,450,0
DUNCANSLTD,20140127,14.55,15.9,14.55,15.2,2159,1657
DUNCANSLTD,20140128,15.3,15.3,15,15.05,1994,0
DUNCANSLTD,20140129,15.05,15.85,14.85,15.05,1850,0
DUNCANSLTD,20140130,14.75,15.25,14.75,14.75,1122,0
DUNCANSLTD,20140131,14.5,15.5,14.5,14.85,1950,0
DUNCANSLTD,20140203,14.5,15.2,14.4,14.45,1811,0
DUNCANSLTD,20140204,14.15,14.5,14.1,14.5,6118,0
DUNCANSLTD,20140205,14.5,14.5,14.2,14.5,1625,0
DUNCANSLTD,20140206,14.5,14.65,14.1,14.15,5687,0
DUNCANSLTD,20140207,14.05,14.55,14.05,14.5,1569,0
DUNCANSLTD,20140210,14.05,14.35,14,14.35,521,0
DUNCANSLTD,20140211,14.15,14.6,14.1,14.15,1778,1595
DUNCANSLTD,20140212,14,14.2,13.65,13.9,2211,0
DUNCANSLTD,20140213,14.4,14.4,14.4,14.4,200,0
DUNCANSLTD,20140214,14.35,14.35,14.35,14.35,457,0
DUNCANSLTD,20140217,13.15,14.35,13.15,14.05,1422,0
DUNCANSLTD,20140218,14.3,14.6,14,14.35,1580,0
DUNCANSLTD,20140219,14.25,14.25,14.15,14.2,100,0
DUNCANSLTD,20140220,16.85,16.85,14,14.15,1002,0
DUNCANSLTD,20140221,14.1,14.1,13.7,13.75,7186,0
