SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
EMAMILTD,20060803,279,279,260,268.6,47217,0
EMAMILTD,20060804,270,270,255,257.75,2540,0
EMAMILTD,20060807,258,258,248,255.05,1653,0
EMAMILTD,20060808,249.4,257.85,249.4,253.3,6492,0
EMAMILTD,20060809,253,259,251,258.5,1681,1681
EMAMILTD,20060810,264.9,264.9,254.1,255,192,166
EMAMILTD,20060811,267,268,255.5,260.3,3903,1251
EMAMILTD,20060814,263,263,254.1,255.6,774,474
EMAMILTD,20060816,256,267.9,256,264.25,17580,0
EMAMILTD,20060817,270,270,251,265.1,4715,0
EMAMILTD,20060818,259.8,268.3,259.8,264.45,883,0
EMAMILTD,20060821,259,268,259,267,120,115
EMAMILTD,20060822,263,263,258.9,261,220,120
EMAMILTD,20060823,244,265.5,244,260,25685,25550
EMAMILTD,20060824,253,261.9,253,255,956,556
EMAMILTD,20060825,256,259.95,245.5,253.45,1562,823
EMAMILTD,20060828,257,264.8,252.5,258.15,1429,0
EMAMILTD,20060829,262,262,250.5,254.1,477,0
EMAMILTD,20060830,255.85,274,255.85,265.2,6050,3145
EMAMILTD,20060831,252,266,251.1,265.1,2700,0
EMAMILTD,20060901,257,273.25,255.55,271.25,20414,0
EMAMILTD,20060904,274,274,263,267,269,0
EMAMILTD,20060905,266,273.85,265.1,266.9,129,72
EMAMILTD,20060906,262,264.7,260,261.1,400,375
EMAMILTD,20060907,253.7,258,253.7,255.25,360,0
EMAMILTD,20060908,269.5,269.5,252,258.25,2185,0
EMAMILTD,20060911,253,253,245.3,247.05,853,0
EMAMILTD,20060912,247,251,245,246,830,830
EMAMILTD,20060913,246,254.45,246,248.15,904,381
EMAMILTD,20060914,245,256.95,244.15,248,1582,1451
EMAMILTD,20060915,244,270,238,261.5,10296,6205
EMAMILTD,20060918,255.05,270,255.05,261.75,39876,28354
EMAMILTD,20060919,261.85,263,245,247.6,2439,1335
EMAMILTD,20060920,247,258.6,247,252.25,902,650
