SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ESCORTS,19941111,130,130,130,130,100,0
ESCORTS,19941117,127,127,127,127,500,0
ESCORTS,19941121,129,129,129,129,100,0
ESCORTS,19941124,128,130,128,130,150,0
ESCORTS,19941129,130,130,130,130,100,0
ESCORTS,19941206,138,138,138,138,150,0
ESCORTS,19941209,135,135,135,135,50,0
ESCORTS,19941221,126,126,126,126,50,0
ESCORTS,19941223,125,125,125,125,200,0
ESCORTS,19950109,115,115,115,115,150,0
ESCORTS,19950110,115,115,115,115,100,0
ESCORTS,19950111,114,114,114,114,50,0
ESCORTS,19950112,114,115,114,115,650,0
ESCORTS,19950113,114,114,114,114,50,0
ESCORTS,19950116,114,114,114,114,50,0
ESCORTS,19950117,117.5,117.5,117,117,100,0
ESCORTS,19950118,115,115,115,115,150,0
ESCORTS,19950119,117,117,117,117,50,0
ESCORTS,19950120,117,117,117,117,100,0
ESCORTS,19950123,117,117,117,117,100,0
ESCORTS,19950124,112,112,112,112,250,0
ESCORTS,19950125,118,118,118,118,100,0
ESCORTS,19950130,115,117,115,117,700,0
ESCORTS,19950131,112,112,112,112,100,0
ESCORTS,19950203,120,136.25,120,136.25,400,0
ESCORTS,19950206,140,142.5,137.5,137.5,900,0
ESCORTS,19950207,135,135,133,133,300,0
ESCORTS,19950208,132.5,132.5,132.5,132.5,300,0
ESCORTS,19950209,132,132,132,132,50,0
ESCORTS,19950210,132,132,131,131,900,0
ESCORTS,19950213,131,132,130,131,1500,0
ESCORTS,19950214,129.95,130,123,125.2,1350,0
ESCORTS,19950215,125,125,120,120,500,0
ESCORTS,19950216,115,115,115,115,400,0
ESCORTS,19950217,115,118,115,118,100,0
ESCORTS,19950220,116.5,116.5,116.5,116.5,200,0
ESCORTS,19950221,108,108,108,108,200,0
ESCORTS,19950222,108.05,108.05,108,108,300,0
ESCORTS,19950224,139,139,132,132,150,0
ESCORTS,19950228,129,129,124,124,100,0
ESCORTS,19950301,130,130,128,128,550,0
ESCORTS,19950302,130,130,130,130,100,0
ESCORTS,19950303,127.5,127.5,125,125,200,0
ESCORTS,19950306,128,129,126.75,126.75,5200,0
ESCORTS,19950307,125,129,125,128.75,1200,0
ESCORTS,19950308,130,130,126,126.25,1500,0
ESCORTS,19950309,123.75,124.25,123.75,124.25,150,0
ESCORTS,19950310,125,125,125,125,100,0
ESCORTS,19950313,125,125,125,125,350,0
ESCORTS,19950314,128.5,128.75,126,126,500,0
ESCORTS,19950315,130,130,129,129,300,0
ESCORTS,19950320,129.5,130,120,120,1200,0
ESCORTS,19950322,121,121,120,120.5,100,0
ESCORTS,19950323,120,122,120,122,150,0
ESCORTS,19950324,115,125,115,125,250,0
ESCORTS,19950327,128,128,128,128,50,0
ESCORTS,19950328,127,127,127,127,50,0
ESCORTS,19950329,130,133,130,132.9,200,0
ESCORTS,19950330,130,131,130,130.5,950,0
ESCORTS,19950331,133,135,133,133,450,0
ESCORTS,19950403,133,133,129,130,3100,0
ESCORTS,19950404,131,131.25,129,131.25,1450,0
ESCORTS,19950407,135,135,133,133,300,0
ESCORTS,19950410,133,133,130,130.25,600,0
ESCORTS,19950411,128,128,127.5,127.5,150,0
ESCORTS,19950412,128.5,131,128,128.4,800,0
ESCORTS,19950417,128.95,129,126,127,800,0
ESCORTS,19950418,122,130,120,129.75,1000,0
ESCORTS,19950419,137,141,133,139.1,12650,0
ESCORTS,19950420,142,145,140,142,19650,0
ESCORTS,19950421,142,145,138.05,139,4350,0
ESCORTS,19950424,143.5,144,138,138,4000,0
ESCORTS,19950425,137,139,133,134,3350,0
ESCORTS,19950426,135,136,135,136,1050,0
ESCORTS,19950427,132,133,130,131.7,900,0
ESCORTS,19950428,130,130,125,125,150,0
ESCORTS,19950502,120,130,119,125,1000,0
ESCORTS,19950503,123,126,123,126,800,0
ESCORTS,19950504,128,128,125,127,1700,0
ESCORTS,19950505,127.5,130,126.5,130,10850,0
ESCORTS,19950508,131,132,131,131.25,650,0
ESCORTS,19950509,131,133,131,132.5,600,0
ESCORTS,19950510,131,133,131,133,250,0
ESCORTS,19950512,130,130.5,130,130,3150,0
ESCORTS,19950515,123,125,123,125,200,0
ESCORTS,19950516,126,126,120,120.25,850,0
ESCORTS,19950517,121,126,121,126,700,0
ESCORTS,19950518,130,130,128,130,600,0
ESCORTS,19950519,129,131.95,128,130,850,0
ESCORTS,19950522,131,133,130,130,750,0
ESCORTS,19950523,128,128,125,128,1550,0
ESCORTS,19950524,132,135,130,135,700,0
ESCORTS,19950525,130,132.5,130,132.05,550,0
ESCORTS,19950526,137.5,137.5,132,132.5,350,0
ESCORTS,19950529,130.5,131,130,130,250,0
ESCORTS,19950530,130,130,127.95,127.95,550,0
ESCORTS,19950531,129,134,129,133.95,450,0
ESCORTS,19950601,134,134,133,133,750,0
ESCORTS,19950602,134,135,134,134.25,1050,0
ESCORTS,19950605,135,135,133,135,550,0
ESCORTS,19950606,132,134,132,133.25,1050,0
ESCORTS,19950607,136,137,135.25,135.3,2150,0
ESCORTS,19950608,135,135,131.5,134.95,1500,0
ESCORTS,19950609,135,135,130,132,1550,0
ESCORTS,19950612,132.5,135,128.75,132,200650,0
ESCORTS,19950613,132.5,132.5,127,129.65,3100,0
ESCORTS,19950614,126,128,126,128,800,0
ESCORTS,19950615,127,130.5,126,127.95,5350,0
ESCORTS,19950616,128,128,128,128,100,0
ESCORTS,19950619,128,129,128,129,250,0
ESCORTS,19950620,127.5,130,127.5,130,1300,0
ESCORTS,19950621,130,132,130,131,2650,0
ESCORTS,19950622,130.75,134.75,130.75,134.75,3750,0
ESCORTS,19950623,132.5,133,131,131.1,28150,0
ESCORTS,19950626,120,120,120,120,50,0
ESCORTS,19950627,125,125,122.05,122.8,1100,0
ESCORTS,19950628,126,127.5,121,127.5,800,0
ESCORTS,19950629,132,133,128,130.3,1950,0
ESCORTS,19950630,129,134.75,129,132.7,950,0
ESCORTS,19950703,131,131,127,127,850,0
ESCORTS,19950704,125,125,122,122.65,2050,0
ESCORTS,19950705,124,128,124,125.5,1250,0
ESCORTS,19950706,123,125,122,125,2050,0
ESCORTS,19950707,125,125.75,124.05,125.25,650,0
ESCORTS,19950710,126,126,124,124,450,0
ESCORTS,19950711,127.9,127.9,127,127,250,0
ESCORTS,19950712,127.25,127.25,125,127,300,0
ESCORTS,19950713,125.25,128.75,125.25,126,400,0
ESCORTS,19950714,128.75,128.75,128.75,128.75,50,0
ESCORTS,19950717,128.75,130,128.75,129.7,1500,0
ESCORTS,19950718,129.75,135,129.75,134.65,1000,0
ESCORTS,19950719,130,134,130,134,800,0
ESCORTS,19950720,132,132,132,132,100,0
ESCORTS,19950721,131,131,125,125,450,0
ESCORTS,19950724,130.05,137.5,129,134.4,3500,0
ESCORTS,19950725,130.5,130.5,125,125.4,2400,0
ESCORTS,19950726,130,130,128,130,750,0
ESCORTS,19950727,129,130,127.5,130,400,0
ESCORTS,19950728,125,125,125,125,100,0
ESCORTS,19950731,123,124,123,123.25,500,0
ESCORTS,19950801,124,125,124,125,500,0
ESCORTS,19950803,122,122,122,122,400,0
ESCORTS,19950804,120,120,120,120,450,0
ESCORTS,19950808,120,120,113,113,100,0
ESCORTS,19950809,115,116,115,116,350,0
ESCORTS,19950811,116,118,115,117,550,0
ESCORTS,19950814,116,120,116,119.25,1150,0
ESCORTS,19950816,119,121,119,121,200,0
ESCORTS,19950817,120,121,120,121,150,0
ESCORTS,19950821,118,118,117,117,500,0
ESCORTS,19950822,116,117.25,112,116.95,1300,0
ESCORTS,19950823,118,118,117,118,800,0
ESCORTS,19950824,115,116.95,115,116.95,400,0
ESCORTS,19950825,113.95,114.05,112.5,112.5,600,0
ESCORTS,19950828,112,112,112,112,300,0
ESCORTS,19950830,110,110,110,110,50,0
ESCORTS,19950831,112,112,110,110,400,0
ESCORTS,19950901,109,115,106,112.5,3450,0
ESCORTS,19950905,110,115,107.5,111.8,3550,0
ESCORTS,19950907,114.75,115,111,111.05,900,0
ESCORTS,19950908,113,113,113,113,100,0
ESCORTS,19950911,115,115,113.1,113.1,250,0
ESCORTS,19950912,113.5,114.5,113,114.5,500,0
ESCORTS,19950913,121,121,111,111,600,0
ESCORTS,19950914,119,119,109,109,1800,0
ESCORTS,19950915,110,110,110,110,50,0
ESCORTS,19950918,110,110,109,110,1200,0
ESCORTS,19950919,110,111,109.05,110.65,2450,0
ESCORTS,19950920,112,112,111,112,400,0
ESCORTS,19950921,110,116,101.05,116,2400,0
ESCORTS,19950922,110,110,110,110,7500,0
ESCORTS,19950925,112,112,109,109,400,0
ESCORTS,19950926,111,113,111,111.05,1200,0
ESCORTS,19950927,111.25,111.25,110.25,110.55,2350,0
ESCORTS,19950928,112,112,112,112,50,0
ESCORTS,19950929,112,112,109.5,112,1200,0
ESCORTS,19951004,112,112,111.5,112,400,0
ESCORTS,19951005,115,116,113,116,550,0
ESCORTS,19951006,116,120.9,116,119,1350,0
ESCORTS,19951009,118,119,117,117,500,0
ESCORTS,19951010,117,117,115.05,116,1950,0
ESCORTS,19951011,115.5,115.65,113,113.05,1400,0
ESCORTS,19951012,109,110.5,109,110.5,1550,0
ESCORTS,19951013,109.75,111,107.05,110.05,1650,0
ESCORTS,19951016,110,111,110,110.8,300,0
ESCORTS,19951017,110.8,108,105,107.75,2350,0
ESCORTS,19951018,107.05,109.95,107.05,108,300,0
ESCORTS,19951019,108,108.25,108,108.25,150,0
ESCORTS,19951020,108,108,106,107,300,0
ESCORTS,19951023,107.5,107.5,105,106.35,350,0
ESCORTS,19951024,103.05,105,103.05,105,200,0
ESCORTS,19951025,105.5,105.5,105.5,105.5,550,0
ESCORTS,19951026,105,105,105,105,50,0
ESCORTS,19951027,105,105,102,105,350,0
ESCORTS,19951030,110,110,103.5,103.5,750,0
ESCORTS,19951031,103.55,105,103.5,103.85,700,0
ESCORTS,19951101,103.85,106.7,104.5,105,850,0
ESCORTS,19951102,105,105,104,104.75,900,0
ESCORTS,19951103,103,103,100,100,250,0
ESCORTS,19951106,100,100,97.5,98,1050,0
ESCORTS,19951107,94.25,98,94.25,96.9,1400,0
ESCORTS,19951108,99,100,97,97.65,2850,0
ESCORTS,19951109,96.5,96.95,95,95.1,900,0
ESCORTS,19951110,95,97.5,95,95,1100,0
ESCORTS,19951113,94,95.5,92.25,95,300,0
ESCORTS,19951114,93,93,87.5,87.75,3350,0
ESCORTS,19951115,92,94,92,94,1050,0
ESCORTS,19951116,94,94,91.55,92.95,2050,0
ESCORTS,19951117,92.95,93,87.75,89,950,0
ESCORTS,19951120,89,90,87.05,87.15,3550,0
ESCORTS,19951121,87.5,88.5,86.1,86.1,1850,0
ESCORTS,19951122,86.1,89.5,82.5,82.55,1250,0
ESCORTS,19951123,82,83,80.05,83,1300,0
ESCORTS,19951124,90,90,83,83.5,1300,0
ESCORTS,19951127,83.5,85,83.5,84,600,0
ESCORTS,19951128,84,87.5,82,82,1650,0
ESCORTS,19951129,82,84,76,84,2450,0
ESCORTS,19951130,84,85,82,85,1750,0
ESCORTS,19951201,83,84.25,83,84,500,0
ESCORTS,19951204,84,84,78,82.5,4000,0
ESCORTS,19951205,82.5,83.5,81.95,83,1500,0
ESCORTS,19951206,83.5,83.5,83.5,83.5,100,0
ESCORTS,19951207,88,90,88,89.25,1200,0
ESCORTS,19951208,89,91,89,89.5,1300,0
ESCORTS,19951211,89,90,84.6,84.6,1050,0
ESCORTS,19951212,84.6,87,83.25,85.2,1500,0
ESCORTS,19951213,84.75,87.05,84,85.4,1650,0
