SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
FINPIPE,19941107,78,78,76,76.25,2200,0
FINPIPE,19941108,77.5,77.5,75,75.5,6200,0
FINPIPE,19941109,76.5,76.5,74.5,74.5,2600,0
FINPIPE,19941110,75.5,75.5,72,73,5500,0
FINPIPE,19941111,72.5,72.75,71,72.75,6900,0
FINPIPE,19941114,73,73,71,71.5,3700,0
FINPIPE,19941115,71.5,71.5,69,70,2600,0
FINPIPE,19941116,72,74,72,74,1800,0
FINPIPE,19941117,75,75.75,73,73,4700,0
FINPIPE,19941121,74,74,72.5,72.5,7300,0
FINPIPE,19941122,73.75,74,71,72,2100,0
FINPIPE,19941123,71,72.5,71,71.25,8600,0
FINPIPE,19941124,72,72,70,70,2700,0
FINPIPE,19941125,71,72,70.5,70.5,2600,0
FINPIPE,19941129,73,73.25,68,69,4100,0
FINPIPE,19941130,70,70,66.25,66.25,9600,0
FINPIPE,19941201,69,69,63,64.75,29600,0
FINPIPE,19941202,64.25,64.25,62.75,63,14200,0
FINPIPE,19941205,63.75,64,62,62.25,8600,0
FINPIPE,19941206,61,62,60,61.5,4100,0
FINPIPE,19941207,63,64,59.5,60,8500,0
FINPIPE,19941208,61,61.5,58.25,58.75,7900,0
FINPIPE,19941209,57.75,60.5,57.75,60.5,12700,0
FINPIPE,19941212,60,61.25,58,60.75,9600,0
FINPIPE,19941213,58,60.5,58,59.5,10000,0
FINPIPE,19941214,62,64.25,62,63.25,10800,0
FINPIPE,19941215,64,66,64,64.75,37000,0
FINPIPE,19941216,65.25,65.5,63.75,64.25,18600,0
FINPIPE,19941219,65.5,65.5,63,64.25,21100,0
FINPIPE,19941220,65,65,63.25,64,14700,0
FINPIPE,19941221,64,65,64,65,9200,0
FINPIPE,19941222,64.55,65.45,64,64,19400,0
FINPIPE,19941223,64.5,65,64.25,64.75,11800,0
FINPIPE,19941226,64.1,64.1,63.75,63.75,4500,0
FINPIPE,19941227,63.7,63.7,62.1,62.5,4400,0
FINPIPE,19941228,63.25,64,63.25,63.5,3800,0
FINPIPE,19941229,64,65,64,64.2,2600,0
FINPIPE,19941230,64.75,65,64.75,64.75,2800,0
FINPIPE,19950102,65,65,63,64.2,4900,0
FINPIPE,19950103,64,64.95,62.75,63.2,10300,0
FINPIPE,19950104,63,64,62,62.35,4400,0
FINPIPE,19950105,62.4,63,60.5,60.55,3900,0
FINPIPE,19950106,60.95,60.95,57.95,58.5,8600,0
FINPIPE,19950109,60,60,55.3,55.55,4200,0
FINPIPE,19950110,57.5,57.5,53,53.4,6700,0
FINPIPE,19950111,54.5,57.75,54,57.7,9500,0
FINPIPE,19950112,57.5,58,57,57.9,7700,0
FINPIPE,19950113,58,59,56.5,59,4700,0
FINPIPE,19950116,60.25,63.5,60,61,10700,0
FINPIPE,19950117,65,65,59.85,60.55,13800,0
FINPIPE,19950118,61,62,60,60.5,10900,0
FINPIPE,19950119,61,61.25,60.5,60.95,7700,0
FINPIPE,19950120,60.25,60.75,59,59,24200,0
FINPIPE,19950123,59,59,56,56.25,6800,0
FINPIPE,19950124,56.75,56.75,55,55.75,15200,0
FINPIPE,19950125,55.95,56.75,55,55.75,17800,0
FINPIPE,19950127,57,58,56,57.5,15400,0
FINPIPE,19950130,56,58.4,56,57.3,17800,0
FINPIPE,19950131,58.5,59.75,58,58,15200,0
FINPIPE,19950201,60,61.25,58,58.95,11700,0
FINPIPE,19950202,54.5,59,54.5,58.25,20300,0
FINPIPE,19950203,56.5,58,56.25,57,11800,0
FINPIPE,19950206,58.5,58.5,56.5,57,6300,0
FINPIPE,19950207,57,57,55.8,56,13700,0
FINPIPE,19950208,56.9,56.9,54.75,55.4,6100,0
FINPIPE,19950209,55,57,55,55.5,5700,0
FINPIPE,19950210,56,56.75,54.5,54.7,9700,0
FINPIPE,19950213,55,55,52.75,52.85,10400,0
FINPIPE,19950214,54.5,54.5,53,53.1,5900,0
FINPIPE,19950215,54.95,55,53.75,54,12000,0
FINPIPE,19950216,52,53.4,52,52.25,7100,0
FINPIPE,19950217,53,53,50,50.9,3800,0
FINPIPE,19950220,50,51,48.5,49.95,8900,0
FINPIPE,19950221,49,50,48,48.95,8600,0
FINPIPE,19950222,46,51,46,51,2800,0
FINPIPE,19950223,51.05,56.5,51.05,56.5,8500,0
FINPIPE,19950224,57,59,55,55.55,20100,0
FINPIPE,19950228,55,56.9,53.6,55.3,15200,0
FINPIPE,19950301,56.5,58.75,56.5,57.15,38400,0
FINPIPE,19950302,58,59,56.5,57.25,37100,0
FINPIPE,19950303,57.5,57.95,57,57,7100,0
FINPIPE,19950306,57.5,57.75,56.35,56.7,6300,0
FINPIPE,19950307,57.25,57.25,55,55.15,7800,0
FINPIPE,19950308,56.25,56.5,55.25,55.7,11400,0
FINPIPE,19950309,56,56,54.8,55.35,25400,0
FINPIPE,19950310,57,57,55,56.05,16500,0
FINPIPE,19950313,55,55.75,52.05,52.75,14400,0
FINPIPE,19950314,54.5,55,53,53.6,14200,0
FINPIPE,19950315,59,59,54,54,38900,0
FINPIPE,19950316,55,55,51.5,52.6,18200,0
FINPIPE,19950320,51.35,52.95,50,51.3,312000,0
FINPIPE,19950321,51,51.5,48.5,49.4,122000,0
FINPIPE,19950322,52.5,52.5,50.75,50.9,12700,0
FINPIPE,19950323,52,52,51,51.1,12300,0
FINPIPE,19950324,51,51,50,51,8400,0
FINPIPE,19950327,50,51.75,49.95,50,9500,0
FINPIPE,19950328,52.5,53,50.75,51.15,15400,0
FINPIPE,19950329,52,52.5,52,52.35,5300,0
FINPIPE,19950330,53,53,52,52.8,5400,0
FINPIPE,19950331,52.5,52.9,52.25,52.75,5100,0
FINPIPE,19950403,52,53,52,52.6,9100,0
FINPIPE,19950404,53,53.95,52.25,53.45,14600,0
FINPIPE,19950407,57.95,58.45,56.9,57.1,21700,0
FINPIPE,19950410,55.05,56.95,55.05,55.9,9500,0
FINPIPE,19950411,55.7,57,55.1,56.95,8500,0
FINPIPE,19950412,56.75,56.75,56.1,56.45,5600,0
FINPIPE,19950417,56,56.75,54.1,54.9,14900,0
FINPIPE,19950418,56,56,52,53,36600,0
FINPIPE,19950419,54,54,51.75,52.25,17200,0
FINPIPE,19950420,52,52,51,51.45,13700,0
FINPIPE,19950421,52.5,52.75,51.5,51.95,23400,0
FINPIPE,19950424,52.75,52.75,50,50.5,15500,0
FINPIPE,19950425,51,51,48,49.35,10700,0
FINPIPE,19950426,50,50,47.25,47.7,22200,0
FINPIPE,19950427,48,48.5,45.5,46.85,17000,0
FINPIPE,19950428,47.35,47.35,45,45.65,15700,0
FINPIPE,19950502,45.75,45.75,40,40.35,26900,0
FINPIPE,19950503,40,44.5,39.5,44.1,28300,0
FINPIPE,19950504,45,46.9,43.5,44.2,29100,0
FINPIPE,19950505,45,46,45,45.45,37400,0
FINPIPE,19950508,45,47,44.75,46.05,32600,0
FINPIPE,19950509,45.55,47,45.5,46.4,20600,0
FINPIPE,19950510,46.5,47.5,45.55,45.8,29300,0
FINPIPE,19950512,45.25,45.25,43.8,44.65,31900,0
FINPIPE,19950515,44,44,40.8,41.3,40600,0
FINPIPE,19950516,41,41,39,39.35,80100,0
FINPIPE,19950517,40,41.8,39.35,41.6,39700,0
FINPIPE,19950518,42.25,44.45,42,42.35,46100,0
FINPIPE,19950519,43.25,44,42.55,43.05,34300,0
FINPIPE,19950522,42,43,41.55,42.6,17100,0
FINPIPE,19950523,42.05,42.5,41.55,41.95,35500,0
FINPIPE,19950524,43.5,43.5,41.55,41.7,26600,0
FINPIPE,19950525,41.75,41.75,40.5,41.65,10400,0
FINPIPE,19950526,42,42.5,41.75,41.85,6600,0
FINPIPE,19950529,41.5,42,41.5,41.85,12100,0
