SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
FORTUNEFIN,20170802,336,336,266,311,728,510
FORTUNEFIN,20170803,300,326,285.35,324.5,2024,1966
FORTUNEFIN,20170804,322.5,322.5,305,308.95,80,55
FORTUNEFIN,20170807,319.55,319.55,312,315,715,615
FORTUNEFIN,20170808,311,313.95,300,301.3,2449,2069
FORTUNEFIN,20170809,304,304,285,287.7,1193,1192
FORTUNEFIN,20170810,287,337.8,282,310.1,3450,2792
FORTUNEFIN,20170811,310,310,257,293.25,1740,1721
FORTUNEFIN,20170814,290.1,300,284,286.45,2505,2405
FORTUNEFIN,20170816,270,310,270,290.6,5546,3953
FORTUNEFIN,20170817,298.95,298.95,290,290.15,973,873
FORTUNEFIN,20170818,280,280,265.05,274.15,11073,6643
FORTUNEFIN,20170821,297.95,297.95,271.6,286.85,2293,1556
FORTUNEFIN,20170822,286.05,290,280,283.35,990,693
FORTUNEFIN,20170823,275,332.7,275,300.35,3554,2825
FORTUNEFIN,20170824,299,299,283.1,293.5,4775,3965
FORTUNEFIN,20170828,293.95,297.8,288.2,294,565,534
FORTUNEFIN,20170829,288,299.95,280,280,1064,665
FORTUNEFIN,20170830,289.3,289.5,273.05,279.2,6350,5477
FORTUNEFIN,20170831,288.3,288.3,272.1,284.95,1632,1263
FORTUNEFIN,20170901,281,287.9,280,281.5,1309,1267
FORTUNEFIN,20170904,282.05,286.8,280.55,281.2,2264,1613
FORTUNEFIN,20170905,287.95,287.95,277.75,280.45,6541,5029
FORTUNEFIN,20170906,278,285,277,283.25,2480,1809
FORTUNEFIN,20170907,281.15,284,280,282.5,4982,3865
FORTUNEFIN,20170908,280.55,280.55,261.5,270.15,4399,2789
FORTUNEFIN,20170911,285,298,282,286.3,8723,5804
FORTUNEFIN,20170912,290,295,281.15,294.45,6211,5799
FORTUNEFIN,20170913,295.05,297,275.1,278.6,9000,6611
FORTUNEFIN,20170914,287.15,290,281,283.95,3518,2632
FORTUNEFIN,20170915,286.95,286.95,273.05,276.75,12462,11533
FORTUNEFIN,20170918,277.05,278,272.6,275.9,17978,14764
FORTUNEFIN,20170919,282.7,282.7,274.1,275.4,4041,2983
FORTUNEFIN,20170920,280,280,271.1,275.4,4029,2500
FORTUNEFIN,20170921,275.4,277,264.5,274.35,4440,3278
FORTUNEFIN,20170922,270.2,271.95,263.2,269.2,8532,6186
FORTUNEFIN,20170925,265.1,269.95,250,260,1788,1257
FORTUNEFIN,20170926,268,269,264.05,269,249,157
FORTUNEFIN,20170927,266,274.85,263,270.6,1316,976
FORTUNEFIN,20170928,265,276,265,268.1,1859,1686
FORTUNEFIN,20170929,270,270,260.15,264.45,1577,1114
FORTUNEFIN,20171003,274.85,274.85,264.95,265,818,765
FORTUNEFIN,20171004,250,269.9,250,267,1516,1071
FORTUNEFIN,20171005,266,283.95,265.05,270,5645,5239
FORTUNEFIN,20171006,269.95,270,267,268.65,7549,5422
FORTUNEFIN,20171009,275.45,277.95,269,270.9,7720,4266
FORTUNEFIN,20171010,266.45,277,257.2,265.85,17644,11510
FORTUNEFIN,20171011,275,279.5,263,265.05,1324,906
FORTUNEFIN,20171012,266,266,260.1,262.5,908,742
FORTUNEFIN,20171013,264.05,264.05,260.1,261.95,1961,1386
FORTUNEFIN,20171016,267.85,273.95,262.1,268.5,13200,7656
FORTUNEFIN,20171017,269,293,269,275,10321,7409
FORTUNEFIN,20171018,272.15,278.95,272.15,275.3,5695,5541
FORTUNEFIN,20171019,290,290,276,280.35,2604,2181
FORTUNEFIN,20171023,290,294,270,270.1,8574,7800
FORTUNEFIN,20171024,270.2,279.75,265.25,271.05,6046,3769
FORTUNEFIN,20171025,270.1,271,266.15,266.6,1444,1069
FORTUNEFIN,20171026,266.3,270,266.3,269.8,2523,2469
FORTUNEFIN,20171027,270.95,270.95,266,266.6,659,375
FORTUNEFIN,20171030,265.05,267.65,262.3,264,2675,1807
FORTUNEFIN,20171031,267.95,275,266.9,271,13609,10035
FORTUNEFIN,20171101,271,275,260,264.1,4590,3982
FORTUNEFIN,20171102,273.75,273.8,265,269.65,4611,3264
FORTUNEFIN,20171103,266.45,270,266,267.9,4878,4017
FORTUNEFIN,20171106,268,273.85,263.1,270.8,3884,2186
FORTUNEFIN,20171107,266,270.95,264,265.8,2493,2213
FORTUNEFIN,20171108,269.5,269.5,264,264.45,1877,1856
FORTUNEFIN,20171109,271,271.95,265.15,266.05,2272,1105
FORTUNEFIN,20171110,270.95,279,268.4,275.7,12421,11722
FORTUNEFIN,20171113,265.55,275.9,264.95,269.3,2697,1566
FORTUNEFIN,20171114,266.5,285,266.05,272.5,22534,21917
FORTUNEFIN,20171115,286,286,268,268.05,2119,1873
