SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
FTCSF3YDIV,20070619,9.2,9.2,9.2,9.2,10,0
FTCSF3YDIV,20070621,11,11.05,9.7,10.9,1428,0
FTCSF3YDIV,20070622,10.8,13.1,10.8,12,1307,0
FTCSF3YDIV,20070625,14.4,14.4,10.4,11.95,3885,0
FTCSF3YDIV,20070626,11,13.9,11,13.9,3625,0
FTCSF3YDIV,20070627,13.9,13.9,13.85,13.85,1145,0
FTCSF3YDIV,20070628,13.85,13.85,11.5,12.95,1014,0
FTCSF3YDIV,20070629,11.05,13.45,11.05,13.45,200,0
FTCSF3YDIV,20070702,11.5,12.65,11.2,11.8,630,0
FTCSF3YDIV,20070703,10.65,12.5,10.65,12.45,336,0
FTCSF3YDIV,20070704,12,12,12,12,25,0
FTCSF3YDIV,20070705,11,12.2,11,12.2,689,0
FTCSF3YDIV,20070706,11.95,12,11.95,12,36,0
FTCSF3YDIV,20070709,12,12,11.5,11.5,200,0
FTCSF3YDIV,20070710,12.25,12.6,12,12,300,0
FTCSF3YDIV,20070711,12.4,12.4,9.75,11,702,0
FTCSF3YDIV,20070712,12.75,13.15,12.75,13.15,1379,0
FTCSF3YDIV,20070713,11.7,11.7,11.7,11.7,100,0
FTCSF3YDIV,20070718,10.55,12,9.5,12,1426,1126
FTCSF3YDIV,20070719,12,12,12,12,125,0
FTCSF3YDIV,20070723,10.2,11,10.2,11,1005,0
FTCSF3YDIV,20070724,10.5,10.5,9.65,9.65,300,0
FTCSF3YDIV,20070725,10.5,10.5,10.5,10.5,170,0
FTCSF3YDIV,20070726,12.6,12.6,8.7,11,1092,0
FTCSF3YDIV,20070727,13.2,13.2,9.55,10.15,1005,0
FTCSF3YDIV,20070730,10,11.8,10,10.95,1165,0
FTCSF3YDIV,20070731,13.15,13.15,9.3,12.2,1720,0
FTCSF3YDIV,20070801,10.05,12,10.05,10.2,2990,0
FTCSF3YDIV,20070802,10,11.85,10,11.85,557,0
FTCSF3YDIV,20070803,10.95,10.95,10.35,10.6,1768,0
FTCSF3YDIV,20070806,10,10,10,10,27,0
FTCSF3YDIV,20070807,10.95,10.95,10,10.1,205,0
FTCSF3YDIV,20070808,10,10.5,9.35,9.85,7210,0
FTCSF3YDIV,20070810,9.55,9.55,9.55,9.55,324,0
FTCSF3YDIV,20070814,9.5,10.4,9,9.75,3400,0
FTCSF3YDIV,20070816,9.75,9.75,9.75,9.75,500,500
FTCSF3YDIV,20070817,9.5,9.5,9.5,9.5,1250,1250
FTCSF3YDIV,20070820,9.5,10.1,9.5,10.1,2100,2100
FTCSF3YDIV,20070821,9.9,9.9,9.9,9.9,1100,1100
FTCSF3YDIV,20070822,9.9,10.4,9,10.4,753,710
FTCSF3YDIV,20070824,9.35,10,9.35,10,350,350
FTCSF3YDIV,20070830,8.15,9.8,8.15,9.4,2540,1400
FTCSF3YDIV,20070831,9.35,10.75,9.35,9.55,980,656
FTCSF3YDIV,20070905,9.5,9.6,9.5,9.6,315,315
FTCSF3YDIV,20070906,9.55,10.45,9.55,9.55,1700,1700
FTCSF3YDIV,20070907,9.55,9.55,9.55,9.55,28,28
FTCSF3YDIV,20070910,9,10.4,9,10.3,270,270
FTCSF3YDIV,20070911,9.2,10.3,9.2,10.3,3,2
FTCSF3YDIV,20070918,9.05,9.55,9.05,9.55,20,10
FTCSF3YDIV,20070919,10.35,10.35,10.35,10.35,505,505
FTCSF3YDIV,20070921,9.25,10.35,9.25,10.35,711,711
FTCSF3YDIV,20070924,10.35,10.35,9.35,9.4,190,190
FTCSF3YDIV,20070925,10.3,10.5,10.3,10.5,20,10
FTCSF3YDIV,20070926,10.5,10.5,10.5,10.5,70,0
FTCSF3YDIV,20070927,10.5,10.5,10.5,10.5,100,0
FTCSF3YDIV,20070928,10.4,10.5,10.4,10.45,6,2
FTCSF3YDIV,20071001,10.7,10.7,10.7,10.7,2,2
FTCSF3YDIV,20071003,10.5,10.5,9.5,9.55,2245,1945
FTCSF3YDIV,20071004,10.45,10.45,9.8,10.2,100,100
FTCSF3YDIV,20071008,9.8,9.8,9.8,9.8,1170,1170
FTCSF3YDIV,20071009,9.8,10.5,9.8,10.5,2614,0
FTCSF3YDIV,20071010,10.35,10.75,10.35,10.55,5300,5250
FTCSF3YDIV,20071011,9.55,10.4,9.55,10.35,747,510
FTCSF3YDIV,20071012,10,10.3,10,10,1106,1106
FTCSF3YDIV,20071015,10,10.9,9.7,10,1005,605
FTCSF3YDIV,20071016,10,10.9,10,10.85,210,200
FTCSF3YDIV,20071017,10,10.8,10,10.8,19,19
FTCSF3YDIV,20071018,9.6,10.8,9.6,10.8,1024,1010
FTCSF3YDIV,20071019,10,10,10,10,3,3
FTCSF3YDIV,20071022,9.6,10.8,9.6,10.75,36,18
FTCSF3YDIV,20071023,10,10,10,10,2,2
FTCSF3YDIV,20071024,10.75,10.75,10.75,10.75,56,56
FTCSF3YDIV,20071029,10.05,10.05,9.5,9.8,25934,25105
FTCSF3YDIV,20071030,10.05,10.05,10,10,2406,2406
FTCSF3YDIV,20071031,10,10,9.85,9.85,22491,22491
FTCSF3YDIV,20071101,9.95,9.95,9.95,9.95,1000,1000
FTCSF3YDIV,20071102,9.7,9.9,8.15,9.7,17800,14700
FTCSF3YDIV,20071105,9.5,9.9,9.5,9.6,22409,0
FTCSF3YDIV,20071106,10.5,10.5,10.5,10.5,10,0
FTCSF3YDIV,20071107,9.6,9.95,9.6,9.95,5010,4010
FTCSF3YDIV,20071108,9.85,9.85,9.5,9.75,7911,7811
FTCSF3YDIV,20071113,9.65,9.65,9.65,9.65,500,0
FTCSF3YDIV,20071114,9.9,9.9,9.9,9.9,3600,3600
FTCSF3YDIV,20071115,9.7,10.25,9.7,9.7,1130,0
FTCSF3YDIV,20071116,10,10,10,10,5,0
FTCSF3YDIV,20071119,9.7,9.7,9.7,9.7,2500,2500
FTCSF3YDIV,20071120,9.75,9.9,9.7,9.9,8594,8589
FTCSF3YDIV,20071127,10.5,10.5,10.5,10.5,100,100
FTCSF3YDIV,20071128,9.75,9.75,9.7,9.7,2000,2000
FTCSF3YDIV,20071130,10,10,10,10,20,20
FTCSF3YDIV,20071203,9.9,9.9,9.65,9.9,2105,2105
FTCSF3YDIV,20071204,9.9,10,9.9,10,8115,8115
FTCSF3YDIV,20071205,9.7,10.3,9.7,10.3,400,400
FTCSF3YDIV,20071207,9.9,9.9,9.9,9.9,610,610
