SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
FUJITSICIM,19950210,58,58,58,58,1000,0
FUJITSICIM,19950213,58,58,55,56.5,300,0
FUJITSICIM,19950214,55,55,55,55,50,0
FUJITSICIM,19950301,55.05,55.05,55.05,55.05,50,0
FUJITSICIM,19950302,58,59,58,59,1700,0
FUJITSICIM,19950306,55,55,55,55,250,0
FUJITSICIM,19950315,57,59,57,59,250,0
FUJITSICIM,19950316,60,62,60,62,400,0
FUJITSICIM,19950320,58,58.5,58,58,1300,0
FUJITSICIM,19950322,53.5,53.5,53.5,53.5,550,0
FUJITSICIM,19950323,55,56,53.5,53.5,3700,0
FUJITSICIM,19950324,54.5,54.95,53,53,1400,0
FUJITSICIM,19950327,55,55,53,53,850,0
FUJITSICIM,19950328,52,52,51.25,51.65,1500,0
FUJITSICIM,19950329,53,53,50,50,2700,0
FUJITSICIM,19950330,51,52.75,50,52.5,3950,0
FUJITSICIM,19950331,51,53,51,53,1350,0
FUJITSICIM,19950403,53.75,55,53.75,54,800,0
FUJITSICIM,19950404,54,54,53.5,53.5,200,0
FUJITSICIM,19950407,58.5,59,57.5,58,2600,0
FUJITSICIM,19950410,58.75,59,57.5,57.5,5350,0
FUJITSICIM,19950417,59,59,56.5,57,2400,0
FUJITSICIM,19950418,55,55,53.5,53.5,950,0
FUJITSICIM,19950419,55,55,53,53,1900,0
FUJITSICIM,19950420,52,52,51,51,200,0
FUJITSICIM,19950424,51,51,50.5,50.5,650,0
FUJITSICIM,19950425,51,51,48,48.25,500,0
FUJITSICIM,19950426,47,47,47,47,200,0
FUJITSICIM,19950427,48.25,48.25,47,47,400,0
FUJITSICIM,19950428,44,44,44,44,500,0
FUJITSICIM,19950502,41,42.5,41,42.25,700,0
FUJITSICIM,19950503,44.75,46,44.75,46,1500,0
FUJITSICIM,19950508,47.5,47.5,47.5,47.5,500,0
FUJITSICIM,19950509,47,48,47,48,250,0
FUJITSICIM,19950515,43.75,43.75,43.75,43.75,100,0
FUJITSICIM,19950516,42,42,42,42,100,0
FUJITSICIM,19950519,45.5,45.5,45.5,45.5,200,0
FUJITSICIM,19950523,46.95,47,46,47,500,0
FUJITSICIM,19950524,45,45,45,45,500,0
FUJITSICIM,19950525,44.95,44.95,44.95,44.95,100,0
FUJITSICIM,19950526,45,45,45,45,1000,0
FUJITSICIM,19950529,45,45,43.1,43.1,900,0
FUJITSICIM,19950531,44,44,44,44,150,0
FUJITSICIM,19950601,43,43,43,43,100,0
FUJITSICIM,19950602,44,45,44,45,550,0
FUJITSICIM,19950606,49,50,48.6,48.6,2550,0
FUJITSICIM,19950607,50,53,50,52.5,1850,0
FUJITSICIM,19950608,52,52.5,52,52,2400,0
FUJITSICIM,19950609,53,54.5,52,52,3450,0
FUJITSICIM,19950612,50,50,49.25,49.25,2000,0
FUJITSICIM,19950613,49,49,49,49,200,0
FUJITSICIM,19950614,48.5,50,48.5,49.5,2800,0
FUJITSICIM,19950615,50.5,50.5,49,49,1300,0
