SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GANHSGFIN,19960916,44,44,44,44,100,0
GANHSGFIN,19960919,43.5,43.5,39.6,39.6,300,0
GANHSGFIN,19960920,37,37,37,37,200,0
GANHSGFIN,19960925,33.5,33.5,33.35,33.35,200,0
GANHSGFIN,19960926,31,32.9,30.25,30.5,1400,0
GANHSGFIN,19960927,27.5,27.5,27.5,27.5,200,0
GANHSGFIN,19961001,25,29,25,27,9200,0
GANHSGFIN,19961010,29,29,29,29,100,0
GANHSGFIN,19961017,30,30,30,30,9000,0
GANHSGFIN,19961023,30,30,30,30,2000,0
GANHSGFIN,19961101,30,30,30,30,9000,0
GANHSGFIN,19961118,30,30,30,30,10000,0
GANHSGFIN,19961126,29.9,29.9,29.9,29.9,8000,0
GANHSGFIN,19961203,30,30,30,30,10000,0
GANHSGFIN,19961216,30,30,30,30,10000,0
GANHSGFIN,19961231,30.15,30.15,30.15,30.15,7000,0
GANHSGFIN,19970128,27.3,27.3,27.3,27.3,100,0
GANHSGFIN,19970221,30,30,30,30,100,0
GANHSGFIN,19970407,27,27.05,27,27.05,3000,0
GANHSGFIN,19970409,24.35,24.35,24.35,24.35,5100,0
GANHSGFIN,19970421,22,22,22,22,100,0
GANHSGFIN,19970422,20,20,20,20,100,0
GANHSGFIN,19970423,18,18,18,18,100,0
GANHSGFIN,19970424,19,19,18.95,19,9100,0
GANHSGFIN,19970425,19,19,17.25,19,2100,0
GANHSGFIN,19970428,19,19,19,19,600,0
GANHSGFIN,19970430,18.9,18.9,18.9,18.9,5000,0
GANHSGFIN,19970508,18,18,18,18,100,0
GANHSGFIN,19970512,17.05,17.05,17.05,17.05,100,0
GANHSGFIN,19970513,15.5,15.5,15.5,15.5,100,0
GANHSGFIN,19970515,14,14,14,14,100,0
GANHSGFIN,19970521,12.65,12.65,12.65,12.65,100,0
GANHSGFIN,19970526,12.95,12.95,12.95,12.95,5100,0
GANHSGFIN,19970707,12.9,12.9,12.9,12.9,100,0
GANHSGFIN,19970731,12.9,12.9,12.9,12.9,100,0
