SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GATI,20061010,95,110.4,93.25,107.7,598700,0
GATI,20061011,109,111.6,100.55,102.25,455049,0
GATI,20061012,102,103.95,97.1,100.4,188149,44339
GATI,20061013,100.4,104,99.15,99.95,97470,0
GATI,20061016,99.95,101.9,96.6,97.6,29732,17311
GATI,20061017,99,99,93,93.9,30387,17378
GATI,20061018,94.9,95.8,92.15,92.85,28750,16442
GATI,20061019,95.7,95.7,91.75,92.4,13970,11449
GATI,20061020,94,94,91.5,93.1,15661,0
GATI,20061021,92,95.5,92,95.15,9611,0
GATI,20061023,92.8,95.85,91,92.65,16065,0
GATI,20061026,94.4,95.5,91.3,91.65,14486,0
GATI,20061027,92.65,93.7,90.25,91,19545,0
GATI,20061030,91,91,87.55,88.2,17786,0
GATI,20061031,89.5,89.5,87.2,88.15,13765,0
GATI,20061101,89.3,95.1,88.5,90.9,38989,0
GATI,20061102,90,93,90,90.8,16745,0
GATI,20061103,91.5,92,89.55,91.15,24170,0
GATI,20061106,91.1,92.5,90.6,91.55,16995,0
GATI,20061107,92.6,95,91.5,92.6,47646,0
GATI,20061108,92,92.85,90.15,91.25,18850,0
GATI,20061109,91.6,92.4,89.5,89.85,6337,0
GATI,20061110,89.75,90.5,87.1,87.9,13241,9998
GATI,20061113,90.95,103,90.95,99.7,348524,100864
GATI,20061114,101,102.9,94.5,95.1,215869,66922
GATI,20061115,94.55,95.7,93.2,93.9,66431,35520
GATI,20061116,94.4,98.9,91.65,93.45,66099,14654
GATI,20061117,95.3,95.9,89.5,91.15,32246,18951
GATI,20061120,90.15,96.9,87.9,95.1,72801,27272
GATI,20061121,94.85,98.5,93,95.95,96667,65726
GATI,20061122,96,96.85,93.5,93.9,57834,50561
GATI,20061123,94,94,92.2,92.7,57557,50970
GATI,20061124,94.95,109.4,94.95,96.45,294815,0
GATI,20061127,97.25,97.25,93,93.55,77402,0
GATI,20061128,90.05,101,90.05,93.9,304895,0
GATI,20061129,94,97.85,93.55,94.1,117830,0
