SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GEECEE,20100305,90.8,92.8,90.8,91.7,9621,7402
GEECEE,20100308,93.5,93.5,91.3,91.65,10123,8261
GEECEE,20100309,91.15,91.5,90.8,91.05,11533,7957
GEECEE,20100310,91.2,91.9,91,91.35,12658,10357
GEECEE,20100311,91.9,91.9,91.15,91.2,14264,9954
GEECEE,20100312,91.05,93.25,90.55,91.8,42389,20376
GEECEE,20100315,91.05,92.7,90.65,90.85,10499,8808
GEECEE,20100316,90.35,90.75,90.25,90.45,9557,8782
GEECEE,20100317,91,91,89.05,89.95,22668,18459
GEECEE,20100318,90,91.8,89.05,91,22397,13738
GEECEE,20100319,91,91.5,90,90.15,96625,73059
GEECEE,20100322,90,90,89.05,89.7,3137,2473
GEECEE,20100323,89.25,89.75,88.05,89.6,27619,18989
GEECEE,20100325,90.95,90.95,88.25,88.75,22478,20116
GEECEE,20100326,88.8,89,87.5,87.7,30688,27919
GEECEE,20100329,88.25,89,87.1,87.35,17713,17153
GEECEE,20100330,89.9,90,87.25,87.85,26783,23147
GEECEE,20100331,89.9,90,88.05,88.8,41280,0
GEECEE,20100401,89.8,92.8,89.15,91.6,130378,0
GEECEE,20100405,92.5,93.4,92,93.2,44585,40646
GEECEE,20100406,93,93.4,92.6,93.15,39148,0
GEECEE,20100407,93.4,93.4,92.5,92.65,30777,25945
GEECEE,20100408,91.5,93,91.05,92.95,32253,31255
GEECEE,20100409,92.95,93.15,92.5,92.75,39736,0
GEECEE,20100412,92.25,93,91.3,91.55,14039,0
GEECEE,20100413,91.75,91.75,90.25,91.05,57852,55005
GEECEE,20100415,91,93,89.1,92.5,53475,47625
GEECEE,20100416,91.55,93,88.5,90.05,22915,0
GEECEE,20100419,94,94,84,86.55,13826,0
GEECEE,20100420,88.8,92,87,87.65,6696,2954
GEECEE,20100421,88.5,89.3,86,86.55,6691,5060
GEECEE,20100422,88.45,88.5,86.2,86.7,5324,4277
GEECEE,20100423,87.5,89,86.1,87.2,3097,2051
GEECEE,20100426,88.85,90,81.55,86.65,5463,2407
GEECEE,20100427,87.25,87.5,86,86.2,1582,1113
GEECEE,20100428,86.5,86.8,84.6,84.95,4509,3109
GEECEE,20100429,84.05,86.5,81.9,82.4,6728,5682
GEECEE,20100430,84.05,84.05,79.1,80.35,15124,0
GEECEE,20100503,81,85,75.8,76.45,28955,24013
GEECEE,20100504,75,75,70.3,71.8,66077,55929
GEECEE,20100505,71.25,71.95,64.1,71.75,31578,22041
GEECEE,20100506,72,74.4,71.5,73.1,7743,4478
GEECEE,20100507,71.2,73.45,71,71.7,4107,3062
GEECEE,20100510,73,74.3,70.5,71.55,6431,4138
GEECEE,20100511,70.35,74,70.3,71.75,3280,0
GEECEE,20100512,71,72.45,70.2,70.7,3025,2554
GEECEE,20100513,71.6,71.6,70.35,70.95,5281,0
GEECEE,20100514,71.9,72.15,70.25,70.35,13759,12796
GEECEE,20100517,69,69.5,67.4,69.15,14027,12744
GEECEE,20100518,68.5,68.7,67.25,68.2,3515,3132
GEECEE,20100519,68.5,68.5,67,67.35,4966,3898
GEECEE,20100520,68.5,69.35,67,67.4,3784,2651
GEECEE,20100521,66.8,68.95,64.5,66.85,16353,6920
GEECEE,20100524,68,69.5,66.75,67.3,6005,3886
GEECEE,20100525,66,67.95,65,66.05,7014,5978
GEECEE,20100526,70,70,66.2,66.65,11811,9169
GEECEE,20100527,67.3,69.7,65.1,67,32210,20820
GEECEE,20100528,68,68.9,59.35,65.95,77204,26927
GEECEE,20100531,67.5,67.5,63.05,63.95,22956,15833
GEECEE,20100601,63.5,64.3,62.65,62.95,14648,12993
GEECEE,20100602,62.35,64.25,62.3,63.65,1843,1479
GEECEE,20100603,62,63.65,61,61.45,21204,16188
GEECEE,20100604,63,71.9,62,67.05,375890,49038
GEECEE,20100607,70,70,63.1,64.95,28218,13478
GEECEE,20100608,64.75,66,63.7,64.15,6065,4044
GEECEE,20100609,64.05,65.3,63.5,63.9,13988,7713
GEECEE,20100610,63.65,65.45,63.3,64.05,5941,3318
GEECEE,20100611,65.05,65.05,63,63.55,8231,6121
GEECEE,20100614,64,67.25,62.7,64.65,34933,9488
GEECEE,20100615,63.6,65.8,63.6,65.35,6617,5396
GEECEE,20100616,64.5,66,64.5,64.7,8728,8220
GEECEE,20100617,64.5,65.35,64.3,64.4,2738,2170
GEECEE,20100618,64,65.5,63.7,64.95,8118,6256
GEECEE,20100621,66.1,66.1,63.3,63.55,12721,9652
GEECEE,20100622,63.55,64.75,63.45,63.75,3701,3088
GEECEE,20100623,63,64.7,62.6,63.2,13063,7837
GEECEE,20100624,63.2,64.4,63,63.6,8494,5010
GEECEE,20100625,62.6,64.85,62.6,62.9,4974,3182
GEECEE,20100628,63.5,63.7,62.8,63.15,11044,8329
GEECEE,20100629,67.15,67.15,62.9,63.4,11164,7579
GEECEE,20100630,62.5,63.7,62.5,62.8,5959,4709
GEECEE,20100701,62.9,63.9,62.6,63.45,3561,2921
GEECEE,20100702,64.9,66.95,63.7,64.5,37882,15484
GEECEE,20100705,66.95,66.95,64.1,65.25,5207,4466
GEECEE,20100706,67.35,67.35,64.05,64.2,3757,2458
GEECEE,20100707,64.9,64.9,63.1,63.5,6957,6087
GEECEE,20100708,65,65,63.75,63.85,2083,1322
GEECEE,20100709,65.2,65.2,63.5,64.35,11857,7853
GEECEE,20100712,62,64.5,62,64.3,6421,4967
GEECEE,20100713,64.5,66.5,64,65.05,19397,8446
GEECEE,20100714,65,65.8,64.4,64.5,7667,4960
GEECEE,20100715,64.05,65.45,62.85,64.85,3302,2463
GEECEE,20100716,64.55,65.15,64,64.2,7521,6027
GEECEE,20100719,64.8,64.9,63.5,63.85,4567,4233
GEECEE,20100720,63.85,64.45,63.6,63.6,2561,2117
GEECEE,20100721,64.25,64.5,63.65,64.1,3925,2416
GEECEE,20100722,64.8,65.65,63.45,64.3,9290,4751
GEECEE,20100723,64.05,64.9,63.6,64.5,2684,1714
GEECEE,20100726,64,64.5,63.5,63.8,2991,2684
GEECEE,20100727,64.3,64.3,63.65,63.95,4379,4127
GEECEE,20100728,64.5,67.4,64.1,64.35,46789,14669
GEECEE,20100729,65,66.5,64.05,64.55,3737,3140
GEECEE,20100730,66.4,66.4,63.6,63.75,6463,5724
GEECEE,20100802,63.25,64.25,63.25,64.05,5304,4894
GEECEE,20100803,64.05,64.4,63.55,63.75,3247,2370
GEECEE,20100804,63.7,64.1,62.55,63.05,7206,6687
GEECEE,20100805,62.8,63.7,62.05,62.65,17988,11210
GEECEE,20100806,62.75,65.4,62.65,65.1,30152,23523
GEECEE,20100809,65,67,65,66.6,22945,15830
GEECEE,20100810,66,69.8,65.65,67.95,69905,29932
GEECEE,20100811,68.65,68.65,67.1,67.5,6159,4911
GEECEE,20100812,66.7,67.9,65.55,66.1,8523,7081
GEECEE,20100813,66.8,66.95,65.6,66.5,7095,4467
GEECEE,20100816,66,66.9,65.05,65.15,5916,3227
GEECEE,20100817,65.15,67.45,65,65.2,6701,4432
GEECEE,20100818,65.8,65.8,64.6,64.95,8890,5142
GEECEE,20100819,64.65,66.2,63.7,64.1,10377,9541
GEECEE,20100820,64.9,65.4,64,64.15,14362,9992
GEECEE,20100823,64.9,64.9,63.9,64.35,6735,4420
GEECEE,20100824,64,64.85,63,64.45,10695,5446
GEECEE,20100825,63.6,63.6,62.65,62.85,20520,19133
GEECEE,20100826,62.35,63,61.7,62.2,4654,2990
GEECEE,20100827,63,65.2,61.05,61.6,6439,3843
GEECEE,20100830,61.15,62.5,59.2,59.7,15014,11888
GEECEE,20100831,59.4,59.75,57.2,58.3,7108,5314
GEECEE,20100901,61.7,61.85,57.6,61.5,40338,36746
GEECEE,20100902,61.75,61.9,61,61.2,30545,21011
GEECEE,20100903,61.5,63.8,60.6,63.05,15363,8476
GEECEE,20100906,63.05,65.45,63.05,65,15988,13180
GEECEE,20100907,64.7,65.95,64.5,65.5,35910,31251
GEECEE,20100908,64.5,66.8,63.2,65.75,33760,23525
GEECEE,20100909,65,67.35,65,67.2,13297,12394
GEECEE,20100913,67.25,70.05,67,68.35,48348,28865
GEECEE,20100914,67.7,69.7,67.5,68.45,75785,19313
GEECEE,20100915,68.4,68.95,68,68.4,7358,4811
GEECEE,20100916,68.2,69.1,66.5,67,43372,28017
GEECEE,20100917,67.9,68.7,66.8,67.75,16658,13170
GEECEE,20100920,67.7,67.9,67.05,67.15,3524,3050
GEECEE,20100921,68.6,68.6,66.1,66.6,13873,7732
GEECEE,20100922,66.2,67.4,65.5,66,7059,6343
GEECEE,20100923,65.5,67.45,64.35,65.35,26028,13483
GEECEE,20100924,64.05,67.5,64.05,65.4,36844,17221
GEECEE,20100927,65.2,66.8,65.1,65.55,22173,10716
GEECEE,20100928,65.5,65.6,64.1,64.2,5370,4664
GEECEE,20100929,64.25,66.5,64.2,65.1,6536,2972
GEECEE,20100930,64.25,66.4,64.25,64.85,29601,19189
GEECEE,20101001,63.7,65.95,63.7,64.9,4222,3653
GEECEE,20101004,65.9,65.95,64.25,64.55,13952,6940
GEECEE,20101005,64.6,65.9,64.1,64.95,10073,4479
GEECEE,20101006,64.5,65.45,64.25,65.3,3790,3085
GEECEE,20101007,64.2,65.8,64.15,64.25,17952,9758
GEECEE,20101008,64.55,65.95,64.5,64.55,20578,12237
GEECEE,20101011,64.9,65.5,64.5,64.65,2646,0
GEECEE,20101012,64.5,65.65,63.75,64.35,14966,0
GEECEE,20101013,64.35,64.45,62,62.85,27090,0
GEECEE,20101014,63.2,64.4,63.1,63.7,3519,0
GEECEE,20101015,63.5,64.25,62.3,63.05,12015,0
GEECEE,20101018,63.25,63.25,62.05,63,4955,0
GEECEE,20101019,64.45,64.45,62.9,63.65,2741,2304
GEECEE,20101020,62.6,64.25,62.6,63.9,3213,0
GEECEE,20101021,63.8,64.45,63,63.95,4995,0
GEECEE,20101022,63.1,63.5,62,62.45,6531,6082
GEECEE,20101025,62.1,64.95,62.1,63.55,22054,6587
GEECEE,20101026,63.5,64.5,62.65,62.95,6975,3133
GEECEE,20101027,64,64,62.7,63,13194,7177
GEECEE,20101028,63.3,63.45,61.45,62.6,32419,32239
GEECEE,20101029,60.7,62.9,60.7,62.8,10579,4931
GEECEE,20101101,61.75,63.35,60.05,62.05,5742,3552
GEECEE,20101102,60.75,61.85,60.7,61.3,1497,0
GEECEE,20101103,61.05,62.4,60.85,61.45,16396,0
GEECEE,20101104,61,61.45,60.75,61,2391,2085
GEECEE,20101105,63.9,63.9,61,61.5,906,666
GEECEE,20101108,61,62,60.6,61.15,4527,3841
GEECEE,20101109,61.35,62.4,60.55,61.9,7548,0
GEECEE,20101110,60.6,62.95,60.6,61.9,7181,0
GEECEE,20101111,61.8,62.45,60.85,61.75,14223,11637
GEECEE,20101112,61,62.5,61,61.25,18955,0
GEECEE,20101115,61.25,61.95,61,61.15,1431,1147
GEECEE,20101116,61,61.8,60,60.15,21331,12037
GEECEE,20101118,59.55,60,59.05,59.2,4340,3793
GEECEE,20101119,58.6,59.95,57.6,59.05,9989,2536
GEECEE,20101122,58.25,59.8,57.7,58.95,10879,0
GEECEE,20101123,58.85,59,57,57,16668,11424
GEECEE,20101124,57,58.45,57,57.95,12512,2212
GEECEE,20101125,57.1,57.85,55.2,55.75,1730,1543
GEECEE,20101126,55.8,55.8,46,54.55,7419,5473
GEECEE,20101129,52.05,54,52.05,53,2657,2273
GEECEE,20101130,51.1,56.3,51.1,55.5,2483,0
GEECEE,20101201,55.5,56.4,53.5,55.2,13204,7134
GEECEE,20101202,54.5,57.9,54.5,57.15,84708,82939
GEECEE,20101203,55,57,55,55.1,1175,857
GEECEE,20101206,54.15,55.45,54.15,55.1,1738,1617
GEECEE,20101207,54.1,54.7,52.55,52.95,3817,2106
GEECEE,20101208,52.2,53.9,51.7,53.2,6197,3526
GEECEE,20101209,52.95,52.95,50.25,50.45,1741,1623
GEECEE,20101210,50.5,51.5,49.25,50,2531,0
GEECEE,20101213,53.45,53.45,48.5,52.05,5590,4826
GEECEE,20101214,50.1,52.5,50.1,52,1647,1437
GEECEE,20101215,51.4,52,50.25,51.05,3737,3332
GEECEE,20101216,48,53.5,48,52.5,2574,1953
GEECEE,20101220,50,53.9,50,51.5,1718,1686
GEECEE,20101221,52.5,53,51.55,51.9,1865,1122
GEECEE,20101222,51.2,53.5,51.2,53.05,11431,5673
GEECEE,20101223,53.5,53.5,52.15,52.5,2372,2357
GEECEE,20101224,51.5,53.5,50.6,52.75,537,397
GEECEE,20101227,51.65,52.5,51.65,52.5,1994,1225
GEECEE,20101228,52.85,53.35,52.35,52.35,896,792
GEECEE,20101229,54.8,54.8,52.15,52.25,4014,2690
GEECEE,20101230,51.55,52.9,51,51.4,20408,11500
GEECEE,20101231,51.6,52.65,51.6,52.55,1258,1106
GEECEE,20110103,52,52.4,51.5,51.9,4476,4162
GEECEE,20110104,52,53.4,52,53,7215,4184
GEECEE,20110105,53.4,53.45,52,52.5,1067,936
GEECEE,20110106,52.5,54.4,52,52.65,26982,10251
GEECEE,20110107,52.65,54,51.6,52.4,3012,2293
GEECEE,20110110,52.5,52.5,50.2,51.25,2938,2517
GEECEE,20110111,50.3,53.4,50.3,52.55,10983,4612
GEECEE,20110112,51.6,51.95,50.5,51.25,1588,1152
GEECEE,20110113,50.9,51.6,49.85,50,10850,8931
GEECEE,20110114,49.55,51.1,48.75,50.1,10461,6526
GEECEE,20110117,48.75,49.65,47.25,48.25,3286,3002
GEECEE,20110118,48.35,49.85,47.15,48.5,9486,3632
GEECEE,20110119,48.45,49.8,48.45,49,1280,876
GEECEE,20110120,48.55,49,47.7,49,3204,2902
GEECEE,20110121,49,49.7,48.35,48.5,316,58
GEECEE,20110124,47,50.5,47,47.8,852,789
GEECEE,20110125,48,48.6,47.5,48.6,5520,5492
GEECEE,20110127,48.8,48.8,47.1,47.7,22177,21620
GEECEE,20110128,47.1,48.6,46,46.15,38625,27182
GEECEE,20110131,47,47,45.05,46.25,4611,4162
