SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GEPIL,20160914,574,579,556.8,560.4,17529,13591
GEPIL,20160915,559.9,570,559.85,565.85,5402,3491
GEPIL,20160916,570.05,575,563,568.25,11980,0
GEPIL,20160919,569.05,575.85,557.5,560.55,22435,21053
GEPIL,20160920,579.8,579.8,556.05,558.4,3163,0
GEPIL,20160921,567.4,577.45,561.75,571.05,6565,0
GEPIL,20160922,578.6,580.45,568,570.6,9550,0
GEPIL,20160923,572,580,566,575.8,4239,2939
GEPIL,20160926,574.8,581,568,577.2,11716,10673
GEPIL,20160927,572.05,581.9,563,569.85,6265,5125
GEPIL,20160928,569,577.45,561.5,569.05,10781,9444
GEPIL,20160929,566.1,575.5,551.15,555.15,5340,4446
GEPIL,20160930,555.05,566.45,549.75,550.7,6012,4715
GEPIL,20161003,555.05,561,543.95,547.8,13795,0
GEPIL,20161004,557.95,557.95,541.75,542.95,7867,6169
GEPIL,20161005,541.85,546,538.25,538.85,48276,46956
GEPIL,20161006,545,552,537.05,539.4,14126,11388
GEPIL,20161007,542,543.95,532.9,542.35,10673,5797
GEPIL,20161010,538.5,542,528,532.7,14695,9378
GEPIL,20161013,533,538,521.05,524,13378,0
GEPIL,20161014,534.85,534.85,516,517,8088,0
GEPIL,20161017,511,517.95,511,512.5,6560,4960
GEPIL,20161018,513,527.9,504,508.3,10508,6987
GEPIL,20161019,514,519.75,495.05,499.1,45761,37027
GEPIL,20161020,515.9,515.9,501,505.95,26184,0
GEPIL,20161021,511.5,515,501.05,508.6,6166,4459
GEPIL,20161024,511,519,505.05,512.2,48598,47495
GEPIL,20161025,507.5,518.95,498.5,510.95,53578,0
GEPIL,20161026,512,515,508.95,513.5,12695,0
GEPIL,20161027,508,515.9,508,510.5,3870,0
GEPIL,20161028,508.15,515,508.15,513.45,2934,2306
GEPIL,20161030,514.95,522.9,510.2,515.9,3526,2562
GEPIL,20161101,523.95,534.8,516.05,532.05,6997,4771
GEPIL,20161102,532.05,534,520,521.8,6815,5479
GEPIL,20161103,527.95,528,511.1,511.9,5928,5045
GEPIL,20161104,512.15,519.5,503,507.75,3713,0
GEPIL,20161107,519,519,498,500.25,9218,0
GEPIL,20161108,501.05,512,498.5,500.7,5841,2894
GEPIL,20161109,495,508,470,492.5,10003,0
GEPIL,20161110,508.95,509,491.05,496.6,2362,1766
GEPIL,20161111,490,496.95,475,483.3,6708,0
GEPIL,20161115,490,490,453,465.2,10042,5581
GEPIL,20161116,465,475,458.45,464.75,5414,3804
GEPIL,20161117,469,477,465,470.6,4868,4216
GEPIL,20161121,460,467.5,450,451.4,13374,11525
GEPIL,20161122,451.9,463,435.5,455.7,8750,5964
GEPIL,20161123,451.05,477.95,450.1,477.55,6915,5463
GEPIL,20161124,478,480,462.3,476.8,2289,1779
GEPIL,20161125,479.95,487.5,475.25,485.35,5729,5295
GEPIL,20161128,466,492.95,466,471.5,5283,3453
GEPIL,20161129,474.15,482,463,466.95,3132,1927
GEPIL,20161130,474,474,463.1,469.25,2754,2253
GEPIL,20161201,467.95,485.05,463,477.45,6581,5138
GEPIL,20161202,478,495,464.95,468.8,6479,5127
GEPIL,20161205,465,499.7,464.8,480.2,71115,66182
GEPIL,20161206,489.95,500.05,475,490.2,6770,4919
GEPIL,20161207,491.35,505,491.35,493.7,4556,3073
GEPIL,20161208,503,503,490,490.75,2906,2084
GEPIL,20161209,495.05,499.95,481.65,486.05,5030,3497
GEPIL,20161212,481,493.75,481,487.6,2458,1259
GEPIL,20161213,487.8,494.4,485,488.35,2248,1625
GEPIL,20161214,480.25,490,475.5,479.95,2166,2002
GEPIL,20161215,493.95,493.95,481.2,485.55,2825,1810
GEPIL,20161216,476,490.05,476,482.45,1789,1031
GEPIL,20161219,493,493,474.1,475.1,2983,2162
GEPIL,20161220,479,479,465,467.15,3446,2839
GEPIL,20161221,467.2,470,465.55,467.4,1493,1188
GEPIL,20161222,466,466.8,457.15,459.4,1191,771
GEPIL,20161223,458.95,473,455.05,467.9,3528,2107
GEPIL,20161226,458,465.4,451,456.35,1936,1164
GEPIL,20161227,457,463.9,452.55,461.7,1770,1462
GEPIL,20161228,473.95,473.95,455,455.6,3287,0
GEPIL,20161229,455,463.9,447.1,456.45,2123,0
GEPIL,20161230,470,483.9,470,478.45,20584,0
GEPIL,20170102,478,487.9,475,476.4,3399,0
GEPIL,20170103,475.85,509,475.5,503.5,10585,0
GEPIL,20170104,509.5,525,506.05,520.25,6364,0
GEPIL,20170105,520.25,525,511,518.6,4435,0
GEPIL,20170106,530,547,516.5,520.65,14302,0
GEPIL,20170109,521,558.9,521,551.8,25351,0
GEPIL,20170110,545.1,556.05,531.8,539,5714,0
