SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GESHIPPING,19941107,76.5,76.5,72.5,73,8200,0
GESHIPPING,19941108,74.5,74.5,74,74,300,0
GESHIPPING,19941109,73,73.5,72,72,3700,0
GESHIPPING,19941110,72,73,72,72,1900,0
GESHIPPING,19941111,73.25,73.25,70,71,2000,0
GESHIPPING,19941114,72,72.5,69,69,1600,0
GESHIPPING,19941115,72,72,69.25,70,6500,0
GESHIPPING,19941116,70,72.5,70,71,10000,0
GESHIPPING,19941117,71.5,72,71.5,72,1100,0
GESHIPPING,19941121,71.5,72.25,70.5,70.75,2700,0
GESHIPPING,19941122,71,71,68,69.5,2100,0
GESHIPPING,19941123,70,71,70,70,1900,0
GESHIPPING,19941124,70,70.5,69.75,70,2300,0
GESHIPPING,19941125,70.5,71.25,70.25,70.25,13400,0
GESHIPPING,19941129,70,72,69.5,69.75,8700,0
GESHIPPING,19941130,71,71,69.25,69.5,2100,0
GESHIPPING,19941201,71,71,67.5,68.75,4000,0
GESHIPPING,19941202,69.5,69.5,67.25,69,2600,0
GESHIPPING,19941205,69.5,70,68,69.5,6800,0
GESHIPPING,19941206,69.5,70,67.25,67.25,1800,0
GESHIPPING,19941207,70,70,68,68,8500,0
GESHIPPING,19941208,68.25,69,66,67.5,3200,0
GESHIPPING,19941209,67,70.75,65,70,11200,0
GESHIPPING,19941212,66.5,69,66.5,68.25,11300,0
GESHIPPING,19941213,67,68,65.5,67.5,6200,0
GESHIPPING,19941214,67.5,69.5,67.5,69.5,17700,0
GESHIPPING,19941215,70,70.5,69.25,69.5,3500,0
GESHIPPING,19941216,70,70,69.25,70,2200,0
GESHIPPING,19941219,70,70,69,69,2300,0
GESHIPPING,19941220,69,72,68.7,69,21700,0
GESHIPPING,19941221,70.25,71.1,70.25,70.75,11300,0
GESHIPPING,19941222,70.5,71,69.25,70,7600,0
GESHIPPING,19941223,70.5,70.9,69.75,70.25,11600,0
GESHIPPING,19941226,70.05,70.5,70,70.25,2700,0
GESHIPPING,19941227,69.8,70,68.8,69.5,7800,0
GESHIPPING,19941228,68.25,69.65,68.25,69.65,700,0
GESHIPPING,19941229,70.5,70.5,69.25,69.25,1300,0
GESHIPPING,19941230,70,70,69.5,69.5,1900,0
GESHIPPING,19950102,70,70,68.5,70,6400,0
GESHIPPING,19950103,69,70,69,69.15,3500,0
GESHIPPING,19950104,69.5,69.5,68.5,68.75,2700,0
GESHIPPING,19950105,68.75,69,68.5,68.5,6300,0
GESHIPPING,19950106,68.75,70,68,68.5,6400,0
GESHIPPING,19950109,68,68,66,66.05,2900,0
GESHIPPING,19950110,66.5,66.5,63.5,64.15,2600,0
GESHIPPING,19950111,64,66,62,65,10000,0
GESHIPPING,19950112,65,65,63.5,63.75,22900,0
GESHIPPING,19950113,64,65,63.75,64.9,19300,0
GESHIPPING,19950116,66,67,64.1,65.15,7200,0
GESHIPPING,19950117,65,67,64,64,6700,0
GESHIPPING,19950118,68.5,68.5,64,65.5,4100,0
GESHIPPING,19950119,65,65.5,64.5,64.75,6200,0
GESHIPPING,19950120,65,65.25,63.35,63.35,5100,0
GESHIPPING,19950123,63.5,63.5,61.75,62,6700,0
GESHIPPING,19950124,62,62,58.5,59.75,13100,0
GESHIPPING,19950125,59,62,58,59,30800,0
GESHIPPING,19950127,60,61,59,60.75,18100,0
GESHIPPING,19950130,61,61,60.5,61,13900,0
GESHIPPING,19950131,62,62,61,61.45,11800,0
GESHIPPING,19950201,61.5,62.5,61.25,61.5,8000,0
GESHIPPING,19950202,62,62,60.25,61.45,13200,0
GESHIPPING,19950203,62,62,60.6,61.5,13600,0
GESHIPPING,19950206,62.5,62.5,61,61.4,8000,0
GESHIPPING,19950207,61.5,61.9,60.55,60.55,19300,0
GESHIPPING,19950208,60.5,62,60,60.35,17900,0
GESHIPPING,19950209,61.5,61.5,60,60.35,5400,0
GESHIPPING,19950210,61,61,59.6,60,15900,0
GESHIPPING,19950213,59.5,60,58.5,59.35,6400,0
GESHIPPING,19950214,58.75,59.5,58.5,58.75,4600,0
GESHIPPING,19950215,59.8,60,59.25,59.35,5600,0
GESHIPPING,19950216,60,60,57,57.25,7500,0
GESHIPPING,19950217,56.45,58.5,56.45,57.4,6700,0
GESHIPPING,19950220,57,57.2,55.25,55.75,4500,0
GESHIPPING,19950221,56,56,53,55.15,8900,0
GESHIPPING,19950222,55.25,55.25,53,54.55,20300,0
GESHIPPING,19950223,55.5,58.5,55.5,57.85,20400,0
GESHIPPING,19950224,60.5,62,59,60.25,18600,0
GESHIPPING,19950228,58.25,60,56,56.95,21200,0
GESHIPPING,19950301,59,60,58,59,17000,0
GESHIPPING,19950302,60,62,58.5,58.85,33000,0
GESHIPPING,19950303,59,60,58,58.85,23100,0
GESHIPPING,19950306,59.7,59.95,58.85,58.95,41100,0
GESHIPPING,19950307,58.5,59.2,57.6,58.05,31600,0
GESHIPPING,19950308,59,59.65,57,57.65,45000,0
GESHIPPING,19950309,58.5,59,57,58.2,34500,0
GESHIPPING,19950310,59.75,60,57.5,58.45,38200,0
GESHIPPING,19950313,57.5,57.5,54.1,54.4,84200,0
GESHIPPING,19950314,55.5,56.2,54.25,55.4,90600,0
GESHIPPING,19950315,57,58.5,54.5,55.7,168700,0
GESHIPPING,19950316,55,55,52.5,53.35,60200,0
GESHIPPING,19950320,54,54,51.55,53.15,32200,0
GESHIPPING,19950321,54.5,54.5,51.75,52.1,43100,0
GESHIPPING,19950322,53.5,53.5,51.5,52,57500,0
GESHIPPING,19950323,53.1,53.1,51.9,52,51500,0
GESHIPPING,19950324,52.5,52.5,51.25,51.8,30400,0
GESHIPPING,19950327,53,53,50.9,51.45,20600,0
GESHIPPING,19950328,52.5,53.5,51.8,51.95,50200,0
GESHIPPING,19950329,53,53.5,51.5,52.1,36500,0
GESHIPPING,19950330,52.1,53,50.1,50.6,64000,0
GESHIPPING,19950331,50.9,50.9,49.85,50.8,34100,0
GESHIPPING,19950403,50.9,50.95,50.05,50.65,12700,0
GESHIPPING,19950404,51.5,51.6,50.25,50.75,33600,0
GESHIPPING,19950407,53,53.8,52.5,53.2,19600,0
GESHIPPING,19950410,53,53,51,51.7,19100,0
GESHIPPING,19950411,51.55,52.5,51.25,52.2,11200,0
GESHIPPING,19950412,52.45,52.45,52,52.25,3800,0
GESHIPPING,19950417,52,53.5,51.6,51.8,35400,0
GESHIPPING,19950418,50.5,51.95,50.05,50.3,20500,0
GESHIPPING,19950419,51,51,50.1,50.7,14600,0
GESHIPPING,19950420,50.75,50.75,50.25,50.35,7100,0
GESHIPPING,19950421,50.95,51.25,50.4,51.15,12400,0
GESHIPPING,19950424,50.1,51,50,50.1,15700,0
GESHIPPING,19950425,50.75,50.75,48.65,49.2,25700,0
GESHIPPING,19950426,50,51.25,50,50.1,24200,0
GESHIPPING,19950427,51,51,48.65,48.85,16600,0
GESHIPPING,19950428,49,49.25,47.05,47.35,14700,0
GESHIPPING,19950502,47.75,52.4,44.5,45.85,308000,0
GESHIPPING,19950503,46,50,45.5,49.9,13000,0
GESHIPPING,19950504,50,52,50,51,48200,0
GESHIPPING,19950505,51.75,51.75,50,50.5,22800,0
GESHIPPING,19950508,51,51,49.5,49.6,26800,0
GESHIPPING,19950509,49.9,50.6,49.1,49.95,22600,0
GESHIPPING,19950510,52,52,50,50.25,7900,0
GESHIPPING,19950512,50.5,50.5,48.75,50,11600,0
GESHIPPING,19950515,50,50,48.55,49.05,8900,0
GESHIPPING,19950516,48.25,49,48,48.6,34100,0
GESHIPPING,19950517,49.95,50.25,49.5,50.05,15400,0
GESHIPPING,19950518,50.25,51.25,50,50.4,26500,0
GESHIPPING,19950519,52,52,50.25,50.4,18000,0
GESHIPPING,19950522,50,50.25,49.05,49.5,18700,0
GESHIPPING,19950523,49,49.1,47.5,47.75,28400,0
GESHIPPING,19950524,48,48.75,47.75,47.8,29500,0
GESHIPPING,19950525,47.5,48.25,47,48.05,18400,0
GESHIPPING,19950526,48.95,48.95,47.5,47.95,7300,0
GESHIPPING,19950529,48,48,47,47.1,35900,0
GESHIPPING,19950530,47.5,47.5,46.25,46.45,31000,0
GESHIPPING,19950531,47.25,49,47.25,48.45,33200,0
GESHIPPING,19950601,49.5,52,49.5,51,55300,0
GESHIPPING,19950602,52,52,50,50.15,45700,0
GESHIPPING,19950605,50,50.5,49.15,49.45,15000,0
GESHIPPING,19950606,49.25,50,49,49.6,17700,0
GESHIPPING,19950607,51,51,49,49.45,24400,0
GESHIPPING,19950608,49,49,47,47.3,19100,0
GESHIPPING,19950609,47.35,47.35,46,46.5,31900,0
GESHIPPING,19950612,46.5,47,45.9,46.45,16400,0
GESHIPPING,19950613,46.5,46.5,42.65,45.2,20800,0
GESHIPPING,19950614,46.25,46.5,45.25,46.4,9200,0
GESHIPPING,19950615,46,46.65,45.3,45.5,20200,0
GESHIPPING,19950616,47,47,46,46.55,17500,0
GESHIPPING,19950619,47,48.25,46.25,47.1,11700,0
GESHIPPING,19950620,47.25,47.25,46.1,46.35,58400,0
GESHIPPING,19950621,47.5,48,46.55,47.6,42100,0
GESHIPPING,19950622,47.75,48.5,46.6,47.95,24700,0
GESHIPPING,19950623,48,48,45.7,46.05,16600,0
GESHIPPING,19950626,45.2,46,45,45.75,16900,0
GESHIPPING,19950627,45.5,45.5,44.2,44.85,17900,0
GESHIPPING,19950628,47.25,47.25,45,46.15,15300,0
GESHIPPING,19950629,47,47.25,46.8,46.8,6300,0
GESHIPPING,19950630,46.5,46.65,45.5,45.85,11700,0
GESHIPPING,19950703,45.75,45.75,44.8,45.05,9700,0
GESHIPPING,19950704,45.5,45.5,43.55,44.05,13100,0
GESHIPPING,19950705,45.6,46.45,45.55,45.75,10400,0
GESHIPPING,19950706,45.5,45.6,45.05,45.55,271100,0
GESHIPPING,19950707,45,46.7,45,46.25,7600,0
GESHIPPING,19950710,46.5,46.75,46.15,46.2,13100,0
GESHIPPING,19950711,46.4,47.85,46,47.2,15800,0
GESHIPPING,19950712,48,50,47.25,49.65,48300,0
GESHIPPING,19950713,51,52.5,50.55,52.3,57600,0
GESHIPPING,19950714,52.7,54,52.5,52.95,101700,0
