SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GISOLUTION,20090130,44,50,20.25,32.65,251097,39676
GISOLUTION,20090202,28.3,33.9,26.15,26.15,54636,39762
GISOLUTION,20090203,22.05,22.05,20.95,20.95,21625,21122
GISOLUTION,20090204,16.8,16.8,16.8,16.8,8369,8368
GISOLUTION,20090205,13.45,13.55,13.45,13.45,3661,3649
GISOLUTION,20090206,10.8,10.8,10.8,10.8,34893,28301
GISOLUTION,20090209,9.75,9.75,9.75,9.75,12150,12145
GISOLUTION,20090210,8.8,9.75,8.8,8.8,12151,12135
GISOLUTION,20090211,7.95,9.7,7.95,7.95,208998,103399
GISOLUTION,20090212,7.25,8.5,7.2,7.45,91981,64554
GISOLUTION,20090213,7.45,8.2,7.05,8.2,64868,31455
GISOLUTION,20090216,8.45,8.65,7.9,8.25,66127,40929
GISOLUTION,20090217,8,8.5,8,8.2,21172,16291
GISOLUTION,20090218,8.05,8.2,7.8,7.9,21443,15134
GISOLUTION,20090219,7.95,8,7.5,7.6,5479,4202
GISOLUTION,20090220,7.3,7.65,7.25,7.3,10703,9330
GISOLUTION,20090224,7.1,7.35,6.95,6.95,12482,10582
GISOLUTION,20090225,6.7,7.15,6.6,6.6,14158,10296
GISOLUTION,20090226,6.65,6.75,6.35,6.4,2700,1799
GISOLUTION,20090227,6.4,6.75,6.15,6.4,8119,5443
GISOLUTION,20090302,6.1,6.5,6.1,6.1,1989,1742
GISOLUTION,20090303,6,6,5.8,5.8,14407,14109
GISOLUTION,20090304,5.8,5.95,5.55,5.55,2418,2168
GISOLUTION,20090305,5.3,5.45,5.3,5.3,1675,1575
GISOLUTION,20090306,5.05,5.05,5.05,5.05,2400,2400
GISOLUTION,20090309,4.8,4.8,4.8,4.8,1500,1500
GISOLUTION,20090312,4.6,4.65,4.6,4.6,2013,1912
GISOLUTION,20090313,4.5,4.5,4.4,4.5,4625,4525
GISOLUTION,20090316,4.3,4.5,4.3,4.3,4600,4600
GISOLUTION,20090317,4.3,4.55,4.15,4.3,9823,6718
GISOLUTION,20090318,4.55,4.55,4.3,4.55,4555,4555
GISOLUTION,20090319,4.8,4.8,4.75,4.8,1458,1458
GISOLUTION,20090320,5,5.05,5,5.05,6042,6042
GISOLUTION,20090323,4.8,5.3,4.8,5.25,4419,4260
GISOLUTION,20090324,5.05,5.35,5,5.1,20944,18600
GISOLUTION,20090325,5.1,5.35,4.85,5.05,4473,3912
GISOLUTION,20090326,5.25,5.25,4.8,5.15,6042,5517
GISOLUTION,20090327,5,5.3,5,5.25,728,728
GISOLUTION,20090330,5,5.25,5,5,395,395
GISOLUTION,20090331,4.75,5.2,4.75,4.95,2936,2884
GISOLUTION,20090401,4.9,5.15,4.8,5.05,3002,2972
GISOLUTION,20090402,5,5.25,5,5.05,7301,7287
GISOLUTION,20090406,5.05,5.25,5.05,5.25,2854,2651
GISOLUTION,20090408,5.15,5.55,5,5.1,12446,10170
