SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GLOBABOARD,19950208,26.5,26.5,23,23.75,1800,0
GLOBABOARD,19950209,23.25,23.25,23,23,1300,0
GLOBABOARD,19950210,22,23,22,22,400,0
GLOBABOARD,19950213,23,23,22,22.05,500,0
GLOBABOARD,19950214,23,23,21.75,22,1600,0
GLOBABOARD,19950215,23.5,23.5,21,21.8,1600,0
GLOBABOARD,19950216,20.5,21,19.1,19.55,900,0
GLOBABOARD,19950217,20.5,21.5,20,21.5,1700,0
GLOBABOARD,19950220,21,21,20.5,20.55,1200,0
GLOBABOARD,19950221,21,21.05,21,21,2600,0
GLOBABOARD,19950222,20,21,19.9,20.05,7000,0
GLOBABOARD,19950223,21,21,20,20,2800,0
GLOBABOARD,19950224,20.5,21.25,20.5,21,2800,0
GLOBABOARD,19950228,22,22,21,21,1800,0
GLOBABOARD,19950301,21.05,22,21.05,21.5,2900,0
GLOBABOARD,19950302,22,22.25,21.5,21.7,4600,0
GLOBABOARD,19950303,23.25,23.25,21.75,22,2500,0
GLOBABOARD,19950306,22,23,22,23,1600,0
GLOBABOARD,19950307,22.05,22.05,21,21.5,2200,0
GLOBABOARD,19950308,23,23,21.5,21.9,1800,0
GLOBABOARD,19950309,23.45,24,22.5,22.8,3800,0
GLOBABOARD,19950310,23,23,22.75,22.75,1000,0
GLOBABOARD,19950313,20.1,21,20,21,800,0
GLOBABOARD,19950314,21.1,22.5,21,22.2,2900,0
GLOBABOARD,19950315,23,23,21.25,21.25,8300,0
GLOBABOARD,19950316,21.35,21.95,21.35,21.95,1400,0
GLOBABOARD,19950320,21.05,22,21.05,21.9,3400,0
GLOBABOARD,19950321,21.5,21.5,21.1,21.5,1100,0
GLOBABOARD,19950322,21.75,22.25,21.75,22.15,700,0
GLOBABOARD,19950323,22,22,22,22,1100,0
GLOBABOARD,19950324,22.5,23,22.05,23,1900,0
GLOBABOARD,19950327,22,22,21.25,21.75,13700,0
GLOBABOARD,19950328,21.55,21.8,21.5,21.5,2400,0
GLOBABOARD,19950329,21.95,22,21.5,21.5,4600,0
GLOBABOARD,19950330,21.15,21.75,21.15,21.75,1900,0
GLOBABOARD,19950331,21,22,21,21.45,4100,0
GLOBABOARD,19950403,21,21.45,21,21.45,900,0
GLOBABOARD,19950404,22,22,21,21.1,5200,0
GLOBABOARD,19950407,21.55,22.65,21,21,2600,0
GLOBABOARD,19950410,21,21,20.3,21,1500,0
GLOBABOARD,19950411,20.6,21,20.6,20.7,1300,0
GLOBABOARD,19950412,19.9,21,19.9,21,6400,0
GLOBABOARD,19950417,21,21.5,21,21.25,1600,0
GLOBABOARD,19950418,21.25,21.25,21,21.1,1400,0
GLOBABOARD,19950419,21,21,20.5,21,3200,0
GLOBABOARD,19950420,20.75,20.75,20,20.5,1700,0
GLOBABOARD,19950421,21,21,20,20.05,9100,0
GLOBABOARD,19950424,20.5,20.5,19,19,1200,0
GLOBABOARD,19950425,18,19,18,18,4200,0
GLOBABOARD,19950426,18.75,19,18,18.35,2000,0
GLOBABOARD,19950427,18,18.5,17,17,3300,0
GLOBABOARD,19950428,17.5,17.5,17,17.1,2100,0
GLOBABOARD,19950502,17.25,17.25,16,16,1500,0
