SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GLOBE,20201007,55.65,55.65,53,54.9,822081,0
GLOBE,20201008,57.4,57.6,57.4,57.55,206299,0
GLOBE,20201009,58.1,58.4,57.45,57.45,258829,0
GLOBE,20201012,58.5,58.5,56.5,56.95,118283,0
GLOBE,20201013,56.2,56.2,54.5,54.95,37413,0
GLOBE,20201014,54.55,56.65,53.25,54.1,11815,0
GLOBE,20201015,53.9,56.8,51.4,56.8,324211,0
GLOBE,20201016,57,58,57,57.1,86803,0
GLOBE,20201019,57.2,58.5,55.4,56.4,90396,0
GLOBE,20201020,56.6,57.85,55.5,55.75,74202,0
GLOBE,20201021,56.85,58.5,55.5,58.5,154057,0
GLOBE,20201022,58.45,60.45,56.2,56.95,54806,0
GLOBE,20201023,57,58.6,56.3,56.3,22850,0
GLOBE,20201026,56.6,58.2,55.9,56.1,21158,0
GLOBE,20201027,55.75,58.8,55.3,55.6,14352,0
GLOBE,20201028,56.7,57.35,54.2,54.4,38227,0
GLOBE,20201029,55.05,56.55,52.3,52.65,13763,0
GLOBE,20201030,53.45,54.75,51.05,52.5,25320,0
GLOBE,20201102,53,54.75,50.8,51.45,66511,0
GLOBE,20201103,53.4,54,51,53.8,72719,0
GLOBE,20201104,55.35,55.35,53.75,53.9,8417,0
GLOBE,20201105,53.95,54.35,53.25,53.55,13111,0
GLOBE,20201106,53.75,54.95,52.85,53.05,15839,0
GLOBE,20201109,54.5,55.45,53,53.4,15678,0
GLOBE,20201110,54.35,56.05,54.1,56,23233,0
GLOBE,20201111,55.35,56.95,55.25,55.85,10285,0
GLOBE,20201112,55.55,56.75,55.1,56.05,14157,0
GLOBE,20201113,55.25,57,55.2,56.85,4553,0
GLOBE,20201114,57,57.45,56,56.05,5001,0
GLOBE,20201117,56.5,56.95,55.15,55.95,41755,0
GLOBE,20201118,56.3,56.35,55,55.9,3488,0
GLOBE,20201119,55.95,56.75,54.9,55.4,8748,0
GLOBE,20201120,55.3,56.25,54.75,54.9,7782,0
GLOBE,20201123,55.4,57.6,54,57.6,71440,0
GLOBE,20201124,58.25,58.85,58,58.1,21258,0
GLOBE,20201125,58.75,58.75,57.95,58.25,31301,0
GLOBE,20201126,57.75,58.3,57.5,58,9195,0
GLOBE,20201127,57.7,58.4,56.7,57.25,37986,0
GLOBE,20201201,58,58.95,57.8,58,21161,0
GLOBE,20201202,59,59,58,58.9,19148,0
GLOBE,20201203,58.25,59.9,58,59.4,70696,0
GLOBE,20201204,60,60,58.45,59.45,41315,0
GLOBE,20201207,61.5,63.05,59.95,61.25,45647,0
GLOBE,20201208,60.95,61.3,60.25,61,17140,0
GLOBE,20201209,61.15,63.85,60.1,61.9,52104,0
GLOBE,20201210,60.5,64.5,57,62.5,42759,0
GLOBE,20201211,60.45,63,59,60.45,18664,0
GLOBE,20201214,61.7,62.3,59.4,61.35,7325,0
GLOBE,20201215,61.05,62,61,61.5,45468,0
GLOBE,20201216,61.55,62.9,59.75,61.65,30435,0
GLOBE,20201217,62.9,64,59.85,60.25,169782,0
GLOBE,20201218,60.5,63,60.05,62.45,31410,0
GLOBE,20201221,64,64,61,61.3,21379,0
GLOBE,20201222,61,63.5,55.2,57.7,24630,0
GLOBE,20201223,56,60.4,53.95,58.8,4446,0
GLOBE,20201224,61.35,64.65,55,63.3,109881,0
GLOBE,20201228,66,66,60.1,61.55,12778,0
GLOBE,20201229,61.4,62.65,60.2,60.25,1192,0
GLOBE,20201230,60.2,64,59.7,60.7,9123,0
GLOBE,20201231,60.45,62.55,59.5,60.2,1996,0
GLOBE,20210101,60.5,66.2,59,66.2,152050,0
GLOBE,20210104,67.8,67.8,64,64.95,18550,0
GLOBE,20210105,67,68,64.05,67.2,19575,0
GLOBE,20210106,66.5,67.5,63,63,19337,0
GLOBE,20210107,62.55,64.7,62.55,63.25,6088,0
GLOBE,20210108,64.55,64.6,63,63.15,4505,0
GLOBE,20210111,63.55,63.6,62,62.25,26737,0
GLOBE,20210112,63,63.55,62.35,63.25,1098,0
GLOBE,20210113,63.05,63.65,62,62,6596,0
GLOBE,20210114,62.95,67,62.1,64.3,14074,0
GLOBE,20210115,64.05,64.85,62.9,62.95,1664,0
GLOBE,20210118,62.5,63.65,62,62,3671,0
GLOBE,20210119,63.9,63.95,62,62.4,3104,0
GLOBE,20210120,63.9,66.2,61,65.05,72902,0
GLOBE,20210121,65,66.2,63,64.8,48024,0
GLOBE,20210122,65.5,65.5,62.75,62.85,3348,0
GLOBE,20210125,65.6,65.85,62,62.25,1127,0
GLOBE,20210127,64.45,64.5,61,61.05,17981,0
GLOBE,20210128,62.5,65.85,60.5,60.8,17519,0
GLOBE,20210129,61.35,63,59.4,60.8,18716,0
GLOBE,20210201,60.8,62.9,60.35,60.5,12385,0
GLOBE,20210202,62.6,63,59.5,59.55,2251,0
GLOBE,20210203,61.9,61.9,57.25,59.85,12728,0
GLOBE,20210204,61.95,61.95,58.9,58.9,924,0
GLOBE,20210205,59.2,61.4,56.5,60.9,4332,0
GLOBE,20210208,63.8,63.8,57.9,60.35,3278,0
GLOBE,20210209,61.6,61.6,61.6,61.6,1,0
GLOBE,20210210,58.55,58.55,58.55,58.55,36,0
GLOBE,20210211,58.55,61,55.65,60.2,1076,0
GLOBE,20210212,59.9,61.8,59.1,61.75,814,0
GLOBE,20210215,60,61.75,60,61.75,611,0
GLOBE,20210216,60,62,58.7,61.3,629,0
GLOBE,20210217,61,61,61,61,99,0
GLOBE,20210219,58,60.75,58,60.5,1010,0
GLOBE,20210224,63.35,63.35,62.25,62.25,2,0
GLOBE,20210226,59.95,60,59.95,60,1018,0
GLOBE,20210301,57,62.5,57,57.1,30733,0
GLOBE,20210302,59,59,55,59,38,0
GLOBE,20210303,58.95,58.95,57,57.2,127,0
GLOBE,20210304,57.2,59,54.35,56.2,1619,0
GLOBE,20210305,53.4,58.9,53.4,55,1719,0
GLOBE,20210308,55.35,55.35,55,55,20,0
GLOBE,20210309,53.4,53.4,52.25,52.25,110,0
GLOBE,20210310,49.65,49.65,49.65,49.65,969,0
GLOBE,20210312,47.2,52.1,47.2,51.4,3098,0
GLOBE,20210315,51.1,51.75,51.1,51.5,10033,0
GLOBE,20210316,51,53,48.95,50.9,577,0
GLOBE,20210317,50.5,50.5,50,50.15,3260,0
GLOBE,20210318,47.65,50.15,47.65,50.15,124,0
GLOBE,20210319,50.15,50.15,47.65,50.15,204,0
GLOBE,20210323,47.65,50.15,47.65,50.15,228,0
GLOBE,20210324,47.65,51,47.65,50.3,18579,0
GLOBE,20210325,47.8,50,47.8,50,7,0
GLOBE,20210326,47.5,52.5,47.5,47.5,2026,0
GLOBE,20210330,45.15,49.85,45.15,49.85,50,0
GLOBE,20210331,47.4,49,47.4,49,1882,0
GLOBE,20210401,49,50,46.55,50,413,0
GLOBE,20210405,50,50,50,50,2,0
GLOBE,20210406,48.6,51.7,47.5,51.1,207,0
GLOBE,20210407,49,51.1,49,50.75,251,0
GLOBE,20210408,48.6,50.75,48.6,50.7,21,0
GLOBE,20210409,50.7,50.7,48.2,50.7,332,0
GLOBE,20210412,48.2,48.2,48.2,48.2,385,0
GLOBE,20210413,50.5,50.5,48,50,101,0
GLOBE,20210416,47.5,50,47.5,50,202,0
GLOBE,20210419,47.5,47.5,47.5,47.5,171,0
GLOBE,20210420,47.5,49.85,45.15,46.9,311,0
GLOBE,20210422,44.6,47.4,44.6,47.4,664,0
GLOBE,20210423,47.4,49.75,45.05,49.75,70,0
GLOBE,20210426,47.5,49.55,47.5,49.55,192,0
GLOBE,20210427,47.15,49,47.1,48.95,286,0
GLOBE,20210429,46.6,48,46.55,48,24,0
GLOBE,20210430,48.95,48.95,48.95,48.95,5,0
GLOBE,20210504,46.6,49.75,46.55,49.5,252,0
GLOBE,20210506,49.5,49.5,49.5,49.5,20,0
GLOBE,20210507,47.05,49.95,47.05,49.85,28,0
GLOBE,20210510,49.95,49.95,47.4,48.8,111,0
GLOBE,20210511,48,48,46.4,46.4,1681,0
GLOBE,20210512,46.4,48.7,44.1,44.8,5603,0
GLOBE,20210514,46.95,46.95,42.6,44.2,1527,0
GLOBE,20210517,46,46.35,43.55,45,1813,0
GLOBE,20210518,46.8,47,44.15,46.95,1913,0
GLOBE,20210519,45.05,48.95,44.65,45.25,2658,0
GLOBE,20210520,43.2,47.5,43.2,47.1,1378,0
GLOBE,20210521,49.45,49.45,44.75,48.4,2828,0
GLOBE,20210524,48.4,49.75,46,48.25,754,0
GLOBE,20210525,48.4,49.45,46.3,48.95,321,0
GLOBE,20210526,47,48.9,46.9,47.75,406,0
GLOBE,20210527,47.75,47.75,47,47,106,0
GLOBE,20210528,45.05,47.95,45.05,46.95,112,0
GLOBE,20210531,46.05,49.25,45.05,49,6034,0
GLOBE,20210601,51.4,51.45,50.8,51.45,3557,0
GLOBE,20210602,51,54,49.2,52.7,37879,0
GLOBE,20210603,54,54,52.5,53.15,4962,0
GLOBE,20210604,54,55.8,51.3,55.8,292757,0
GLOBE,20210607,57,58.55,57,58.55,7800,0
GLOBE,20210608,61.45,61.45,61.45,61.45,155781,0
GLOBE,20210609,64.5,64.5,61,64.5,27863,0
GLOBE,20210610,67.7,67.7,67.7,67.7,17479,0
GLOBE,20210611,71.05,71.05,71.05,71.05,21734,0
GLOBE,20210614,74.6,74.6,74.6,74.6,16639,0
GLOBE,20210615,78.3,78.3,78.3,78.3,22153,0
GLOBE,20210616,82.2,82.2,82.2,82.2,34734,0
GLOBE,20210617,86.3,86.3,86.3,86.3,29640,0
GLOBE,20210618,90.6,90.6,90.6,90.6,46540,0
GLOBE,20210621,95.1,95.1,95.1,95.1,7573,0
GLOBE,20210622,99.85,99.85,99.85,99.85,13683,0
GLOBE,20210623,104.8,104.8,104.8,104.8,50138,0
GLOBE,20210624,110,110,110,110,68123,0
GLOBE,20210625,115.5,115.5,113,114.1,53488,0
GLOBE,20210628,119.8,119.8,119.8,119.8,22772,0
GLOBE,20210629,125.75,125.75,125.75,125.75,47218,0
GLOBE,20210630,132,132,132,132,51642,0
GLOBE,20210701,138.6,138.6,138.6,138.6,39847,0
GLOBE,20210702,145.5,145.5,145.5,145.5,18594,0
GLOBE,20210705,152.75,152.75,152.75,152.75,41880,0
GLOBE,20210706,160.35,160.35,160.35,160.35,39916,0
GLOBE,20210707,168.35,168.35,168.35,168.35,47864,0
GLOBE,20210708,176.75,176.75,176.75,176.75,62226,0
GLOBE,20210709,185.55,185.55,185.55,185.55,39336,0
GLOBE,20210712,194.8,194.8,194.8,194.8,32945,0
GLOBE,20210713,204.5,204.5,204.5,204.5,51085,0
GLOBE,20210714,200,200,194.3,194.3,9255,0
GLOBE,20210715,185,185,184.6,184.6,2620,0
GLOBE,20210716,175.4,175.4,175.4,175.4,2973,0
GLOBE,20210719,166.65,166.65,166.65,166.65,13408,0
GLOBE,20210720,158.35,174.95,158.35,174.9,83626,0
GLOBE,20210722,177,183.5,173.85,175.55,100062,0
GLOBE,20210723,181,181,167,175.1,37720,0
GLOBE,20210726,180,183.85,177,183.85,89385,0
GLOBE,20210727,193,193,187.55,193,71288,0
GLOBE,20210728,202.65,202.65,196.9,202.65,75561,0
GLOBE,20210729,212.45,212.75,202.65,212.7,59853,0
GLOBE,20210730,222.95,222.95,202.1,202.1,26398,0
GLOBE,20210802,192.1,212.2,192,192.7,171809,0
GLOBE,20210803,13.45,13.45,13.45,13.45,1712,0
GLOBE,20210804,14.1,14.1,14.1,14.1,4249,0
GLOBE,20210805,14.8,14.8,13.9,14.35,1181748,0
GLOBE,20210806,14.75,15.05,14,14.25,647524,0
GLOBE,20210809,14.6,14.95,14,14.2,519028,0
GLOBE,20210810,14.8,14.8,13.5,13.5,300751,0
GLOBE,20210811,12.85,12.85,12.85,12.85,42329,0
GLOBE,20210812,12.25,12.25,12.25,12.25,61400,0
GLOBE,20210813,11.65,12.85,11.65,12.85,453640,0
GLOBE,20210816,12.25,12.85,12.25,12.25,106745,0
GLOBE,20210817,11.65,11.65,11.65,11.65,78127,0
GLOBE,20210818,11.1,11.1,11.1,11.1,31201,0
GLOBE,20210820,10.55,10.55,10.55,10.55,30633,0
GLOBE,20210823,10.05,10.05,10.05,10.05,29811,0
GLOBE,20210824,9.55,9.55,9.55,9.55,38456,0
GLOBE,20210825,9.1,10,9.1,10,1160662,0
GLOBE,20210826,10.4,10.5,10.15,10.5,80466,0
GLOBE,20210827,11,11,11,11,96669,0
GLOBE,20210830,11.55,11.55,11.55,11.55,137924,0
GLOBE,20210831,12.1,12.1,11.7,12.1,455508,0
GLOBE,20210901,12.65,12.7,11.55,11.95,328590,0
GLOBE,20210902,11.4,12.45,11.4,12,180041,0
GLOBE,20210903,11.5,12.2,11.4,11.6,290668,0
GLOBE,20210906,11.1,12.1,11.05,11.15,444258,0
GLOBE,20210907,10.7,11.45,10.6,10.75,107120,0
GLOBE,20210908,10.25,10.75,10.25,10.45,907004,0
GLOBE,20210909,10.45,10.85,10.05,10.45,189993,0
GLOBE,20210913,10.65,10.85,10.1,10.75,171345,0
GLOBE,20210914,10.55,10.9,10.5,10.8,94617,0
GLOBE,20210915,10.55,11.3,10.3,11.2,355212,0
GLOBE,20210916,11.3,11.75,10.65,11.75,351675,0
GLOBE,20210917,12.3,12.3,12.3,12.3,336787,0
GLOBE,20210920,12.9,12.9,11.75,11.95,270412,0
GLOBE,20210921,12.05,12.5,11.4,12.4,362441,0
GLOBE,20210922,12.4,12.5,11.95,12.1,239750,0
GLOBE,20210923,11.9,12.25,11.7,11.9,884731,0
GLOBE,20210924,12.25,12.25,11.7,11.95,401540,0
GLOBE,20210927,12.1,12.15,11.8,11.95,682334,0
GLOBE,20210928,11.8,12.1,11.8,12,99581,0
GLOBE,20210929,12.05,12.2,11.75,11.85,333357,0
GLOBE,20210930,12,12.2,11.7,12.05,135996,0
GLOBE,20211001,12.05,12.05,11.8,11.9,290876,0
GLOBE,20211004,11.95,12.1,11.8,12,187093,0
GLOBE,20211005,12,12.2,12,12,182565,0
GLOBE,20211006,12,12.25,12,12.05,235896,0
GLOBE,20211007,12.25,12.5,12,12.25,162525,0
GLOBE,20211008,12.3,12.3,12.15,12.2,399392,0
GLOBE,20211011,12.45,12.45,11.9,11.95,592682,0
GLOBE,20211012,11.75,12.5,11.75,12.2,269826,0
GLOBE,20211013,12.45,12.8,12.3,12.65,315058,0
GLOBE,20211014,12.8,13.1,12.1,12.25,210307,0
GLOBE,20211018,12.7,12.85,12.3,12.85,406881,0
GLOBE,20211019,13.25,13.25,12.3,12.55,90512,0
GLOBE,20211020,12.75,12.8,12.4,12.6,998978,0
GLOBE,20211021,13,13.2,12.4,13,434112,0
GLOBE,20211022,13.3,13.65,12.7,13.45,431100,0
GLOBE,20211025,13,13.7,13,13.25,381130,0
GLOBE,20211026,13.2,13.75,13.15,13.4,515419,0
GLOBE,20211027,13.6,14.05,13.55,14.05,1131016,0
GLOBE,20211028,14.1,14.25,13.85,14,931941,0
GLOBE,20211029,13.9,14.45,13.75,13.95,1425650,0
GLOBE,20211101,14.3,14.35,13.85,13.95,479717,0
GLOBE,20211102,14.3,14.6,13.95,14.25,623210,0
GLOBE,20211103,13.85,14.6,13.85,13.9,339367,0
GLOBE,20211104,14.5,14.55,14.25,14.55,573891,0
GLOBE,20211108,14.5,14.5,13.9,14.15,165411,0
GLOBE,20211109,14.3,14.3,13.8,13.9,288108,0
GLOBE,20211110,14.2,14.2,13.8,14.1,73884,0
GLOBE,20211111,14,14.8,13.95,14.8,675846,0
GLOBE,20211112,15,15.15,14.3,14.65,363961,0
GLOBE,20211115,14.65,15,14.35,14.5,150947,0
GLOBE,20211116,14.8,15.2,14.4,14.8,485453,0
GLOBE,20211117,15.45,15.45,14.65,14.7,128019,0
GLOBE,20211118,14.5,15.1,14.35,14.9,506134,0
