SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GLOBLTRUST,19941130,81.25,81.25,76.5,76.5,6200,0
GLOBLTRUST,19941201,77,80,75,75,11700,0
GLOBLTRUST,19941202,75,75.5,72.5,73.75,26600,0
GLOBLTRUST,19941205,72.75,74,72.25,73.25,29100,0
GLOBLTRUST,19941206,73.25,73.75,72.25,73.5,21900,0
GLOBLTRUST,19941207,80,80,69,69.25,56500,0
GLOBLTRUST,19941208,69.75,72,68,71.75,60100,0
GLOBLTRUST,19941209,71,71.25,69.5,71,147400,0
GLOBLTRUST,19941212,71,71,67.5,68,51400,0
GLOBLTRUST,19941213,68,68.25,66,67.75,25200,0
GLOBLTRUST,19941214,68.25,70.75,68.25,70.5,28600,0
GLOBLTRUST,19941215,72.1,74.4,70.25,74,42100,0
GLOBLTRUST,19941216,72,77.5,72,77,55700,0
GLOBLTRUST,19941219,77.15,77.75,75,75.75,24900,0
GLOBLTRUST,19941220,76,77,71.3,72.75,16200,0
GLOBLTRUST,19941221,74.75,74.75,73.5,73.75,30300,0
GLOBLTRUST,19941222,74.25,74.5,73.6,73.75,30200,0
GLOBLTRUST,19941223,74.25,77.75,73.25,74.25,19800,0
GLOBLTRUST,19941226,74.7,74.7,72,72,12400,0
GLOBLTRUST,19941227,72,72.25,71,72,12300,0
GLOBLTRUST,19941228,73.9,73.9,72,72.25,10400,0
GLOBLTRUST,19941229,72.5,73.5,72.5,72.5,2700,0
GLOBLTRUST,19941230,73,73.25,73,73.2,1900,0
GLOBLTRUST,19950102,73.5,74,73.1,74,26000,0
GLOBLTRUST,19950103,74,75,73.5,73.5,29700,0
GLOBLTRUST,19950104,73.95,75,73.75,74.3,43600,0
GLOBLTRUST,19950105,74,74.5,73,74,11300,0
GLOBLTRUST,19950106,73.15,74.25,73,73.3,9700,0
GLOBLTRUST,19950109,72.5,72.5,71,71.2,8600,0
GLOBLTRUST,19950110,72.25,72.25,69.75,70.15,17800,0
GLOBLTRUST,19950111,69.5,70.5,69,70.25,61500,0
GLOBLTRUST,19950112,70,71,68,70.55,23600,0
GLOBLTRUST,19950113,70.5,71.5,70,71.4,17900,0
GLOBLTRUST,19950116,75,75,72.5,73.5,17500,0
GLOBLTRUST,19950117,74.5,74.75,73,73,6900,0
GLOBLTRUST,19950118,74.95,75.5,74,74,5500,0
GLOBLTRUST,19950119,74.5,75.4,74,75.3,19400,0
GLOBLTRUST,19950120,75,75.75,74,75.6,16900,0
GLOBLTRUST,19950123,74,74.05,72,73.25,12800,0
GLOBLTRUST,19950124,70.15,72.5,70.15,72.15,9900,0
GLOBLTRUST,19950125,73.25,73.5,71.5,73,7500,0
GLOBLTRUST,19950127,73.5,74,72.25,73.5,17200,0
GLOBLTRUST,19950130,73.05,75.25,73,75,23800,0
GLOBLTRUST,19950131,75,78,75,77.9,11900,0
GLOBLTRUST,19950201,76,78.25,75,75.85,28300,0
GLOBLTRUST,19950202,75.5,75.75,74.75,75.65,18400,0
GLOBLTRUST,19950203,74.5,76,74.5,75.4,13100,0
GLOBLTRUST,19950206,75,77,75,76.25,9900,0
GLOBLTRUST,19950207,75.25,76.95,75.25,76.15,11500,0
GLOBLTRUST,19950208,75.75,77,75.5,76,5200,0
GLOBLTRUST,19950209,76,77,75.5,76.5,11100,0
GLOBLTRUST,19950210,75.5,76.5,75.25,75.25,6900,0
GLOBLTRUST,19950213,75.5,76,74.75,75.75,10400,0
GLOBLTRUST,19950214,75,76,74.5,74.75,8900,0
GLOBLTRUST,19950215,74.25,74.5,73.25,73.7,6700,0
GLOBLTRUST,19950216,73,74,72,72.45,5100,0
GLOBLTRUST,19950217,72,73,72,72.5,5900,0
GLOBLTRUST,19950220,72,72.5,70.5,71.25,2900,0
GLOBLTRUST,19950221,71.25,71.25,70,70.7,5100,0
GLOBLTRUST,19950222,66.25,69.7,66.25,69.25,5000,0
GLOBLTRUST,19950223,71.5,73.45,71.25,73.15,3900,0
GLOBLTRUST,19950224,74,76.25,74,76.25,12300,0
GLOBLTRUST,19950228,72.5,77.5,72.5,77.5,6700,0
GLOBLTRUST,19950301,77,78,75.5,75.95,6300,0
GLOBLTRUST,19950302,76.25,77,75.25,75.85,5400,0
GLOBLTRUST,19950303,76,77,76,76.15,2000,0
GLOBLTRUST,19950306,77,77,75,76.25,6300,0
GLOBLTRUST,19950307,76.5,76.5,75,76.05,8200,0
GLOBLTRUST,19950308,76,76.25,75.5,75.75,4400,0
GLOBLTRUST,19950309,75.3,75.4,73.5,74.85,10300,0
GLOBLTRUST,19950310,75,76,75,75,10900,0
GLOBLTRUST,19950313,75,75.5,74,74,11000,0
GLOBLTRUST,19950314,74.95,74.95,73.1,73.55,3800,0
GLOBLTRUST,19950315,75.25,76.5,74,74,11900,0
GLOBLTRUST,19950316,71.5,73.9,71.5,73.9,3200,0
GLOBLTRUST,19950320,73,73.5,72,73.35,6000,0
GLOBLTRUST,19950321,73.5,74,72.25,72.45,4900,0
GLOBLTRUST,19950322,73.75,74.45,73.75,74,1900,0
GLOBLTRUST,19950323,74.45,74.5,73.5,74,1900,0
GLOBLTRUST,19950324,74,74.45,73.6,73.95,4900,0
GLOBLTRUST,19950327,73,74,72,73,20500,0
GLOBLTRUST,19950328,75,75,72.35,72.35,9000,0
GLOBLTRUST,19950329,73.75,73.75,72,72,9000,0
GLOBLTRUST,19950330,72.5,73.75,72,72.5,7200,0
GLOBLTRUST,19950331,73,73.25,72.5,73,5600,0
GLOBLTRUST,19950403,72.5,73.6,72,73.6,5100,0
GLOBLTRUST,19950404,72.5,74.5,72.5,73.6,7000,0
GLOBLTRUST,19950407,76,76.45,75,75.15,30100,0
GLOBLTRUST,19950410,76,76,74.25,75.1,42500,0
GLOBLTRUST,19950411,75.5,75.95,75.5,75.85,4900,0
GLOBLTRUST,19950412,75.4,75.9,75.4,75.55,1700,0
GLOBLTRUST,19950417,75.85,77,75.85,76.05,12800,0
GLOBLTRUST,19950418,75.6,76.55,75.6,76.4,6300,0
GLOBLTRUST,19950419,77,77,75,75,39900,0
GLOBLTRUST,19950420,76,76.05,75,75.25,14300,0
GLOBLTRUST,19950421,75,75.95,75,75.5,4000,0
GLOBLTRUST,19950424,75,75.5,74.5,74.5,3100,0
GLOBLTRUST,19950425,74,74,73,73.5,6600,0
GLOBLTRUST,19950426,74.5,74.5,72.25,73,6000,0
GLOBLTRUST,19950427,72.1,73,71.55,72,12000,0
GLOBLTRUST,19950428,71.1,71.1,68,68.5,8000,0
GLOBLTRUST,19950502,71,71,62,63.5,38600,0
GLOBLTRUST,19950503,59.2,61.95,50,59.9,82200,0
GLOBLTRUST,19950504,60,61.5,59.25,60.65,21400,0
GLOBLTRUST,19950505,61.4,63.95,61.25,63,18100,0
GLOBLTRUST,19950508,62.95,65.5,62,65.5,17400,0
GLOBLTRUST,19950509,64.25,68.95,63.5,67.65,28800,0
GLOBLTRUST,19950510,67.75,67.75,64.5,64.7,15000,0
GLOBLTRUST,19950512,63,63.2,61.5,63.2,4700,0
GLOBLTRUST,19950515,63.95,63.95,61.1,61.35,3300,0
GLOBLTRUST,19950516,61.05,62.6,61,62.5,7800,0
GLOBLTRUST,19950517,63,65.55,62.5,65.5,13300,0
GLOBLTRUST,19950518,66,68.95,65,65,3600,0
GLOBLTRUST,19950519,65.5,66.85,65,66,5700,0
GLOBLTRUST,19950522,68,68,65,66,5000,0
GLOBLTRUST,19950523,65,65.95,64.05,64.95,6500,0
GLOBLTRUST,19950524,64.9,66,64.9,65.75,1900,0
GLOBLTRUST,19950525,64.25,65.75,64.25,65.5,3700,0
GLOBLTRUST,19950526,65.7,67,65.7,65.75,5400,0
GLOBLTRUST,19950529,66,66,65,65,3700,0
GLOBLTRUST,19950530,65,67,65,66,2800,0
GLOBLTRUST,19950531,65.5,67.5,65.5,66.95,3200,0
GLOBLTRUST,19950601,67.35,70,67.35,68.45,8800,0
GLOBLTRUST,19950602,69.05,71.5,69,71,6100,0
GLOBLTRUST,19950605,69.5,71,69.05,69.5,5300,0
GLOBLTRUST,19950606,70.5,70.5,69.1,69.3,4100,0
GLOBLTRUST,19950607,71,72.95,70,70,5500,0
GLOBLTRUST,19950608,69.05,69.95,69,69.6,3400,0
GLOBLTRUST,19950609,69.1,69.5,68,69,4700,0
GLOBLTRUST,19950612,69.5,69.5,67.05,67.05,3700,0
GLOBLTRUST,19950613,68,68.1,67.3,67.5,8400,0
GLOBLTRUST,19950614,67.5,68,67,67.25,3800,0
GLOBLTRUST,19950615,67.5,67.5,67,67,2300,0
GLOBLTRUST,19950616,67,68,67,67.5,1700,0
GLOBLTRUST,19950619,69,69.75,67.05,69,5800,0
GLOBLTRUST,19950620,68.05,68.45,68,68,2000,0
GLOBLTRUST,19950621,68.5,69.5,68,68,1300,0
GLOBLTRUST,19950622,68,68.5,67,67,1300,0
GLOBLTRUST,19950623,68,68,66.95,67,1000,0
GLOBLTRUST,19950626,66.5,66.5,64.05,65,2500,0
GLOBLTRUST,19950627,62.5,64.5,62.5,64.5,2100,0
GLOBLTRUST,19950628,63.25,65,63.05,65,3400,0
GLOBLTRUST,19950629,64.25,64.5,64.25,64.3,500,0
GLOBLTRUST,19950630,64.45,64.5,63.55,64,3300,0
GLOBLTRUST,19950703,63.5,64,63.5,63.5,1800,0
GLOBLTRUST,19950704,63,63,61.5,62.55,7000,0
GLOBLTRUST,19950705,65,65,62,62.1,3400,0
GLOBLTRUST,19950706,60.25,62.5,60.25,61.3,1700,0
GLOBLTRUST,19950707,61.1,62.6,61.1,61.5,2500,0
GLOBLTRUST,19950710,62,62.45,62,62,2000,0
GLOBLTRUST,19950711,62.05,63,62.05,62.05,2700,0
GLOBLTRUST,19950712,63,63,62,62.25,2600,0
GLOBLTRUST,19950713,62.7,63.4,62.55,63.05,3300,0
GLOBLTRUST,19950714,63.5,63.95,63.05,63.6,2100,0
GLOBLTRUST,19950717,63.5,66,63.5,64.1,1200,0
GLOBLTRUST,19950718,64.5,65.4,64.5,65.05,1500,0
GLOBLTRUST,19950719,66,66,63,63.75,1700,0
GLOBLTRUST,19950720,64.55,66,64.55,65.15,2300,0
GLOBLTRUST,19950721,65,65,64.25,64.25,1000,0
GLOBLTRUST,19950724,65,65,64,64.55,2600,0
GLOBLTRUST,19950725,64,65.35,64,65.35,3900,0
GLOBLTRUST,19950726,64.5,70,64.5,65.85,2700,0
GLOBLTRUST,19950727,64.75,65.5,63.5,64.4,4800,0
