SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GLODYNE,20071119,232,248,232,234.65,3669,3085
GLODYNE,20071120,234,235,226,227.45,4592,4278
GLODYNE,20071121,205.05,233,205.05,222.35,2764,2446
GLODYNE,20071122,222.2,224.9,211,213.1,8100,7047
GLODYNE,20071123,211.4,238,211.4,218.45,5360,4416
GLODYNE,20071126,212.1,238.9,212.1,227.6,6252,4468
GLODYNE,20071127,224.2,229.95,224.1,225,5767,5632
GLODYNE,20071128,217.4,225,217.4,218.6,971,828
GLODYNE,20071129,175,225,175,220.25,1141,939
GLODYNE,20071130,224.95,225,216,219.8,7305,6768
GLODYNE,20071203,221,224.95,218,222.2,7566,6741
GLODYNE,20071204,212.4,227.65,212.4,219.1,5931,5343
GLODYNE,20071205,203,220,203,215.85,8260,6343
GLODYNE,20071206,215.1,220,202.25,203.55,7566,6839
GLODYNE,20071207,203.5,229,203,208.6,12406,6834
GLODYNE,20071210,195,226,195,215.9,18534,14980
GLODYNE,20071211,212.1,242.5,212.1,235.95,51249,36015
GLODYNE,20071212,200.1,249,200.1,246.95,13514,10367
GLODYNE,20071213,216.5,259,216.5,245.15,19541,15114
GLODYNE,20071214,240,254.75,240,248.45,12875,12032
GLODYNE,20071217,260,280,252,254.15,37952,30610
GLODYNE,20071218,206,260,206,248.8,5704,4574
GLODYNE,20071219,242.1,259,242.1,250.35,6679,4430
GLODYNE,20071220,250.6,288,247.2,280.95,34226,20184
GLODYNE,20071224,253.2,290,253.2,283.45,12878,7236
GLODYNE,20071226,250.4,340.15,250.4,334.1,66834,0
GLODYNE,20071227,270.1,335,270.1,329.05,10644,0
GLODYNE,20071228,344,394.9,321,394.9,83846,0
GLODYNE,20071231,396,423,386,404.4,57574,36036
GLODYNE,20080101,385,439.7,385,425.8,23162,16215
GLODYNE,20080102,405.4,444.7,405.4,421.85,10335,7370
GLODYNE,20080103,405.7,425,405.7,419.9,9037,7018
GLODYNE,20080104,411.3,435,410,416,8566,7146
GLODYNE,20080107,410,428,410,417.9,9756,5689
GLODYNE,20080108,412,418,377.5,389.6,16063,12769
GLODYNE,20080109,371.4,398.2,371.4,392.3,6092,4062
GLODYNE,20080110,380.1,408.95,365,375.65,10868,5977
GLODYNE,20080111,342.2,394.75,342.2,387.15,9763,8481
GLODYNE,20080114,394.75,411.2,380,386.5,17466,12994
GLODYNE,20080115,381.2,390,380,383.6,2608,1654
GLODYNE,20080116,371.5,420,367,415.35,9910,7493
GLODYNE,20080117,416,433.95,400.05,421.05,9974,0
GLODYNE,20080118,422,430,401.25,404.4,9417,0
GLODYNE,20080121,391,395,364,364,4639,0
GLODYNE,20080122,327.6,345,327.6,328.25,2152,0
GLODYNE,20080123,297.9,361.1,297.9,360.5,6237,0
GLODYNE,20080124,325.8,389.9,324.5,330.6,7414,5017
GLODYNE,20080125,322.5,345,322.5,343.75,1263,1079
GLODYNE,20080128,310.3,332,309.4,321.25,3048,2078
GLODYNE,20080129,304,349.95,304,349,3071,2833
GLODYNE,20080130,340,383.9,340,366.75,7952,0
GLODYNE,20080131,345.6,393.9,345.6,388.25,4810,4009
GLODYNE,20080201,350.1,410,350.1,370.8,6011,4531
GLODYNE,20080204,375.1,405.9,375.1,400,8052,5522
GLODYNE,20080205,408,420,401,420,11116,9631
GLODYNE,20080206,400.9,438.95,400.9,435,7793,7084
GLODYNE,20080207,414.5,456.75,414.5,450.4,16261,13092
GLODYNE,20080208,449,468.9,428,434.35,4195,3176
GLODYNE,20080211,428,428,412.75,412.75,3442,2302
GLODYNE,20080212,395,409.95,392.15,392.2,4971,4003
GLODYNE,20080213,374.1,390,372.6,375.05,3459,2438
GLODYNE,20080214,389,393,365,388.4,3184,2590
GLODYNE,20080215,372,407,372,402.65,4987,4376
GLODYNE,20080218,400,404.95,398,400,971,906
GLODYNE,20080219,401,420,401,420,5796,5447
GLODYNE,20080220,403,441,401,425.4,3051,2720
GLODYNE,20080221,432,446.7,432,446.7,9066,8728
GLODYNE,20080222,446.7,458.85,429,439.2,3112,2438
GLODYNE,20080225,422,458.9,417.25,445,7840,4768
GLODYNE,20080226,447.15,466,445,456.3,6147,4822
GLODYNE,20080227,469.6,479,468,472.65,11854,10896
GLODYNE,20080228,460,479,452.15,456.75,3341,2828
GLODYNE,20080229,455,455,443,452.35,1773,1514
GLODYNE,20080303,442,444,429.75,429.8,9726,5265
GLODYNE,20080304,410.25,415.95,408.35,408.35,7108,6488
GLODYNE,20080305,409,409,387.95,398.15,3015,2014
GLODYNE,20080307,378.25,379,378.25,378.25,1695,1619
GLODYNE,20080310,341,404.7,340.45,401.35,14304,10302
GLODYNE,20080311,383,424,383,422.75,3903,3592
GLODYNE,20080312,415.05,442,415.05,433.8,2588,2322
GLODYNE,20080313,392,453.9,392,417.3,3937,2840
GLODYNE,20080314,435,458.9,402.5,450.4,10613,9205
GLODYNE,20080317,435,435,405.4,405.4,2865,2722
GLODYNE,20080318,398.6,398.6,366.9,379.5,5407,4571
GLODYNE,20080319,388,389,341.75,347.6,2504,2231
GLODYNE,20080324,347,347,316.25,334.95,3652,2851
GLODYNE,20080325,368,368.45,341.05,368.45,395,363
GLODYNE,20080326,405,405.3,382.05,405.3,1969,1879
GLODYNE,20080327,395.15,418.5,395.15,406.55,808,689
GLODYNE,20080328,429.95,445,408,439,4767,3387
GLODYNE,20080331,424.9,455,422,453.8,6029,4755
GLODYNE,20080401,438.5,447.5,432,436.2,2037,1446
GLODYNE,20080402,453,454.5,430,437.55,1227,590
GLODYNE,20080403,439,449.75,422.05,425.45,7576,6355
GLODYNE,20080404,425,429,407.05,412.55,856,591
GLODYNE,20080407,430,433.2,415,431.05,2656,2531
GLODYNE,20080408,443,449.75,431.05,446.4,1268,973
GLODYNE,20080409,435.5,468.75,431.2,465.5,5058,4312
GLODYNE,20080410,455,474,450,453.9,6334,3738
GLODYNE,20080411,455,474.9,452,470.55,13088,9409
GLODYNE,20080415,454.05,476,454,470.15,6491,5890
GLODYNE,20080416,471,493.7,471,492.9,23476,21708
GLODYNE,20080417,509.4,517.55,492,517.55,6736,6684
GLODYNE,20080421,517,543,516.15,525.1,52674,45714
GLODYNE,20080422,519,525,499.5,503.2,4462,3252
GLODYNE,20080423,503.95,528,492,515.9,13400,10001
GLODYNE,20080424,519,525,505,518.45,4711,3905
GLODYNE,20080425,523,523,508.05,511.2,582,402
GLODYNE,20080428,512,531,512,525.6,11746,7705
GLODYNE,20080429,532,532,516,529.55,4582,4335
GLODYNE,20080430,516,534.95,504.95,505.35,3833,3336
GLODYNE,20080502,530,530.65,525,530.65,5983,4956
GLODYNE,20080505,554.7,554.7,532.6,549.7,18264,11310
GLODYNE,20080506,555,555,522.25,522.25,1594,1343
GLODYNE,20080507,530,548.4,520,540.7,8258,6301
GLODYNE,20080508,522.1,552.5,522.1,529.75,4427,3488
GLODYNE,20080509,530,544,510,517,9444,5586
GLODYNE,20080512,500,508,470,502.75,6763,3839
GLODYNE,20080513,505,530,502.2,508.4,15426,10070
GLODYNE,20080514,460,518.45,460,506.4,1519,1124
GLODYNE,20080515,524.95,539.5,510,518.55,4988,3336
GLODYNE,20080516,518.55,525,506,520.75,577,517
GLODYNE,20080520,525,561,512,552.25,19941,16725
GLODYNE,20080521,550,574,510.65,562.8,11794,8030
GLODYNE,20080522,546,559,534,537.8,4807,3030
GLODYNE,20080523,525,574,511,513.05,3707,2392
GLODYNE,20080526,510,520,509.4,515.2,7089,6836
GLODYNE,20080527,535,535,491,497.5,11525,10851
GLODYNE,20080528,486,514,486,502.85,2603,2180
GLODYNE,20080529,506.05,515,503,505.6,2686,2039
GLODYNE,20080530,510.5,516,502.2,510.8,714,511
GLODYNE,20080602,520,527,505.05,506.7,8468,7669
GLODYNE,20080603,499,499,480,480.6,384,289
GLODYNE,20080604,475.05,497.25,466.05,466.95,728,529
GLODYNE,20080605,485,509,471.3,506.95,5767,5162
GLODYNE,20080606,511,514.85,502.15,508.75,1847,1454
GLODYNE,20080609,475.2,494.75,473.6,492.45,2310,2096
GLODYNE,20080610,490,492.9,484.2,489.25,2769,2400
GLODYNE,20080611,489,497.5,484.6,490.85,2499,2339
GLODYNE,20080612,462.1,504,462.1,499.75,3392,3058
GLODYNE,20080613,504,509.95,482.05,495.15,1851,1765
GLODYNE,20080616,500,529,500,521.35,5493,5374
GLODYNE,20080617,471,530,471,520.05,6077,5982
GLODYNE,20080618,520,525,509.05,509.85,3406,3061
GLODYNE,20080619,501,501,485,489.9,973,776
GLODYNE,20080620,485,497,475.3,475.9,2146,1846
GLODYNE,20080623,473,473,428.5,450.1,9431,5514
GLODYNE,20080624,447,459.9,410.05,450,3136,2824
GLODYNE,20080625,415,450,411,444.8,779,614
GLODYNE,20080626,440,457,425,444.95,4744,2830
GLODYNE,20080627,430,439.95,426.2,430.1,574,499
GLODYNE,20080630,415,435,387.1,391.15,9708,8401
GLODYNE,20080701,354,398,354,389.25,2038,1547
GLODYNE,20080702,353,405,353,402.9,6055,1306
GLODYNE,20080703,398,409.95,383.15,398.1,325,282
GLODYNE,20080704,381,409.95,381,405.9,1026,592
GLODYNE,20080707,411,429.9,404.5,417,2201,1286
GLODYNE,20080708,400,428,400,415.5,1477,1408
GLODYNE,20080709,415,457.9,397,449.45,4491,2940
GLODYNE,20080710,440,469,432,447.15,7282,5915
GLODYNE,20080711,465,465,420,428.45,514,440
GLODYNE,20080714,380,450,380,405.85,896,521
GLODYNE,20080715,388.3,417.95,388.3,404.95,401,274
GLODYNE,20080716,401,401,381,389.75,714,592
GLODYNE,20080717,389,408.5,381.15,385,940,825
GLODYNE,20080718,384,411.25,381,402.2,4688,4569
GLODYNE,20080721,386.05,423,371,411.05,2240,1262
GLODYNE,20080722,393,410,393,409.95,232,190
GLODYNE,20080723,409.75,465,405,448.85,2979,0
GLODYNE,20080724,448.75,450,416.15,442.95,1805,1690
GLODYNE,20080725,416.2,455,416.2,451.05,7919,7354
GLODYNE,20080728,365.3,464,365.3,459.55,7706,5816
GLODYNE,20080729,459,474,459,466.55,2212,1003
GLODYNE,20080730,465,482.95,457,475.35,6204,3219
GLODYNE,20080731,474,487,466.05,484.3,5695,3868
GLODYNE,20080801,484,534,475,526.75,11905,9395
GLODYNE,20080804,530,580,523.2,569.6,13473,8242
GLODYNE,20080805,564,580,530.15,569.2,6534,3931
GLODYNE,20080806,569,585,551.5,576.65,8185,6298
GLODYNE,20080807,574,592,562.2,586.2,8598,6881
GLODYNE,20080808,570.05,620,570.05,591.1,19532,10664
GLODYNE,20080811,589,613.9,570.55,578.25,3477,2683
GLODYNE,20080812,575,578,565,570.9,4450,3088
GLODYNE,20080813,549,601,549,591.25,13172,7286
GLODYNE,20080814,589,596.9,580,590.85,4833,4439
GLODYNE,20080818,589,623,589,600.85,8329,4347
GLODYNE,20080819,590,612,590,602.25,3886,2802
GLODYNE,20080820,599,606,592,592.7,565,524
