SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GODHA,20201224,36.3,36.3,36.3,36.3,8625,0
GODHA,20201228,38.1,38.1,38.1,38.1,789,0
GODHA,20201229,40,40,37.1,38.65,10535,0
GODHA,20201230,40.45,40.55,38,40.55,6868,0
GODHA,20201231,42.55,42.55,38.6,40.9,8812,0
GODHA,20210101,42.7,42.7,40.4,42.4,834,0
GODHA,20210104,44.25,44.25,40.65,40.7,899,0
GODHA,20210105,40.7,42,40.15,41,1770,0
GODHA,20210106,43,43,39.95,40.2,3796,0
GODHA,20210107,39.2,41.95,38.25,40.95,2896,0
GODHA,20210108,40,42.7,40,40.55,8829,0
GODHA,20210111,40.05,42,39.75,40.7,424,0
GODHA,20210112,38.8,42.4,38.7,39.85,4367,0
GODHA,20210113,41.5,41.5,37.9,37.95,5820,0
GODHA,20210114,36.55,38.3,36.1,37.1,1053,0
GODHA,20210115,38,38,35.25,35.25,1450,0
GODHA,20210118,35.25,36.5,33.5,33.5,341,0
GODHA,20210119,34.2,34.5,33.5,33.7,503,0
GODHA,20210120,34.4,35.35,32.1,35.35,4327,0
GODHA,20210121,37.1,37.1,37.1,37.1,1470,0
GODHA,20210122,38.95,38.95,38.9,38.9,3096,0
GODHA,20210125,40.2,40.75,37,38.5,903,0
GODHA,20210127,39.65,39.65,39.65,39.65,21,0
GODHA,20210128,38.1,39.65,37.7,37.7,229,0
GODHA,20210129,36.95,37,35.85,36.4,54,0
GODHA,20210201,36.35,37,36.35,37,139,0
GODHA,20210202,37,37,35.35,35.55,3,0
GODHA,20210204,35.55,35.55,33.8,35.55,491,0
GODHA,20210205,36.65,36.65,35,35,51,0
GODHA,20210208,36.6,38.5,36.6,38.45,1141,0
GODHA,20210209,42.25,42.25,35,39.95,3797,0
GODHA,20210210,36.75,43.85,36.6,42.05,2314,0
GODHA,20210211,43.25,45,41.4,44.15,3884,0
GODHA,20210212,40.1,45.5,40.1,40.95,2174,0
GODHA,20210215,42.2,44.65,41.1,42.25,2380,0
GODHA,20210216,42.2,43.55,40.3,40.4,1352,0
