SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GOLCRESFIN,19960911,24,24,24,24,1700,0
GOLCRESFIN,19960913,24,24,24,24,300,0
GOLCRESFIN,19960917,24,24,24,24,200,0
GOLCRESFIN,19960918,23,25,23,25,200,0
GOLCRESFIN,19960919,24,24,24,24,100,0
GOLCRESFIN,19960923,25,25,25,25,100,0
GOLCRESFIN,19960924,26,26.5,23,24.25,850,0
GOLCRESFIN,19960925,23.75,23.75,22,22.65,3100,0
GOLCRESFIN,19960926,24.5,24.75,24.5,24.75,500,0
GOLCRESFIN,19960927,22.75,22.75,22.3,22.3,1100,0
GOLCRESFIN,19960930,24,24.5,24,24.5,800,0
GOLCRESFIN,19961001,26.5,26.5,26.5,26.5,100,0
GOLCRESFIN,19961003,28.75,28.75,28.75,28.75,100,0
GOLCRESFIN,19961004,29,29,29,29,200,0
GOLCRESFIN,19961007,30,30,30,30,100,0
GOLCRESFIN,19961008,30,30,30,30,300,0
GOLCRESFIN,19961011,28,32,28,32,1000,0
GOLCRESFIN,19961014,30.5,30.75,30.5,30.75,400,0
GOLCRESFIN,19961015,29.5,29.5,29.5,29.5,100,0
GOLCRESFIN,19961017,27.75,27.75,27.75,27.75,50,0
GOLCRESFIN,19961018,27.8,27.8,27.8,27.8,100,0
GOLCRESFIN,19961022,29,29,29,29,100,0
GOLCRESFIN,19961023,31,31,31,31,100,0
GOLCRESFIN,19961024,30.25,30.25,30.25,30.25,100,0
GOLCRESFIN,19961028,28.6,28.6,28.6,28.6,100,0
GOLCRESFIN,19961029,28.9,28.9,28.9,28.9,50,0
GOLCRESFIN,19961031,28.95,28.95,28.95,28.95,100,0
GOLCRESFIN,19961101,28.9,28.9,28.9,28.9,100,0
GOLCRESFIN,19961104,28.6,28.6,28.6,28.6,100,0
GOLCRESFIN,19961107,29,29,29,29,100,0
GOLCRESFIN,19961113,28.9,28.9,28.9,28.9,100,0
GOLCRESFIN,19961114,27.4,27.4,27.4,27.4,50,0
GOLCRESFIN,19961119,29,29,29,29,300,0
GOLCRESFIN,19961122,26.95,26.95,26.95,26.95,200,0
GOLCRESFIN,19961202,28,28,28,28,100,0
GOLCRESFIN,19961205,28.25,28.25,28.25,28.25,100,0
GOLCRESFIN,19961219,30,30,30,30,200,0
GOLCRESFIN,19961231,28,28,28,28,100,0
GOLCRESFIN,19970101,25.5,25.5,25.5,25.5,100,0
GOLCRESFIN,19970102,25,25,25,25,200,0
GOLCRESFIN,19970103,25,25,25,25,200,0
GOLCRESFIN,19970106,24.5,24.5,24.5,24.5,100,0
GOLCRESFIN,19970116,26,26,25.75,25.75,200,0
GOLCRESFIN,19970117,25,25,25,25,100,0
GOLCRESFIN,19970204,27,27,27,27,200,0
GOLCRESFIN,19970206,27.5,27.5,27.5,27.5,100,0
GOLCRESFIN,19970207,25.7,25.7,25.7,25.7,100,0
GOLCRESFIN,19970217,23.95,23.95,23.95,23.95,100,0
GOLCRESFIN,19970220,22.5,22.5,22.5,22.5,50,0
GOLCRESFIN,19970318,24,24,24,24,100,0
GOLCRESFIN,19970711,10,10,10,10,100,0
GOLCRESFIN,19970730,10.5,10.5,10.5,10.5,25000,0
GOLCRESFIN,19970826,10,10,10,10,100,0
