SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GRAMPHONCO,19950824,37.4,37.4,37.4,37.4,500,0
GRAMPHONCO,19950825,39,39,38,38.1,850,0
GRAMPHONCO,19950828,40.5,40.5,38.25,38.25,800,0
GRAMPHONCO,19950830,38.55,38.55,38.55,38.55,200,0
GRAMPHONCO,19950831,40,40,40,40,1800,0
GRAMPHONCO,19950901,39.9,40,39.5,39.5,1500,0
GRAMPHONCO,19950905,40,40,40,40,800,0
GRAMPHONCO,19950907,40,40.1,40,40,550,0
GRAMPHONCO,19950908,40,40.5,40,40.5,700,0
GRAMPHONCO,19950912,40.25,40.25,40.25,40.25,150,0
GRAMPHONCO,19950913,40.5,41.5,40.5,40.5,176400,0
GRAMPHONCO,19950914,41,41,40.5,40.6,2500,0
GRAMPHONCO,19950915,41,42.5,41,41.5,101700,0
GRAMPHONCO,19950919,40,42.25,40,42,550300,0
GRAMPHONCO,19950920,42.5,43,41.7,41.7,16000,0
GRAMPHONCO,19950921,41.95,42,41,42,450,0
GRAMPHONCO,19950922,40,43,40,42,52100,0
GRAMPHONCO,19950925,43,46,42,42.5,34550,0
GRAMPHONCO,19950926,43,45,39,40,1550,0
GRAMPHONCO,19950929,38.1,38.1,38.1,38.1,50,0
GRAMPHONCO,19951122,35,35,35,35,50,0
GRAMPHONCO,19951213,32,32,32,32,100,0
GRAMPHONCO,19960115,22.5,22.5,22.5,22.5,150,0
GRAMPHONCO,19960116,23.5,23.5,23,23,200,0
GRAMPHONCO,19960123,23,24,23,24,850,0
GRAMPHONCO,19960124,22,22,22,22,50,0
GRAMPHONCO,19960125,21.6,21.6,21.6,21.6,100,0
GRAMPHONCO,19960129,20,20,20,20,100,0
GRAMPHONCO,19960201,21,22,21,22,1400,0
GRAMPHONCO,19960202,22,21,21,21,250,0
GRAMPHONCO,19960205,22.5,22.5,22.05,22.05,1400,0
GRAMPHONCO,19960206,22.5,22.5,22.5,22.5,1100,0
GRAMPHONCO,19960216,24,24.75,24,24.75,1300,0
GRAMPHONCO,19960219,25.5,26,25,26,1000,0
GRAMPHONCO,19960220,27.25,28.3,27.25,28.3,700,0
