SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GRANULES,20050620,116,117,101.25,104.15,34870,11455
GRANULES,20050621,106.3,107.5,104.25,105.45,9572,4359
GRANULES,20050622,105.7,108.9,102,102.85,15949,7208
GRANULES,20050623,104.9,104.9,99,101.7,5993,3611
GRANULES,20050624,102.5,114,102.5,107.3,60965,24752
GRANULES,20050627,109,111.5,106.55,107.7,44155,0
GRANULES,20050628,108,108,103,103.3,17917,0
GRANULES,20050629,103,107,103,106.55,22917,13003
GRANULES,20050630,107.85,109.4,105.3,107.4,22648,10934
GRANULES,20050701,109.9,111,106.3,107.75,29540,14032
GRANULES,20050704,111,111,109.5,110.45,22996,0
GRANULES,20050705,111.5,113,107.5,108.45,46730,0
GRANULES,20050706,110,111,108.55,109.6,12804,6661
GRANULES,20050707,110,111.35,106.15,107.15,18016,0
GRANULES,20050708,108,108.5,106,107.75,9581,0
GRANULES,20050711,101.6,126,101.6,109.05,32145,0
GRANULES,20050712,109.5,111,108.6,109.95,29279,0
GRANULES,20050713,110,120,109.8,115.7,199486,0
GRANULES,20050714,117.5,118.45,113,113.7,76635,40264
GRANULES,20050715,114,115.9,112.7,113.65,41196,28099
GRANULES,20050718,115.85,119.6,114.6,116.5,165008,0
GRANULES,20050719,119,119,112.55,113.6,41318,0
GRANULES,20050720,114,115.5,113.1,114.2,34749,25375
GRANULES,20050721,114.1,115.7,110,110.5,30469,18818
GRANULES,20050722,112,113.8,109.65,110.25,27118,0
GRANULES,20050725,110.65,111.9,108.55,109.15,17700,0
GRANULES,20050726,109,110,106.5,107.55,15579,13417
GRANULES,20050727,109,109.35,107,107.55,7130,5271
GRANULES,20050729,107.35,108.8,101.3,105.7,16150,0
GRANULES,20050801,108.4,125,105,105.8,20131,8060
GRANULES,20050802,110,111,105.7,107.65,21433,0
GRANULES,20050803,107.25,109.7,105.5,106.45,21589,14835
GRANULES,20050804,106.45,108,105.4,106.05,14520,7569
GRANULES,20050805,107,107,103.05,103.75,45394,39579
GRANULES,20050808,104,104,99.25,100.8,43730,26620
GRANULES,20050809,99,103.5,99,101.7,22204,12792
GRANULES,20050810,102.85,104.1,102.5,103.9,18193,15682
GRANULES,20050811,104.4,105.45,103.5,104.3,72145,60807
GRANULES,20050812,105,106,103,103.6,58310,0
GRANULES,20050816,105,105.95,103.1,103.75,63054,59523
GRANULES,20050817,101,111,100,105.85,154305,85439
GRANULES,20050818,107,109.4,102.9,103.35,98825,73250
GRANULES,20050819,104,106.7,103.1,103.8,79276,63983
GRANULES,20050822,105.7,108,102.1,103.05,117448,70791
GRANULES,20050823,103.9,104.3,100.15,101.1,60441,41909
GRANULES,20050824,101.2,102,98.65,100.2,35969,24227
GRANULES,20050825,103.5,103.65,100.25,101.4,16774,9825
GRANULES,20050826,102.3,102.3,100.45,101.25,22166,16404
GRANULES,20050829,101.25,108.85,100.55,103.25,84294,43364
GRANULES,20050830,104.7,114.15,104.7,108.7,269085,100835
GRANULES,20050831,108.75,114,108.75,111.6,203654,90543
GRANULES,20050901,113.3,116,110.6,111.35,135086,67185
GRANULES,20050902,112.65,119.6,111,115.75,432638,139036
GRANULES,20050905,116.8,117.8,113.05,113.7,107699,50765
GRANULES,20050906,115.5,116.95,112.55,113.45,75620,38707
GRANULES,20050908,114.7,117.75,113,115.05,119989,55661
GRANULES,20050909,115.65,116.7,112.15,112.75,61395,20865
GRANULES,20050912,114.5,115,111.55,112.05,43263,22365
GRANULES,20050913,113.5,114.9,111.15,111.95,53837,29021
GRANULES,20050914,112,114.85,108.1,109,84354,37802
GRANULES,20050915,109.7,112.5,109.6,111.15,41512,20730
GRANULES,20050916,112.25,113.5,110.5,111.05,60715,31279
GRANULES,20050919,112,113,110,110.45,47398,27255
GRANULES,20050920,111.4,112,106.75,107.85,49976,29020
GRANULES,20050921,107.1,107.9,100,103.55,50877,25913
GRANULES,20050922,103.9,103.9,93.6,94.75,59239,33380
GRANULES,20050923,96,99.5,94,98.15,59834,28853
GRANULES,20050926,100.65,102,99.1,101.6,21488,12754
GRANULES,20050927,113.9,113.9,100.3,102.5,30435,19312
GRANULES,20050928,102.5,103.35,100.05,101.2,20176,12532
GRANULES,20050929,102.4,102.45,97.2,98.1,56886,27578
GRANULES,20050930,97,97,92.3,94.55,47671,16973
GRANULES,20051003,96,96.7,94,95.85,11459,7548
GRANULES,20051004,96.9,99.85,95.8,98.45,20694,11735
GRANULES,20051005,98,99,96.65,97.25,17714,14248
GRANULES,20051006,95.85,97.5,95,96,9433,6354
GRANULES,20051007,96.5,97.75,93.6,95.5,13933,7187
GRANULES,20051010,96.9,96.9,93.5,93.75,6108,4535
GRANULES,20051011,92.5,95.6,92.1,93.95,11526,9669
GRANULES,20051013,93.9,95,92.15,92.8,13611,10325
GRANULES,20051014,93,94.5,89.2,90.25,21470,13999
GRANULES,20051017,90.1,93,87.2,89.8,14692,8675
GRANULES,20051018,86.5,92.45,82,91.1,13250,8050
GRANULES,20051019,90,90.4,84,87.7,25777,18963
GRANULES,20051020,90,90,80.1,84.45,24466,14643
GRANULES,20051021,83.3,89,81.5,87.55,21090,12593
GRANULES,20051024,89.4,92.5,89,90.25,25711,16467
GRANULES,20051025,92,92,89.6,90.45,12803,9154
GRANULES,20051026,91,92,89,90.15,7691,4242
GRANULES,20051027,89.9,90.15,88,89.5,13720,8649
GRANULES,20051028,88.5,90,86.75,89.05,14710,9470
GRANULES,20051031,90,90.75,87.1,89.15,10991,6822
GRANULES,20051101,90,91.5,89.15,90.5,3481,1602
GRANULES,20051102,84.1,91,84,90.8,12551,7390
GRANULES,20051107,92.7,93.45,91.6,92.4,8758,0
GRANULES,20051108,93.5,97,92.5,94.8,20398,9735
GRANULES,20051109,95.5,96.45,93.2,94.2,11796,0
GRANULES,20051110,96,96,92.35,94.35,6256,4156
GRANULES,20051111,94.85,97,94.2,95.9,11977,8922
GRANULES,20051114,96.6,98,96.5,96.95,20113,0
GRANULES,20051116,97.9,98.5,97,97.6,11460,8350
GRANULES,20051117,97.8,98.5,95.35,97.85,8904,0
GRANULES,20051118,97.9,103.4,97.9,100.15,39866,25908
GRANULES,20051121,104,104,99,100.75,25618,13770
GRANULES,20051122,99,100.9,98.5,99.65,7697,0
GRANULES,20051123,99.9,101,97.5,98.85,20657,13090
GRANULES,20051124,99.05,100.8,99.05,100.05,10285,5906
GRANULES,20051125,98,101.4,98,98.75,39677,29016
GRANULES,20051126,100,100,98.55,98.6,2932,0
GRANULES,20051128,98.75,100,98,98.7,11343,8502
GRANULES,20051129,97.5,98,96.5,96.7,10195,0
GRANULES,20051130,98.5,98.5,95,95.8,27093,21657
GRANULES,20051201,95,95,93.6,93.7,21916,13878
GRANULES,20051202,92.5,95,92.5,94.3,11015,8646
GRANULES,20051205,95,95.7,93.25,94.2,29791,22506
GRANULES,20051206,95,95,91.75,92.85,23646,21735
GRANULES,20051207,94.4,95,93.35,94.95,22160,17164
GRANULES,20051208,94.9,95,93.6,94.2,25812,19800
GRANULES,20051209,95,97,94.15,94.4,106312,95684
GRANULES,20051212,96,113.3,95,110.7,582377,130151
GRANULES,20051213,112.85,112.85,106.55,108.55,250571,92283
GRANULES,20051214,109.4,114.95,108.1,109.85,213577,76327
GRANULES,20051215,110.8,114.75,107.1,109.45,151317,45652
GRANULES,20051216,108,110.6,107.5,108.7,49593,20150
GRANULES,20051219,109.5,113.95,107,112.55,145757,62104
GRANULES,20051220,114,119,111.3,112.45,230909,54793
GRANULES,20051221,114,114.7,110.8,111.3,61918,22856
GRANULES,20051222,112,117.9,111.5,116.5,221872,82660
GRANULES,20051223,117.5,118.75,112.5,113.1,147606,60571
GRANULES,20051226,113.8,113.8,108.35,108.95,70606,36102
GRANULES,20051227,110.25,114,108.1,112.5,91518,36102
GRANULES,20051228,109.5,113.5,109.5,110.5,35350,17575
GRANULES,20051229,111,112.75,110,110.8,28435,18270
GRANULES,20051230,109.55,112.5,109.1,110.8,29425,19353
GRANULES,20060102,113.8,117.4,111.5,115.7,80500,37702
GRANULES,20060103,116,125.45,116,122.95,642501,288901
GRANULES,20060104,128,128,120,120.6,641356,292170
GRANULES,20060105,121.1,121.95,117,117.95,127141,62948
GRANULES,20060106,119,121.9,117.1,118.45,113205,45557
GRANULES,20060109,119.2,121.7,118.5,119.4,78512,42893
GRANULES,20060110,119.3,120,116.1,116.85,56431,32360
GRANULES,20060112,115,117.8,115,116.4,50086,27980
GRANULES,20060113,114.65,117.7,114.65,115.2,38522,20229
GRANULES,20060116,113.15,121.65,113.15,117.05,138213,0
GRANULES,20060117,118.65,118.95,112.05,113.15,63132,33389
GRANULES,20060118,113.75,116.4,112.2,114.05,74153,0
GRANULES,20060119,113.95,119.45,113.95,118.8,130801,43087
GRANULES,20060120,120.8,126.45,120.8,122.7,465727,135776
GRANULES,20060123,122.85,125.9,121.1,121.8,232688,90318
GRANULES,20060124,123.8,126.5,121.8,122.5,160911,66383
GRANULES,20060125,123.85,123.9,117.65,118.35,99785,53233
GRANULES,20060127,120.4,123,117.95,118.4,73596,0
GRANULES,20060130,118.55,119,113.15,113.5,47442,30616
GRANULES,20060131,114.1,114.8,111.65,112.4,47776,0
GRANULES,20060201,113.7,113.85,108.25,110.05,59925,0
GRANULES,20060202,110,111.95,107,107.65,51367,0
GRANULES,20060203,107.3,110.5,105.2,107.5,33236,16358
GRANULES,20060206,108,109.75,107.7,108.1,40524,21026
GRANULES,20060207,109,118.5,108.3,114.75,174955,60606
GRANULES,20060208,114.45,114.45,110,110.75,53402,21737
