SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GRAUWEIL,20210805,64.1,65,61.5,63.55,135609,0
GRAUWEIL,20210806,65,67,63,65.35,171469,0
GRAUWEIL,20210809,66.45,67.9,65,66.25,299367,0
GRAUWEIL,20210810,66.7,67.15,53.5,62.05,456866,0
GRAUWEIL,20210811,64,64,55.6,60.35,506513,0
GRAUWEIL,20210812,63.7,66.55,61,65.15,283000,0
GRAUWEIL,20210813,67.95,67.95,62.4,63.9,245086,0
GRAUWEIL,20210816,64.4,64.4,61.5,61.9,168948,0
GRAUWEIL,20210817,62.7,65,59.9,60.65,260472,0
GRAUWEIL,20210818,61.6,61.9,58.7,59.35,132185,0
GRAUWEIL,20210820,59,59.1,55.4,56.95,200325,0
GRAUWEIL,20210823,59.8,59.8,53.65,56.6,328533,0
GRAUWEIL,20210824,55.35,59,55.35,58.6,128793,0
GRAUWEIL,20210825,59.2,61.7,58.9,59.75,114073,0
GRAUWEIL,20210826,61.4,61.4,57.45,58.15,70272,0
GRAUWEIL,20210827,59.15,59.4,57.05,57.95,74824,0
GRAUWEIL,20210830,58.9,60.1,58.2,58.8,58344,0
GRAUWEIL,20210831,59.25,59.8,58.4,58.55,86185,0
GRAUWEIL,20210901,59.4,59.8,56.85,57.8,109565,0
GRAUWEIL,20210902,57.5,59.8,57.5,58.7,94032,0
GRAUWEIL,20210903,59.9,60,58.2,59.1,98231,0
GRAUWEIL,20210906,59.5,60.05,56.55,57.5,175312,0
GRAUWEIL,20210907,58.8,58.8,57,57.8,95727,0
GRAUWEIL,20210908,58,60.5,57.85,59.4,170257,0
GRAUWEIL,20210909,59.7,60.05,58.7,59.2,87483,0
GRAUWEIL,20210913,58.3,62.75,58,61.4,400042,0
GRAUWEIL,20210914,62,65,62,64.4,339609,0
GRAUWEIL,20210915,64.9,67.35,64.9,66.95,371837,0
GRAUWEIL,20210916,68,68,63.45,64.65,358409,0
GRAUWEIL,20210917,64.9,66.55,61.05,62.5,253574,0
