SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GROWTECHNO,19950512,130,130,130,130,100,0
GROWTECHNO,19950515,140,140,135,135,200,0
GROWTECHNO,19950516,142.5,142.5,142.5,142.5,100,0
GROWTECHNO,19950517,145,145,145,145,100,0
GROWTECHNO,19950518,140,140,135,135,600,0
GROWTECHNO,19950519,130,131,130,131,700,0
GROWTECHNO,19950522,125,128,115,128,2500,0
GROWTECHNO,19950523,121.5,130,117,130,3400,0
GROWTECHNO,19950524,117.5,135,117,127.75,5900,0
GROWTECHNO,19950525,125,128,117,122.35,4500,0
GROWTECHNO,19950526,125,129.5,115,127.25,25800,0
GROWTECHNO,19950529,125,130,121,126.55,1600,0
GROWTECHNO,19950530,122,127.5,122,127.5,2900,0
GROWTECHNO,19950531,125,128,125,127.9,3100,0
GROWTECHNO,19950601,122.25,128,122,128,1500,0
GROWTECHNO,19950602,125,127,125,125,2700,0
GROWTECHNO,19950605,130,130,126,127,1300,0
GROWTECHNO,19950606,128,128,128,128,5200,0
GROWTECHNO,19950607,130,130,130,130,600,0
GROWTECHNO,19950608,130,130,129,129,3400,0
GROWTECHNO,19950609,129,130,127.5,129.65,3500,0
GROWTECHNO,19950612,132.5,135,132.5,133.75,300,0
GROWTECHNO,19950616,130,130,130,130,200,0
GROWTECHNO,19950619,130,130,130,130,200,0
GROWTECHNO,19950622,118,118,117,117,200,0
GROWTECHNO,19950623,119.5,119.75,108,113.45,1400,0
GROWTECHNO,19950626,120,130,120,130,500,0
GROWTECHNO,19950627,127.95,132,127.95,129.3,600,0
GROWTECHNO,19950628,132,135,125,130,500,0
GROWTECHNO,19950629,140,140,140,140,200,0
GROWTECHNO,19950630,126,126,126,126,500,0
GROWTECHNO,19950703,134,138,134,135,5800,0
GROWTECHNO,19950704,140,142.5,140,142.25,2900,0
GROWTECHNO,19950705,145,150,140,144.3,5900,0
GROWTECHNO,19950706,152,173,140.5,166.9,25700,0
GROWTECHNO,19950707,172,173,160,161.45,10100,0
GROWTECHNO,19950710,155,158.5,152,158.5,2300,0
GROWTECHNO,19950711,152,158,149.75,152.9,4700,0
GROWTECHNO,19950712,150.5,170,150,161.3,11300,0
GROWTECHNO,19950713,164,189,164,174.3,29300,0
GROWTECHNO,19950714,177.5,177.5,175.5,176.5,1900,0
GROWTECHNO,19950717,173,173,160.05,170,6600,0
GROWTECHNO,19950718,180,180,160.1,173.5,1500,0
GROWTECHNO,19950719,170,170,170,170,100,0
GROWTECHNO,19950720,166,169.5,166,169.25,3600,0
GROWTECHNO,19950721,172,172,162,168.4,600,0
GROWTECHNO,19950724,178,178,161,166.75,5800,0
GROWTECHNO,19950725,164.95,168,164.95,166.3,1100,0
GROWTECHNO,19950726,170,171,161,168.6,5200,0
GROWTECHNO,19950727,169,175,158,162.5,3200,0
GROWTECHNO,19950728,167,168,157,157.5,600,0
GROWTECHNO,19950731,164,168,151.5,151.5,1700,0
GROWTECHNO,19950801,154,157.5,151.25,156.05,12200,0
GROWTECHNO,19950802,154,169,150,161.65,11700,0
GROWTECHNO,19950803,158,164,157.25,164,2200,0
GROWTECHNO,19950804,176,185.5,159,179.3,25300,0
GROWTECHNO,19950807,180,181,172.55,175.65,16400,0
GROWTECHNO,19950808,180,189,172.3,178,39200,0
GROWTECHNO,19950809,186,188,176.25,178.75,10300,0
GROWTECHNO,19950811,184,188,179,179.9,7900,0
GROWTECHNO,19950814,175,180,171.25,178.85,9200,0
GROWTECHNO,19950816,177.4,179.5,177.4,178.55,1900,0
GROWTECHNO,19950817,182.5,182.5,145,172.8,2500,0
GROWTECHNO,19950818,181.75,181.75,163,174,400,0
GROWTECHNO,19950821,170,190,170,179.65,3700,0
GROWTECHNO,19950822,181,181,179.5,181,2300,0
GROWTECHNO,19950823,172,172,162,163.65,4700,0
GROWTECHNO,19950824,162.25,169.95,161.05,166,8000,0
GROWTECHNO,19950825,164.75,172.5,163.25,164.95,19300,0
GROWTECHNO,19950828,167.75,168,152,153.4,9100,0
GROWTECHNO,19950831,152,155,150,154.5,400,0
GROWTECHNO,19950901,152,164.5,152,161.65,2000,0
GROWTECHNO,19950905,157,157,150,150,500,0
GROWTECHNO,19950906,159.95,159.95,159.95,159.95,100,0
GROWTECHNO,19950908,150,150,148,148,400,0
GROWTECHNO,19950911,140.55,140.55,140.5,140.5,700,0
GROWTECHNO,19950912,139,149.9,139,143,2700,0
GROWTECHNO,19950913,155,164.5,152,161.95,13700,0
GROWTECHNO,19950914,158.5,158.5,158.5,158.5,100,0
GROWTECHNO,19950915,154,154,154,154,100,0
GROWTECHNO,19950918,152,159,150.5,156,3600,0
GROWTECHNO,19950919,156,166,150,156.85,7100,0
GROWTECHNO,19950920,174,174,158,172.5,6400,0
GROWTECHNO,19950921,165,175,165,173.4,11100,0
GROWTECHNO,19950922,176,176,167,170,7100,0
GROWTECHNO,19950926,165,165,158,158,500,0
GROWTECHNO,19950929,171,171,171,171,100,0
GROWTECHNO,19951004,177.5,190,177.5,190,1000,0
GROWTECHNO,19951005,190,175,170,170,1000,0
GROWTECHNO,19951006,170,173.25,160,173.25,300,0
GROWTECHNO,19951009,173.25,180,179.75,179.75,300,0
GROWTECHNO,19951010,171.25,171.25,160.05,160.25,1400,0
GROWTECHNO,19951011,171.5,171.5,171.5,171.5,100,0
GROWTECHNO,19951012,173,173,173,173,100,0
GROWTECHNO,19951017,161,161,148,148,200,0
GROWTECHNO,19951018,150.05,150.05,150,150,200,0
GROWTECHNO,19951019,151,151,145.5,145.5,200,0
GROWTECHNO,19951020,155,155,150,150,500,0
GROWTECHNO,19951023,152,152,152,152,100,0
GROWTECHNO,19951024,163,163,143.05,152.8,500,0
GROWTECHNO,19951026,152.8,157,157,157,100,0
GROWTECHNO,19951027,165,165,165,165,100,0
GROWTECHNO,19951030,164,165,164,165,300,0
GROWTECHNO,19951031,165,159.25,159.25,159.25,500,0
GROWTECHNO,19951101,161.7,161.7,145,151,5600,0
GROWTECHNO,19951103,151,162,161.5,162,1000,0
GROWTECHNO,19951106,145,145,145,145,100,0
GROWTECHNO,19951107,154.5,154.5,154.5,154.5,400,0
GROWTECHNO,19951115,145,145,145,145,100,0
GROWTECHNO,19951123,130,130,130,130,100,0
GROWTECHNO,19951201,124,124,124,124,100,0
GROWTECHNO,19951204,125,136,125,136,800,0
GROWTECHNO,19951205,136,148.5,129.5,147.5,1200,0
GROWTECHNO,19951206,147.5,159,159,159,100,0
GROWTECHNO,19951218,144,144,144,144,100,0
GROWTECHNO,19951219,141,142,141,142,600,0
GROWTECHNO,19951221,144.9,144.9,144.9,144.9,100,0
GROWTECHNO,19951227,142,150,142,144.5,600,0
GROWTECHNO,19951229,132,132,130,130,500,0
GROWTECHNO,19960102,140,143,139,141.2,1400,0
GROWTECHNO,19960103,141.2,150,140,143.45,5800,0
GROWTECHNO,19960104,143.45,144,136,141.15,1300,0
GROWTECHNO,19960105,141.15,136.5,136.25,136.3,500,0
GROWTECHNO,19960108,136.3,149,135,135,600,0
GROWTECHNO,19960109,135,137.75,135,137.75,600,0
