SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GTPL,20170704,170,175,162,171.65,14138363,5217073
GTPL,20170705,170.2,172.3,167.3,169.9,779615,213447
GTPL,20170706,171,176,168.35,171.75,1181250,514139
GTPL,20170707,172,183.25,168,179.2,3137606,890057
GTPL,20170710,180,198.1,171.2,183.2,607766,348074
GTPL,20170711,183.5,190.45,176.3,177.35,1780195,613956
GTPL,20170712,179.15,183.9,178,180.75,838264,0
GTPL,20170713,182.4,185.5,178.5,180.1,907601,367671
GTPL,20170714,181,184.9,164.05,170.8,1203937,417716
GTPL,20170717,171.1,174,169.1,170,302605,107097
GTPL,20170718,169.1,171.95,166.2,167.15,188357,0
GTPL,20170719,168.15,170,167.2,168.05,114062,61769
GTPL,20170720,169.4,169.8,165.05,166.6,194347,67353
GTPL,20170721,165.2,168.95,163,163.4,298067,131506
GTPL,20170724,163.3,164.45,155.65,156.8,203695,109748
GTPL,20170725,155.65,161,150,155,422546,163813
GTPL,20170726,155.7,158,155.7,156.4,197420,131792
GTPL,20170727,156.9,161.8,155.6,156.8,173457,100833
GTPL,20170728,154.15,159.4,154.15,156.6,129568,55033
GTPL,20170731,156,158.95,156,157.55,130338,87917
GTPL,20170801,157.55,157.65,147.75,151.75,97587,65007
GTPL,20170802,152,155,150.2,151.8,110713,36818
GTPL,20170803,151.1,153,145,147.35,96801,47076
GTPL,20170804,148.65,148.65,141.25,142.45,266775,202186
GTPL,20170807,142.2,148.5,142.2,146.15,205690,147256
GTPL,20170808,148.2,150,142.6,143.85,109122,35291
GTPL,20170809,147,150,141.1,144.2,490616,293480
GTPL,20170810,144.75,149.3,142.6,147.45,160537,92851
GTPL,20170811,144,146,141,141.95,69578,30909
GTPL,20170814,143.05,143.5,139,141.25,80830,26647
GTPL,20170816,141.05,150.65,141.05,146.2,273610,49305
GTPL,20170817,146,146.6,141,141.8,87350,43209
GTPL,20170818,141.2,142.9,141,141.9,75974,19870
GTPL,20170821,142.5,142.8,135,137.15,503003,445277
