SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GUJAPOLLO,20070706,191,192.95,188.5,188.55,4198,0
GUJAPOLLO,20070709,195.95,201.95,190,200,25028,0
GUJAPOLLO,20070710,202.8,209.95,197,199.75,60399,0
GUJAPOLLO,20070711,192.5,203.65,192.5,198.85,3326,0
GUJAPOLLO,20070712,201.95,205,191.05,196.3,12094,0
GUJAPOLLO,20070713,202.5,202.5,192.15,195.55,8034,0
GUJAPOLLO,20070716,194.05,215.15,176,204.9,44109,0
GUJAPOLLO,20070717,206,206,197,199.05,6930,4751
GUJAPOLLO,20070718,195,198.85,191,196,22059,15339
GUJAPOLLO,20070719,199,208,195.15,205.85,8710,0
GUJAPOLLO,20070720,191,209.5,187,203.15,19702,0
GUJAPOLLO,20070723,196,203.75,193.45,199.4,4447,0
GUJAPOLLO,20070724,201,216.8,201,215.4,76108,0
GUJAPOLLO,20070725,212.85,212.85,206.15,210.8,5255,0
GUJAPOLLO,20070726,205,219.7,205,208.65,6715,0
GUJAPOLLO,20070727,199.1,209,199.1,206.3,3160,0
GUJAPOLLO,20070730,202,203.95,194,197.2,13559,0
GUJAPOLLO,20070731,205.5,207,197,203.4,7705,0
GUJAPOLLO,20070801,197.95,197.95,189,190.05,8191,0
GUJAPOLLO,20070802,203.6,203.6,186,186.9,2962,0
GUJAPOLLO,20070803,192.95,192.95,186.2,187.55,1416,0
GUJAPOLLO,20070806,184.15,188.45,183.05,184.6,6248,0
GUJAPOLLO,20070807,189.8,202,184.05,185.35,6798,0
GUJAPOLLO,20070808,186,195.3,186,191.5,2673,0
GUJAPOLLO,20070809,194.9,195,186.3,188.35,1932,0
GUJAPOLLO,20070810,180.6,185.4,175.1,183.85,4137,0
GUJAPOLLO,20070813,183.8,193,183.8,192.7,2359,0
GUJAPOLLO,20070814,193,201,190.1,194.6,1510,0
GUJAPOLLO,20070816,189.9,192,179,186.4,5004,2374
GUJAPOLLO,20070817,181.5,195.65,170,185.05,20205,15184
GUJAPOLLO,20070820,189.7,189.7,177.3,179.2,11553,7626
GUJAPOLLO,20070821,177.25,180.85,172.1,172.45,4431,4152
GUJAPOLLO,20070822,177,177,167.4,172.5,8219,5708
GUJAPOLLO,20070823,174.1,181,170.1,172.3,2336,1840
GUJAPOLLO,20070824,174.95,177,170.1,172.9,3566,2037
GUJAPOLLO,20070827,174.2,179,170.3,176.6,6206,4411
GUJAPOLLO,20070828,172.95,180,172.95,178.65,754,221
GUJAPOLLO,20070829,178.45,179,175.5,178.5,1416,1390
GUJAPOLLO,20070830,176.7,181.9,176.7,180.1,1473,1413
GUJAPOLLO,20070831,176.55,183,176.55,179.45,1993,1671
GUJAPOLLO,20070903,183.9,188.5,180.05,186.25,3365,2070
GUJAPOLLO,20070904,185,186.25,182.1,185.05,2100,1450
GUJAPOLLO,20070905,188.4,188.4,181.05,183.05,636,450
GUJAPOLLO,20070906,184.95,186.9,181.4,185.75,1953,1156
GUJAPOLLO,20070907,182.6,185.15,182.6,184,1602,1317
GUJAPOLLO,20070910,180,190.95,180,187.5,3244,2722
GUJAPOLLO,20070911,199,200,185.05,185.75,2993,1787
GUJAPOLLO,20070912,194.45,194.45,190,191,878,867
