SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GUJTHEMIS,19950601,52,52,52,52,400,0
GUJTHEMIS,19950718,47,47,47,47,150,0
GUJTHEMIS,19950720,50,50,50,50,100,0
GUJTHEMIS,19960729,25.5,25.5,25.5,25.5,50,0
GUJTHEMIS,19960730,23.05,23.05,22.95,22.95,100,0
GUJTHEMIS,19960731,20.75,25,20.75,25,300,0
GUJTHEMIS,19960802,27.5,27.5,25.75,27.45,300,0
GUJTHEMIS,19960805,25,25,25,25,100,0
GUJTHEMIS,19960806,25.5,25.5,25.5,25.5,50,0
GUJTHEMIS,19960807,26.25,26.25,26.25,26.25,100,0
GUJTHEMIS,19960809,26.5,29,26.5,29,200,0
GUJTHEMIS,19960812,28.55,30,28.55,30,150,0
GUJTHEMIS,19960813,27,27,27,27,50,0
GUJTHEMIS,19960821,27.1,27.1,27.1,27.1,50,0
GUJTHEMIS,19960822,29.9,29.9,29.9,29.9,50,0
GUJTHEMIS,19960823,32.75,32.75,27.1,31.35,200,0
GUJTHEMIS,19960826,34.5,34.5,34.5,34.5,50,0
GUJTHEMIS,19960827,38,38,38,38,50,0
GUJTHEMIS,19960828,41.75,41.75,41.75,41.75,50,0
GUJTHEMIS,19960904,45.9,45.9,45.9,45.9,50,0
GUJTHEMIS,19960905,50.5,50.5,50.5,50.5,50,0
GUJTHEMIS,19960917,45.45,45.45,45.45,45.45,50,0
GUJTHEMIS,19960918,40.95,40.95,40.95,40.95,50,0
GUJTHEMIS,19960919,36.95,36.95,36.95,36.95,50,0
GUJTHEMIS,19961003,33.5,33.5,33.5,33.5,50,0
GUJTHEMIS,19961023,32,32,32,32,50,0
GUJTHEMIS,19961028,29,29,29,29,150,0
GUJTHEMIS,19961231,28,28,28,28,100,0
GUJTHEMIS,19970101,28,29.5,28,29.5,150,0
GUJTHEMIS,19970102,29.5,29.5,29.5,29.5,50,0
GUJTHEMIS,19970103,30,30,30,30,50,0
GUJTHEMIS,19970107,30,33,30,33,1300,0
GUJTHEMIS,19970108,32,32,31.05,32,1900,0
GUJTHEMIS,19970109,31.5,31.5,31.5,31.5,200,0
GUJTHEMIS,19970110,31.75,31.75,31.5,31.5,550,0
GUJTHEMIS,19970113,30,31.5,30,31.5,400,0
GUJTHEMIS,19970114,31.5,31.5,31.5,31.5,300,0
GUJTHEMIS,19970115,31.5,31.5,31,31.5,800,0
GUJTHEMIS,19970116,31.5,31.5,31.5,31.5,500,0
GUJTHEMIS,19970120,30.6,30.6,30.05,30.45,1000,0
GUJTHEMIS,19970121,29,30.1,29,30.1,550,0
GUJTHEMIS,19970122,29,29,29,29,400,0
GUJTHEMIS,19970304,29.9,30,29.9,30,400,0
GUJTHEMIS,19970306,28,28,27.9,27.9,400,0
GUJTHEMIS,19970313,25.25,25.25,25.25,25.25,350,0
GUJTHEMIS,19970321,23,23,23,23,50,0
GUJTHEMIS,19970325,24.75,24.75,20.75,21,8000,0
GUJTHEMIS,19970326,21,21,21,21,500,0
GUJTHEMIS,19970403,18.95,18.95,18.9,18.9,300,0
GUJTHEMIS,19970407,17.25,17.25,17.25,17.25,50,0
GUJTHEMIS,19970409,17.6,18.95,17.5,18.95,1050,0
GUJTHEMIS,19970410,20.75,20.75,17.1,17.1,450,0
GUJTHEMIS,19970411,18.8,18.8,17.1,17.1,350,0
GUJTHEMIS,19970415,15.5,15.5,15.5,15.5,50,0
GUJTHEMIS,19970421,15.6,16,15.6,16,200,0
GUJTHEMIS,19970422,16.75,16.75,16.75,16.75,50,0
GUJTHEMIS,19970425,17.1,17.1,16.5,16.5,900,0
GUJTHEMIS,19970428,16.5,16.5,16.5,16.5,100,0
GUJTHEMIS,19970429,15.5,15.5,15.4,15.4,300,0
GUJTHEMIS,19970430,15,15,14.8,14.8,7200,0
GUJTHEMIS,19970502,14.75,14.75,14,14.75,550,0
GUJTHEMIS,19970505,15.75,16.25,15,15,450,0
GUJTHEMIS,19970506,16.5,16.5,15,16.5,6100,0
GUJTHEMIS,19970507,14.85,14.85,14.85,14.85,400,0
GUJTHEMIS,19970509,16.25,16.25,16.25,16.25,200,0
GUJTHEMIS,19970515,17.3,17.3,17.3,17.3,400,0
GUJTHEMIS,19970516,16,16,16,16,100,0
GUJTHEMIS,19970522,14.5,14.5,14.45,14.45,150,0
GUJTHEMIS,19970523,14.5,14.5,14.5,14.5,50,0
GUJTHEMIS,19970526,15.9,15.9,15.9,15.9,100,0
GUJTHEMIS,19970527,14.75,14.75,14.75,14.75,100,0
GUJTHEMIS,19970602,14,14,14,14,150,0
GUJTHEMIS,19970603,15.4,15.4,15.4,15.4,1000,0
GUJTHEMIS,19970604,16.45,16.45,16.45,16.45,250,0
GUJTHEMIS,19970606,14.8,14.8,14.8,14.8,50,0
GUJTHEMIS,19970609,14,14,13.35,13.35,200,0
GUJTHEMIS,19970612,12.25,12.25,12.25,12.25,50,0
GUJTHEMIS,19970617,13,13,13,13,950,0
GUJTHEMIS,19970619,12.7,12.7,12.7,12.7,1200,0
GUJTHEMIS,19970624,13,13,13,13,50,0
GUJTHEMIS,19970709,12.75,14.3,12.75,14.3,150,0
GUJTHEMIS,19970710,13.3,14,13.3,14,200,0
GUJTHEMIS,19970711,13,14.5,13,14.5,500,0
GUJTHEMIS,19970714,14,15,14,15,600,0
GUJTHEMIS,19970716,13.5,13.5,13.5,13.5,50,0
GUJTHEMIS,19970717,13.5,14.5,13.25,14.2,250,0
GUJTHEMIS,19970721,13,13,13,13,50,0
GUJTHEMIS,19970722,13,13,13,13,200,0
GUJTHEMIS,19970723,13,14,13,13.5,8000,0
GUJTHEMIS,19970724,14,14.45,13.25,13.8,10200,0
GUJTHEMIS,19970725,14.45,14.5,14,14.05,14450,0
GUJTHEMIS,19970728,15,15,14,14,17000,0
GUJTHEMIS,19970729,14.75,15.3,14.75,15.3,6900,0
GUJTHEMIS,19970807,16.85,16.85,16.85,16.85,500,0
GUJTHEMIS,19970808,17,18.2,15.75,15.75,7050,0
GUJTHEMIS,19970811,15.9,16,15.9,16,1000,0
GUJTHEMIS,19970812,15.9,15.9,15,15.35,5100,0
GUJTHEMIS,19970813,15.5,16.05,15.4,15.4,3100,0
GUJTHEMIS,19970814,15.3,15.95,15,15,3800,0
GUJTHEMIS,19970818,16.5,16.5,15.25,15.25,5700,0
GUJTHEMIS,19970819,14.3,15.25,14.25,14.55,1650,0
GUJTHEMIS,19970820,15.8,15.8,15.25,15.25,700,0
GUJTHEMIS,19970822,15.05,15.05,15,15,800,0
GUJTHEMIS,19970825,14.1,14.1,14,14,500,0
GUJTHEMIS,19970826,14.25,14.25,13.5,13.5,1000,0
GUJTHEMIS,19970827,13.8,13.8,13.8,13.8,300,0
GUJTHEMIS,19970828,13,13,13,13,700,0
GUJTHEMIS,19970829,13,13,12.5,12.5,350,0
GUJTHEMIS,19970901,11.9,11.9,11.9,11.9,500,0
GUJTHEMIS,19970902,12,12,10.8,10.8,400,0
GUJTHEMIS,19970910,11.3,11.3,11.3,11.3,200,0
GUJTHEMIS,19970911,11.75,11.8,11.75,11.8,350,0
GUJTHEMIS,19970912,11.9,11.9,11.9,11.9,150,0
GUJTHEMIS,19970915,12.4,12.4,12.25,12.25,200,0
GUJTHEMIS,19970916,12,12,12,12,200,0
GUJTHEMIS,19970918,11.55,12.5,11.5,12.5,1300,0
GUJTHEMIS,19970919,12.5,12.5,12.5,12.5,200,0
GUJTHEMIS,19970922,11.9,11.9,11.9,11.9,50,0
GUJTHEMIS,19970923,11.3,11.95,11.3,11.95,150,0
GUJTHEMIS,19970924,12,12,12,12,50,0
GUJTHEMIS,19970929,12,12,12,12,200,0
GUJTHEMIS,19971009,12,12,12,12,100,0
GUJTHEMIS,19971010,12,12,12,12,2000,0
GUJTHEMIS,19971014,12.6,12.6,12.6,12.6,850,0
GUJTHEMIS,19971016,12.95,13,12.95,13,100,0
GUJTHEMIS,19971104,11.5,12,11.5,12,400,0
GUJTHEMIS,19971105,11.5,11.5,11.4,11.4,600,0
GUJTHEMIS,19971119,11.2,11.2,11.2,11.2,200,0
GUJTHEMIS,19971202,10.65,10.65,10.65,10.65,50,0
GUJTHEMIS,19971224,9.2,9.2,9.2,9.2,200,0
GUJTHEMIS,19980102,8.4,9,8.4,9,300,0
GUJTHEMIS,19980105,8.8,9,8.8,9,300,0
GUJTHEMIS,19980106,8.75,8.75,8.75,8.75,100,0
GUJTHEMIS,19980107,8.5,8.5,8.5,8.5,800,0
GUJTHEMIS,19980114,8.3,8.3,8.3,8.3,100,0
GUJTHEMIS,19980116,8,8,7.55,7.55,300,0
GUJTHEMIS,19980119,7,7,7,7,200,0
GUJTHEMIS,19980121,7,7,7,7,1000,0
GUJTHEMIS,19980122,7.25,7.25,7.25,7.25,500,0
GUJTHEMIS,19980123,7.25,7.7,7.25,7.7,400,0
GUJTHEMIS,19980127,7.1,7.55,7.1,7.35,700,0
GUJTHEMIS,19980128,7.65,7.65,7.65,7.65,200,0
GUJTHEMIS,19980203,6.85,6.85,6.8,6.8,1200,0
GUJTHEMIS,19980209,6.55,7.25,6.55,7.25,2000,0
GUJTHEMIS,19980212,6.5,6.5,6.5,6.5,500,0
GUJTHEMIS,19980213,6.5,6.5,6.5,6.5,200,0
GUJTHEMIS,19980218,6,6,6,6,500,0
GUJTHEMIS,19980219,6.45,6.45,5.2,5.5,2900,0
GUJTHEMIS,19980220,6.1,6.1,6.1,6.1,300,0
GUJTHEMIS,19980223,7,7,7,7,50,0
GUJTHEMIS,19980226,6.1,6.1,6.1,6.1,100,0
GUJTHEMIS,19980227,6.3,6.4,6.3,6.4,600,0
GUJTHEMIS,19980303,6.4,6.65,6.4,6.65,200,0
GUJTHEMIS,19980304,6.5,6.65,6.5,6.65,1300,0
GUJTHEMIS,19980306,6.35,6.65,6.35,6.5,4800,0
GUJTHEMIS,19980310,6.5,6.5,6.5,6.5,150,0
GUJTHEMIS,19980311,6.5,6.5,6.5,6.5,3500,0
GUJTHEMIS,19980312,6.5,6.5,6.5,6.5,350,0
GUJTHEMIS,19980316,6.75,6.75,6.75,6.75,200,0
GUJTHEMIS,19980317,6.25,6.25,6.25,6.25,200,0
GUJTHEMIS,19980319,6.25,6.25,6.25,6.25,17900,0
GUJTHEMIS,19980320,6.45,6.45,6.45,6.45,200,0
GUJTHEMIS,19980323,7,7,7,7,200,0
GUJTHEMIS,19980324,6.75,7.05,6.75,7.05,100,0
GUJTHEMIS,19980401,8.25,8.25,8.25,8.25,200,0
GUJTHEMIS,19980409,9.4,9.4,8,8,400,0
GUJTHEMIS,19980410,8.35,8.4,8.25,8.4,300,0
GUJTHEMIS,19980415,9.7,9.7,9.7,9.7,1200,0
GUJTHEMIS,19980416,9.05,10.5,9.05,9.05,3300,0
GUJTHEMIS,19980417,9,9,9,9,200,0
GUJTHEMIS,19980420,10,10,9,9.75,1300,0
GUJTHEMIS,19980421,10.45,10.45,9.1,9.95,1000,0
GUJTHEMIS,19980422,10.75,10.75,10.75,10.75,200,0
GUJTHEMIS,19980423,10.1,10.1,9.7,9.75,1350,0
GUJTHEMIS,19980424,10,10.05,10,10,3250,0
GUJTHEMIS,19980427,9.6,9.6,9,9.3,100,0
GUJTHEMIS,19980428,9.65,9.65,9.6,9.6,300,0
GUJTHEMIS,19980429,9.6,9.6,9,9,500,0
GUJTHEMIS,19980505,7.8,7.8,7.8,7.8,200,0
GUJTHEMIS,19980506,8.5,8.5,8.5,8.5,100,0
GUJTHEMIS,19980508,9.25,9.25,9.25,9.25,100,0
GUJTHEMIS,19980511,9.05,9.05,9,9,1300,0
GUJTHEMIS,19980512,8.5,8.5,8.05,8.05,150,0
GUJTHEMIS,19980519,8,8,8,8,50,0
GUJTHEMIS,19980525,8,8,8,8,300,0
GUJTHEMIS,19980611,9,9,9,9,200,0
GUJTHEMIS,19980616,7.65,7.65,7.65,7.65,100,0
GUJTHEMIS,19980623,6,6,6,6,300,0
GUJTHEMIS,19980708,6,12,6,12,250,0
GUJTHEMIS,19980714,14,14,9.05,9.05,400,0
GUJTHEMIS,19980715,5.05,6.5,5.05,6.5,250,0
GUJTHEMIS,19980716,6.05,6.05,6.05,6.05,50,0
GUJTHEMIS,19980717,6,6,6,6,100,0
GUJTHEMIS,19980727,5.9,6,5.9,6,400,0
GUJTHEMIS,19980804,7,7,7,7,100,0
GUJTHEMIS,19980805,5.4,5.4,5.4,5.4,1000,0
GUJTHEMIS,19980807,9.45,9.45,9.45,9.45,1000,0
GUJTHEMIS,19980812,7,7,6.5,6.5,600,0
GUJTHEMIS,19980817,7.5,7.5,7.5,7.5,100,0
GUJTHEMIS,19980818,7.5,8,7,7,600,0
GUJTHEMIS,19980827,7.6,7.6,7.6,7.6,50,0
GUJTHEMIS,19980828,7.5,7.5,7.5,7.5,100,0
GUJTHEMIS,19980831,8,8,8,8,500,0
GUJTHEMIS,19980901,7.5,7.5,7.5,7.5,100,0
GUJTHEMIS,19980904,7.5,7.5,7.5,7.5,500,0
GUJTHEMIS,19980908,9.75,9.75,9.75,9.75,50,0
