SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
GULFOIL,19980710,92,92,92,92,200,0
GULFOIL,19980714,90.8,95,90.8,92.45,650,0
GULFOIL,19980715,89,89,88,88,250,0
GULFOIL,19980716,88,88,87,87,200,0
GULFOIL,19980717,90,92,90,92,1300,0
GULFOIL,19980720,88,89,86.2,89,350,0
GULFOIL,19980721,92,92,90,90,1000,0
GULFOIL,19980722,88.05,89,88.05,88.5,200,0
GULFOIL,19980723,87,87,87,87,100,0
GULFOIL,19980724,87.95,87.95,87.7,87.7,400,0
GULFOIL,19980728,87,89,86,86,1000,0
GULFOIL,19980729,90,91,90,90.5,1900,0
GULFOIL,19980730,91.75,94.45,88,88.7,700,0
GULFOIL,19980731,90,91.75,90,91.75,150,0
GULFOIL,19980803,88,90,88,90,650,0
GULFOIL,19980804,89.75,90,89,89,148550,0
GULFOIL,19980805,89,89,86.1,88.85,1650,0
GULFOIL,19980806,89.9,90,89,89,1450,0
GULFOIL,19980807,90,90,90,90,750,0
GULFOIL,19980810,88.5,90,87.5,89.9,1350,0
GULFOIL,19980811,88,90,88,89.95,1700,0
GULFOIL,19980812,88.5,89.95,88,89.85,1650,0
GULFOIL,19980813,87.25,91.5,87.15,89,600,0
GULFOIL,19980814,89,90,88.05,88.05,1400,0
GULFOIL,19980817,88,88,88,88,100,0
GULFOIL,19980818,88,88.95,88,88,600,0
GULFOIL,19980819,89,89,87.5,88,301200,0
GULFOIL,19980820,89,89.75,87.2,89.75,800,0
GULFOIL,19980821,88.2,89.85,86,86.35,750,0
GULFOIL,19980824,86,91,84,90,450,0
GULFOIL,19980825,93.3,97.2,93,97.2,1150,0
GULFOIL,19980827,103,103,95.05,95.05,400,0
GULFOIL,19980828,95.1,95.1,91.1,91.1,300,0
GULFOIL,19980831,92,94.75,91,94.75,400,0
GULFOIL,19980901,88,88,88,88,100,0
GULFOIL,19980904,85.5,85.5,85.5,85.5,200,0
GULFOIL,19980907,84,84,84,84,100,0
GULFOIL,19980908,80.05,89.4,80.05,89.4,250,0
GULFOIL,19980909,94,94,94,94,400,0
GULFOIL,19980910,96,99.5,96,98.1,2400,0
GULFOIL,19980911,94.25,94.25,93.5,94,550,0
