SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
HATHWAY,20100225,250,250,204.5,207.65,7443846,838955
HATHWAY,20100226,210,213.5,189.2,200.55,4525373,1080084
HATHWAY,20100302,202.5,206,194.65,201.15,1013273,95252
HATHWAY,20100303,202,203.5,198.1,200.15,220959,63301
HATHWAY,20100304,202,217.5,199.1,213.5,1779334,143507
HATHWAY,20100305,215.1,216.9,207.25,214.6,360698,91405
HATHWAY,20100308,217,224.8,212.65,223.2,784511,116507
HATHWAY,20100309,221,223.9,216,217.8,155642,52116
HATHWAY,20100310,217.9,222,215.1,218.45,109894,30101
HATHWAY,20100311,216.6,219.25,215,215.85,36358,14899
HATHWAY,20100312,217,218,207.3,210,38835,15241
HATHWAY,20100315,209.5,211.85,205,208.25,55970,20764
HATHWAY,20100316,210.45,213.25,205.15,207.8,62478,17610
HATHWAY,20100317,207,213.5,207,208.8,40180,11544
HATHWAY,20100318,210.85,212,208,210.6,35363,19383
HATHWAY,20100319,208.7,211,201.1,208.05,79772,43486
HATHWAY,20100322,202,216.95,202,204.65,82347,24373
HATHWAY,20100323,208.9,208.9,203.25,205.1,45476,28931
HATHWAY,20100325,206.9,209.9,202.2,203.15,11946,6885
HATHWAY,20100326,206,211.45,204,205.15,75227,36723
HATHWAY,20100329,203.5,207,200.55,203.05,74292,54709
HATHWAY,20100330,202.75,208.5,202.1,206.3,36626,22296
HATHWAY,20100331,204.3,210.85,202,207.5,34677,0
HATHWAY,20100401,207.5,214,207.5,210.2,46925,0
HATHWAY,20100405,213.95,216.7,208.05,209.65,62304,39602
HATHWAY,20100406,214,214.75,206.25,207.75,9990,0
HATHWAY,20100407,207,211,207,209.4,15413,8848
HATHWAY,20100408,211,212.8,205,208.25,497528,485605
HATHWAY,20100409,208.5,214,204,206.75,51223,0
HATHWAY,20100412,207.25,209,205.6,207.9,9630,0
HATHWAY,20100413,206,208.75,204.9,205.15,9702,7018
HATHWAY,20100415,205.7,211.85,205.6,210.2,40673,26753
HATHWAY,20100416,209.5,219.3,209,217,100721,0
HATHWAY,20100419,210.2,224.9,210.2,219.75,141617,0
HATHWAY,20100420,221,229.8,218.4,224.9,208120,110989
HATHWAY,20100421,226,226,214.6,219.65,68779,41442
HATHWAY,20100422,224,224,214,215.2,21511,12985
HATHWAY,20100423,217.9,222.5,213,215.4,23357,8193
HATHWAY,20100426,217.2,219.9,213,213.3,242821,230726
HATHWAY,20100427,220,220,214.25,218.1,24716,10467
HATHWAY,20100428,217.9,217.9,209,209.4,17327,10586
HATHWAY,20100429,212.95,214.9,209,211.1,121792,115743
HATHWAY,20100430,213.65,214.5,209,209.8,7226,0
HATHWAY,20100503,208,210,207,207.95,6951,2681
HATHWAY,20100504,209.95,216,204,211.7,28299,14045
HATHWAY,20100505,204.5,213,204.5,210.6,33748,7390
HATHWAY,20100506,210,215,207.05,211.75,17473,12148
HATHWAY,20100507,207,208.85,201,202.85,10595,6777
HATHWAY,20100510,205.75,207.9,204.15,205.9,6619,2889
HATHWAY,20100511,206,209.8,204.75,205.45,8956,0
HATHWAY,20100512,208.95,209.75,203,206.55,140644,134057
HATHWAY,20100513,205.25,215.65,205.25,208.8,299654,0
HATHWAY,20100514,210.95,210.95,203.1,204.35,112563,108740
HATHWAY,20100517,202,204.35,195.55,202.4,47701,42631
HATHWAY,20100518,204.9,207.8,198.5,199.8,26549,22865
HATHWAY,20100519,205,205,189.5,192.85,430718,415355
HATHWAY,20100520,191,203.1,191,200.25,84862,78500
