SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
HBANKETF,20200828,229.01,244,229.01,242.62,90758,0
HBANKETF,20200831,242.62,250.1,233,236.35,39401,0
HBANKETF,20200901,236.67,240,234.19,237.73,9167,0
HBANKETF,20200902,237.69,238,234,237.48,4775,0
HBANKETF,20200903,238.09,238.88,234,234.41,6222,0
HBANKETF,20200904,212,234,212,232.75,14712,0
HBANKETF,20200907,229.11,230.91,227.4,229.69,7066,0
HBANKETF,20200908,229,229.81,226,226.89,5546,0
HBANKETF,20200909,226,226,222,223.74,11516,0
HBANKETF,20200910,225.73,226.8,222.38,225.72,5132,0
HBANKETF,20200911,248,248,223,225.37,5141,0
HBANKETF,20200914,220,227.95,220,222.67,5110,0
HBANKETF,20200915,222.88,225.27,221,224.34,8888,0
HBANKETF,20200916,225.4,226,222.99,225.07,2082,0
HBANKETF,20200917,223.71,224.9,222.09,222.86,2022,0
HBANKETF,20200918,222.3,225.05,218.18,221.79,13786,0
HBANKETF,20200921,219.41,221.06,213.8,214.65,13152,0
HBANKETF,20200922,214.14,214.79,210.84,212.12,11351,0
HBANKETF,20200923,212.12,213.66,209,212.43,5071,0
HBANKETF,20200924,210.4,210.4,206.1,206.41,11087,0
HBANKETF,20200925,206.41,209.95,205.15,208.93,6442,0
HBANKETF,20200928,224,224,200.1,216.08,4536,0
HBANKETF,20200929,216.32,218.17,213,214.28,3605,0
HBANKETF,20200930,213,217.35,210.9,215.49,1633,0
HBANKETF,20201001,218,221.6,217.52,220.57,7727,0
HBANKETF,20201005,221.77,225.75,221.77,223.09,9865,0
HBANKETF,20201006,225.71,227.25,223.61,226.82,24970,0
HBANKETF,20201007,226,228.65,224.38,227.8,6574,0
HBANKETF,20201008,228.99,231.83,227.93,228.72,19173,0
HBANKETF,20201009,229.94,237,228.6,235.21,37606,0
HBANKETF,20201012,237.58,240.43,233.68,234.84,15083,0
HBANKETF,20201013,234.08,235.58,232.18,234.69,5739,0
HBANKETF,20201014,233.28,238,230.26,237.02,4792,0
HBANKETF,20201015,236.98,239.62,228.5,229.94,7159,0
HBANKETF,20201016,230,234.8,230,233.5,3354,0
HBANKETF,20201019,235.8,241.95,235.27,241.04,18604,0
HBANKETF,20201020,240.2,241.85,238.55,241.16,11413,0
HBANKETF,20201021,241.16,246.6,238.48,244.43,16471,0
HBANKETF,20201022,242,245.5,241.21,243.6,3936,0
HBANKETF,20201023,244.69,245.89,241.37,242.78,4820,0
HBANKETF,20201026,242.3,244,236.1,239.53,8554,0
HBANKETF,20201027,239.61,246,236.7,245.26,10929,0
HBANKETF,20201028,244.8,246.1,239.56,240.35,7785,0
HBANKETF,20201029,238.49,241.13,237,239.39,3181,0
HBANKETF,20201030,239.73,240.47,235.13,238.17,6098,0
HBANKETF,20201102,239.93,249,239.43,247.17,30749,0
HBANKETF,20201103,232.05,255,232.05,254.44,37624,0
HBANKETF,20201104,254.44,256.82,249.13,255.6,11582,0
HBANKETF,20201105,259,261.45,257,260.74,17814,0
HBANKETF,20201106,260.74,266.31,256,265.63,20663,0
HBANKETF,20201109,269,274.22,269,273.16,16975,0
HBANKETF,20201110,275.5,286,275.5,283.65,27295,0
HBANKETF,20201111,284.15,287.95,278.94,285.49,15001,0
HBANKETF,20201112,284.63,284.63,278.7,281.08,7248,0
HBANKETF,20201113,278.48,284.85,275.41,283.28,9675,0
HBANKETF,20201114,285,286.85,283.81,285.64,5537,0
HBANKETF,20201117,287,290.79,285.64,289.66,9732,0
HBANKETF,20201118,289.98,296,289.98,295.47,11609,0
HBANKETF,20201119,297,297,286.22,287.82,15356,0
HBANKETF,20201120,286.8,292.55,285,291.16,5718,0
HBANKETF,20201123,291.9,293.86,287.38,288.43,6591,0
HBANKETF,20201124,290,296.42,290,295.32,7928,0
HBANKETF,20201125,297.16,300,290.55,291.07,8472,0
HBANKETF,20201126,291.07,298,288.25,293.83,13397,0
HBANKETF,20201127,282.1,296.51,267.4,295.28,9573,0
HBANKETF,20201201,299.8,299.8,294.22,297.02,9514,0
HBANKETF,20201202,296.43,297.39,291,294.9,4418,0
HBANKETF,20201203,294.2,297.59,293.5,295.51,3060,0
HBANKETF,20201204,294.35,299.93,294,299.42,12926,0
HBANKETF,20201207,299.8,302,298,298.57,9913,0
HBANKETF,20201208,297.84,302.52,297.84,300.65,6038,0
HBANKETF,20201209,301.25,306.15,301.15,304.39,7350,0
HBANKETF,20201210,304.5,304.5,300,303.75,14528,0
HBANKETF,20201211,302.72,306,301.25,302.72,3822,0
HBANKETF,20201214,302.72,306.4,302.72,305.75,2549,0
HBANKETF,20201215,305.26,305.9,300.97,305.9,5279,0
HBANKETF,20201216,307,308,305.25,305.81,2163,0
HBANKETF,20201217,306.3,307.55,305.17,306.88,5545,0
HBANKETF,20201218,285.4,307.34,279.3,305.02,8578,0
HBANKETF,20201221,303.8,304.8,292,293.68,6274,0
HBANKETF,20201222,294,296.5,288.42,294.31,9106,0
