SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
HDIL,20070724,538.6,575.95,535,559.35,28590806,0
HDIL,20070725,549.4,587.4,545.3,580.1,8552244,0
HDIL,20070726,585.6,634.3,585.6,621.4,9125757,0
HDIL,20070727,601.55,609.9,555,579.8,8396945,0
HDIL,20070730,583,604.5,570,575.85,5350142,0
HDIL,20070731,583,588.8,555.75,573.05,3669861,0
HDIL,20070801,570,570,506.1,515.2,4547108,0
HDIL,20070802,512,546.7,511.25,527,4894283,0
HDIL,20070803,533.2,547.9,521.25,528.85,2336308,0
HDIL,20070806,518,518,489.35,499.65,2955087,0
HDIL,20070807,507,533.8,506,525.55,4407917,0
HDIL,20070808,528.7,535.9,523.1,525.7,1739450,0
HDIL,20070809,531,540.65,507.1,509.9,1539282,0
HDIL,20070810,495,517.7,480.05,513.6,1565297,0
HDIL,20070813,518,524.8,509,520.45,1059006,0
HDIL,20070814,522.1,551.8,519.15,545.2,2601287,0
HDIL,20070816,540,540,502.75,506.8,1740194,366057
HDIL,20070817,600,600,480,500.95,2058415,568544
HDIL,20070820,518,533.8,510,520.15,1989040,260400
HDIL,20070821,530,530,479.1,490.25,1666333,364200
HDIL,20070822,502,504.7,477.5,492.85,2253026,673349
HDIL,20070823,502,516,482.65,487.25,1566565,282346
HDIL,20070824,525,525,492.15,506.05,889096,119829
HDIL,20070827,519.5,540,510.15,534.75,1387931,535062
HDIL,20070828,532,553.2,526.3,542.55,1913568,503496
HDIL,20070829,532,549.8,523.1,540.75,1831730,435955
HDIL,20070830,590,590,521.1,537.85,12145661,4941787
HDIL,20070831,536,545.4,526.3,536.4,2667466,958228
HDIL,20070903,550.25,550.25,534.5,537.65,1208402,428532
HDIL,20070904,549.8,549.8,536.45,539.25,1461399,506836
HDIL,20070905,541.1,543.8,531.05,533.85,625092,198550
HDIL,20070906,562,562,529.1,541.55,1081075,468459
HDIL,20070907,532.05,545,531.5,533.05,572616,269812
HDIL,20070910,539.8,545.05,525,541.75,973431,479386
HDIL,20070911,543,565.7,543,562.85,2090751,618686
HDIL,20070912,566,580.85,563,573.3,2843138,1063764
HDIL,20070913,610,610,573.1,580.85,1511322,0
HDIL,20070914,585,610,583.25,593.4,2975273,918720
HDIL,20070917,596.6,612.9,591.3,610,2920834,1038987
HDIL,20070918,601.85,631,580,626.4,2033993,470645
HDIL,20070919,635,668,635,645.6,2950953,1082348
HDIL,20070920,648,667,600,647.65,1831686,422085
HDIL,20070921,646.5,655.7,625.05,632.8,830971,341353
HDIL,20070924,639,655.05,627,635.8,510983,118319
HDIL,20070925,637,639.9,600.05,609.7,1063541,326808
HDIL,20070926,611.1,628.9,611.1,617.3,926659,0
HDIL,20070927,619,628,603,605.9,1970553,0
HDIL,20070928,610,632.9,605.4,627.75,988100,462304
HDIL,20071001,640,649.9,624.1,638.2,1052728,466374
HDIL,20071003,651.9,669.9,618,664.5,1912105,817018
HDIL,20071004,661.1,724.4,646,707.15,3972833,1029077
HDIL,20071005,720,742,710,722.2,2529834,664817
HDIL,20071008,729,737.45,655,692.4,2903206,1071070
HDIL,20071009,699,780.95,685,762.4,4362504,0
HDIL,20071010,770,781.1,748,755.65,1965127,727272
HDIL,20071011,756,795,755,782.5,1074547,345287
HDIL,20071012,782.5,789.9,735.2,744.9,1015791,431489
