SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
HEXATRADEX,20120420,88,92.4,83.6,92.4,13892,0
HEXATRADEX,20120423,97,97,87.8,87.8,9155,0
HEXATRADEX,20120424,83.45,84.95,83.45,83.45,5009,0
HEXATRADEX,20120425,79.4,80,79.3,79.3,10877,0
HEXATRADEX,20120426,75.45,75.45,75.35,75.35,7153,0
HEXATRADEX,20120427,71.6,71.65,71.6,71.6,7879,0
HEXATRADEX,20120428,68.05,75.15,68.05,74.3,3646,0
HEXATRADEX,20120430,71,77.5,71,74.05,10289,0
HEXATRADEX,20120502,74.1,77.65,74,75.4,19344,0
HEXATRADEX,20120503,71.8,74,71.65,72.25,41505,0
HEXATRADEX,20120504,75,78,68.15,69.95,19212,0
HEXATRADEX,20120507,67.5,67.9,57.25,59.5,26129,0
HEXATRADEX,20120508,57.55,61.9,53.6,53.8,40629,0
HEXATRADEX,20120509,53.15,58.85,49.5,49.9,11191,0
HEXATRADEX,20120510,47.1,53,46.35,49.3,28971,0
HEXATRADEX,20120511,49,53.9,49,52.25,8044,0
HEXATRADEX,20120514,52,57,51.4,54.25,2265,0
HEXATRADEX,20120515,53.05,59,53.05,55.1,10333,0
HEXATRADEX,20120516,52.9,55,51.15,51.4,4597,0
HEXATRADEX,20120517,51,53.95,48.15,48.4,7995,0
HEXATRADEX,20120518,48.1,48.45,46.4,47.55,12915,0
HEXATRADEX,20120521,47,48.85,45.15,46.15,4595,0
HEXATRADEX,20120522,45.6,47.8,44.8,45.1,24898,0
HEXATRADEX,20120523,44.45,45.25,43,44.25,3280,0
HEXATRADEX,20120524,43,44,41.65,42,18505,0
HEXATRADEX,20120525,41.95,45.9,40.5,40.75,5395,0
HEXATRADEX,20120528,40,41.5,38.75,39.15,40630,0
HEXATRADEX,20120529,40.65,40.65,38.1,39.85,5230,0
HEXATRADEX,20120530,39,40,39,39.95,30704,0
HEXATRADEX,20120531,39.95,40,38.5,38.7,17952,0
HEXATRADEX,20120601,37.4,39.4,37.4,38.75,595,0
HEXATRADEX,20120604,38,40,37.35,38.9,1061,0
HEXATRADEX,20120605,40,40.25,37.9,39.15,8608,0
HEXATRADEX,20120606,41.1,41.1,38.65,39.05,13707,0
HEXATRADEX,20120607,40.95,40.95,38.35,39,9368,0
HEXATRADEX,20120608,38,40,37.25,38.15,11717,0
HEXATRADEX,20120611,37.25,39,36.75,37.05,29191,0
HEXATRADEX,20120612,37.5,37.9,36.85,37.55,1070,0
HEXATRADEX,20120613,36.2,37.85,36.15,36.55,6863,0
HEXATRADEX,20120614,36.2,37.1,36.2,37,2256,0
HEXATRADEX,20120615,36.55,38.8,36.4,37,1810,0
HEXATRADEX,20120618,37.95,38,36.05,37.1,4117,0
HEXATRADEX,20120619,35.4,38,35.4,36.55,615,0
HEXATRADEX,20120620,36.55,38.35,36.55,38.35,2318,0
HEXATRADEX,20120621,40,40.25,37.75,40,12792,0
HEXATRADEX,20120622,41.75,41.75,38.5,39.5,1670,0
HEXATRADEX,20120625,37.75,39.8,37.75,39.1,2347,0
HEXATRADEX,20120626,39.75,40.7,38.9,40.15,3255,0
HEXATRADEX,20120627,40,41.5,39.5,40,2149,0
HEXATRADEX,20120628,39.15,41.6,39,39.4,2693,0
HEXATRADEX,20120629,40.9,40.9,38,38.45,4637,0
HEXATRADEX,20120702,40.35,40.35,38.15,39.35,3233,0
HEXATRADEX,20120703,41.2,41.2,38.95,39.9,10929,0
HEXATRADEX,20120704,38.1,40.85,38.1,40,3087,0
HEXATRADEX,20120705,40.8,42,39.15,40.85,3253,0
HEXATRADEX,20120706,40,41,39.55,40.1,5861,0
HEXATRADEX,20120709,40,40.9,39,39.95,40346,0
HEXATRADEX,20120710,36.55,40.7,36.55,39.9,51392,0
