SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
HGSL,20090123,108.25,135.2,108.25,125.1,2294,194
HGSL,20090127,148,148,124.1,126,2080,30
HGSL,20090128,124,125.6,124,125,168,138
HGSL,20090129,127,141.45,127,133.6,310,160
HGSL,20090130,134,134.85,126.5,130.15,318,311
HGSL,20090202,150,156.2,150,154.9,6254,5071
HGSL,20090203,160,184.9,131.4,143.55,14069,2726
HGSL,20090204,142.9,154,132.55,139,5122,3219
HGSL,20090205,140,143,124,128.5,2563,1401
HGSL,20090206,127.2,135.9,122,133.7,2292,1499
HGSL,20090209,129.6,135.8,129.5,132.45,1295,1123
HGSL,20090210,127.5,132,127.5,130.1,609,599
HGSL,20090211,125.6,130,125.6,125.95,1131,1009
HGSL,20090212,125.1,151,125,144.25,7458,3480
HGSL,20090213,140.9,142,132.5,136.75,2659,1605
HGSL,20090216,149.95,150,126.2,126.95,3074,2464
HGSL,20090217,130.8,130.8,122.95,123,502,463
HGSL,20090218,120.7,124.9,120.65,123.95,782,472
HGSL,20090219,122.75,125.8,122,122.65,1565,1380
HGSL,20090220,122.75,127.35,121.75,122.45,1388,1203
HGSL,20090224,122.75,128.95,108,114.4,2136,1441
HGSL,20090225,123.8,123.95,110.25,115.8,1907,986
HGSL,20090226,115,122.8,112.1,115.15,1779,1536
HGSL,20090227,112.65,117.7,110,112.35,1417,1117
HGSL,20090302,115.95,115.95,106,106.6,291,235
HGSL,20090303,107,113.75,102.55,105.3,1337,882
HGSL,20090304,103,105,101.55,102.2,2965,2529
HGSL,20090305,103.5,108.9,96,97.1,1076,963
HGSL,20090306,97.1,105,97,102.2,2355,1440
HGSL,20090309,104.95,105,97.55,100.7,606,466
HGSL,20090312,100,106.75,95,95.05,26116,25792
HGSL,20090313,93,104.5,93,102.75,1468,1182
HGSL,20090316,97.55,103.95,97.5,99.3,9787,8934
HGSL,20090317,98.6,102.75,98.35,99.4,1041,749
HGSL,20090318,100.4,108,100.4,106.55,1253,1148
HGSL,20090319,106.95,111.4,106.95,109.3,829,658
HGSL,20090320,105.65,114,105.65,111.2,1546,1343
HGSL,20090323,110.05,120,107.5,115.7,2717,2477
HGSL,20090324,109.3,127.5,109.3,116.2,2254,540
HGSL,20090325,108.8,114.8,108.8,111.7,2342,1420
HGSL,20090326,112.05,114,107.05,112.4,1795,1154
HGSL,20090327,110,115,110,111.2,2480,1929
HGSL,20090330,109.1,116.95,102,104.95,5810,4515
HGSL,20090331,104,111.35,103.05,106.3,9334,7885
HGSL,20090401,106.3,114.9,106,114.2,1782,1492
HGSL,20090402,113,135,112.15,130.9,14318,12324
HGSL,20090406,137.5,137.7,126.1,136.3,2645,2527
HGSL,20090408,136,142,130.5,140.75,9062,7319
HGSL,20090409,139.2,142,135,135.75,3263,2600
HGSL,20090413,144.25,145.05,135,144.2,8588,3379
HGSL,20090415,139.3,144,136,140,3596,2322
HGSL,20090416,137.35,144,130,135.3,7366,4388
HGSL,20090417,135.25,140.95,131.95,132.9,2092,1126
HGSL,20090420,143,143,131.55,136.55,1068,855
HGSL,20090421,140,140,135.3,138.05,526,436
HGSL,20090422,136.6,143.5,133.3,134.5,1401,1219
HGSL,20090424,133.6,139.6,133.6,133.85,727,511
HGSL,20090427,135,139.15,124,125.35,2440,0
HGSL,20090428,124.35,126.4,122.4,123.8,3370,2001
HGSL,20090429,123,125.05,121.7,124.05,10667,9870
HGSL,20090504,125,133,124.5,131.95,13818,10998
HGSL,20090505,132,147.95,132,138.9,11117,8759
HGSL,20090506,135.25,145.9,135.25,139.2,5732,4554
HGSL,20090507,145,145,137.4,142.65,14559,10892
HGSL,20090508,145,159.8,145,152.15,12326,10861
HGSL,20090511,155.5,174.85,155.5,161.25,9890,5637
HGSL,20090512,157,165,157,162.9,5261,4946
HGSL,20090513,162,175,161,171.2,8802,4875
HGSL,20090514,181.25,205.45,181.25,205.45,24448,17329
HGSL,20090515,226,226,224.4,226,6634,4621
HGSL,20090519,248.6,248.6,232,248.6,20111,17006
HGSL,20090520,254.85,273.5,240.05,270.75,16256,13211
HGSL,20090521,250.4,285,250.4,278.85,23129,18998
HGSL,20090522,281,285,267.2,281.25,11109,9066
HGSL,20090525,283,295.35,276.25,295.35,8924,7936
HGSL,20090526,309,309,280.6,282.1,34693,32847
HGSL,20090527,290,296.25,282.05,288.2,12369,8125
HGSL,20090528,297.55,302.6,285,302.6,8713,7454
HGSL,20090529,317,317.6,302.1,314.45,6221,5700
HGSL,20090601,314.9,320,300,312,5820,3797
HGSL,20090602,305.15,317.9,300,305.25,4239,3082
HGSL,20090603,315,315,291.2,301,3652,1436
HGSL,20090604,292.55,307.95,288.55,304.4,6318,4556
HGSL,20090605,295.05,306,295.05,299.1,650,495
HGSL,20090608,312,312,285,285,2617,1845
HGSL,20090609,280.15,290,280.1,287.05,611,532
HGSL,20090610,292,300,275.2,277.95,1000,808
HGSL,20090611,276.1,288,265,270.35,15443,15032
HGSL,20090612,268,283.9,268,283.9,1816,1724
HGSL,20090615,272.75,278.95,270.65,272.5,1636,1236
HGSL,20090616,270,278,265.05,274.05,421,293
HGSL,20090617,270,287.75,270,284.5,3813,3526
HGSL,20090618,290,296,271.5,294.3,12966,12090
HGSL,20090619,285.05,290,279.6,286.45,1944,1116
HGSL,20090622,276.5,282,276,278.95,243,130
HGSL,20090623,266.65,283,266.3,280,1856,1155
HGSL,20090624,271.55,279.8,271.55,277.7,564,345
HGSL,20090625,271.25,287.35,271.25,275,309,236
HGSL,20090626,272,285,270.1,282.7,478,372
HGSL,20090629,273.15,280,269,270.3,6085,4052
HGSL,20090630,270.4,280,268.55,269.75,5831,5184
HGSL,20090701,269,277.85,262,275.15,1228,535
HGSL,20090702,270,288.9,270,288.9,9451,8602
HGSL,20090703,282.65,299,282.65,294.7,3410,2189
HGSL,20090706,304.7,305,280,282.9,2684,2000
HGSL,20090707,291.95,304,277.65,298.85,17098,0
HGSL,20090708,290.1,295,278.1,285.85,1943,1563
HGSL,20090709,287,289.9,282.2,284.75,952,597
HGSL,20090710,285.1,293.8,280,283.4,1964,1757
HGSL,20090713,281.7,286,266.25,280.45,2564,1860
HGSL,20090714,280.45,298.95,280.45,294.5,2792,2663
HGSL,20090715,296.9,338.05,292,327.35,9188,5765
HGSL,20090716,342,350,316.05,333.9,4007,0
HGSL,20090717,326,355,326,351.8,8256,6775
HGSL,20090720,344,347,320,327.7,3309,1962
HGSL,20090721,330,331.95,309,310.7,2295,1976
HGSL,20090722,309.4,320,301.25,308.45,765,592
HGSL,20090723,301.5,315,301.5,312.3,1191,751
HGSL,20090724,308,324,303.2,308.05,930,828
HGSL,20090727,302,320,302,312.7,1099,979
HGSL,20090728,323,375.25,323,375.25,17149,10425
