SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
HIMACHLFUT,19941216,147.5,147.5,147.5,147.5,100,0
HIMACHLFUT,19941219,149,149,149,149,100,0
HIMACHLFUT,19941220,148,148,148,148,100,0
HIMACHLFUT,19941221,147.5,147.5,147.5,147.5,100,0
HIMACHLFUT,19941223,137.5,137.5,137.5,137.5,200,0
HIMACHLFUT,19941226,142,142,142,142,100,0
HIMACHLFUT,19941230,142,142,140,140,200,0
HIMACHLFUT,19950103,142,142,142,142,100,0
HIMACHLFUT,19950104,139.75,139.75,139.75,139.75,100,0
HIMACHLFUT,19950106,138,138,138,138,100,0
HIMACHLFUT,19950109,140,140,135,135,200,0
HIMACHLFUT,19950113,135,135,135,135,200,0
HIMACHLFUT,19950116,130,130,130,130,100,0
HIMACHLFUT,19950117,135,135,131,135,500,0
HIMACHLFUT,19950119,140,140,140,140,100,0
HIMACHLFUT,19950120,137,137.5,137,137.5,200,0
HIMACHLFUT,19950123,134,134,134,134,100,0
HIMACHLFUT,19950125,130,130,130,130,100,0
HIMACHLFUT,19950127,130,130,130,130,100,0
HIMACHLFUT,19950131,129.75,129.75,129.75,129.75,100,0
HIMACHLFUT,19950201,127,127.5,127,127.5,2500,0
HIMACHLFUT,19950202,125,125,123,123,200,0
HIMACHLFUT,19950206,125,125,124,124,200,0
HIMACHLFUT,19950207,124,130,115,115,500,0
HIMACHLFUT,19950208,120,120,117,117,700,0
HIMACHLFUT,19950209,118,120,118,120,1600,0
HIMACHLFUT,19950210,124,124,124,124,100,0
HIMACHLFUT,19950214,121,121,121,121,100,0
HIMACHLFUT,19950215,120,120,120,120,100,0
HIMACHLFUT,19950220,113,113,113,113,1300,0
HIMACHLFUT,19950221,111,113,111,113,3000,0
HIMACHLFUT,19950223,112,112,112,112,300,0
HIMACHLFUT,19950224,113,115,113,115,200,0
HIMACHLFUT,19950228,113,117.5,113,117.5,3200,0
HIMACHLFUT,19950301,115,115,115,115,500,0
HIMACHLFUT,19950303,113,113,113,113,2000,0
HIMACHLFUT,19950306,113,113,113,113,100,0
HIMACHLFUT,19950307,119,119,119,119,200,0
HIMACHLFUT,19950308,117,117,117,117,100,0
HIMACHLFUT,19950313,111,116,111,116,1000,0
HIMACHLFUT,19950314,110,115,110,115,800,0
