SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
HITECHCORP,20170523,204.05,204.85,196.85,198.5,14621,9514
HITECHCORP,20170524,196.3,202.5,194,195.9,7046,4284
HITECHCORP,20170525,191.95,199.55,191.95,197.55,5089,3486
HITECHCORP,20170526,196.4,207.9,192.05,205.5,9261,6552
HITECHCORP,20170529,210,210,201.35,202.45,3025,1655
HITECHCORP,20170530,200,201.4,197.2,197.5,3138,2405
HITECHCORP,20170531,196.7,199.8,196.2,198.05,6942,5852
HITECHCORP,20170601,196.2,205,196.2,198.75,2120,1610
HITECHCORP,20170602,199.05,201.95,197.9,198.4,2463,1417
HITECHCORP,20170605,198.75,204.75,196.55,199.75,1055,699
HITECHCORP,20170606,196.05,205.95,195.7,199.5,6679,3222
HITECHCORP,20170607,198.45,202.2,188,192.15,27316,15824
HITECHCORP,20170608,193,196.25,191.05,195.15,7305,5833
HITECHCORP,20170609,194.3,198.5,193.05,197.9,8630,6205
HITECHCORP,20170612,195.2,207,191.25,195.25,9632,6625
HITECHCORP,20170613,198.9,202.45,196.75,197.3,6223,3930
HITECHCORP,20170614,200.95,201,197,197.5,5539,3612
HITECHCORP,20170615,195,203,193.55,197.9,6688,3853
HITECHCORP,20170616,197.55,200,194.5,194.9,12425,9385
HITECHCORP,20170619,200,203,193.1,196.3,12015,6005
HITECHCORP,20170620,200.95,200.95,194.95,196.25,9517,5260
HITECHCORP,20170621,195,200,194.8,195.5,7095,4492
HITECHCORP,20170622,196,210,194.6,202.7,19452,14535
HITECHCORP,20170623,200,222,196.05,217.5,97522,46105
HITECHCORP,20170627,225.4,231,214,220.65,126911,54894
HITECHCORP,20170628,219.85,227.4,215.1,218.25,47111,31218
HITECHCORP,20170629,219,222.8,217,217.5,10353,6216
HITECHCORP,20170630,217.5,223.3,212.95,219.05,21682,14990
HITECHCORP,20170703,213,225,213,216.75,9050,5953
HITECHCORP,20170704,215,218.95,208.15,211.8,23103,11357
HITECHCORP,20170705,217.9,217.9,209.15,212.65,15139,9783
HITECHCORP,20170706,212.2,217.9,206.3,213.9,8576,2990
HITECHCORP,20170707,211.05,215,210.1,212.05,6337,4442
HITECHCORP,20170710,211.05,218,211.05,212.05,1183,966
HITECHCORP,20170711,208.3,213.55,204,205.2,15662,11836
HITECHCORP,20170712,207,207.95,204.2,205.7,3368,0
HITECHCORP,20170713,205.5,207.95,202,202.7,9317,6616
HITECHCORP,20170714,201,215.9,192.25,213.15,30293,16056
