SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
HORIZONBAT,19961211,33,33,33,33,100,0
HORIZONBAT,19980423,34,34,34,34,100,0
HORIZONBAT,20080125,82.3,82.3,82.3,82.3,5400,5400
HORIZONBAT,20080128,98.8,98.8,98.8,98.8,1950,1950
HORIZONBAT,20080129,118.6,118.6,118.6,118.6,1600,1600
HORIZONBAT,20080130,142.35,142.35,142.35,142.35,2500,0
HORIZONBAT,20080131,170.85,170.85,170.85,170.85,1000,1000
HORIZONBAT,20080201,205.05,205.05,205.05,205.05,1350,1350
HORIZONBAT,20080204,246.1,246.1,246.1,246.1,525,525
HORIZONBAT,20080205,270.75,270.75,270.75,270.75,223,223
HORIZONBAT,20080206,297.85,297.85,297.85,297.85,3500,3500
HORIZONBAT,20080207,327.65,327.65,327.65,327.65,900,900
HORIZONBAT,20080208,344.05,344.05,344.05,344.05,186485,0
HORIZONBAT,20080211,361.25,361.25,361.25,361.25,146,0
HORIZONBAT,20080212,379.35,379.35,379.35,379.35,18435,0
HORIZONBAT,20080213,398.35,398.35,398.35,398.35,48526,0
HORIZONBAT,20080214,418.3,418.3,418.3,418.3,450,0
HORIZONBAT,20080215,439.25,439.25,439.25,439.25,4850,0
HORIZONBAT,20080218,461.25,461.25,461.25,461.25,700,0
HORIZONBAT,20080219,484.35,484.35,484.35,484.35,675,0
HORIZONBAT,20080220,508.6,508.6,508.6,508.6,1126,0
HORIZONBAT,20080221,534.05,534.05,534.05,534.05,604,0
