SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ICICIBANK,19970924,49,51,48,49.65,6730,0
ICICIBANK,19970925,50,51.25,49,50.8,4947,0
ICICIBANK,19970926,50,51.45,50,50.4,1050,0
ICICIBANK,19970929,49.45,51,49.45,50,1945,0
ICICIBANK,19970930,49,49,47.5,47.5,240,0
ICICIBANK,19971001,47.5,47.5,46.5,47,5510,0
ICICIBANK,19971009,48,48.45,47.1,48.4,552,0
ICICIBANK,19971010,48.7,48.7,48,48,487,0
ICICIBANK,19971013,48.3,48.35,47.5,47.5,1910,0
ICICIBANK,19971014,46.05,47.7,45.85,46.05,678,0
ICICIBANK,19971015,46,47,46,46.2,550,0
ICICIBANK,19971016,47.75,47.75,47.25,47.7,262,0
ICICIBANK,19971017,48,48,48,48,2,0
ICICIBANK,19971020,47,48,47,48,316,0
ICICIBANK,19971021,47.5,51.55,47.5,51.05,58480,0
ICICIBANK,19971022,51.25,52.2,50.5,51.5,14400,0
ICICIBANK,19971023,52,52,50,51,401,0
ICICIBANK,19971024,50,50,50,50,100,0
ICICIBANK,19971027,48.05,48.5,47.5,47.95,120,0
ICICIBANK,19971028,47.65,48,44.5,45.7,982700,0
ICICIBANK,19971029,48.95,49,48.95,49,50,0
ICICIBANK,19971030,48.05,48.05,48,48,100,0
ICICIBANK,19971103,48,48.5,48,48.5,10,0
ICICIBANK,19971104,47,47,47,47,100,0
ICICIBANK,19971105,48.5,48.5,47,47,250,0
ICICIBANK,19971106,47.3,47.8,47.3,47.75,107000,0
ICICIBANK,19971107,47.5,47.5,47.5,47.5,100,0
ICICIBANK,19971110,46.5,46.5,46.5,46.5,200,0
ICICIBANK,19971111,46,47.5,45.65,47.05,155400,0
ICICIBANK,19971112,46.5,46.5,46.5,46.5,300,0
ICICIBANK,19971113,42.55,43,42.55,43,20,0
ICICIBANK,19971117,43.8,43.8,43.8,43.8,1000,0
ICICIBANK,19971118,44.5,44.5,44.5,44.5,240,0
ICICIBANK,19971119,42.5,44,42.5,44,1100,0
ICICIBANK,19971120,42.5,42.5,42.5,42.5,2000,0
ICICIBANK,19971121,42.5,42.5,42.5,42.5,400,0
ICICIBANK,19971124,42.45,43.1,41.8,42,69600,0
ICICIBANK,19971125,42.5,42.5,42.25,42.25,200,0
ICICIBANK,19971126,44,44,43,43,50,0
ICICIBANK,19971127,43,43,43,43,500,0
ICICIBANK,19971128,43.5,43.8,43,43.1,34700,0
ICICIBANK,19971201,42.5,42.5,41.2,42.35,62700,0
ICICIBANK,19971202,42,42,42,42,22,0
ICICIBANK,19971203,41.95,42.05,40.75,41,82600,0
ICICIBANK,19971204,40.1,40.5,37.5,38.35,133300,0
ICICIBANK,19971205,37.75,38.75,37.25,37.3,310900,0
ICICIBANK,19971208,36.5,36.5,36.5,36.5,113,0
ICICIBANK,19971209,36.25,36.45,35.6,36.15,135000,0
ICICIBANK,19971210,36,36.2,35.25,35.55,129800,0
ICICIBANK,19971211,35.5,36.5,35.5,36.25,47900,0
ICICIBANK,19971212,36.5,37,36,36.25,73100,0
ICICIBANK,19971215,36.45,36.85,36.15,36.6,28100,0
ICICIBANK,19971216,36.8,38.9,36.7,38.35,97800,0
ICICIBANK,19971217,40,40,40,40,5,0
ICICIBANK,19971218,39.75,41,39.5,40.25,104700,0
ICICIBANK,19971219,41,41,41,41,10,0
ICICIBANK,19971222,41.5,41.5,41.5,41.5,1,0
ICICIBANK,19971223,42.4,42.85,41.8,42.05,69100,0
ICICIBANK,19971224,41,41,41,41,5,0
ICICIBANK,19971226,42,42,40,40,6,0
ICICIBANK,19971229,41.5,41.5,41.5,41.5,50,0
ICICIBANK,19971230,40.05,40.05,40,40,7,0
ICICIBANK,19971231,42.5,43.7,42.3,42.65,83100,0
ICICIBANK,19980101,43.25,43.25,42.6,43.1,41000,0
ICICIBANK,19980102,43.35,44.25,43.15,43.25,91400,0
ICICIBANK,19980105,44,44,44,44,1,0
ICICIBANK,19980106,43.5,43.5,42.75,43,103300,0
ICICIBANK,19980107,44,44,44,44,1,0
ICICIBANK,19980108,43.35,43.35,40.75,40.95,172800,0
ICICIBANK,19980109,40.1,41.5,37.5,38.35,355700,0
ICICIBANK,19980112,37.05,38.7,36.4,37.2,319300,0
ICICIBANK,19980113,38.6,38.6,38.6,38.6,50,0
ICICIBANK,19980114,40,41.8,38.75,41.15,324800,0
ICICIBANK,19980115,39,39,39,39,10,0
ICICIBANK,19980116,40.5,44.15,40.3,44.15,566900,0
ICICIBANK,19980119,44.5,47.5,44.5,47.35,909200,0
ICICIBANK,19980120,47.5,47.5,47.5,47.5,5,0
ICICIBANK,19980121,48,48,48,48,1,0
ICICIBANK,19980122,50.2,50.2,47.65,48.05,687900,0
ICICIBANK,19980123,48,48,45,46,542900,0
ICICIBANK,19980127,45.55,46.85,43.5,43.75,290800,0
ICICIBANK,19980128,44,44,44,44,1,0
ICICIBANK,19980129,43.75,45.8,43.75,45.5,176600,0
ICICIBANK,19980130,45.75,46.9,44.9,45.55,304300,0
ICICIBANK,19980202,46.9,47.2,45.5,46.95,191700,0
ICICIBANK,19980203,47.25,47.4,42.85,43.2,378900,0
ICICIBANK,19980204,44.25,44.25,39.75,40.4,947600,0
ICICIBANK,19980205,41,42.25,40.7,41.85,187400,0
ICICIBANK,19980206,41.7,42,41.05,41.4,190400,0
ICICIBANK,19980209,41.9,41.9,40.75,40.95,83900,0
ICICIBANK,19980210,40.55,40.8,39.5,39.7,278400,0
ICICIBANK,19980211,40,41,39.95,40.8,89000,0
ICICIBANK,19980212,40.3,41.7,40.3,41.35,63100,0
ICICIBANK,19980213,40.75,41.6,40.6,41.35,45300,0
ICICIBANK,19980217,42.5,42.5,42.5,42.5,132,0
ICICIBANK,19980218,42.8,42.85,42.05,42.3,84400,0
ICICIBANK,19980219,42.6,42.8,42.35,42.5,43200,0
ICICIBANK,19980220,42.6,42.85,42.3,42.4,45800,0
ICICIBANK,19980223,42.35,43.05,42.2,42.85,106900,0
ICICIBANK,19980224,43,43.7,43,43.45,162200,0
ICICIBANK,19980225,45,45,45,45,1,0
ICICIBANK,19980226,41.5,41.5,41.5,41.5,5,0
ICICIBANK,19980227,44.75,45.45,44.6,45.05,114400,0
ICICIBANK,19980302,45.25,46.5,45,46.15,217500,0
ICICIBANK,19980303,46.4,46.4,43.7,44.25,178500,0
ICICIBANK,19980304,44.5,46.75,44,46.3,183800,0
ICICIBANK,19980305,46,46,46,46,5,0
ICICIBANK,19980306,44.5,45.95,44.25,45.95,41,0
ICICIBANK,19980309,46.95,50,46.5,46.95,158200,0
ICICIBANK,19980310,46.95,47.5,46.5,46.8,171900,0
ICICIBANK,19980311,47.9,47.9,46,46.45,64400,0
ICICIBANK,19980312,46.55,46.75,46,46.45,67200,0
ICICIBANK,19980316,47,48,46.55,46.6,44100,0
ICICIBANK,19980317,46.3,46.5,45.75,46.1,70000,0
ICICIBANK,19980318,47.5,48,46.75,46.9,69400,0
ICICIBANK,19980319,47.4,47.4,45.5,45.8,64000,0
ICICIBANK,19980320,45.75,46.4,45.55,46.15,35500,0
ICICIBANK,19980323,46,46.3,45.8,45.85,9600,0
ICICIBANK,19980324,45,45,45,45,30,0
ICICIBANK,19980325,47,47,47,47,50,0
ICICIBANK,19980326,50,50,46.8,47.15,128300,0
ICICIBANK,19980327,46.7,48,46.05,47.85,44700,0
ICICIBANK,19980330,48.2,48.2,46.3,46.45,48900,0
ICICIBANK,19980331,46,46.8,45,45.15,105000,0
ICICIBANK,19980401,46.9,47.9,46.25,47.25,107300,0
ICICIBANK,19980402,47.75,48.25,45.75,45.95,106600,0
ICICIBANK,19980403,47,47,47,47,1,0
ICICIBANK,19980406,47.9,47.9,45.1,47.1,251500,0
ICICIBANK,19980407,47,47,45,46.5,109,0
ICICIBANK,19980409,47,47,47,47,10,0
ICICIBANK,19980410,56.45,56.95,52.3,55.3,1060100,0
ICICIBANK,19980413,54.8,57.25,54.05,56.55,856900,0
ICICIBANK,19980415,57,60,57,60,10,0
ICICIBANK,19980416,65,65,65,65,1,0
ICICIBANK,19980417,56.75,58,56.1,57.8,626500,0
ICICIBANK,19980420,56.9,58.5,56.25,57,785300,0
ICICIBANK,19980421,57,58.4,56.75,57.95,937500,0
ICICIBANK,19980422,58.4,58.9,52.5,54.55,1071300,0
ICICIBANK,19980423,52.5,55.65,52,52.5,784600,0
ICICIBANK,19980424,52.2,53,50.1,52.7,668200,0
ICICIBANK,19980427,53,53.4,52.05,52.35,338400,0
ICICIBANK,19980428,52.65,54.85,51.75,54.35,655400,0
ICICIBANK,19980429,55,55.1,50.65,51.1,786700,0
ICICIBANK,19980430,50.35,51.9,50.05,51.65,370800,0
ICICIBANK,19980504,52,52.1,50.5,51.1,283500,0
ICICIBANK,19980505,51,51,51,51,1,0
ICICIBANK,19980506,51.05,51.6,47.6,48.45,635600,0
ICICIBANK,19980508,48.1,48.1,46.5,46.65,554300,0
ICICIBANK,19980511,45.05,47,45.05,46.8,594000,0
ICICIBANK,19980512,46.5,47,42.15,42.3,1808700,0
ICICIBANK,19980513,42,42.85,41,41.35,260000,0
ICICIBANK,19980514,40.6,44.25,40.6,43.95,358200,0
ICICIBANK,19980515,43.7,44.3,42.3,43.45,285800,0
ICICIBANK,19980518,42.65,43.75,42.65,43.2,78100,0
ICICIBANK,19980519,44.3,44.3,42.95,44,182900,0
ICICIBANK,19980520,45.1,45.1,45.1,45.1,50,0
ICICIBANK,19980521,46.5,46.5,44.25,44.6,135900,0
ICICIBANK,19980522,43.5,43.5,43.5,43.5,7,0
ICICIBANK,19980525,45.75,45.75,44.35,44.75,79000,0
ICICIBANK,19980526,42.5,42.5,42.5,42.5,25,0
ICICIBANK,19980527,43.5,43.85,42.75,43.1,65200,0
ICICIBANK,19980528,43.45,43.5,42.1,42.25,47300,0
ICICIBANK,19980529,42,42.7,41,41.8,88200,0
ICICIBANK,19980601,42.5,43.4,41.5,41.75,99900,0
ICICIBANK,19980602,41.1,42.35,38.1,39.1,157700,0
ICICIBANK,19980603,40.9,40.9,39.65,40,130300,0
ICICIBANK,19980604,40.85,41.25,39.65,39.9,82800,0
ICICIBANK,19980605,40,40,38,38.15,78900,0
ICICIBANK,19980608,39.25,39.25,35.1,36.2,165100,0
ICICIBANK,19980609,36.25,38.45,35.25,37.7,304200,0
ICICIBANK,19980610,38,38.5,37.5,38,125100,0
ICICIBANK,19980611,37.55,38,37,38,56900,0
ICICIBANK,19980612,38,38.5,37.7,37.9,83000,0
ICICIBANK,19980615,37.5,37.9,36.5,36.65,67700,0
ICICIBANK,19980616,36.05,36.05,34.1,35.25,166600,0
ICICIBANK,19980617,37,38.8,36.1,38.05,137200,0
ICICIBANK,19980618,38.5,38.8,37,37.3,63100,0
ICICIBANK,19980619,37,37,34.95,35.05,87800,0
ICICIBANK,19980622,34.8,34.8,32,33.25,83300,0
ICICIBANK,19980623,33.4,33.4,32,32.25,126100,0
ICICIBANK,19980624,32.9,34,32.8,33.8,110500,0
ICICIBANK,19980625,34.5,35.5,34,34.7,117400,0
ICICIBANK,19980626,34.5,34.5,33.45,33.6,80000,0
ICICIBANK,19980629,33.1,34.2,33.05,33.5,67600,0
ICICIBANK,19980630,33.7,34,32.7,32.8,92900,0
ICICIBANK,19980701,33.3,33.4,32.45,32.65,70100,0
ICICIBANK,19980702,32.5,33.35,32.1,32.4,64500,0
ICICIBANK,19980703,32.5,33,32.1,32.4,31500,0
ICICIBANK,19980706,33,33,32.25,32.9,29300,0
ICICIBANK,19980707,32.95,33.25,32.5,32.8,67600,0
ICICIBANK,19980708,33.9,35.4,33.3,35.05,128900,0
ICICIBANK,19980709,35.25,35.9,34.75,34.9,62500,0
ICICIBANK,19980710,33.85,36.45,33.8,36.1,101200,0
ICICIBANK,19980713,34.55,39,34.55,38.95,300200,0
ICICIBANK,19980714,38.5,42.1,37.75,41.55,278700,0
ICICIBANK,19980715,44,44,44,44,5,0
ICICIBANK,19980716,40.25,40.85,39.45,39.75,94500,0
ICICIBANK,19980717,40.05,40.5,38.9,39.2,70900,0
ICICIBANK,19980720,39.25,39.75,36.55,36.8,84900,0
ICICIBANK,19980721,36.5,39.2,35.55,37.75,191900,0
ICICIBANK,19980722,38.15,38.4,37.25,37.6,44100,0
ICICIBANK,19980723,37.5,37.5,36.25,36.4,29000,0
ICICIBANK,19980724,38,38,38,38,1,0
ICICIBANK,19980727,36.85,36.85,35.1,36.05,45900,0
ICICIBANK,19980728,36.05,36.8,35.5,35.85,66000,0
ICICIBANK,19980729,38,38,38,38,4,0
ICICIBANK,19980730,36.95,37.9,36.25,36.8,45400,0
ICICIBANK,19980731,37,37.1,36.4,36.55,26000,0
ICICIBANK,19980803,36.05,36.25,35.3,35.55,25600,0
ICICIBANK,19980804,35.7,36,35.3,35.65,51600,0
ICICIBANK,19980805,35.7,36.3,35.6,36.15,25000,0
ICICIBANK,19980806,36,37,36,36.8,124400,0
ICICIBANK,19980807,36.3,37.05,36.3,36.9,24400,0
ICICIBANK,19980810,36,36,36,36,2,0
ICICIBANK,19980811,37,38,36.75,37.35,109300,0
ICICIBANK,19980812,37.25,37.55,36.4,36.9,110400,0
ICICIBANK,19980813,36.8,37.5,36.75,37.2,28400,0
ICICIBANK,19980814,37,37,37,37,5,0
ICICIBANK,19980817,37.5,37.5,36.6,36.85,26600,0
ICICIBANK,19980818,36.85,37,36.1,36.7,70600,0
ICICIBANK,19980819,36.9,39.2,36.65,38.7,162700,0
ICICIBANK,19980820,39,39,37.9,38.6,41000,0
ICICIBANK,19980821,38.05,38.6,37.6,37.7,29100,0
ICICIBANK,19980824,38,38.1,37.6,37.75,17800,0
ICICIBANK,19980825,38.25,38.25,37.5,37.9,52000,0
ICICIBANK,19980827,38.9,38.9,37.8,37.9,28300,0
ICICIBANK,19980828,37.15,37.95,36.1,36.6,59700,0
ICICIBANK,19980831,37.25,37.25,36.35,36.95,43300,0
ICICIBANK,19980901,35.1,36.65,35.1,36.3,39500,0
ICICIBANK,19980902,39.2,39.2,39.2,39.2,5,0
ICICIBANK,19980903,39.9,39.9,38.2,38.4,36300,0
ICICIBANK,19980904,38.15,38.6,37.85,38.35,31000,0
ICICIBANK,19980907,38.5,39.65,38.05,39.5,81200,0
ICICIBANK,19980908,39.9,39.9,38.5,39.35,61800,0
ICICIBANK,19980909,40,42.25,40,42.25,15,0
ICICIBANK,19980910,41.95,41.95,41.95,41.95,1,0
ICICIBANK,19980911,40.95,40.95,37,40.95,11,0
ICICIBANK,19980914,37.05,37.05,37,37,15,0
ICICIBANK,19980915,37.1,37.1,36.25,36.7,328600,0
ICICIBANK,19980916,37,37.5,36.8,37.2,343900,0
ICICIBANK,19980917,37.25,38,37,37.25,248900,0
ICICIBANK,19980918,37.15,37.35,36.9,37,26900,0
ICICIBANK,19980921,39,39,39,39,1,0
ICICIBANK,19980922,37,37,35.9,36.6,159000,0
ICICIBANK,19980923,36.9,37,36.05,36.95,214300,0
ICICIBANK,19980924,37.35,38.2,36.9,37.35,306900,0
ICICIBANK,19980925,37.5,37.95,37.25,37.4,29200,0
ICICIBANK,19980928,37.3,37.8,36.7,37.5,67600,0
ICICIBANK,19980929,37.55,37.55,35.95,36.05,73900,0
ICICIBANK,19980930,35.05,35.05,35.05,35.05,1,0
ICICIBANK,19981005,34,34.25,32.65,32.65,44500,0
ICICIBANK,19981006,35,35,35,35,1,0
ICICIBANK,19981007,33,33,33,33,30,0
ICICIBANK,19981008,32.6,32.8,32.1,32.1,44600,0
ICICIBANK,19981009,32,32.4,29.55,29.6,82900,0
ICICIBANK,19981012,30,30,27.25,27.25,57000,0
ICICIBANK,19981013,26.05,27.1,25.1,25.15,306700,0
ICICIBANK,19981014,26.85,27.2,25.95,27.2,92900,0
ICICIBANK,19981015,27.9,28.5,27.5,27.8,104300,0
ICICIBANK,19981016,28,28,28,28,50,0
ICICIBANK,19981019,28.5,28.5,26.8,26.95,37300,0
ICICIBANK,19981020,26.6,26.9,26,26.1,72000,0
ICICIBANK,19981022,26.75,27,26.15,26.6,44500,0
ICICIBANK,19981023,26.6,27.45,26.6,27.3,43800,0
ICICIBANK,19981026,29.4,29.5,28.5,29.35,67200,0
ICICIBANK,19981027,29.5,29.5,28.05,28.35,60900,0
ICICIBANK,19981028,28,29.25,28,28.55,34100,0
ICICIBANK,19981029,28.8,28.8,27.7,28.05,18300,0
ICICIBANK,19981030,28,28.15,27.2,27.4,59700,0
ICICIBANK,19981031,26.7,27.3,26.6,27.15,6500,0
ICICIBANK,19981102,26.6,27.15,26.3,26.35,35200,0
ICICIBANK,19981103,26.8,26.8,25.1,25.25,55400,0
ICICIBANK,19981105,25.9,25.9,25.15,25.3,53800,0
ICICIBANK,19981106,25.5,25.95,25.15,25.3,84600,0
ICICIBANK,19981109,25.25,26,24.5,24.9,294700,0
ICICIBANK,19981110,25,25.5,24.5,25.25,308300,0
ICICIBANK,19981111,26.25,27.3,26.2,27.25,449200,0
ICICIBANK,19981112,27,29.45,26.9,29.45,598400,0
ICICIBANK,19981113,29.05,29.8,28.05,28.4,304300,0
ICICIBANK,19981116,28.15,28.7,27.65,27.95,189200,0
ICICIBANK,19981117,27.9,28.05,27.55,27.85,175100,0
ICICIBANK,19981118,28.3,28.6,27.9,28.4,206000,0
ICICIBANK,19981119,28.75,28.75,27.8,27.8,105900,0
ICICIBANK,19981120,28.1,28.1,26.5,26.85,110200,0
ICICIBANK,19981121,26.3,26.8,26.3,26.75,10100,0
ICICIBANK,19981123,26.75,26.75,25.8,25.85,63500,0
ICICIBANK,19981124,25.95,26.1,25.5,25.55,140000,0
ICICIBANK,19981126,25.45,25.75,24.6,25,293000,0
ICICIBANK,19981127,24.9,24.9,23.9,24.2,173500,0
ICICIBANK,19981128,24.05,24.7,23.9,24,78100,0
ICICIBANK,19981130,24,24.35,23.85,24.2,47800,0
ICICIBANK,19981201,24.3,24.5,23.75,23.85,110800,0
ICICIBANK,19981202,24.2,24.65,24.2,24.35,63400,0
ICICIBANK,19981203,24.55,24.65,24,24.15,57000,0
ICICIBANK,19981204,24.05,24.25,23.95,24.1,37000,0
ICICIBANK,19981207,24.1,24.5,24,24.5,45500,0
ICICIBANK,19981208,24.5,24.5,24.15,24.4,88800,0
ICICIBANK,19981209,24.6,24.9,24.4,24.55,59300,0
ICICIBANK,19981210,24.8,24.8,24.4,24.45,15300,0
ICICIBANK,19981211,24.5,24.6,24.2,24.3,20400,0
ICICIBANK,19981214,24.35,24.45,24,24,27600,0
ICICIBANK,19981215,24,24,23.5,23.6,46400,0
ICICIBANK,19981216,24,24,23.4,23.95,25000,0
ICICIBANK,19981217,23.15,23.9,22.65,22.85,40100,0
ICICIBANK,19981218,23,23.1,22.25,22.6,63800,0
ICICIBANK,19981221,22.8,22.95,22.5,22.7,49300,0
ICICIBANK,19981222,22.9,22.9,21.8,21.8,62800,0
ICICIBANK,19981223,22,22.4,22,22.1,64100,0
ICICIBANK,19981224,22.2,22.3,21.7,21.75,42300,0
ICICIBANK,19981228,21.6,22.6,21.55,22.5,74900,0
ICICIBANK,19981229,22.5,22.5,22,22.05,57500,0
ICICIBANK,19981230,22.7,23.85,22.55,23.5,335700,0
ICICIBANK,19981231,23.95,23.95,22,22.05,235700,0
ICICIBANK,19990101,22.2,22.45,21.95,22.45,76900,0
ICICIBANK,19990104,22.95,22.95,21.9,22,133500,0
ICICIBANK,19990105,22.2,22.25,21.85,22.25,221600,0
ICICIBANK,19990106,22.95,23.6,22,22.2,396100,0
ICICIBANK,19990107,22.05,24,22.05,24,786300,0
ICICIBANK,19990108,25.4,25.95,24.3,25.95,928600,0
ICICIBANK,19990111,27.3,28.05,26.25,26.75,898400,0
ICICIBANK,19990112,26.1,27,25.1,25.55,623000,0
ICICIBANK,19990113,26.4,27.1,25.35,25.6,366200,0
ICICIBANK,19990114,25,25.4,23.55,25,136500,0
ICICIBANK,19990115,25.05,25.05,23.15,23.2,163000,0
ICICIBANK,19990118,23.3,24.7,22.1,24.6,269100,0
ICICIBANK,19990119,24.25,24.65,23.4,23.9,224700,0
ICICIBANK,19990121,24.25,25.45,23.75,25.45,130600,0
ICICIBANK,19990122,25.8,25.8,24.1,24.5,175000,0
ICICIBANK,19990125,24.5,25.25,23.55,24.65,152700,0
ICICIBANK,19990127,24.35,25.75,24.35,25.5,143200,0
ICICIBANK,19990128,25.5,25.65,24.5,25.6,150100,0
ICICIBANK,19990129,25.9,25.9,23.9,25,241600,0
ICICIBANK,19990201,24.2,24.6,23.75,24,168600,0
ICICIBANK,19990202,23.6,23.95,22.7,23,226700,0
ICICIBANK,19990203,23.75,24.25,22.7,23,128200,0
ICICIBANK,19990204,23.1,23.2,22.5,22.75,68000,0
ICICIBANK,19990205,22.55,22.55,21.75,21.85,143200,0
ICICIBANK,19990208,21.55,22.05,21.15,21.35,235800,0
ICICIBANK,19990209,21.25,22,20.75,21.8,135300,0
ICICIBANK,19990210,22.5,22.6,22,22.5,58400,0
ICICIBANK,19990211,22.75,23.7,22.15,23,229600,0
ICICIBANK,19990212,23.2,24.05,23,23.7,223600,0
ICICIBANK,19990215,23.85,24,22.8,23,306500,0
ICICIBANK,19990216,23.2,23.95,22.85,23.2,376800,0
ICICIBANK,19990217,22.5,24.25,22.5,24.25,224900,0
ICICIBANK,19990218,23.6,25.25,23.6,25,247200,0
ICICIBANK,19990219,24.35,26,24.35,25.25,185100,0
ICICIBANK,19990222,25.15,25.5,24.25,25.25,186900,0
ICICIBANK,19990223,25.25,26,24.75,25.7,217900,0
ICICIBANK,19990224,25.9,26,25,25,80300,0
ICICIBANK,19990225,25,25.6,24.9,25.55,115700,0
ICICIBANK,19990226,25.15,25.45,24,25,175800,0
ICICIBANK,19990227,25.1,26.2,24.95,26,114700,0
ICICIBANK,19990301,25.55,27.3,25.55,26.95,266600,0
ICICIBANK,19990303,29,29.15,28.1,29.15,245300,0
ICICIBANK,19990304,29.9,31.25,27.7,31.1,545900,0
ICICIBANK,19990305,31,32.45,30.7,31.4,443500,0
ICICIBANK,19990308,31.5,32.15,30.55,31,238500,0
ICICIBANK,19990309,30.55,31.4,28.55,29.25,335100,0
ICICIBANK,19990310,29.9,30,26.95,26.95,93800,0
ICICIBANK,19990311,27.5,28,26.6,27.45,98700,0
ICICIBANK,19990312,27,27.95,26.8,27.45,152200,0
ICICIBANK,19990315,27.7,27.7,26.75,26.75,247200,0
ICICIBANK,19990316,26.8,28,26.8,28,174000,0
ICICIBANK,19990317,27.9,30.25,27.2,30.25,211900,0
ICICIBANK,19990318,30.6,32.15,30,32.1,438800,0
ICICIBANK,19990319,32.35,32.35,29.8,30.4,271500,0
ICICIBANK,19990320,30,30.4,30,30.05,12000,0
ICICIBANK,19990322,29.5,30.25,29,30,242200,0
ICICIBANK,19990323,30.1,30.1,28.4,29.55,376900,0
ICICIBANK,19990324,29.05,29.8,28,28.55,31000,0
ICICIBANK,19990325,28.7,28.9,28,28.55,28400,0
ICICIBANK,19990326,28.25,28.55,27.55,28,28600,0
ICICIBANK,19990330,27.75,28,26.5,27,40800,0
ICICIBANK,19990331,27.5,28.75,27,27.4,63200,0
ICICIBANK,19990401,27.25,27.9,26.8,26.9,26200,0
ICICIBANK,19990405,25.15,26.35,25,25.35,29200,0
ICICIBANK,19990406,25.3,25.3,24,24.85,36900,0
ICICIBANK,19990407,25.2,25.7,24.8,25,18200,0
ICICIBANK,19990408,25.05,25.05,24.25,24.65,14200,0
ICICIBANK,19990409,24.1,24.35,24,24.05,20100,0
ICICIBANK,19990412,23.25,24.45,23.25,24.25,22400,0
ICICIBANK,19990413,23.5,24.2,23.25,23.35,68600,0
ICICIBANK,19990415,23,25,23,24.7,103800,0
ICICIBANK,19990416,24.5,26.7,24.5,26.7,106100,0
ICICIBANK,19990417,27.85,27.9,24.6,24.6,173900,0
ICICIBANK,19990419,24.4,25.9,24.05,25.45,63900,0
ICICIBANK,19990420,25.65,26.45,24.85,25.5,151200,0
ICICIBANK,19990421,25.6,25.8,25.15,25.4,29200,0
ICICIBANK,19990422,25.15,25.6,24.85,25.5,31800,0
ICICIBANK,19990423,25,25.35,24.6,25,35900,0
ICICIBANK,19990426,24.05,24.2,23,23.35,93800,0
ICICIBANK,19990428,22.7,23.9,22.7,23.75,42300,0
ICICIBANK,19990429,23.7,24,23.6,23.9,26200,0
ICICIBANK,19990430,24.1,24.1,23.6,23.7,24200,0
ICICIBANK,19990503,23.7,23.9,23,23.55,25300,0
ICICIBANK,19990504,23.4,24.4,23.35,24,58700,0
ICICIBANK,19990505,23.7,25.5,23.65,24.5,106900,0
ICICIBANK,19990506,24.75,25.5,24.5,25,101600,0
ICICIBANK,19990507,25.5,25.9,25.2,25.75,77000,0
ICICIBANK,19990510,25.9,26,25.3,25.7,80800,0
ICICIBANK,19990511,26,27.8,25.75,27.8,156200,0
ICICIBANK,19990512,28.25,29,26.5,26.75,155800,0
ICICIBANK,19990513,27.85,27.85,26.3,27,127500,0
ICICIBANK,19990514,27,27.9,26.6,27.15,213700,0
ICICIBANK,19990517,27.3,27.3,25,25,139000,0
ICICIBANK,19990518,24.4,27,23.5,27,322600,0
ICICIBANK,19990519,27.85,29.2,26.55,29.2,275800,0
ICICIBANK,19990520,29.5,31.55,28.6,29,295600,0
ICICIBANK,19990521,29.35,31.35,28.7,31.35,382400,0
ICICIBANK,19990524,32.5,32.75,31.1,32.25,276300,0
ICICIBANK,19990525,30.75,33.5,30.75,33.5,314000,0
ICICIBANK,19990526,34.95,35.5,33.1,33.5,175194,0
ICICIBANK,19990527,33.5,33.6,32,32,101120,0
ICICIBANK,19990528,31.8,31.8,29.55,30.9,108772,0
ICICIBANK,19990531,31,33.1,30.65,32.95,82156,0
ICICIBANK,19990601,33.8,33.8,32,32.4,71480,0
ICICIBANK,19990602,30.1,33.8,30.1,33.4,47196,0
ICICIBANK,19990603,33.8,34.25,33.4,33.95,59316,0
ICICIBANK,19990604,34.25,34.6,33.65,34.5,65130,0
ICICIBANK,19990607,35.2,35.3,33.55,34.9,60299,0
ICICIBANK,19990608,34,37,34,37,75451,0
ICICIBANK,19990609,36.95,36.95,34.5,34.95,36495,0
ICICIBANK,19990610,35.5,35.85,34.85,35,29800,0
ICICIBANK,19990611,35,35.3,33.5,33.75,33000,0
ICICIBANK,19990614,32,33.3,31.05,33.05,30550,0
ICICIBANK,19990615,32.1,34,32.1,33.8,41100,0
ICICIBANK,19990616,33.75,34.9,32.25,33.9,30002,0
ICICIBANK,19990617,33.9,34.5,33.5,33.95,24443,0
ICICIBANK,19990618,33.55,33.75,33,33.65,16390,0
ICICIBANK,19990621,33.7,34,33.25,33.95,21851,0
ICICIBANK,19990622,34.05,34.5,33.1,33.55,27809,0
ICICIBANK,19990623,34,34,32.8,33.9,22470,0
ICICIBANK,19990624,33.5,34,33,33.6,11196,0
ICICIBANK,19990625,33.7,34.5,33.4,33.9,50829,0
ICICIBANK,19990628,34,35,33.05,34.5,34648,0
ICICIBANK,19990629,35.5,37.25,34.25,37,102100,0
ICICIBANK,19990630,38,38.6,35,36,43459,0
ICICIBANK,19990701,36.5,37,35.2,35.65,45240,0
ICICIBANK,19990702,35.7,36.45,35.7,36,34550,0
ICICIBANK,19990705,36.85,38.9,36.3,38.9,101614,0
ICICIBANK,19990706,41.8,42.05,40,42.05,98782,0
ICICIBANK,19990707,43.9,45.45,40.25,41.45,337070,0
ICICIBANK,19990708,41.25,42.35,39.6,39.9,142489,0
ICICIBANK,19990709,40.2,40.5,38.7,39.05,68718,0
ICICIBANK,19990712,41.65,42,39.6,41.8,261679,0
