SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ICICIM150,20200128,70,70,66.89,66.89,80254,0
ICICIM150,20200129,62.15,70,62.15,69.48,1166,0
ICICIM150,20200130,72,72,66.74,67.08,2343,0
ICICIM150,20200131,69,69,66.43,66.91,19210,0
ICICIM150,20200201,67.18,67.18,65.5,65.74,7787,0
ICICIM150,20200203,65,68.89,58.01,66.99,1206,0
ICICIM150,20200204,68.9,68.9,65.01,68.46,1253,0
ICICIM150,20200205,67.39,67.39,67.34,67.34,14,0
ICICIM150,20200206,64.34,67.3,64.34,66.45,8691,0
ICICIM150,20200207,66.45,67.75,66.45,67.44,6040,0
ICICIM150,20200210,67.44,67.5,66.35,66.35,1555,0
ICICIM150,20200211,66.35,67.47,64,64.96,4116,0
ICICIM150,20200212,66.94,67.46,66.64,66.8,6592,0
ICICIM150,20200213,67.14,67.19,66.94,67,2626,0
ICICIM150,20200214,67,67.91,66.7,67.26,3740,0
ICICIM150,20200217,66.7,66.7,66.1,66.31,299,0
ICICIM150,20200218,66.31,66.31,65.48,65.68,2498,0
ICICIM150,20200219,66,66.98,66,66.76,3944,0
ICICIM150,20200220,66.99,67.77,66.99,67.65,795,0
ICICIM150,20200224,67.65,67.65,66.49,66.62,757,0
ICICIM150,20200225,67.7,67.7,64.5,64.61,579,0
ICICIM150,20200226,64.3,66.01,62.3,65.56,5860,0
ICICIM150,20200227,75,75,64.01,65.08,2389,0
ICICIM150,20200228,68,68,62,62.95,2041,0
ICICIM150,20200302,62.95,68,62.95,63.76,1924,0
ICICIM150,20200303,62.8,64,62.56,63.4,2324,0
ICICIM150,20200304,64.69,64.69,62,62.3,1467,0
ICICIM150,20200305,62.5,63.38,62.33,63.08,3904,0
ICICIM150,20200306,63.05,63.05,58.3,62.14,574684,0
ICICIM150,20200309,63.7,64.01,58.8,59.35,7358,0
ICICIM150,20200311,64,64,58.51,59.05,279266,0
ICICIM150,20200312,58.4,58.4,54,54.79,295369,0
ICICIM150,20200313,51.7,56.5,50.68,54,322717,0
ICICIM150,20200316,61,61,54,54,732,0
ICICIM150,20200317,54.7,60.9,52,53.09,282879,0
ICICIM150,20200318,53.3,53.3,49.15,49.84,312357,0
ICICIM150,20200319,49.2,51,46.5,47.2,327686,0
ICICIM150,20200320,47.25,50.68,45.75,49.81,1253,0
ICICIM150,20200323,49.01,55.74,47,49.7,3281,0
ICICIM150,20200324,45.1,48.99,45.1,46.67,2217,0
ICICIM150,20200325,46,48,46,48,313,0
ICICIM150,20200326,50,51.22,50,51.22,1045,0
ICICIM150,20200327,51.25,52.86,51.25,52.8,1529,0
ICICIM150,20200330,51.5,54.74,47,53.94,1105,0
ICICIM150,20200331,53.9,54.05,50.1,50.96,764,0
ICICIM150,20200401,50.96,50.96,46,47.27,937,0
ICICIM150,20200403,45.5,52,45.1,48.48,1615,0
ICICIM150,20200407,48.5,53.61,47,48.11,3155,0
ICICIM150,20200408,51.6,51.6,49.25,50,371,0
ICICIM150,20200409,51.99,51.99,48.06,48.92,4096,0
ICICIM150,20200413,49.05,49.05,48,48.07,4265,0
ICICIM150,20200415,51.26,51.26,48.01,49.38,929,0
ICICIM150,20200416,48,50.8,48,49.05,1611,0
ICICIM150,20200417,52,53,47.1,49.57,2131,0
ICICIM150,20200420,50.7,51.99,49.6,49.93,677,0
ICICIM150,20200421,49.7,49.95,48.1,49.27,896,0
ICICIM150,20200422,48.5,52.26,48.45,51.5,1574,0
ICICIM150,20200423,50.7,51.85,49.16,49.56,1606,0
ICICIM150,20200424,51.8,51.8,48,49.02,4756,0
ICICIM150,20200427,49.25,51,49.25,50.5,958,0
ICICIM150,20200428,50.75,51.5,49.85,49.94,4629,0
ICICIM150,20200429,50.63,51.25,49.85,51.15,4295,0
ICICIM150,20200430,50.95,52.7,50.95,52.16,5796,0
ICICIM150,20200504,52.83,52.83,48.35,49.14,5980,0
ICICIM150,20200505,51.5,51.66,49.5,51.06,1884,0
ICICIM150,20200506,50.99,51.3,49.17,49.65,1201,0
ICICIM150,20200507,51.25,51.25,48.8,49.6,1935,0
ICICIM150,20200508,52,52,49.01,51,1105,0
ICICIM150,20200511,50.99,50.99,48.65,50.3,361,0
ICICIM150,20200512,49,50.5,48.95,49.18,590,0
ICICIM150,20200513,50.7,50.7,49.7,49.96,1800,0
ICICIM150,20200514,50.3,50.65,49.59,49.6,2654,0
ICICIM150,20200515,49.6,50.2,45.5,47.67,3753,0
ICICIM150,20200518,49.25,49.99,48.5,49.13,2170,0
ICICIM150,20200519,51.4,51.4,48,48.89,1154,0
ICICIM150,20200520,48.65,51.39,48.62,49.59,2471,0
ICICIM150,20200521,49.55,49.9,49.5,49.53,512,0
ICICIM150,20200522,49.06,49.1,48.53,48.64,281638,0
ICICIM150,20200526,49.5,49.85,49.5,49.85,284592,0
ICICIM150,20200527,48.1,51.37,48.1,50.63,602,0
ICICIM150,20200528,52.6,52.6,50,50.4,1613,0
ICICIM150,20200529,50,51.2,50,50.54,388582,0
ICICIM150,20200601,51.36,52.6,51.36,52.36,1768,0
ICICIM150,20200602,52.5,53,52.5,52.95,5012,0
ICICIM150,20200603,53,54,52.5,53.93,3778,0
ICICIM150,20200604,54,54,53.05,54,3937,0
ICICIM150,20200605,54,54.33,53.57,54.21,42379,0
ICICIM150,20200608,54.21,55.4,54.21,54.31,2879,0
ICICIM150,20200609,55.19,55.2,54.5,54.67,4692,0
ICICIM150,20200610,54.5,54.9,54.5,54.7,2977,0
ICICIM150,20200611,55,55.05,54.1,54.12,1374,0
ICICIM150,20200612,53.5,54.66,53.37,54.41,3016,0
ICICIM150,20200615,54.42,55.19,54.1,54.7,3674,0
ICICIM150,20200616,54.73,55,54.05,54.05,301,0
