SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ICSA,20060928,849,849,805.15,812.45,5318,0
ICSA,20060929,820,854.8,818,831.6,20743,0
ICSA,20061003,832,832.5,791.5,793.85,8258,0
ICSA,20061004,802.2,813.95,799.9,801.6,2760,1387
ICSA,20061005,815.5,818,795.25,798,3771,0
ICSA,20061006,802.5,812.95,786.05,790.7,2310,0
ICSA,20061009,761,800,761,787.65,2235,0
ICSA,20061010,776,798.5,763.75,768,2249,0
ICSA,20061011,772.6,804,748,753.55,5543,0
ICSA,20061012,774,785,750,780.85,8411,6247
ICSA,20061013,785,788,768,771.15,7336,0
ICSA,20061016,780,784,771.55,776.55,2364,1927
ICSA,20061017,771,777.95,750,758,2677,2104
ICSA,20061018,769,800,750.1,775.95,7750,4364
ICSA,20061019,788,789,770,775.95,3632,2616
ICSA,20061020,783.9,833,780.6,806.15,8720,0
ICSA,20061021,824,824,809,818.5,2971,0
ICSA,20061023,838,838,810,813.75,5633,0
ICSA,20061026,832,850,822.5,832.3,16710,0
ICSA,20061027,850,865.9,832.15,840.95,11591,0
ICSA,20061030,845,845,806,812.9,10433,0
ICSA,20061031,820.05,839.5,800.25,816.7,10978,0
ICSA,20061101,821,827.95,810,812.4,6485,0
ICSA,20061102,815,893.65,807.55,893.65,54098,0
ICSA,20061103,938.95,938.95,862.05,870.6,48548,0
ICSA,20061106,870,930,860,895.35,38729,0
ICSA,20061107,905.75,907.4,861.2,868.05,23724,0
ICSA,20061108,870,881,845,849.1,36077,0
ICSA,20061109,857.95,887,855.25,870.85,17460,0
ICSA,20061110,878.5,878.9,840,850.5,10001,8031
ICSA,20061113,858.95,908,855.25,866.2,45042,23017
ICSA,20061114,874.95,889,850,863.55,13840,7554
ICSA,20061115,856,872.5,848.1,857.05,21657,14494
ICSA,20061116,860,868,825,833.3,19905,14199
ICSA,20061117,840,847.8,800.1,808.2,12231,7296
ICSA,20061120,808,814.1,760,789.55,17323,6993
ICSA,20061121,799,868.55,799,856.35,47567,13764
ICSA,20061122,865,884.5,859.9,870.1,35404,21205
ICSA,20061123,890,890,869,878.05,7291,4593
ICSA,20061124,887,922,870,898.05,22582,0
