SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
INDIAINFO,20050517,80.5,89,76.7,78.05,14903521,0
INDIAINFO,20050518,77.1,88.5,77.1,83.3,19488163,0
INDIAINFO,20050519,84.6,87.75,84.1,84.75,5539907,0
INDIAINFO,20050520,85.5,86.9,82.75,83.25,2708640,0
INDIAINFO,20050523,85,86.5,80.5,81.8,1236874,0
INDIAINFO,20050524,82.5,82.7,79.75,80.7,724895,0
INDIAINFO,20050525,81.1,81.2,78.55,78.95,565169,0
INDIAINFO,20050526,79.05,80.9,77,77.45,1112622,0
INDIAINFO,20050527,77.9,83.6,77.75,80.5,2087256,0
INDIAINFO,20050530,81,81.4,79.1,79.85,880414,0
INDIAINFO,20050531,80.4,81.35,79.2,80.7,622174,0
INDIAINFO,20050601,81.5,84.2,80.1,81.95,1981453,0
INDIAINFO,20050602,82.8,82.8,80.5,80.85,520573,0
INDIAINFO,20050603,81.35,81.5,79.9,80.35,390673,0
INDIAINFO,20050604,80.9,81.7,80.2,81.05,216531,0
INDIAINFO,20050606,81.45,84.3,81.15,82.75,699240,0
INDIAINFO,20050607,83,83.45,81.5,82.7,405170,0
INDIAINFO,20050608,82.7,91.4,82.6,89.5,5146812,0
INDIAINFO,20050609,90.35,93.8,89.5,90.1,4173251,0
INDIAINFO,20050610,90.75,91.05,86.45,88.95,1619653,0
INDIAINFO,20050613,88.5,92.35,88.05,90.05,2005298,0
INDIAINFO,20050614,90.35,93.9,88,91.25,1771244,435326
INDIAINFO,20050615,91.9,93,89.5,89.9,808163,0
INDIAINFO,20050616,90.15,90.4,85.5,85.7,718887,0
INDIAINFO,20050617,86.1,87.9,85.1,85.3,800361,0
INDIAINFO,20050620,86.25,89.4,86.05,88.45,953805,413967
INDIAINFO,20050621,88.9,89.4,86.5,87.05,674081,151959
INDIAINFO,20050622,87.95,87.95,85.75,87.35,635805,353212
INDIAINFO,20050623,88,90.5,87.5,88.9,1195387,234135
INDIAINFO,20050624,88.25,90.9,86,89.85,736553,358658
INDIAINFO,20050627,89.9,90.9,86.2,87.2,560222,0
INDIAINFO,20050628,87.5,87.75,85.9,86.35,291101,0
INDIAINFO,20050629,86,87.3,85.7,86.05,136547,62287
INDIAINFO,20050630,86.55,86.9,85.5,86,263541,133312
INDIAINFO,20050701,87,87,84,85,234489,140099
INDIAINFO,20050704,85,86.5,82.75,84.25,273707,0
INDIAINFO,20050705,84,86.9,84,84.7,429291,0
INDIAINFO,20050706,85.65,86.95,84,85.3,375867,127901
INDIAINFO,20050707,85.75,86.65,83.1,83.55,237555,0
INDIAINFO,20050708,84.95,85.75,84,84.95,214869,0
INDIAINFO,20050711,86.6,91,86,86.95,1249506,0
INDIAINFO,20050712,87,87.95,83.6,87.25,620726,0
INDIAINFO,20050713,88,90.3,87.3,89.1,822395,0
INDIAINFO,20050714,89.5,98.2,89.25,95.1,3877570,1048322
INDIAINFO,20050715,96.5,98.35,94,94.5,1502822,451435
INDIAINFO,20050718,95.6,95.95,93,93.4,517434,0
INDIAINFO,20050719,94.3,94.75,92,92.65,386434,0
INDIAINFO,20050720,93.65,96,92.5,93.5,345540,151432
INDIAINFO,20050721,95.45,95.75,90,91.15,596088,281858
INDIAINFO,20050722,93,99.3,91.8,92.35,1474605,0
INDIAINFO,20050725,93,94.25,88,88.3,858088,0
INDIAINFO,20050726,90,90,86.5,87.45,321698,159325
INDIAINFO,20050727,88.5,88.5,87.4,87.75,162678,60564
INDIAINFO,20050729,87.95,91,81,87.85,422888,0
INDIAINFO,20050801,89,90.05,88.1,88.6,224352,99317
INDIAINFO,20050802,89.2,89.9,85.1,87.65,195452,0
INDIAINFO,20050803,88.35,89,86,86.2,187538,101556
INDIAINFO,20050804,87,87,84.7,85.1,197270,135422
INDIAINFO,20050805,86.9,90.55,85.25,89.15,945470,399669
INDIAINFO,20050808,90.25,94,88.5,89.65,750905,275864
INDIAINFO,20050809,90.5,92,88.7,91.15,436367,226804
INDIAINFO,20050810,92,93.9,91.35,91.65,415287,142869
INDIAINFO,20050811,93.4,94.95,92.1,93,751651,311944
INDIAINFO,20050812,93.85,94.5,90.3,90.9,423915,0
INDIAINFO,20050816,90.25,93.5,88.25,91.15,426541,178659
INDIAINFO,20050817,91.55,93.9,90,92.9,382754,167960
INDIAINFO,20050818,93.4,95,92,92.55,503316,199038
INDIAINFO,20050819,92.7,93.9,91.5,92.5,307278,159703
INDIAINFO,20050822,95.6,111,94,110.3,5830135,1489683
INDIAINFO,20050823,105,117,102.6,104.4,5314620,873468
INDIAINFO,20050824,106,106.8,98.6,100.3,2515682,428975
INDIAINFO,20050825,100.4,110.4,98.65,108.35,3343258,502674
INDIAINFO,20050826,108.8,112.8,106.8,108.25,2096275,436840
INDIAINFO,20050829,108.5,108.5,102.1,103.2,1294499,475374
INDIAINFO,20050830,104,110.5,104,106.05,1181014,260090
INDIAINFO,20050831,106,110,105,106.85,727010,215941
INDIAINFO,20050901,108,115.8,107.2,112.05,2566534,759716
INDIAINFO,20050902,113.4,114.9,108.25,108.8,752384,263594
INDIAINFO,20050905,109.6,111.25,105.05,106.35,804042,322425
INDIAINFO,20050906,107,108.45,104.35,105.05,428063,177736
INDIAINFO,20050908,106.1,110.75,105.5,107.5,661950,265214
