SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
INDIANB,20070301,93.9,100.25,75,98.35,54802922,22357821
INDIANB,20070302,105,105,95.05,97.95,8722279,2944854
INDIANB,20070305,95,95.3,90,92.6,2352089,1192129
INDIANB,20070306,94.75,97,92,93.7,1299154,705723
INDIANB,20070307,94.85,94.85,85.5,86.7,768085,339424
INDIANB,20070308,87.2,89.6,87.2,89.3,453539,250454
INDIANB,20070309,89.9,92,88,91.2,573863,354141
INDIANB,20070312,92.5,92.5,87.45,87.85,656800,535816
INDIANB,20070313,88,89.5,86,87.65,429771,329105
INDIANB,20070314,86,88,82.4,86.75,410183,277034
INDIANB,20070315,87,89.8,87,88,937409,802479
INDIANB,20070316,87.1,88.5,85,85.35,489834,407210
INDIANB,20070319,86,86.5,84.05,84.45,263636,195104
INDIANB,20070320,85.5,87.95,85.3,86.85,325721,159944
INDIANB,20070321,86.05,88.7,85.05,87.05,410702,246519
INDIANB,20070322,88,92,88,91.8,1126538,919463
INDIANB,20070323,91.9,92.5,89.5,91.35,293855,205794
INDIANB,20070326,90,92.5,89.05,92.1,302635,243023
INDIANB,20070328,91,91,88.2,89.2,175129,132150
INDIANB,20070329,88.5,94.15,85.5,87,1431559,968998
INDIANB,20070330,87.7,90.8,86.7,90.2,509576,390083
INDIANB,20070402,88,88,85,87.1,215016,132969
INDIANB,20070404,89.9,92.25,89.9,91.75,301207,218249
INDIANB,20070405,91,91.25,89.5,90.8,98458,69390
INDIANB,20070409,90.25,91.4,88.5,89.55,140905,0
INDIANB,20070410,90,96.1,89.5,93.6,1404080,752412
INDIANB,20070411,95,95,93,94.05,614531,0
INDIANB,20070412,93.5,93.5,89.75,90.4,246066,0
INDIANB,20070413,91.85,94.6,91.25,93.5,727726,0
INDIANB,20070416,94.9,95.7,92.25,92.5,458641,273503
INDIANB,20070417,93,94.8,91.3,93.65,631642,0
INDIANB,20070418,94,98.75,93.95,96.95,2087533,0
INDIANB,20070419,95,97.9,94.5,96.85,758443,0
INDIANB,20070420,97.8,98.95,95.6,96.8,933845,0
INDIANB,20070423,99,99.85,93.7,95.5,1775391,780438
INDIANB,20070424,96,109.95,95.2,104.9,6133853,2864628
INDIANB,20070425,108.75,124.8,106.8,120.3,10876699,5456815
INDIANB,20070426,121,130,121,122.55,3618512,1816928
INDIANB,20070427,122,122,112,114.7,2075388,848306
