SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
INDOAMIN,20220429,121,121.9,110.05,113.35,67484,0
INDOAMIN,20220502,112.9,118,111.05,113.5,42756,0
INDOAMIN,20220504,114.75,114.8,106.05,106.75,29108,0
INDOAMIN,20220505,106.75,109.05,104.5,104.95,19776,0
INDOAMIN,20220506,97.05,104.4,97.05,100.3,33563,0
INDOAMIN,20220509,100,100,96.05,97.2,28510,0
INDOAMIN,20220510,98.6,107.95,98.6,100.2,54327,0
INDOAMIN,20220511,100.7,102.95,94,97.65,36633,0
INDOAMIN,20220512,101,101,92.8,94.35,41785,0
INDOAMIN,20220513,96,102.65,96,97.6,32162,0
INDOAMIN,20220516,99.75,100,96.5,99.05,16541,0
INDOAMIN,20220517,104.95,104.95,99.05,100.55,35666,0
INDOAMIN,20220518,100.95,102.45,99.5,100.2,23914,0
INDOAMIN,20220519,96.25,99.95,95,98.35,23148,0
