SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
INDORAMSYN,19941111,115,115,115,115,500,0
INDORAMSYN,19941122,110,111,110,111,200,0
INDORAMSYN,19941124,100,100,100,100,100,0
INDORAMSYN,19941130,110,110,110,110,200,0
INDORAMSYN,19941206,105,105,105,105,200,0
INDORAMSYN,19941207,105,105,105,105,100,0
INDORAMSYN,19941208,105,105,105,105,100,0
INDORAMSYN,19941209,103,103,103,103,500,0
INDORAMSYN,19941221,107.5,107.5,107.5,107.5,200,0
INDORAMSYN,19950104,98,98,98,98,700,0
INDORAMSYN,19950105,97.5,97.5,97.5,97.5,600,0
INDORAMSYN,19950110,98,98,98,98,100,0
INDORAMSYN,19950117,90,90,90,90,200,0
INDORAMSYN,19950120,90,90,90,90,200,0
INDORAMSYN,19950123,95,95,90,90,200,0
INDORAMSYN,19950124,90,91.25,90,91.25,300,0
INDORAMSYN,19950125,90,90.5,89,89,300,0
INDORAMSYN,19950127,90,90,90,90,100,0
INDORAMSYN,19950130,91,91,91,91,100,0
INDORAMSYN,19950131,90,90,90,90,100,0
INDORAMSYN,19950201,90,91,90,91,500,0
INDORAMSYN,19950206,90,90,90,90,300,0
INDORAMSYN,19950207,90,90,89,89,300,0
INDORAMSYN,19950213,90,90,90,90,200,0
INDORAMSYN,19950220,85,85,85,85,200,0
INDORAMSYN,19950221,80,80,78,78,600,0
INDORAMSYN,19950228,82.5,85,82.5,85,800,0
INDORAMSYN,19950302,80,80,80,80,200,0
INDORAMSYN,19950306,81,81,79,80.25,600,0
INDORAMSYN,19950307,80,80,78,78,300,0
INDORAMSYN,19950308,80.75,80.75,80.75,80.75,100,0
INDORAMSYN,19950309,82,83,80,83,2000,0
INDORAMSYN,19950310,85,85,82.5,82.5,2800,0
INDORAMSYN,19950313,81,82,81,82,200,0
INDORAMSYN,19950314,84.5,85,82,84.95,2800,0
INDORAMSYN,19950315,90,95,90,95,1700,0
INDORAMSYN,19950316,95.1,96.25,94,96.15,4600,0
INDORAMSYN,19950320,98,115,98,114.35,5300,0
INDORAMSYN,19950321,110,116,109,109.8,9700,0
INDORAMSYN,19950322,110,115,104,104,5200,0
INDORAMSYN,19950323,105,106,100,101,5800,0
INDORAMSYN,19950324,103,103,99,100,1000,0
