SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
INDOWIND,20070914,75,124,58.95,113.65,48415594,2147757
INDOWIND,20070917,120,135,120,130.55,14840899,859589
INDOWIND,20070918,133,144,128,136.6,12035220,638786
INDOWIND,20070919,142,147.5,135.35,138.3,8580431,758859
INDOWIND,20070920,138,139.3,125,127.95,3272732,461130
INDOWIND,20070921,127,128.25,120.8,121.75,1557971,233577
INDOWIND,20070924,124,131.95,122,127.55,1804665,322618
INDOWIND,20070925,127.8,127.8,121.1,122.2,374188,111267
INDOWIND,20070926,124,124,112.25,113.7,482844,0
INDOWIND,20070927,114.25,116.4,111,112.8,481067,0
INDOWIND,20070928,113.3,120,102.1,114.95,1247954,196845
INDOWIND,20071001,119.9,134,116,125.1,1957538,329879
INDOWIND,20071003,126,136.4,124,131.1,1578820,325763
INDOWIND,20071004,129.4,149,127,142.7,3652045,426274
INDOWIND,20071005,148.7,156,140.25,145.85,2124910,486777
INDOWIND,20071008,149,149.9,133.1,135.85,793780,130144
INDOWIND,20071009,130,147,126.1,145.05,1376605,0
INDOWIND,20071010,146,173,146,157.65,2823198,442106
INDOWIND,20071011,163.4,179,159,170.1,1663932,257346
INDOWIND,20071012,169.9,185,166.8,169.3,1182842,205626
INDOWIND,20071015,171.85,195,169.8,189.75,2539764,352963
INDOWIND,20071016,185,211.8,185,205.7,3153193,379979
INDOWIND,20071017,187,209.95,185.35,197.95,1443653,222773
INDOWIND,20071018,201,217.75,182.3,196.85,2418324,398035
INDOWIND,20071019,184.9,190,177.2,177.55,691752,194826
INDOWIND,20071022,168,182.4,161.65,174.45,692440,71218
INDOWIND,20071023,180,191,178.1,187.3,516179,167480
INDOWIND,20071024,193.4,195,184.05,185.6,563460,181283
INDOWIND,20071025,186,197.1,181,183.25,980316,207161
INDOWIND,20071026,185.1,191.4,182,184.6,378044,91531
INDOWIND,20071029,187.95,191.85,179,180.2,645157,198542
INDOWIND,20071030,182.6,182.65,164,173,319472,89873
INDOWIND,20071031,173.5,186.5,165.2,169.4,903292,194953
INDOWIND,20071101,172.95,176.8,156,158.8,453038,118633
INDOWIND,20071102,155,174,152,165.05,536272,93784
INDOWIND,20071105,163.75,180,159.25,161.5,623666,0
INDOWIND,20071106,163.9,169.95,155.1,157.15,308060,0
INDOWIND,20071107,158,161,144.25,150.05,288902,78938
INDOWIND,20071108,145,149,141.25,143.5,185605,43775
INDOWIND,20071109,147,149,144.15,145.45,40849,0
INDOWIND,20071112,140,144.9,130,140.85,122278,0
INDOWIND,20071113,142.5,149,141.5,147.2,138590,0
INDOWIND,20071114,153.7,157,152,155.45,250701,79822
INDOWIND,20071115,155.6,174,154.35,163.9,258521,0
INDOWIND,20071116,164,169,159.2,163.15,135910,0
INDOWIND,20071119,168.9,185,160,163.6,106864,43494
INDOWIND,20071120,164,165.35,155.1,158.3,90169,34731
INDOWIND,20071121,159,159,140.5,144.9,84366,42668
INDOWIND,20071122,146.9,146.9,122.8,137.45,86379,34659
INDOWIND,20071123,146,150.4,140,145.7,72214,27230
INDOWIND,20071126,158.1,169,151,160.55,388430,108903
INDOWIND,20071127,164.4,164.4,150.1,152.45,130376,48073
INDOWIND,20071128,155,155.75,146,148.65,78117,30536
INDOWIND,20071129,152,152,145,146,71917,29202
INDOWIND,20071130,147,150,141.1,146.55,75638,31120
INDOWIND,20071203,143.1,151.85,143.1,147.1,127428,55569
INDOWIND,20071204,148,158,145.55,146.75,251132,60948
INDOWIND,20071205,148,156.45,144.25,144.8,591894,231690
INDOWIND,20071206,147.6,151,142,143.25,278652,98681
INDOWIND,20071207,144.55,149.7,142.05,144.3,163965,66744
INDOWIND,20071210,145.75,145.9,142,142.6,61220,27847
INDOWIND,20071211,143.5,146,141,141.65,157507,72225
INDOWIND,20071212,144.4,144.4,132.65,141.75,88429,43451
INDOWIND,20071213,142.1,143.5,136,139.1,70285,34573
INDOWIND,20071214,136,142,135,137.65,95115,45953
INDOWIND,20071217,138,139.95,127.05,129.85,227438,90073
INDOWIND,20071218,128.5,129.85,123,127.9,74730,41200
INDOWIND,20071219,128.15,135,127,128.2,81337,36883
INDOWIND,20071220,129,132,125.05,128.1,40933,22410
INDOWIND,20071224,128.1,132,127,128.55,48571,23166
INDOWIND,20071226,129.7,154.3,129,153.55,1149457,0
INDOWIND,20071227,154.5,159,147,148.45,553750,0
INDOWIND,20071228,150,154.8,143,148.75,340520,0
INDOWIND,20071231,151.8,165.9,146.65,151.4,271638,121458
INDOWIND,20080101,152,154,149.1,150.35,125527,53515
INDOWIND,20080102,149.9,154,146.7,147.35,143227,63473
INDOWIND,20080103,148.95,167.1,144,162.85,1164797,376609
INDOWIND,20080104,168,168.9,153.35,156.1,699444,231857
INDOWIND,20080107,156,166,150.7,158.95,544648,139414
INDOWIND,20080108,164.7,164.7,150.1,152.9,269761,93234
INDOWIND,20080109,152.5,156,148.2,149.55,189717,58395
INDOWIND,20080110,150,153.5,136,139.6,127215,52287
INDOWIND,20080111,142,142,132.95,135.5,136032,65374
INDOWIND,20080114,135.45,141.4,133.3,138.75,99372,34522
INDOWIND,20080115,140.9,146.5,138,139.25,152147,39589
INDOWIND,20080116,139.35,140,130.25,133,78920,38306
INDOWIND,20080117,136.85,138.05,133,134.8,59617,0
INDOWIND,20080118,131.6,135,126.5,129.5,60869,0
INDOWIND,20080121,120,125,103.6,103.6,105074,0
INDOWIND,20080122,82.9,97,82.9,83.1,36237,0
INDOWIND,20080123,91,91.45,87.05,91.45,53246,0
INDOWIND,20080124,95,100.6,86,89.4,61850,32043
INDOWIND,20080125,93,97.7,91.1,95.85,48557,22389
INDOWIND,20080128,90.55,96.8,90.55,94.2,40831,18120
INDOWIND,20080129,99.8,103.5,97.4,100.1,65167,23751
INDOWIND,20080130,101,102,95,96.5,51569,0
INDOWIND,20080131,97.1,98.85,91.5,94,33599,11869
INDOWIND,20080201,94,96.5,92,93.9,28279,17244
INDOWIND,20080204,94,101,94,98.5,66805,22702
INDOWIND,20080205,95.25,103.9,95.1,101.6,85633,25271
INDOWIND,20080206,93,101,93,99.4,39562,16022
INDOWIND,20080207,99.4,104.5,96,97.9,65773,25437
INDOWIND,20080208,98.9,98.9,92.55,94.2,32693,14801
INDOWIND,20080211,95,95,85,85.9,30565,19350
INDOWIND,20080212,88.15,91,78,79.45,26950,13793
INDOWIND,20080213,84.8,87.4,77.5,79.4,33385,17255
INDOWIND,20080214,83,87,82,83.25,30723,15753
INDOWIND,20080215,83,85.95,75.65,85.2,53565,20382
INDOWIND,20080218,85.5,93.5,85.5,91.9,60018,23034
INDOWIND,20080219,92.25,97.95,90,92.1,51763,20470
INDOWIND,20080220,91,92,87.05,88.1,28591,14086
INDOWIND,20080221,90.9,91.8,87.5,89,30068,12094
INDOWIND,20080222,87.15,89,86.65,87.6,13979,6854
INDOWIND,20080225,90,90.5,85,86.45,23465,14123
INDOWIND,20080226,88,89,86,86.55,27229,12202
INDOWIND,20080227,87,95.25,87,91.85,160533,43803
INDOWIND,20080228,92.5,94.9,91,91.5,36918,13204
INDOWIND,20080229,92.6,96,88.55,90.55,71769,25918
INDOWIND,20080303,90.5,90.55,82.65,83.35,30111,14442
INDOWIND,20080304,84.1,86,76.3,78.25,49454,22073
INDOWIND,20080305,78,81,70.45,74.15,33814,18886
INDOWIND,20080307,70,74.15,67.1,68.65,30313,15302
INDOWIND,20080310,67,67,61.55,64.05,58079,25678
INDOWIND,20080311,64,69.55,63.25,68.5,81065,17388
INDOWIND,20080312,71.5,75,68.15,69.55,40232,20329
INDOWIND,20080313,66.1,67.8,63.45,64.35,30766,14933
INDOWIND,20080314,64.9,65,63,64.1,33195,14036
INDOWIND,20080317,62.2,62.2,56,58.45,39995,23615
INDOWIND,20080318,59,60.8,57.5,58.05,24986,13897
INDOWIND,20080319,59.05,67.95,52.1,54.1,33808,18633
INDOWIND,20080324,58.8,58.8,48.2,50.65,34274,20971
INDOWIND,20080325,51.1,55,49.1,53.8,41268,23270
INDOWIND,20080326,54,56,52.1,52.9,40379,20660
INDOWIND,20080327,48.6,54.9,44.25,48.15,77888,39329
INDOWIND,20080328,52,57.8,49.5,57.8,139640,59183
INDOWIND,20080331,57,69.4,57,69.3,304598,90139
INDOWIND,20080401,71.5,83.2,71.5,83.2,909488,110596
INDOWIND,20080402,88.9,91.55,87,91.55,747141,137033
INDOWIND,20080403,96,97,82.4,85.3,756327,133166
INDOWIND,20080404,85.3,86,78.55,81.15,225222,59432
INDOWIND,20080407,82.1,89,76.15,82.95,298088,54496
INDOWIND,20080408,81,83.5,80.8,81.55,109975,35883
INDOWIND,20080409,80,86,80,82.8,163625,36761
INDOWIND,20080410,83.25,83.25,80,80.6,50926,20933
INDOWIND,20080411,82.5,82.5,76,77.55,79958,36396
INDOWIND,20080415,77.4,82,77,78.5,76999,24024
INDOWIND,20080416,80.05,83,79.45,80.45,96080,40874
INDOWIND,20080417,82.5,88.5,78.75,85.2,390156,82455
INDOWIND,20080421,87.8,89.95,84,85.25,71814,33346
INDOWIND,20080422,84.2,85.95,81,82.2,15159,0
INDOWIND,20080423,82,83.9,78.3,79.85,11793,0
INDOWIND,20080424,78,83,77.5,78.95,8514,0
INDOWIND,20080425,82,82,75.5,76.8,7856,0
INDOWIND,20080428,77.1,79.45,76,77.05,8449,0
INDOWIND,20080429,75,79,75,76.5,10253,0
INDOWIND,20080430,75.15,79.5,74.1,78.7,17196,0
INDOWIND,20080502,80,80,75.1,77.75,14769,0
INDOWIND,20080505,76.35,78.5,76.2,76.55,9635,0
INDOWIND,20080506,76,80,74,75.85,14427,0
INDOWIND,20080507,76,77,73,74.65,9849,0
INDOWIND,20080508,73.15,75,71,71.65,9703,0
INDOWIND,20080509,71,73.9,68.1,70.25,14414,0
INDOWIND,20080512,68.1,70.15,66.75,68.95,6886,0
INDOWIND,20080513,68,72.4,67.25,70.95,8878,0
INDOWIND,20080514,68.2,70,68,68.5,4286,0
INDOWIND,20080515,71.2,71.2,68.05,69.05,5598,0
INDOWIND,20080516,71.1,72,69,70.3,12621,0
INDOWIND,20080520,70,72.5,70,71.15,10662,0
INDOWIND,20080521,70,74,70,73.25,10637,0
INDOWIND,20080522,70.05,71.85,70,70.6,11937,0
INDOWIND,20080523,70,71.8,69.15,69.85,6615,0
INDOWIND,20080526,67,69.75,66.5,68,8739,0
INDOWIND,20080527,70.6,70.75,66,67.1,6842,0
INDOWIND,20080528,66.4,70.5,64,66.55,10119,0
INDOWIND,20080529,68.95,69,66.1,66.85,8464,0
INDOWIND,20080530,66.1,69.75,65.55,65.6,10386,0
INDOWIND,20080602,64.2,68,64,65.15,4032,0
INDOWIND,20080603,64,65,62,62.7,12373,0
INDOWIND,20080604,62.05,64,59.7,60.6,7367,0
INDOWIND,20080605,59,63,58.25,60.4,10774,0
INDOWIND,20080606,61.55,62.6,60.1,60.35,4283,0
INDOWIND,20080609,59.95,60,57.35,57.55,11226,0
INDOWIND,20080610,58,59.5,55,55.65,6075,0
INDOWIND,20080611,55.05,58.45,54.05,57.85,5060,0
INDOWIND,20080612,58,59.95,56,58.6,5478,0
INDOWIND,20080613,58.6,61.55,58.6,61.55,7384,5154
INDOWIND,20080616,61.5,64.65,61.5,64.55,12420,8063
INDOWIND,20080617,65.95,67.8,65.95,67.8,12080,8289
INDOWIND,20080618,71,71.2,66.5,68.45,17945,11453
INDOWIND,20080619,67.4,67.4,65.05,65.15,7441,5256
INDOWIND,20080620,66.5,66.5,61.9,61.9,7034,4890
INDOWIND,20080623,60,62,58.85,58.95,5118,3881
INDOWIND,20080624,57.5,58.35,56,56.45,8970,5044
INDOWIND,20080625,56.45,58.45,53.65,57.15,11286,6869
INDOWIND,20080626,57,59.4,56.15,57.4,6995,3991
INDOWIND,20080627,57.4,57.4,54.55,55.35,8110,4918
INDOWIND,20080630,55.3,55.3,52.6,52.6,8602,6552
INDOWIND,20080701,52.6,52.95,50,50,13594,9931
INDOWIND,20080702,47.5,52,47.5,51.55,13258,8607
INDOWIND,20080703,49,51.5,49,49.4,5098,3715
INDOWIND,20080704,51,51.5,48.2,50.75,8785,5154
INDOWIND,20080707,52.4,55.85,51.6,55.85,13665,8921
INDOWIND,20080708,57.7,58,51.15,57.25,20206,7102
INDOWIND,20080709,60,62.5,57,59,15552,8893
INDOWIND,20080710,61.4,61.4,56.2,57.7,11598,6814
INDOWIND,20080711,60.8,60.8,55.1,55.95,9563,6221
INDOWIND,20080714,56,57.25,52.2,54.85,8746,4556
INDOWIND,20080715,52.25,54,50.25,50.75,8452,4945
INDOWIND,20080716,51.95,52.5,47.5,48.5,7765,4618
INDOWIND,20080717,52.85,52.85,48.3,49.2,9115,5723
INDOWIND,20080718,49,52,49,50.8,8939,6205
INDOWIND,20080721,50,53.9,49,50.3,8844,5119
INDOWIND,20080722,50,55.35,49.7,55,24476,14457
INDOWIND,20080723,60.5,60.5,58.05,60.5,28217,0
INDOWIND,20080724,63.4,63.4,56.5,58.5,27747,16344
INDOWIND,20080725,56,64,54.2,58.1,25666,8406
INDOWIND,20080728,61,62,58.7,61.4,19414,13674
INDOWIND,20080729,56.5,60.4,56.2,57.45,17428,10560
INDOWIND,20080730,59.9,62.35,59,60.6,15091,8402
INDOWIND,20080731,60.25,63.6,59.1,59.5,74671,55355
INDOWIND,20080801,59.5,65,58.1,59.7,144429,53309
INDOWIND,20080804,60.4,61.95,59.5,61.25,51140,24900
INDOWIND,20080805,62.5,65.7,61.3,64.75,85122,35447
INDOWIND,20080806,65.9,67.95,60.5,61.5,56163,26533
INDOWIND,20080807,60.6,63.9,60,61.7,55073,11234
INDOWIND,20080808,61.2,62.7,60,60.5,19046,8293
INDOWIND,20080811,59.05,63.9,59.05,61.2,34733,20444
INDOWIND,20080812,62.25,62.25,59.5,59.9,12494,6983
INDOWIND,20080813,59.65,61,59.4,59.75,11120,6113
INDOWIND,20080814,59.05,60.9,57,57.9,14702,8334
INDOWIND,20080818,56.6,57.75,56.25,56.45,6862,3535
INDOWIND,20080819,57.5,57.5,55.25,56.7,9190,4114
INDOWIND,20080820,58,58,51.1,56.65,15813,6982
INDOWIND,20080821,55.6,59.4,55.6,57.05,48990,11774
INDOWIND,20080822,57,58.95,56,57.25,14607,5256
INDOWIND,20080825,59.5,60,55.5,56.3,21776,10540
INDOWIND,20080826,54.5,57,54.5,55,8341,4568
INDOWIND,20080827,56,56.7,54.9,55.75,14575,10396
INDOWIND,20080828,55.2,55.75,53.5,54.55,9310,5886
INDOWIND,20080829,56,56,54.5,54.85,10084,6691
INDOWIND,20080901,55,55,53,54.35,4240,3060
INDOWIND,20080902,55.5,55.5,53.65,54.4,12796,7783
INDOWIND,20080904,54,54.95,53.2,54.2,6895,3963
INDOWIND,20080905,53.55,54.65,53,54,7272,4375
INDOWIND,20080908,55.6,56.5,54.1,54.3,26494,12137
INDOWIND,20080909,55.4,65.2,53.1,61.85,363578,70296
INDOWIND,20080910,60.9,71,60.05,68.35,1703691,144254
INDOWIND,20080911,67.7,69.5,62.15,62.85,410013,70567
INDOWIND,20080912,64.2,64.2,56.1,57.25,157482,34059
INDOWIND,20080915,53.1,54.8,48.7,50.85,108649,40125
INDOWIND,20080916,46.75,53.9,46,52.45,81989,23165
INDOWIND,20080917,52.9,53.9,49.6,50.2,57211,27123
INDOWIND,20080918,47.95,47.95,44.4,46.1,112972,46655
INDOWIND,20080919,52,52,47.5,48.85,58423,31384
INDOWIND,20080922,50.6,51.45,44,46.05,96748,52580
INDOWIND,20080923,44.4,46.95,44.4,44.8,51129,26261
INDOWIND,20080924,45.95,53.8,44.55,53.45,494482,101356
INDOWIND,20080925,54.9,55.85,50,50.8,464404,91044
INDOWIND,20080926,50.8,52,47,47.85,159532,33924
INDOWIND,20080929,48.4,48.4,42.3,42.6,85697,42619
INDOWIND,20080930,39,42.9,37.5,41.1,111885,33151
INDOWIND,20081001,42.3,44.95,40.65,43.25,104068,27835
INDOWIND,20081003,43,46.7,43,43.3,127328,33714
INDOWIND,20081006,41.05,42.2,36,37.75,70824,35339
INDOWIND,20081007,38.15,40,36.2,37.2,55043,26581
INDOWIND,20081008,35,35,31.25,32.95,42533,20785
INDOWIND,20081010,32,33.4,26.4,31.5,42094,23177
INDOWIND,20081013,32,34,30,33.05,41317,23461
INDOWIND,20081014,37.3,38,33.15,34.75,66036,32598
INDOWIND,20081015,33,33.8,31.2,31.7,21687,13837
