SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
INEOSSTYRO,20160404,579.95,594,579.95,587.25,4003,0
INEOSSTYRO,20160405,581,590,578,580.6,3722,0
INEOSSTYRO,20160406,578,592,575,585.55,2758,0
INEOSSTYRO,20160407,589.8,592.5,581,584.4,1954,0
INEOSSTYRO,20160408,580,587.5,572,579.2,762,0
INEOSSTYRO,20160411,590,590.9,578,587.3,2970,2307
INEOSSTYRO,20160412,590,616,590,598.65,6584,0
INEOSSTYRO,20160413,603,610,594.05,600.65,2227,0
INEOSSTYRO,20160418,606,619,600,618.3,3431,2841
INEOSSTYRO,20160420,605,630,600.15,621.15,4642,0
INEOSSTYRO,20160421,612.5,628.95,612.5,621,2623,2222
INEOSSTYRO,20160422,612.05,627.5,612.05,614.75,2384,2049
INEOSSTYRO,20160425,620,624.45,608,614.85,1712,0
INEOSSTYRO,20160426,610,624.5,610,621.7,1230,0
INEOSSTYRO,20160427,623.8,623.8,611.1,618,981,0
INEOSSTYRO,20160428,619.95,628.8,606,609.85,2930,0
INEOSSTYRO,20160429,611,624.9,610.5,620.95,4165,0
INEOSSTYRO,20160502,619.5,623.95,604,611.9,1871,0
INEOSSTYRO,20160503,610.05,629,610.05,616.3,5318,0
INEOSSTYRO,20160504,625,634.45,612.5,619.35,7958,0
INEOSSTYRO,20160505,603,622,603,615.75,2932,0
INEOSSTYRO,20160506,615,621.5,606.3,615.95,1472,0
INEOSSTYRO,20160509,610.05,621.3,610.05,615.85,2468,0
INEOSSTYRO,20160510,605.2,620.95,605.2,611.5,1216,0
INEOSSTYRO,20160511,617.35,622,607.15,621.15,6313,0
INEOSSTYRO,20160512,625,630,614.5,622.7,26611,0
INEOSSTYRO,20160513,625,632,618,626.25,6759,0
INEOSSTYRO,20160516,630,634,621.3,624.5,7155,0
INEOSSTYRO,20160517,649.95,679,634.05,635.6,87258,0
INEOSSTYRO,20160518,643,647,615.05,629.4,19212,0
INEOSSTYRO,20160519,630,641,614.05,621.6,11812,0
INEOSSTYRO,20160520,619.2,622,613,616.05,15758,0
INEOSSTYRO,20160523,621.95,622,600.05,604.35,9618,0
INEOSSTYRO,20160524,602.2,602.2,572,579.9,38898,0
INEOSSTYRO,20160525,589.9,590,568,576.5,11600,0
INEOSSTYRO,20160526,580,609.85,571,592.15,7110,0
INEOSSTYRO,20160527,592,605,587.5,599.25,7171,0
INEOSSTYRO,20160530,595.1,606,593,594.6,3940,0
INEOSSTYRO,20160531,600,600,585,593.55,6002,0
INEOSSTYRO,20160601,588,597,586,594.3,2343,0
INEOSSTYRO,20160602,591,605,590.45,602.65,1714,0
INEOSSTYRO,20160603,608,617.7,600,601.75,3834,0
INEOSSTYRO,20160606,605.05,608.35,591.05,596.55,2779,0
INEOSSTYRO,20160607,597.1,600.7,588,592.7,1397,0
INEOSSTYRO,20160608,594.9,634,594.9,621.85,20052,0
INEOSSTYRO,20160609,627.1,639,624,633.05,10956,0
INEOSSTYRO,20160610,631,634,618,621.6,2984,0
INEOSSTYRO,20160613,622.5,624,604,621.15,5469,0
INEOSSTYRO,20160614,621.15,623.5,611.15,619.9,3542,0
INEOSSTYRO,20160615,616.3,644.4,616.3,629.1,8005,0
INEOSSTYRO,20160616,637.95,638,615.05,618.45,3071,0
INEOSSTYRO,20160617,628.8,628.8,604.1,605.8,6421,0
INEOSSTYRO,20160620,600,622.9,600,605.55,4361,0
INEOSSTYRO,20160621,609,609.05,599,600.6,4054,0
INEOSSTYRO,20160622,606,606,595,599.6,4798,0
INEOSSTYRO,20160623,596.35,600.05,595,599.7,5244,0
INEOSSTYRO,20160624,589.7,609,580,601.2,4060,0
INEOSSTYRO,20160627,590,621.95,590,608.45,3694,0
INEOSSTYRO,20160628,610.95,613.95,605,606.9,3419,0
INEOSSTYRO,20160629,618.85,622,606.15,618.65,6448,0
INEOSSTYRO,20160630,621.2,640,619,626.4,9918,0
INEOSSTYRO,20160701,626,654.95,626,640.85,18226,0
INEOSSTYRO,20160704,642,663,641.1,659.25,12924,0
INEOSSTYRO,20160705,651.55,657,645,648.5,3150,0
INEOSSTYRO,20160707,658,658,617.7,643.45,4777,0
INEOSSTYRO,20160708,640,649.95,638,648.35,4545,0
INEOSSTYRO,20160711,643.1,659,630.05,634.35,8433,0
INEOSSTYRO,20160712,639,642,632,638,3612,0
INEOSSTYRO,20160713,634,644.95,631.35,641,3044,0
INEOSSTYRO,20160714,633.7,655,633.7,652.2,5127,0
INEOSSTYRO,20160715,660,662,640.5,644.85,7082,0
INEOSSTYRO,20160718,642.05,659.9,637.8,640.75,6221,0
INEOSSTYRO,20160719,639,643,635.2,638.95,2018,0
INEOSSTYRO,20160720,629.2,647.95,629.2,642.7,5224,0
INEOSSTYRO,20160721,640,644,621,625.8,5469,0
INEOSSTYRO,20160722,630.05,633.95,620.2,624.65,4923,0
INEOSSTYRO,20160725,633.95,641,628,634.25,5345,0
INEOSSTYRO,20160726,641,642.95,621.05,629.75,6365,0
INEOSSTYRO,20160727,637.5,640.95,621,622.65,4601,0
