SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
INFOSYSTCH,19941109,475,475,475,475,100,0
INFOSYSTCH,19941115,445,445,445,445,100,0
INFOSYSTCH,19941116,445,445,445,445,200,0
INFOSYSTCH,19941117,445,445,445,445,100,0
INFOSYSTCH,19941122,460,475,460,470,3600,0
INFOSYSTCH,19941124,470,485,470,482.5,700,0
INFOSYSTCH,19941125,480,480,480,480,100,0
INFOSYSTCH,19941129,475,475,475,475,100,0
INFOSYSTCH,19941205,465,470,465,470,400,0
INFOSYSTCH,19941206,450,450,450,450,100,0
INFOSYSTCH,19941208,490,490,490,490,100,0
INFOSYSTCH,19941212,495,495,495,495,7000,0
INFOSYSTCH,19941214,455,455,455,455,100,0
INFOSYSTCH,19941215,465,465,465,465,200,0
INFOSYSTCH,19941220,485,485,485,485,100,0
INFOSYSTCH,19941226,450,450,450,450,100,0
INFOSYSTCH,19941227,440,440,415,415,500,0
INFOSYSTCH,19941228,415,415,415,415,100,0
INFOSYSTCH,19941229,420,420,420,420,200,0
INFOSYSTCH,19941230,430,430,430,430,200,0
INFOSYSTCH,19950102,430,430,430,430,100,0
INFOSYSTCH,19950103,425,425,425,425,100,0
INFOSYSTCH,19950109,425,425,425,425,100,0
INFOSYSTCH,19950111,390,390,390,390,100,0
INFOSYSTCH,19950113,390,390,390,390,100,0
INFOSYSTCH,19950116,411,450,411,450,200,0
INFOSYSTCH,19950117,440,440,440,440,100,0
INFOSYSTCH,19950118,442.5,455,442.5,451.7,1200,0
INFOSYSTCH,19950119,440,445,440,445,500,0
INFOSYSTCH,19950120,445,450,445,450,300,0
INFOSYSTCH,19950125,421,469,421,469,300,0
INFOSYSTCH,19950127,420,420,420,420,500,0
INFOSYSTCH,19950130,410,410,410,410,200,0
INFOSYSTCH,19950131,420,420,418,420,400,0
INFOSYSTCH,19950201,421,421,420,420,300,0
INFOSYSTCH,19950202,405,420,405,420,1800,0
INFOSYSTCH,19950203,421,421,420,420,600,0
INFOSYSTCH,19950207,445,445,445,445,100,0
INFOSYSTCH,19950208,450,450,450,450,100,0
INFOSYSTCH,19950209,450,450,450,450,100,0
INFOSYSTCH,19950213,440,440,440,440,200,0
INFOSYSTCH,19950214,420,445,420,445,300,0
INFOSYSTCH,19950215,455,475,455,475,200,0
INFOSYSTCH,19950216,455,455,455,455,100,0
INFOSYSTCH,19950217,450,454,450,454,5700,0
INFOSYSTCH,19950220,435,435,435,435,200,0
INFOSYSTCH,19950221,455,455,421,421,1000,0
INFOSYSTCH,19950223,435,440,435,440,300,0
INFOSYSTCH,19950224,435,440,435,440,300,0
INFOSYSTCH,19950228,430,430,428,429,200,0
INFOSYSTCH,19950301,415,430,415,430,900,0
INFOSYSTCH,19950302,450,455,450,454.5,300,0
INFOSYSTCH,19950307,475,475,475,475,100,0
INFOSYSTCH,19950309,485,485,482,482,300,0
INFOSYSTCH,19950310,490,500,490,500,200,0
INFOSYSTCH,19950314,480,490,480,490,300,0
INFOSYSTCH,19950315,480,525,480,516.65,1700,0
INFOSYSTCH,19950316,530,530,500,500,800,0
INFOSYSTCH,19950321,475,485,475,485,50100,0
INFOSYSTCH,19950322,495,495,495,495,100,0
INFOSYSTCH,19950323,500,500,490,490,200,0
INFOSYSTCH,19950327,495,495,495,495,100,0
INFOSYSTCH,19950328,480,480,471,471,400,0
INFOSYSTCH,19950329,480,480.5,480,480,300,0
INFOSYSTCH,19950330,485,485,480,480,200,0
INFOSYSTCH,19950331,470,470,470,470,300,0
INFOSYSTCH,19950404,465,480,465,480,300,0
INFOSYSTCH,19950407,497,500,495,495,600,0
INFOSYSTCH,19950410,490,512,490,512,1200,0
INFOSYSTCH,19950411,505,506,505,506,200,0
INFOSYSTCH,19950412,505,507,505,506,300,0
INFOSYSTCH,19950417,515,515,510,510,500,0
INFOSYSTCH,19950418,515,515,508,510.25,800,0
INFOSYSTCH,19950419,510,522.5,510,522.5,400,0
INFOSYSTCH,19950420,522,522,510,510,400,0
INFOSYSTCH,19950421,520,522,520,520,2400,0
INFOSYSTCH,19950424,511,511,485,485,600,0
INFOSYSTCH,19950425,490,490,490,490,100,0
INFOSYSTCH,19950427,478,478,460,460,200,0
INFOSYSTCH,19950428,450,450,425,425,200,0
INFOSYSTCH,19950502,445,445,420,420,400,0
INFOSYSTCH,19950503,425,450,425,440,2300,0
INFOSYSTCH,19950504,445,445,442,442,300,0
INFOSYSTCH,19950505,460,490,460,490,500,0
INFOSYSTCH,19950508,475,475,460,461,900,0
INFOSYSTCH,19950509,465,470,465,470,500,0
INFOSYSTCH,19950512,470,470,457.5,457.5,200,0
INFOSYSTCH,19950515,450,460,450,460,600,0
INFOSYSTCH,19950516,445,448,445,448,200,0
INFOSYSTCH,19950517,450,450,450,450,100,0
INFOSYSTCH,19950518,470,495,469,495,1000,0
INFOSYSTCH,19950519,495,510,495,510,1300,0
INFOSYSTCH,19950522,495,520,495,510,110600,0
INFOSYSTCH,19950523,521.5,521.5,500,500,100500,0
INFOSYSTCH,19950524,510,514,510,514,1100,0
INFOSYSTCH,19950525,510,510,510,510,5000,0
INFOSYSTCH,19950529,510,510,505,505,300,0
INFOSYSTCH,19950530,495,507.5,495,507.5,2200,0
INFOSYSTCH,19950531,500,512,500,506.2,1000,0
INFOSYSTCH,19950601,505,507.5,505,507.5,1200,0
INFOSYSTCH,19950602,505,506.5,502.5,502.5,400,0
INFOSYSTCH,19950605,510,511,506.75,511,6700,0
INFOSYSTCH,19950607,520,535,520,535,200,0
INFOSYSTCH,19950608,519,520,519,520,300,0
INFOSYSTCH,19950609,515,515,515,515,100,0
INFOSYSTCH,19950612,510,510,510,510,200,0
INFOSYSTCH,19950613,505,508,505,508,200,0
INFOSYSTCH,19950615,490,495,490,495,400,0
INFOSYSTCH,19950616,505,510,501,510,400,0
INFOSYSTCH,19950619,500,508,500,505,1300,0
INFOSYSTCH,19950620,502,509,500,509,500,0
INFOSYSTCH,19950621,505,510,505,510,200,0
INFOSYSTCH,19950622,505,505,505,505,1000,0
INFOSYSTCH,19950623,505,505,505,505,800,0
INFOSYSTCH,19950627,485,485,475,482,400,0
INFOSYSTCH,19950628,478,482,478,480,300,0
INFOSYSTCH,19950629,480,480,480,480,200,0
INFOSYSTCH,19950703,470,474,455,455,300,0
INFOSYSTCH,19950704,438,438,410,438,400,0
INFOSYSTCH,19950705,425.4,435,425.4,426,800,0
INFOSYSTCH,19950710,435,435,435,435,500,0
INFOSYSTCH,19950711,454,455,440,445,400,0
INFOSYSTCH,19950712,455,455,455,455,300,0
INFOSYSTCH,19950713,452,452,452,452,100,0
INFOSYSTCH,19950714,455,455,455,455,300,0
INFOSYSTCH,19950717,462.95,470,462.95,470,200,0
INFOSYSTCH,19950718,470,475,470,475,200,0
INFOSYSTCH,19950719,450,465,450,465,400,0
INFOSYSTCH,19950720,460,470,460,470,200,0
INFOSYSTCH,19950721,462,465,460,464.5,600,0
INFOSYSTCH,19950724,465,465,465,465,100,0
INFOSYSTCH,19950725,450,470,450,465,400,0
INFOSYSTCH,19950726,465,465,465,465,100,0
INFOSYSTCH,19950731,440,440,440,440,400,0
INFOSYSTCH,19950801,445,445,435,440,1000,0
INFOSYSTCH,19950802,450,450,450,450,200,0
INFOSYSTCH,19950803,450,450,440.25,441,300,0
INFOSYSTCH,19950804,447,447,447,447,400,0
INFOSYSTCH,19950807,450,465,450,465,700,0
INFOSYSTCH,19950808,451,451,450,450,200,0
INFOSYSTCH,19950809,451.5,456,451.5,456,400,0
INFOSYSTCH,19950811,455,455,455,455,300,0
INFOSYSTCH,19950814,450,460,450,460,700,0
INFOSYSTCH,19950816,464,465,464,465,300,0
INFOSYSTCH,19950817,460,460,460,460,300,0
INFOSYSTCH,19950818,459.95,461,459.95,461,600,0
INFOSYSTCH,19950821,465,470,461,470,1400,0
INFOSYSTCH,19950822,465,470,465,470,600,0
INFOSYSTCH,19950823,475,475,475,475,100,0
