SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
INOXLEISUR,20060223,172,194.8,167.05,175.25,26861677,0
INOXLEISUR,20060224,177,190.3,177,187.3,8792512,884421
INOXLEISUR,20060227,189,189,178.55,179.55,2595793,0
INOXLEISUR,20060228,180.75,180.75,171.55,172.45,1148234,342751
INOXLEISUR,20060301,172.45,177.5,164.25,167.35,1462594,0
INOXLEISUR,20060302,170,184.3,166.7,177,2908684,0
INOXLEISUR,20060303,176.7,186,172.15,181.05,3502569,765236
INOXLEISUR,20060306,183.15,197.25,183,191.45,3986733,754660
INOXLEISUR,20060307,192,196.2,186.5,192.75,2036846,521757
INOXLEISUR,20060308,193.4,202.8,188.25,191.6,3278797,0
INOXLEISUR,20060309,191,196.5,188.9,195.7,1460663,0
INOXLEISUR,20060310,196.8,210.7,195.6,207.25,2619400,0
INOXLEISUR,20060313,208,213.45,207.5,211.6,1563895,442849
INOXLEISUR,20060314,212,224.2,206.9,220.85,3065890,0
INOXLEISUR,20060316,222,222.4,207.15,207.9,931157,0
INOXLEISUR,20060317,207.5,211.95,198,199.95,605284,211548
INOXLEISUR,20060320,200.4,209.7,196.5,207.1,748975,0
INOXLEISUR,20060321,208.7,208.7,199.6,200.6,262951,0
INOXLEISUR,20060322,200.95,204,192.5,195.95,310320,0
INOXLEISUR,20060323,198.2,204.25,194.4,195.75,291182,0
INOXLEISUR,20060324,197,203.4,196,197.6,356534,104521
INOXLEISUR,20060327,199.7,203.6,198,199.25,338762,160424
INOXLEISUR,20060328,201,206.5,199,199.55,477045,146313
INOXLEISUR,20060329,202,210.75,201.5,208.25,622202,277256
INOXLEISUR,20060330,210,216.8,203.1,205.65,481446,0
INOXLEISUR,20060331,208,214.4,205.5,211.8,353899,152362
INOXLEISUR,20060403,213.65,220.75,207.05,215.5,730367,0
INOXLEISUR,20060404,216.25,216.25,209.4,210.45,222597,0
INOXLEISUR,20060405,211.9,220.7,211.1,217.65,485684,0
INOXLEISUR,20060407,218.95,234.5,218.85,221.3,936921,0
INOXLEISUR,20060410,222.8,229.5,210.25,213.3,300375,0
INOXLEISUR,20060412,215,253,213.2,219.6,1941176,432939
