SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
INTLCONV,20210916,72.9,75.45,72.6,73.25,35222,0
INTLCONV,20210917,73.25,74.2,72.15,73,104509,0
INTLCONV,20210920,72,75.8,70.5,71.2,103347,0
INTLCONV,20210921,71.2,72.05,65.3,69.65,81369,0
INTLCONV,20210922,68.05,71.25,68.05,70.25,68563,0
INTLCONV,20210923,72.5,72.95,68.5,69.15,34844,0
INTLCONV,20210924,73.35,73.35,68.1,69.55,64108,0
INTLCONV,20210927,65,71.5,65,69,53486,0
INTLCONV,20210928,69.3,70.9,67.25,69,63492,0
INTLCONV,20210929,68.25,70.5,67.35,69.9,50118,0
INTLCONV,20210930,71,71.95,68.15,70.25,62785,0
INTLCONV,20211001,70.05,71.7,68.65,70.85,57021,0
INTLCONV,20211004,70.85,74.95,70.3,71.5,221809,0
INTLCONV,20211005,72.7,81,71.5,74.15,1594506,0
INTLCONV,20211006,75.9,77.8,69.5,71.15,183506,0
INTLCONV,20211007,73.8,73.8,69.3,70.1,125975,0
INTLCONV,20211008,70.1,72.45,69.65,70.5,97508,0
INTLCONV,20211011,69.3,71,69,69.7,91227,0
INTLCONV,20211012,71.5,71.5,68.35,69.35,85797,0
INTLCONV,20211013,70.7,70.7,68,68.55,64323,0
INTLCONV,20211014,70.35,70.35,68.05,68.45,81233,0
INTLCONV,20211018,65.8,71,65.8,68.5,147978,0
INTLCONV,20211019,68,70.5,63.5,65.2,87456,0
INTLCONV,20211020,65.2,67.3,65,66.75,68149,0
INTLCONV,20211021,68.8,68.8,65.8,66.65,55006,0
INTLCONV,20211022,66.1,69,66,66.2,48508,0
INTLCONV,20211025,65.15,67.7,62.7,64.6,81120,0
INTLCONV,20211026,65.9,66.9,63.25,64.95,26417,0
INTLCONV,20211027,65.8,67,63,66.25,41829,0
INTLCONV,20211028,67.6,67.6,64.2,64.5,16389,0
INTLCONV,20211029,64.05,65.95,62.9,65.55,63062,0
INTLCONV,20211101,66.9,66.9,57.85,63.3,77502,0
INTLCONV,20211102,63.6,64.7,63,63.2,11961,0
INTLCONV,20211103,61.25,64.45,61.25,63.3,45739,0
INTLCONV,20211104,63.55,67,63.3,64.05,6438,0
INTLCONV,20211108,63.1,66.7,62.2,65.45,47110,0
INTLCONV,20211109,66,66.45,63.25,65,98244,0
INTLCONV,20211110,66.7,66.7,63.5,65.85,71471,0
INTLCONV,20211111,66.85,67.35,65.15,65.5,48095,0
INTLCONV,20211112,65.5,65.85,64.6,65.2,8430,0
INTLCONV,20211115,67.2,68,65.5,66.8,58505,0
INTLCONV,20211116,66.7,68,66,66.3,43709,0
INTLCONV,20211117,68.6,68.6,66.95,67.75,87907,0
INTLCONV,20211118,69.4,69.4,66.5,67.45,95239,0
INTLCONV,20211122,69.4,69.4,62.05,65.35,35844,0
INTLCONV,20211123,67,67,65.3,66.3,14587,0
INTLCONV,20211124,68.85,68.85,66.5,67.3,64132,0
INTLCONV,20211125,68.75,68.95,66.15,67.25,61997,0
INTLCONV,20211126,67.05,68.05,65.05,66.4,108715,0
INTLCONV,20211129,64.3,66.2,62.7,64.8,75222,0
INTLCONV,20211130,66.65,66.65,63.35,65.8,58591,0
INTLCONV,20211201,66,67.5,64.05,67,58322,0
INTLCONV,20211202,68,68,65.6,66.4,24858,0
INTLCONV,20211203,68,68.7,65,65.5,25648,0
INTLCONV,20211206,65,67.9,64.6,66.95,77834,0
INTLCONV,20211207,66.9,67.9,65.05,65.55,20214,0
INTLCONV,20211208,66.8,67.8,66,67.25,46787,0
INTLCONV,20211209,65.3,68.75,65.3,67.1,18680,0
INTLCONV,20211210,66.05,67.95,66.05,67.2,76954,0
INTLCONV,20211213,67.7,77.8,67.3,75,670340,0
INTLCONV,20211214,75.1,75.5,70.55,71.75,271243,0
INTLCONV,20211215,77,79.5,72.15,72.8,474610,0
INTLCONV,20211216,74,75.4,70.05,72.25,120850,0
