SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
ISPATALLOY,19950510,16.1,16.2,16.1,16.2,900,0
ISPATALLOY,19950512,17,17,17,17,300,0
ISPATALLOY,19950515,17,17,17,17,1200,0
ISPATALLOY,19950516,16,17.25,16,17,1300,0
ISPATALLOY,19950517,15.5,15.75,15.5,15.55,900,0
ISPATALLOY,19950518,16,17,16,17,300,0
ISPATALLOY,19950519,17,17.3,17,17,1100,0
ISPATALLOY,19950522,16.25,16.5,16.25,16.5,400,0
ISPATALLOY,19950523,16,16.9,16,16.9,700,0
ISPATALLOY,19950524,16,16,16,16,200,0
ISPATALLOY,19950525,16,16,15.95,16,1800,0
ISPATALLOY,19950526,15.75,15.75,15.75,15.75,300,0
ISPATALLOY,19950529,16,16,16,16,100,0
ISPATALLOY,19950530,16.35,16.5,15.75,16,2200,0
ISPATALLOY,19950531,16.5,16.5,16.5,16.5,300,0
ISPATALLOY,19950601,16.5,17.9,16.5,17.9,1200,0
ISPATALLOY,19950602,16.6,17,16.5,16.6,1000,0
ISPATALLOY,19950605,16,17,16,17,500,0
ISPATALLOY,19950606,17,17,17,17,1100,0
ISPATALLOY,19950607,17.25,17.5,17,17.15,3700,0
ISPATALLOY,19950608,17.25,17.25,16.5,17,2100,0
ISPATALLOY,19950609,16.1,16.1,15.5,15.95,11100,0
ISPATALLOY,19950613,16,16,15.95,15.95,300,0
ISPATALLOY,19950614,15.75,15.75,15.5,15.5,1700,0
ISPATALLOY,19950615,15.5,15.5,15.1,15.1,600,0
ISPATALLOY,19950616,15.25,15.25,15.25,15.25,100,0
ISPATALLOY,19950619,15.1,15.1,15,15,1800,0
ISPATALLOY,19950620,15,15.05,15,15,800,0
ISPATALLOY,19950621,15,15,15,15,700,0
ISPATALLOY,19950622,15.1,15.1,15,15,700,0
ISPATALLOY,19950623,14.55,14.75,14.55,14.65,500,0
ISPATALLOY,19950626,15.5,16,15,15,1600,0
ISPATALLOY,19950627,14.5,14.5,14.5,14.5,600,0
ISPATALLOY,19950628,14.75,14.75,14.5,14.5,300,0
ISPATALLOY,19950629,14.5,14.5,14.5,14.5,200,0
ISPATALLOY,19950704,13.5,14,13.5,14,200,0
ISPATALLOY,19950705,13.5,13.5,13.5,13.5,200,0
ISPATALLOY,19950712,14.25,14.25,14.25,14.25,400,0
ISPATALLOY,19950713,14.25,14.25,14.25,14.25,700,0
ISPATALLOY,19950717,14.75,14.95,14.75,14.95,500,0
ISPATALLOY,19950718,15,15.05,15,15.05,400,0
ISPATALLOY,19950719,15,15.25,15,15,300,0
ISPATALLOY,19950720,15.5,15.5,15.5,15.5,100,0
ISPATALLOY,19950721,15.5,15.5,15,15,2600,0
ISPATALLOY,19950725,15,15,15,15,100,0
ISPATALLOY,19950726,14.5,14.55,14.5,14.55,400,0
ISPATALLOY,19950727,15,15.5,15,15.5,300,0
ISPATALLOY,19950728,14.5,14.5,14.3,14.3,200,0
ISPATALLOY,19950731,14.5,14.5,14.5,14.5,600,0
ISPATALLOY,19950801,14.25,14.25,14.25,14.25,700,0
ISPATALLOY,19950802,14.25,14.25,14.25,14.25,700,0
ISPATALLOY,19950803,13.9,14,13.9,14,400,0
ISPATALLOY,19950804,14,14,14,14,2500,0
ISPATALLOY,19950807,14.1,14.1,13.5,14,9700,0
ISPATALLOY,19950808,13.5,14,13.5,13.6,800,0
ISPATALLOY,19950809,13.05,13.25,13.05,13.25,900,0
ISPATALLOY,19950811,13.75,13.75,13.75,13.75,400,0
ISPATALLOY,19950814,13.5,13.75,13.5,13.75,1300,0
ISPATALLOY,19950816,14.5,14.75,14.5,14.75,600,0
ISPATALLOY,19950817,14.5,15,14.5,15,1300,0
ISPATALLOY,19950818,14.95,15.45,14.8,15.25,2400,0
ISPATALLOY,19950821,16,16.2,15.2,15.75,9600,0
ISPATALLOY,19950822,15.85,16,15.05,15.6,6500,0
ISPATALLOY,19950823,15.5,15.5,15.3,15.4,1400,0
ISPATALLOY,19950824,15.4,15.7,14.8,15.05,3300,0
ISPATALLOY,19950825,15.1,15.1,15.1,15.1,400,0
ISPATALLOY,19950828,15.3,15.3,15.15,15.15,900,0
ISPATALLOY,19950830,15.35,15.5,15.15,15.5,4200,0
ISPATALLOY,19950831,14.95,15.5,14.95,15.5,1900,0
ISPATALLOY,19950901,14.25,16,14.25,15.6,7900,0
ISPATALLOY,19950905,16.05,16.5,16.05,16.4,1400,0
ISPATALLOY,19950906,16,16.5,16,16.3,8400,0
ISPATALLOY,19950907,16,16.55,16,16.55,1100,0
ISPATALLOY,19950908,17,17.4,17,17,2600,0
ISPATALLOY,19950911,16.6,17.1,16.6,16.7,6100,0
ISPATALLOY,19950912,16.85,17.25,16.85,17,5200,0
ISPATALLOY,19950913,17,17.25,16.8,17.15,6000,0
ISPATALLOY,19950914,17,17.25,17,17.15,4800,0
ISPATALLOY,19950915,17.25,17.25,17,17,4100,0
ISPATALLOY,19950918,17.5,18.5,17,18.4,12300,0
ISPATALLOY,19950919,18.5,20.5,18.5,19.7,8500,0
ISPATALLOY,19950920,20,20.5,19.25,19.25,8300,0
ISPATALLOY,19950921,19,19,17.75,18,3000,0
ISPATALLOY,19950922,17,18.05,17,17.5,3800,0
ISPATALLOY,19950925,18,18.25,18,18.25,800,0
ISPATALLOY,19950926,18,19.2,18,19.1,6800,0
ISPATALLOY,19950927,17.35,18.05,17.35,18,8600,0
ISPATALLOY,19950928,17.05,17.6,17.05,17.3,4600,0
ISPATALLOY,19950929,17.2,17.5,17.1,17.5,2500,0
ISPATALLOY,19951004,17.5,17.5,17.3,17.35,1400,0
ISPATALLOY,19951005,17.25,17.75,17.05,17.25,3900,0
ISPATALLOY,19951006,17.5,17.6,17.05,17.6,4100,0
ISPATALLOY,19951009,17.3,17.3,16.75,17,1600,0
ISPATALLOY,19951010,17,17.1,16.75,16.75,2200,0
ISPATALLOY,19951011,17,17,16.6,16.65,3000,0
ISPATALLOY,19951012,16.45,16.5,16.25,16.45,2900,0
ISPATALLOY,19951013,17,17,16,16.35,3700,0
ISPATALLOY,19951016,16.05,17.2,16,17,8000,0
ISPATALLOY,19951017,17,17,16.5,16.75,6600,0
ISPATALLOY,19951018,16.8,17,16.25,16.25,2800,0
ISPATALLOY,19951019,16.25,16.25,16.1,16.15,1300,0
ISPATALLOY,19951020,15.75,16.25,15,16.25,2800,0
ISPATALLOY,19951023,15,15,15,15,500,0
ISPATALLOY,19951024,16,16,15.1,15.1,300,0
ISPATALLOY,19951025,15,15.75,15,15.75,1000,0
ISPATALLOY,19951026,15,15,14.5,14.5,400,0
ISPATALLOY,19951027,15,15,14.5,14.6,900,0
ISPATALLOY,19951030,14.5,14.75,14.5,14.75,800,0
ISPATALLOY,19951031,15,15,14.25,14.6,4700,0
ISPATALLOY,19951101,14,14.5,14,14.5,800,0
ISPATALLOY,19951102,14.75,15,14.75,14.75,2600,0
ISPATALLOY,19951103,14.5,15,14.5,14.75,2600,0
ISPATALLOY,19951106,14.25,14.7,14.25,14.7,3200,0
ISPATALLOY,19951107,14.7,14.6,14.5,14.55,2600,0
ISPATALLOY,19951108,14.5,14.5,14.25,14.25,1300,0
ISPATALLOY,19951109,14,14.05,14,14.05,1000,0
ISPATALLOY,19951110,13.35,14.5,13.35,14.35,2600,0
ISPATALLOY,19951113,14.25,14.35,14,14,2800,0
ISPATALLOY,19951114,13.35,13.5,13.35,13.35,1300,0
ISPATALLOY,19951115,14.4,14.5,13.5,13.5,900,0
ISPATALLOY,19951116,13.5,13.75,13.5,13.5,600,0
ISPATALLOY,19951117,13.5,14,13.5,14,1500,0
ISPATALLOY,19951120,14,14,13.7,13.75,2400,0
ISPATALLOY,19951121,13.5,14.2,13.5,14,4000,0
ISPATALLOY,19951122,14.25,14.25,13.75,14,3500,0
ISPATALLOY,19951123,14,14.25,14,14.25,1000,0
ISPATALLOY,19951124,14,14.25,14,14.1,3200,0
ISPATALLOY,19951127,15,15.3,14.6,14.6,900,0
ISPATALLOY,19951128,14.6,15,14.6,14.7,1400,0
ISPATALLOY,19951129,14.4,14.4,14.05,14.4,1400,0
ISPATALLOY,19951130,14.4,14.25,14.25,14.25,300,0
ISPATALLOY,19951201,14.25,14.75,14,14,2700,0
ISPATALLOY,19951204,14,13.95,13.95,13.95,100,0
ISPATALLOY,19951205,13.5,14,13.5,13.75,3500,0
ISPATALLOY,19951206,14,14.25,13.55,13.55,3100,0
ISPATALLOY,19951207,13.5,14.1,13.5,14,1300,0
ISPATALLOY,19951208,14.25,14.5,13.9,14.05,4400,0
ISPATALLOY,19951211,14,14,13.5,14,700,0
ISPATALLOY,19951212,14,14.1,13.9,13.9,3000,0
ISPATALLOY,19951213,14,14,13.9,13.9,1100,0
ISPATALLOY,19951214,14,14,13.8,13.8,400,0
ISPATALLOY,19951215,13.85,13.85,13.75,13.75,800,0
ISPATALLOY,19951218,13.5,13.75,13.4,13.45,1400,0
ISPATALLOY,19951219,13.6,13.6,13,13,1300,0
ISPATALLOY,19951220,13.2,13.2,13.2,13.2,400,0
ISPATALLOY,19951221,13,13.3,13,13.3,1900,0
ISPATALLOY,19951222,13,13.5,13,13.5,2900,0
ISPATALLOY,19951226,13.2,13.3,13.15,13.15,700,0
ISPATALLOY,19951227,12.75,13.25,12.75,13.25,800,0
ISPATALLOY,19951228,13.6,13.6,13.25,13.25,700,0
ISPATALLOY,19951229,13.4,13.75,13,13.75,1600,0
ISPATALLOY,19960101,13.75,13.75,13.4,13.75,600,0
ISPATALLOY,19960102,13.5,13.5,13.15,13.4,3000,0
ISPATALLOY,19960103,13.4,13.4,13.2,13.2,400,0
ISPATALLOY,19960104,12.5,13.5,12.25,13.5,500,0
ISPATALLOY,19960105,13,13,12.5,12.75,400,0
ISPATALLOY,19960108,12.75,12.5,11.8,12.25,900,0
ISPATALLOY,19960109,12.5,12.5,11.85,11.85,3800,0
ISPATALLOY,19960110,11.85,12.1,11.5,12.1,800,0
ISPATALLOY,19960111,12.1,12.1,12,12.1,500,0
ISPATALLOY,19960112,12,12.35,12,12.25,1100,0
ISPATALLOY,19960115,12.5,12.7,12.5,12.6,400,0
ISPATALLOY,19960116,12.6,12.7,12.3,12.3,1900,0
ISPATALLOY,19960117,12.3,12.5,12,12,800,0
ISPATALLOY,19960118,11.5,12.25,11.5,12.25,1300,0
ISPATALLOY,19960119,12.25,12,11.05,11.5,1500,0
ISPATALLOY,19960122,11.5,11.75,11,11.6,2600,0
ISPATALLOY,19960123,11.6,11.5,11.5,11.5,300,0
ISPATALLOY,19960124,11.4,11.4,11,11.2,1100,0
ISPATALLOY,19960125,11,11.15,10.75,11,1900,0
ISPATALLOY,19960129,11,11.1,11,11.1,200,0
ISPATALLOY,19960130,11.15,11.25,11.1,11.1,1100,0
ISPATALLOY,19960131,11.75,11.75,11.75,11.75,1000,0
ISPATALLOY,19960201,12,12,11.7,11.7,400,0
ISPATALLOY,19960202,11.75,11.9,11.5,11.75,2400,0
ISPATALLOY,19960205,12,12.05,12,12.05,1300,0
ISPATALLOY,19960206,12,12.05,12,12.05,1300,0
ISPATALLOY,19960207,11.8,12.25,11.8,12.25,1900,0
ISPATALLOY,19960208,11.75,12.25,11.75,12,400,0
ISPATALLOY,19960209,12,12.5,11.5,12.5,500,0
ISPATALLOY,19960212,12.75,12.75,11.8,11.8,400,0
ISPATALLOY,19960213,11.8,12.35,11.8,11.9,1500,0
ISPATALLOY,19960214,11.9,12.35,11.9,12.25,1700,0
ISPATALLOY,19960215,12,12.25,12,12.25,1200,0
ISPATALLOY,19960216,12.25,12.4,12.15,12.4,3800,0
ISPATALLOY,19960219,12.2,12.55,12.2,12.55,2500,0
ISPATALLOY,19960220,12.2,12.5,11.75,12,3700,0
ISPATALLOY,19960222,12,12,11.85,11.85,1000,0
ISPATALLOY,19960223,11.95,12,11.85,12,3000,0
ISPATALLOY,19960226,12.25,12.5,12.25,12.25,4500,0
ISPATALLOY,19960227,12.5,13,12,12,4300,0
ISPATALLOY,19960228,12,12.35,12,12.3,1500,0
ISPATALLOY,19960229,12.3,12.05,12,12,1700,0
ISPATALLOY,19960301,11,11.5,11,11.25,1700,0
ISPATALLOY,19960304,11.25,11.45,11,11.1,2300,0
ISPATALLOY,19960306,11,11,10.75,10.9,500,0
ISPATALLOY,19960307,10.5,11,10.5,10.75,2300,0
ISPATALLOY,19960308,10.7,11,10.55,10.9,1800,0
ISPATALLOY,19960311,10.5,10.5,10,10,1800,0
ISPATALLOY,19960312,10,10.9,10.35,10.9,4800,0
ISPATALLOY,19960313,10.9,10.25,10.1,10.1,1700,0
