SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
JASCHIND,19950525,25,25,25,25,200,0
JASCHIND,19950704,22.5,22.5,22.5,22.5,100,0
JASCHIND,19950705,18,18,18,18,200,0
JASCHIND,19950710,17.95,18.5,17.95,18.5,400,0
JASCHIND,19950711,17,17,17,17,1000,0
JASCHIND,19950712,18.25,18.25,18.25,18.25,500,0
JASCHIND,19950713,17.55,17.55,17.5,17.5,700,0
JASCHIND,19950714,17,17,17,17,200,0
JASCHIND,19950717,17.35,19.05,17.35,19.05,1100,0
JASCHIND,19950718,19.5,20.5,19.5,20.05,600,0
JASCHIND,19950719,20,22,20,22,1100,0
JASCHIND,19950720,22,22.25,22,22.25,700,0
JASCHIND,19950721,22.5,23.95,22.5,23.95,1500,0
JASCHIND,19950724,23.1,24.75,23.1,24.4,3000,0
JASCHIND,19950725,23.55,25.6,23.5,25,4400,0
JASCHIND,19950726,25.25,26.5,25.25,26,800,0
JASCHIND,19950727,26.3,27.5,26,26.05,2500,0
JASCHIND,19950728,25.45,26,25.45,26,2900,0
JASCHIND,19950731,25.8,27,25.75,26,7500,0
JASCHIND,19950801,25.5,26.75,25,26.5,8600,0
JASCHIND,19950802,26,27,25.25,25.35,9900,0
JASCHIND,19950803,25,25,23.5,23.75,3300,0
JASCHIND,19950804,23,23,22.5,23,5600,0
JASCHIND,19950807,25,26,21,21.9,16400,0
JASCHIND,19950808,21.35,21.45,20,20,11500,0
JASCHIND,19950809,20.7,20.7,19,19,7200,0
JASCHIND,19950811,20.7,20.7,19.05,19.05,7700,0
JASCHIND,19950814,20.7,20.7,18.3,18.3,5300,0
JASCHIND,19950816,18.5,18.5,18,18.5,1800,0
JASCHIND,19950817,18.25,18.7,18,18.5,3600,0
JASCHIND,19950818,18.5,18.6,18,18,12700,0
JASCHIND,19950821,18.6,18.75,18.25,18.25,8500,0
JASCHIND,19950822,18.75,18.75,18.35,18.55,11200,0
JASCHIND,19950823,18.9,20.25,18.9,20.25,4100,0
JASCHIND,19950824,20,22.75,19.95,22,17500,0
JASCHIND,19950825,21.5,21.5,20,20.2,10800,0
JASCHIND,19950828,20.95,20.95,19.25,19.85,8200,0
JASCHIND,19950831,19,19.2,19,19,1800,0
JASCHIND,19950901,18.95,18.95,18.95,18.95,500,0
JASCHIND,19950905,18.2,18.2,18,18,600,0
JASCHIND,19950906,18.1,18.4,18,18.4,3300,0
JASCHIND,19950907,18.5,18.5,18.1,18.1,400,0
JASCHIND,19950908,18.1,18.25,18.1,18.1,1000,0
JASCHIND,19950911,17.5,17.95,17.5,17.95,800,0
JASCHIND,19950912,18.25,18.25,18.25,18.25,600,0
JASCHIND,19950913,17.75,17.75,17.75,17.75,300,0
JASCHIND,19950914,17,17.25,16,17,4600,0
JASCHIND,19950915,16.5,16.75,16.5,16.75,2900,0
JASCHIND,19950918,16.95,17,16.5,16.9,600,0
JASCHIND,19950919,15.5,16.5,15.5,16.5,1100,0
JASCHIND,19950920,16,16.5,16,16.5,1900,0
JASCHIND,19950921,16.5,16.5,16,16,700,0
JASCHIND,19950922,15,16,15,15.3,1500,0
JASCHIND,19950925,16.25,16.3,16.25,16.3,600,0
JASCHIND,19950926,15.75,16.15,15.75,16.15,1800,0
JASCHIND,19950928,17.6,17.6,17.6,17.6,1000,0
JASCHIND,19950929,17.5,17.9,17.5,17.9,2400,0
JASCHIND,19951004,19,19,19,19,500,0
JASCHIND,19951006,19,19.1,19,19.05,2800,0
JASCHIND,19951010,17.5,18,17.5,17.5,1200,0
JASCHIND,19951011,17.5,17.5,17,17.5,1500,0
JASCHIND,19951012,17.5,17.5,17.5,17.5,1600,0
JASCHIND,19951013,17.5,17.75,17.5,17.75,2000,0
JASCHIND,19951016,17.5,17.5,17.5,17.5,700,0
JASCHIND,19951017,17,17.25,17,17,2300,0
JASCHIND,19951018,16,16,16,16,100,0
JASCHIND,19951019,16,16.75,16,16.75,2800,0
JASCHIND,19951020,16.1,16.1,16,16,1200,0
JASCHIND,19951023,15,15.75,15,15.4,400,0
JASCHIND,19951024,16,16,16,16,400,0
JASCHIND,19951025,16.75,17.25,16.75,17.25,1100,0
JASCHIND,19951026,17,17,16,16,1100,0
JASCHIND,19951030,16.5,16.5,16.5,16.5,500,0
JASCHIND,19951031,16,16,16,16,200,0
JASCHIND,19951101,15,15,15,15,1100,0
JASCHIND,19951102,16,16,16,16,100,0
JASCHIND,19951103,15.5,15.5,15.5,15.5,1200,0
JASCHIND,19951106,15.5,15.5,15.5,15.5,500,0
JASCHIND,19951107,15.5,15.65,15.5,15.5,2600,0
JASCHIND,19951108,15.5,15.5,15.25,15.5,1900,0
JASCHIND,19951109,15.25,15.25,15,15,1300,0
JASCHIND,19951110,15,15.5,14,15.5,1300,0
JASCHIND,19951113,15,15.2,15,15.2,1100,0
JASCHIND,19951114,15,15,14.3,14.3,1500,0
JASCHIND,19951115,14.3,14,13.75,13.95,900,0
JASCHIND,19951116,13.8,14.25,13.75,14.25,4600,0
JASCHIND,19951117,14.25,15.5,13.75,13.75,2900,0
JASCHIND,19951120,14,14.3,13.75,14.3,1800,0
JASCHIND,19951121,14.3,13.5,13.1,13.5,1300,0
JASCHIND,19951122,13.5,13,13,13,700,0
JASCHIND,19951123,13,13.05,13,13.05,500,0
JASCHIND,19951127,13.6,13.6,13.6,13.6,500,0
JASCHIND,19951128,13,13,13,13,200,0
JASCHIND,19951129,13,13.1,13,13,2200,0
JASCHIND,19951130,12.95,12.95,12.95,12.95,700,0
JASCHIND,19951201,12.95,12.95,12.95,12.95,500,0
JASCHIND,19951204,12.75,12.95,12.75,12.75,700,0
JASCHIND,19951205,12.65,12.75,12,12,5700,0
JASCHIND,19951206,12.4,12.5,12.3,12.5,4100,0
JASCHIND,19951207,13,13.5,13,13.5,1500,0
JASCHIND,19951208,14.8,14.8,14,14.25,1900,0
JASCHIND,19951211,13.1,14,13.1,14,600,0
JASCHIND,19951212,13,13.25,12.5,12.75,3300,0
JASCHIND,19951213,13.5,13.5,13.5,13.5,1000,0
JASCHIND,19951214,13.5,13.75,13.25,13.5,6000,0
JASCHIND,19951215,13.5,13,12.75,12.75,4500,0
JASCHIND,19951218,12.75,12.9,12.45,12.9,2800,0
JASCHIND,19951219,12.75,12.75,12,12.15,5800,0
JASCHIND,19951220,12.15,12.75,12.5,12.5,2300,0
JASCHIND,19951221,12.75,12.75,12.5,12.5,500,0
JASCHIND,19951227,12,12,12,12,500,0
JASCHIND,19951228,12,12.5,12,12.5,2700,0
JASCHIND,19951229,12.65,13,12.6,12.8,2100,0
JASCHIND,19960101,12.45,12.45,12.45,12.45,500,0
JASCHIND,19960102,12.7,12.7,12.15,12.2,1900,0
JASCHIND,19960103,11.25,11.75,11.25,11.75,7800,0
JASCHIND,19960104,12,12.25,12,12.25,5800,0
JASCHIND,19960105,12.25,12.4,12,12,2800,0
JASCHIND,19960108,12,12,12,12,200,0
JASCHIND,19960109,11.1,11.1,10.95,11,2800,0
JASCHIND,19960110,11.5,11.75,11.05,11.2,7700,0
JASCHIND,19960111,11.75,11.75,11.3,11.4,2900,0
JASCHIND,19960112,11.5,11.6,11.25,11.5,7900,0
JASCHIND,19960115,11.25,11.25,10.95,11.15,4600,0
JASCHIND,19960116,11,11.1,10.5,10.9,9300,0
JASCHIND,19960117,11,11,10.75,10.75,2400,0
JASCHIND,19960118,10.7,10.75,10.5,10.5,2600,0
JASCHIND,19960119,10.05,10.25,10.05,10.2,5700,0
JASCHIND,19960122,10.25,10.25,10.25,10.25,200,0
JASCHIND,19960124,10,10,10,10,500,0
JASCHIND,19960129,10,10,9.75,9.75,800,0
JASCHIND,19960130,9.5,9.65,9.1,9.1,1000,0
JASCHIND,19960131,10,10,9.45,10,2400,0
JASCHIND,19960201,10,10,9.75,9.75,1800,0
JASCHIND,19960202,9.75,10.6,9.8,10.5,3100,0
JASCHIND,19960205,10.5,11.3,10.5,11.3,4200,0
JASCHIND,19960206,11.35,11.5,11,11.25,5100,0
JASCHIND,19960207,12,12,11.3,11.5,3000,0
JASCHIND,19960208,11,11.25,11,11,2700,0
JASCHIND,19960209,11,11.05,11,11,1400,0
JASCHIND,19960212,11,11.95,11,11.4,1000,0
JASCHIND,19960213,11.25,11.5,11.2,11.5,2900,0
JASCHIND,19960214,11.8,11.8,11.55,11.8,1900,0
JASCHIND,19960215,11.3,11.6,11.1,11.4,7900,0
JASCHIND,19960216,11.4,11,10.95,11,2100,0
JASCHIND,19960219,11,11,10.5,11,4800,0
JASCHIND,19960220,10.25,10.55,10.15,10.15,4800,0
JASCHIND,19960222,10.15,10.5,10.15,10.5,1500,0
JASCHIND,19960223,10.3,10.3,10.2,10.2,1000,0
JASCHIND,19960226,10.15,10.2,10.05,10.1,3000,0
JASCHIND,19960227,10.1,10.25,9.75,10.25,3400,0
JASCHIND,19960228,10,11.15,9.75,9.95,2500,0
JASCHIND,19960229,10.05,10.4,10.05,10.4,2500,0
