SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
JAYBARMARU,19951121,55,55,55,55,100,0
JAYBARMARU,19951219,55.05,55.05,55.05,55.05,100,0
JAYBARMARU,19960109,55.15,55.15,55.1,55.1,200,0
JAYBARMARU,19960116,52,52,52,52,100,0
JAYBARMARU,19960117,52,52,52,52,100,0
JAYBARMARU,19960119,49,49,49,49,100,0
JAYBARMARU,19960122,49,50,50,50,100,0
JAYBARMARU,19960123,50,50.3,50.3,50.3,100,0
JAYBARMARU,19960131,54,54.75,54,54.75,200,0
JAYBARMARU,19960201,52,52,52,52,100,0
JAYBARMARU,19960205,57,57,53,53,1500,0
JAYBARMARU,19960207,58,58,58,58,100,0
JAYBARMARU,19960209,62,62,62,62,100,0
JAYBARMARU,19960212,67,67,67,67,100,0
JAYBARMARU,19960213,67,69,64,68.25,800,0
JAYBARMARU,19960214,68.25,70,67,70,400,0
JAYBARMARU,19960215,68.5,69,68.5,68.5,300,0
JAYBARMARU,19960229,65,68,65,68,500,0
JAYBARMARU,19960301,64,64,64,64,200,0
JAYBARMARU,19960304,60,60,60,60,100,0
JAYBARMARU,19960319,60,60,60,60,100,0
JAYBARMARU,19960409,55,55,55,55,100,0
JAYBARMARU,19960411,56,56,56,56,100,0
JAYBARMARU,19960415,56,57,57,57,100,0
JAYBARMARU,19960418,57,62,62,62,100,0
JAYBARMARU,19960419,66,66,66,66,100,0
JAYBARMARU,19960429,60,60,60,60,100,0
JAYBARMARU,19960501,60,60,60,60,100,0
JAYBARMARU,19960503,64.5,64.5,64.5,64.5,100,0
JAYBARMARU,19960506,65,65,60,61,400,0
JAYBARMARU,19960507,61,62,61,62,800,0
JAYBARMARU,19960517,60.5,60.5,60.5,60.5,500,0
JAYBARMARU,19960520,60.5,60.05,60.05,60.05,100,0
JAYBARMARU,19960521,62,62,62,62,600,0
JAYBARMARU,19960523,60.5,60.5,60.5,60.5,200,0
JAYBARMARU,19960527,60.75,60.75,60.5,60.5,200,0
JAYBARMARU,19960529,58.75,58.75,58.75,58.75,200,0
JAYBARMARU,19960606,57.5,57.5,57.5,57.5,200,0
JAYBARMARU,19960618,57,57,57,57,200,0
JAYBARMARU,19960704,60.75,61,60.75,61,200,0
JAYBARMARU,19960705,56,61,56,57.5,1000,0
JAYBARMARU,19960708,53,55,53,55,300,0
JAYBARMARU,19960709,53.1,53.1,53,53,300,0
JAYBARMARU,19960710,53,53,53,53,100,0
JAYBARMARU,19960712,49,49,47.75,47.75,200,0
JAYBARMARU,19960715,51,51,47.75,49.75,300,0
JAYBARMARU,19960716,50,50,50,50,500,0
JAYBARMARU,19960729,44.95,44.95,44.95,44.95,100,0
JAYBARMARU,19960731,44,44,44,44,100,0
JAYBARMARU,19960805,43,43,42,42,300,0
JAYBARMARU,19960809,39,39,39,39,100,0
JAYBARMARU,19960823,36.8,36.8,36.8,36.8,100,0
JAYBARMARU,19960827,36.5,36.5,36.5,36.5,100,0
JAYBARMARU,19960909,35,35,32.7,32.7,900,0
JAYBARMARU,19960910,32.7,32.7,29.5,29.5,1400,0
JAYBARMARU,19960911,31,31,27.5,27.5,1100,0
JAYBARMARU,19960912,27.6,27.6,27.5,27.5,800,0
JAYBARMARU,19960913,26.5,26.5,26.5,26.5,1500,0
JAYBARMARU,19960917,28,28,28,28,100,0
JAYBARMARU,19960918,28,29,28,29,1800,0
JAYBARMARU,19960919,31,31,31,31,200,0
