SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
JEYPORE,20100630,164,164,164,164,1,0
JEYPORE,20100702,136.05,196.8,136.05,176,584,28
JEYPORE,20100705,141.5,198,141.5,175,102,61
JEYPORE,20100706,150,205,150,197.1,937,188
JEYPORE,20100707,220,225,196,202.85,1189,280
JEYPORE,20100708,215.95,215.95,185.05,187.75,877,440
JEYPORE,20100709,195,204.5,187.9,202,153,148
JEYPORE,20100712,188,206.6,186.1,201,36,28
JEYPORE,20100713,201,210,198,210,279,201
JEYPORE,20100714,209.9,209.9,197.3,200,271,218
JEYPORE,20100715,191,206.9,191,197.7,657,43
JEYPORE,20100716,190.1,202,190.1,202,87,86
JEYPORE,20100719,202,204.95,200,200,174,118
JEYPORE,20100720,193.3,207,193.3,205.95,118,52
JEYPORE,20100721,200,200,192,194.15,339,100
JEYPORE,20100722,191,199,183,192.45,230,155
JEYPORE,20100723,224,224,192,195.5,2018,248
JEYPORE,20100726,195.1,198,180.25,192.85,539,50
JEYPORE,20100727,191,194.9,183.7,194.9,45,35
JEYPORE,20100728,200,200,185.5,189.35,637,15
JEYPORE,20100729,190,197.8,162.7,181.35,189,148
JEYPORE,20100730,178.1,189.9,178.1,180.5,114,95
JEYPORE,20100802,172,188.5,172,185.5,118,102
JEYPORE,20100803,186,195,181.2,189,416,10
JEYPORE,20100804,184,200,184,200,390,369
JEYPORE,20100805,199.95,200,187.1,193.85,721,170
JEYPORE,20100806,199.5,205,195,204.7,1016,756
JEYPORE,20100809,204.45,204.45,204.45,204.45,10,10
JEYPORE,20100810,200,202.7,192.55,202,47,45
JEYPORE,20100811,203.6,211.6,200,200,1804,537
JEYPORE,20100812,202,240,201.25,221.2,2651,1775
JEYPORE,20100813,239,239,201.1,209.75,1830,537
JEYPORE,20100816,209,210,194.55,200.2,317,255
JEYPORE,20100817,199.9,200,191,198.45,652,73
JEYPORE,20100818,192.1,200,178.1,195.7,570,495
JEYPORE,20100819,193.1,202.8,193.1,202.8,200,0
JEYPORE,20100820,198,198,197.6,197.8,50,50
JEYPORE,20100823,191,200,191,193,145,91
JEYPORE,20100824,190,218.5,190,193.1,92,11
JEYPORE,20100825,190,198.4,190,198.25,506,500
JEYPORE,20100826,196.9,201,182.2,190.6,397,240
JEYPORE,20100827,204.45,204.45,192.1,192.1,115,100
JEYPORE,20100830,190,195,190,195,320,210
JEYPORE,20100831,191,196.75,191,192.05,3186,177
JEYPORE,20100901,193,198,184.1,184.1,344,311
JEYPORE,20100902,190,198.5,180,193.75,698,297
JEYPORE,20100903,195.7,195.7,191.25,191.25,57,31
JEYPORE,20100906,197,197,197,197,30,30
JEYPORE,20100907,195.5,198,195.5,197.45,1196,1176
JEYPORE,20100908,199.9,200,197,200,177,175
JEYPORE,20100909,190.3,199,190.3,199,13,13
JEYPORE,20100913,196,196,196,196,5,5
JEYPORE,20100914,184.5,195.5,184.5,195.5,100,0
JEYPORE,20100915,186,200,186,188.15,320,200
JEYPORE,20100916,199,199,185,185,587,411
JEYPORE,20100917,186,192.9,177,189.2,734,460
JEYPORE,20100920,190,196,189.5,195.4,316,306
JEYPORE,20100921,214,214,190,190,22,22
JEYPORE,20100922,185,188.25,182.15,183.75,477,410
JEYPORE,20100923,187.05,189.7,185.1,186.7,11,7
JEYPORE,20100924,182,188.9,182,187,1467,60
JEYPORE,20100927,194.7,195,184.5,184.5,497,312
JEYPORE,20100928,185,192.85,184,186.5,3910,1679
JEYPORE,20100929,182,190.5,181,186.5,3026,13
JEYPORE,20100930,189.7,189.7,177.5,182.25,3892,440
JEYPORE,20101001,185,188,184,184,165,140
JEYPORE,20101004,182.1,185.6,176.5,180.65,1146,655
JEYPORE,20101005,184,187.7,178.2,182.95,4,1
JEYPORE,20101006,182.95,183.1,182.95,183.05,180,130
JEYPORE,20101007,186,186,173,176.8,861,781
JEYPORE,20101008,180,180.4,175.6,178.4,1812,223
JEYPORE,20101011,182,182,179.9,181,81,0
JEYPORE,20101012,182,182,179.2,182,82,0
JEYPORE,20101013,181.9,183.4,178,181.5,645,0
JEYPORE,20101014,178.4,178.4,178.4,178.4,44,0
JEYPORE,20101015,183.7,183.7,175.1,179,2053,0
JEYPORE,20101018,174,179,174,179,200,0
JEYPORE,20101020,183,183.4,175.1,178.55,2282,0
JEYPORE,20101021,182,184.7,178.15,180,2446,0
JEYPORE,20101022,180,180,174,174,1037,26
JEYPORE,20101025,170,176,166.5,172.7,2940,2662
JEYPORE,20101026,179.7,180,174.5,177.2,1375,253
JEYPORE,20101027,173.1,180,173.1,177.5,1898,100
JEYPORE,20101028,183.85,184.45,183.85,184,1101,1001
JEYPORE,20101029,187.5,187.5,171.3,178.2,3122,2
JEYPORE,20101101,185.05,188.05,176.6,178,14,10
JEYPORE,20101102,173.45,182.9,173.45,177,651,0
JEYPORE,20101103,179.95,180,174,174,318,0
JEYPORE,20101104,176,176,174.1,174.1,560,533
JEYPORE,20101105,183,183,183,183,24,24
JEYPORE,20101108,180,190,176,190,1072,902
JEYPORE,20101109,197.7,197.7,190,190,41,0
JEYPORE,20101110,183.1,190.7,183,188.9,1130,0
JEYPORE,20101111,184.1,196,184.1,192.45,872,112
JEYPORE,20101112,181,192.9,176.2,176.7,1582,0
JEYPORE,20101116,173.1,173.1,173.1,173.1,10,10
JEYPORE,20101118,170.05,170.05,170,170,225,225
JEYPORE,20101119,161,173,161,171.95,280,80
JEYPORE,20101122,170,176.95,161.3,174,14,0
JEYPORE,20101126,176,176,176,176,10,0
JEYPORE,20101130,173,173,173,173,20,0
JEYPORE,20101201,175,175,175,175,100,0
JEYPORE,20101202,174.9,175,167.1,167.1,120,0
JEYPORE,20101207,175,175,175,175,30,0
JEYPORE,20101208,180.2,180.2,180.2,180.2,1,0
JEYPORE,20101210,176,176,176,176,1,0
JEYPORE,20101213,167.55,174.8,167.2,167.25,201,0
JEYPORE,20101214,174.3,174.3,174.3,174.3,1,0
JEYPORE,20101216,170,173.3,166,173.3,11,0
JEYPORE,20101220,166,166,165,165,22,0
JEYPORE,20101221,173.2,173.2,173.2,173.2,1,0
JEYPORE,20101222,172,172,172,172,100,0
JEYPORE,20101224,173.2,173.2,173.2,173.2,30,0
JEYPORE,20101229,173.5,173.5,173.5,173.5,1,0
JEYPORE,20110104,173.5,173.5,164.9,164.9,560,0
JEYPORE,20110110,157,164.3,156.65,164.3,22,0
JEYPORE,20110112,163.9,163.9,156.1,163.5,59,0
JEYPORE,20110113,168.45,168.45,168.45,168.45,1,0
JEYPORE,20110114,167,167,167,167,1,0
JEYPORE,20110118,167,167,167,167,1,0
JEYPORE,20110119,160,160,158.95,158.95,26,0
JEYPORE,20110120,152,157.7,151.1,157.7,8,0
JEYPORE,20110121,159,159,159,159,1,0
JEYPORE,20110125,164,164,154.65,154.65,63,0
JEYPORE,20110127,146.95,146.95,146.95,146.95,26,0
JEYPORE,20110128,146,146,146,146,10,0
JEYPORE,20110131,138.7,138.7,138.7,138.7,11,0
JEYPORE,20110201,145,145,145,145,1,0
JEYPORE,20110203,149,149,149,149,1,0
