SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
JINDALSWHL,20050621,170,345,170,278.55,2668277,124990
JINDALSWHL,20050622,269.9,269.9,241,247.85,849324,88594
JINDALSWHL,20050623,246,247.7,233,237.1,307067,51079
JINDALSWHL,20050624,234.95,242,225.25,228.65,233019,25502
JINDALSWHL,20050627,229.8,233.9,205.1,206.5,117411,0
JINDALSWHL,20050628,206.8,210.8,178.5,183.05,195731,0
JINDALSWHL,20050629,147,201.9,147,189.1,484859,53565
JINDALSWHL,20050630,191,197.4,185.6,194.6,210883,53654
JINDALSWHL,20050701,192.5,212,188.95,207.55,203921,32409
JINDALSWHL,20050704,216,224,211,215.1,127174,0
JINDALSWHL,20050705,218.95,219,206.4,210.1,35239,0
JINDALSWHL,20050706,210,224.8,208.05,219.4,55145,20468
JINDALSWHL,20050707,221.05,229,213.35,216.65,42347,0
JINDALSWHL,20050708,224.5,224.95,218,223.6,37989,0
JINDALSWHL,20050711,223,266,223,253.05,122408,0
JINDALSWHL,20050712,256,273,243.3,246.75,98233,0
JINDALSWHL,20050713,252,254.5,242.55,247.4,23838,0
JINDALSWHL,20050714,231.1,250,221.1,241.45,20343,5850
JINDALSWHL,20050715,235.1,247.35,235.1,237.9,14143,3299
JINDALSWHL,20050718,249.75,249.75,234.05,237.4,14539,0
JINDALSWHL,20050719,242,250,234.9,239.25,7491,0
JINDALSWHL,20050720,241,247,230,234.7,28908,15923
JINDALSWHL,20050721,235,242,228,230.5,10030,6048
JINDALSWHL,20050722,239,239,223.05,226.15,21384,0
JINDALSWHL,20050725,228,236,220,221.35,12481,0
JINDALSWHL,20050726,223,224.1,215,216.65,8180,6255
JINDALSWHL,20050727,215.15,221,215.15,218.3,2278,1110
JINDALSWHL,20050729,220,220.6,212,215,4953,0
JINDALSWHL,20050801,214.05,214.05,199.9,202,9757,6247
JINDALSWHL,20050802,190.6,212,190.6,207.95,7442,0
JINDALSWHL,20050803,207.6,209.4,195.1,197.7,13558,10268
JINDALSWHL,20050804,202,207,201,202.65,9077,6054
JINDALSWHL,20050805,207.4,208,200,203.75,10313,5209
JINDALSWHL,20050808,211,214.5,201.95,203.8,6374,4253
JINDALSWHL,20050809,202.1,206.8,200,201.55,3301,2044
JINDALSWHL,20050810,203,207,201.1,204.45,6110,4290
JINDALSWHL,20050811,208.7,220,206,215.8,15600,9416
JINDALSWHL,20050812,214,214,210,210.2,4562,0
JINDALSWHL,20050816,220,221,212.7,217.3,3642,2467
JINDALSWHL,20050817,214.9,219,214.9,216.2,4000,3263
JINDALSWHL,20050818,215.3,219.9,212.2,214.4,6360,5367
JINDALSWHL,20050819,213.25,215,208,209.05,4141,3244
JINDALSWHL,20050822,214,219.7,211.05,214.45,10930,5981
JINDALSWHL,20050823,214,216.85,208.05,208.4,5982,3920
JINDALSWHL,20050824,199,208.9,199,202.1,5789,3739
JINDALSWHL,20050825,205.05,210,202,205.5,4175,3207
JINDALSWHL,20050826,210,210,205.35,206.05,2826,1574
JINDALSWHL,20050829,203.05,204.5,201,201.75,2299,1708
JINDALSWHL,20050830,207,208.5,203,203.75,2591,1818
JINDALSWHL,20050831,204,208.05,204,205.4,1637,1016
JINDALSWHL,20050901,208,208,201,201.7,4907,4067
JINDALSWHL,20050902,203,205,197,198.75,7244,4043
JINDALSWHL,20050905,200,207,198.05,199,69508,65788
JINDALSWHL,20050906,205,205,197.1,198.05,10642,7322
JINDALSWHL,20050908,191.1,204.9,191.1,196.4,4422,3094
JINDALSWHL,20050909,200,200.5,197,199.25,3760,2510
JINDALSWHL,20050912,197,198,196.2,196.45,13616,11618
JINDALSWHL,20050913,210,210,195,196.65,13759,11717
JINDALSWHL,20050914,196.1,199,192.5,195.15,20869,16158
JINDALSWHL,20050915,196.5,202,193.05,198.45,24723,21701
JINDALSWHL,20050916,203,206.2,200.3,202.25,12310,6088
JINDALSWHL,20050919,205,214.5,203,207.35,15303,10476
JINDALSWHL,20050920,211.9,226.95,208,222.05,48703,24745
JINDALSWHL,20050921,226.9,228,205,213.4,16569,10600
JINDALSWHL,20050922,219.9,219.9,196,197.9,12473,8283
JINDALSWHL,20050923,210,225,191.25,202.35,8152,3960
JINDALSWHL,20050926,206.95,209,200,203.85,4140,2728
JINDALSWHL,20050927,207,211,202.05,203.7,6338,5270
JINDALSWHL,20050928,207,207,201.2,202.45,1869,1319
JINDALSWHL,20050929,216,216,202.1,203.75,10520,6566
JINDALSWHL,20050930,202,203.9,198.3,199.05,4979,3994
JINDALSWHL,20051003,205.8,205.8,199.25,204.3,3207,2788
JINDALSWHL,20051004,201,209.6,201,202.7,29119,5790
JINDALSWHL,20051005,202.25,206,202.05,204.55,1420,1249
JINDALSWHL,20051006,200.15,204,200,203,8692,7093
JINDALSWHL,20051007,202,205,199,203.05,4180,3216
JINDALSWHL,20051010,197,205.6,197,205.1,4396,3639
JINDALSWHL,20051011,208,208,201.75,205,2132,1948
JINDALSWHL,20051013,205,208,202.15,206.35,3148,2255
JINDALSWHL,20051014,202.5,203.8,198.4,200.6,3007,2192
JINDALSWHL,20051017,195.45,199.7,195,195.3,4734,3484
JINDALSWHL,20051018,196.05,204.2,193.1,197.65,5712,4193
JINDALSWHL,20051019,203.95,203.95,188.5,189.45,5690,5168
JINDALSWHL,20051020,190.1,191.05,180,180.95,7904,7259
JINDALSWHL,20051021,175,185,172.05,182.45,572,454
JINDALSWHL,20051024,176,194.5,176,182.3,3020,2511
JINDALSWHL,20051025,181.5,185.75,176.05,180.1,4239,4098
JINDALSWHL,20051026,180,184,175.55,180.6,4110,2532
JINDALSWHL,20051027,175.75,175.75,171.8,174.35,1696,1125
JINDALSWHL,20051028,171.05,177,170,176.9,1638,1415
JINDALSWHL,20051031,185.95,185.95,169,170.95,3056,2766
JINDALSWHL,20051101,171.3,172,170,171,258,163
JINDALSWHL,20051102,169.65,173.4,169.65,172.25,678,470
JINDALSWHL,20051107,173.1,185,173.1,183.8,1255,0
JINDALSWHL,20051108,182,185,178.05,179.2,655,547
JINDALSWHL,20051109,178.05,179.05,174,175.1,1128,0
JINDALSWHL,20051110,183,183,174,176.05,1003,483
JINDALSWHL,20051111,175,181,175,180.35,2305,1997
JINDALSWHL,20051114,180,189,177.1,180.6,2801,0
JINDALSWHL,20051116,194.9,194.9,176.35,178.2,1401,1106
JINDALSWHL,20051117,178.1,180.85,175.1,180,4152,0
JINDALSWHL,20051118,180.05,182.95,179,180.1,802,754
JINDALSWHL,20051121,173.3,182.8,173.3,181.75,7776,7208
