SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
JMCPROJECT,19960911,43,46.5,43,46.5,2100,0
JMCPROJECT,19960912,45.5,47,44.5,45.2,2900,0
JMCPROJECT,19960913,45,47,45,47,1300,0
JMCPROJECT,19960916,47.5,48.5,47.5,48.25,900,0
JMCPROJECT,19960917,46.1,46.5,45.75,45.75,600,0
JMCPROJECT,19960918,46.25,48,46.25,47.5,2300,0
JMCPROJECT,19960919,47,47.2,46.8,46.8,600,0
JMCPROJECT,19960920,46,46,45,46,1200,0
JMCPROJECT,19960923,43.05,44.5,43.05,44.5,200,0
JMCPROJECT,19960924,45,45,44.3,44.3,800,0
JMCPROJECT,19960925,44.75,44.75,44.75,44.75,100,0
JMCPROJECT,19960926,43.25,43.25,43,43,400,0
JMCPROJECT,19960927,43,44.5,41.8,44,3900,0
JMCPROJECT,19960930,41.3,41.3,41,41,300,0
JMCPROJECT,19961001,42,45,42,44.85,1600,0
JMCPROJECT,19961003,43,43,42.5,42.75,300,0
JMCPROJECT,19961004,41.95,41.95,41.95,41.95,100,0
JMCPROJECT,19961007,39,39,38.5,38.5,300,0
JMCPROJECT,19961008,36.1,38.4,35.5,37.95,1700,0
JMCPROJECT,19961014,36,36,35.5,36,2300,0
JMCPROJECT,19961015,36,36,35.5,35.5,200,0
JMCPROJECT,19961016,37.5,39,37.5,39,500,0
JMCPROJECT,19961018,36.5,36.5,36.5,36.5,100,0
JMCPROJECT,19961022,38.5,38.5,38.5,38.5,500,0
JMCPROJECT,19961023,40,42.35,40,42.35,300,0
JMCPROJECT,19961024,43,44.5,43,44.5,200,0
JMCPROJECT,19961028,48,48,41,41,200,0
JMCPROJECT,19961029,39.1,39.1,39.1,39.1,100,0
JMCPROJECT,19961105,36,36,36,36,100,0
JMCPROJECT,19961106,39,39,39,39,1000,0
JMCPROJECT,19961107,36,36,36,36,100,0
JMCPROJECT,19961110,39.25,39.25,39.25,39.25,500,0
JMCPROJECT,19961111,41,41,41,41,500,0
JMCPROJECT,19961118,40.95,40.95,40.95,40.95,100,0
JMCPROJECT,19961122,38.05,38.05,38,38,400,0
JMCPROJECT,19961128,37.5,38.25,37.5,38.25,300,0
JMCPROJECT,19961129,38,38,37.5,37.5,200,0
JMCPROJECT,19961202,37,37,37,37,300,0
JMCPROJECT,19961203,37,37,37,37,200,0
JMCPROJECT,19961204,33.5,33.5,33.3,33.3,200,0
JMCPROJECT,19961209,35,35,35,35,100,0
JMCPROJECT,19961210,34,34,34,34,100,0
JMCPROJECT,19961212,37,37,37,37,100,0
JMCPROJECT,19961213,37.5,38.5,37.1,38.15,1900,0
JMCPROJECT,19961217,36,36.35,35.8,36.3,800,0
JMCPROJECT,19961218,38.9,38.95,38.9,38.95,200,0
JMCPROJECT,19961219,39,41.75,37.8,40.75,700,0
JMCPROJECT,19961220,39.25,39.25,38.8,38.8,200,0
JMCPROJECT,19961223,38.05,38.05,38.05,38.05,100,0
JMCPROJECT,19961224,37.95,37.95,37.95,37.95,100,0
JMCPROJECT,19961226,41,41,41,41,100,0
JMCPROJECT,19961231,40,40,39.1,39.1,200,0
JMCPROJECT,19970102,40,43,40,43,500,0
JMCPROJECT,19970103,43,43,43,43,200,0
JMCPROJECT,19970106,40.25,42.5,40.25,42.3,1300,0
JMCPROJECT,19970107,42,43.95,41.5,43.95,400,0
JMCPROJECT,19970108,43.5,45.9,43.25,45.9,1300,0
JMCPROJECT,19970109,46.9,50,46.9,49.15,2500,0
JMCPROJECT,19970110,50.5,53.5,49.4,53.2,2600,0
JMCPROJECT,19970113,48.5,54.45,48.5,53.05,2900,0
JMCPROJECT,19970114,54,54,50.55,51,1400,0
JMCPROJECT,19970115,54.5,55.75,52.6,55.55,2900,0
JMCPROJECT,19970116,54,57,50.25,50.25,1500,0
JMCPROJECT,19970117,50.5,51,47.2,47.5,2200,0
JMCPROJECT,19970121,44.5,45,44.5,45,400,0
JMCPROJECT,19970128,45,48.5,45,47.5,900,0
JMCPROJECT,19970129,47,47,47,47,500,0
JMCPROJECT,19970130,47,47.45,47,47.45,200,0
JMCPROJECT,19970203,45,45,45,45,100,0
JMCPROJECT,19970204,44.5,44.5,42.5,42.5,400,0
JMCPROJECT,19970205,42.05,42.05,42,42,500,0
JMCPROJECT,19970206,42,42,42,42,100,0
JMCPROJECT,19970207,43.5,43.5,43.5,43.5,100,0
JMCPROJECT,19970211,42,42.1,42,42.05,500,0
JMCPROJECT,19970212,42.5,42.5,42.5,42.5,100,0
JMCPROJECT,19970213,42.5,44.9,42.5,44.9,200,0
JMCPROJECT,19970217,43.05,43.05,43.05,43.05,100,0
JMCPROJECT,19970218,42.5,42.5,42.5,42.5,500,0
JMCPROJECT,19970219,43.5,43.5,42.6,42.6,900,0
JMCPROJECT,19970220,42.5,42.5,42.5,42.5,100,0
JMCPROJECT,19970221,43,43,43,43,300,0
JMCPROJECT,19970225,40,40,40,40,500,0
JMCPROJECT,19970303,44,44,43.3,43.3,600,0
JMCPROJECT,19970304,46,46,43.55,45,600,0
JMCPROJECT,19970305,43.75,45,43.75,45,800,0
JMCPROJECT,19970306,41.55,41.55,41.55,41.55,100,0
JMCPROJECT,19970310,42.15,42.5,42.15,42.15,900,0
JMCPROJECT,19970311,41,41,39,39,1300,0
JMCPROJECT,19970312,39.5,39.5,39.5,39.5,200,0
JMCPROJECT,19970313,39,39.25,39,39.25,500,0
JMCPROJECT,19970314,40,40,40,40,100,0
JMCPROJECT,19970317,40,40,40,40,100,0
JMCPROJECT,19970318,39.5,39.5,39.35,39.35,700,0
JMCPROJECT,19970319,42,42,39.25,39.25,500,0
JMCPROJECT,19970320,36.6,39.5,36.6,39.5,400,0
JMCPROJECT,19970321,39.9,40,38.6,38.6,600,0
JMCPROJECT,19970325,39,39,36.05,36.8,300,0
JMCPROJECT,19970327,38,38,38,38,100,0
JMCPROJECT,19970331,34.5,35,34.5,35,200,0
JMCPROJECT,19970401,34.35,34.35,34.35,34.35,100,0
JMCPROJECT,19970403,35.05,35.05,35.05,35.05,100,0
JMCPROJECT,19970404,35.1,35.1,35.1,35.1,100,0
JMCPROJECT,19970407,35.1,37.7,35.1,35.15,600,0
JMCPROJECT,19970409,36,36.75,36,36.5,800,0
JMCPROJECT,19970410,36.5,36.5,36.5,36.5,100,0
JMCPROJECT,19970411,36,36,36,36,200,0
JMCPROJECT,19970412,35.25,35.25,35,35.1,400,0
JMCPROJECT,19970415,33.6,33.6,33.6,33.6,100,0
JMCPROJECT,19970417,34.25,35.5,34.25,35.35,600,0
JMCPROJECT,19970421,35.75,36.05,35.75,36,300,0
JMCPROJECT,19970422,37,37,35.5,35.5,1000,0
JMCPROJECT,19970423,35,35.5,35,35.5,400,0
JMCPROJECT,19970424,35.5,36,35.5,36,700,0
JMCPROJECT,19970425,38.25,38.25,38.25,38.25,200,0
