SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
JSWENERGY,20100104,106,106.35,100,100.85,76470142,0
JSWENERGY,20100105,101.75,117.8,100.05,113,63811259,0
JSWENERGY,20100106,113.7,117.95,111.25,112.85,19904390,4411824
JSWENERGY,20100107,113.5,114.9,111.25,113.1,9317790,0
JSWENERGY,20100108,113.9,115.6,112.75,113.1,5981165,2393924
JSWENERGY,20100111,114,120.8,113.6,119.8,20381891,5648537
JSWENERGY,20100112,120,123.8,118.5,119.55,16633327,3794076
JSWENERGY,20100113,118,118.95,116.1,117.7,6750788,2348581
JSWENERGY,20100114,118.5,122,117.8,119.1,7584404,2223603
JSWENERGY,20100115,119.3,120.3,116.6,117.2,3256652,1265958
JSWENERGY,20100118,116.4,117.85,114.7,115.4,3039817,0
JSWENERGY,20100119,114.8,116.75,113.5,113.8,3044950,1476730
JSWENERGY,20100120,114.25,118.7,114.2,115.45,6037703,2412122
JSWENERGY,20100121,115,116.7,111.35,113.1,4459218,2033970
JSWENERGY,20100122,111,113.5,108.25,111.6,3937412,1681487
JSWENERGY,20100125,111,112.75,109,110.05,1766337,848401
JSWENERGY,20100127,109,110,106,107.6,3409342,1990457
JSWENERGY,20100128,108.4,109.8,106.2,106.6,1693008,731479
JSWENERGY,20100129,106,107,101.8,106.75,2198552,737277
JSWENERGY,20100201,106.25,109.2,105.5,107.35,1462462,582199
JSWENERGY,20100202,108.9,111.65,104.4,105.15,4616372,2017017
JSWENERGY,20100203,106.5,110.2,105.95,109.85,2902575,1415661
JSWENERGY,20100204,111,112.25,105.75,106.05,2169447,900894
JSWENERGY,20100205,102.75,104.7,102.05,103.05,2111039,1087600
JSWENERGY,20100206,104.05,110.35,104.05,109.5,1583110,887498
JSWENERGY,20100208,111.2,111.85,106.9,107.8,2582448,637719
JSWENERGY,20100209,108,112.8,107.5,110.85,5416636,1979235
JSWENERGY,20100210,111.9,112.4,108.55,109.4,1838076,958708
JSWENERGY,20100211,109.95,110.8,108.25,108.9,1376423,679713
JSWENERGY,20100215,109.35,110,106.1,106.65,1744171,1098775
JSWENERGY,20100216,108.5,110,106.8,109.4,1370373,847088
JSWENERGY,20100217,110.6,110.7,108.4,108.8,1265832,747946
JSWENERGY,20100218,109,111.8,107.7,109.3,2251734,916062
JSWENERGY,20100219,108.4,109,106.05,107.15,972696,429469
JSWENERGY,20100222,108.5,109.5,104.6,105.2,825240,367234
JSWENERGY,20100223,105.3,107,104.6,105.05,865744,433007
JSWENERGY,20100224,104.5,105.75,103.9,104.2,771490,341348
JSWENERGY,20100225,104.9,105,104,104.1,587345,282813
JSWENERGY,20100226,104.7,105.9,103.15,103.65,1600523,851915
JSWENERGY,20100302,104.4,105.8,104.1,104.75,844223,519462
JSWENERGY,20100303,105,108.25,104.75,106,1903928,1004495
JSWENERGY,20100304,106,106.9,105.05,105.55,1024300,626392
JSWENERGY,20100305,106.4,110.2,105.8,109.5,4297257,2249047
JSWENERGY,20100308,111,112.9,109.8,111,4371956,2440507
JSWENERGY,20100309,111.5,112,107.45,107.75,1063789,561430
JSWENERGY,20100310,107.95,108.75,106.3,106.8,953114,550641
JSWENERGY,20100311,106.95,108.3,104.7,105.95,1585272,927655
JSWENERGY,20100312,106.5,106.9,105.1,106,1050143,600175
JSWENERGY,20100315,105.6,106,104.75,105.15,1014599,693334
JSWENERGY,20100316,105.15,108.05,105,107.4,1222947,687046
JSWENERGY,20100317,108.25,112.85,108.15,111.05,3706671,2171371
JSWENERGY,20100318,112.1,112.1,108.8,110,1343072,835310
JSWENERGY,20100319,110,110.4,107.15,107.8,1144119,699654
JSWENERGY,20100322,106.1,109,106.1,108.1,1934736,1483741
JSWENERGY,20100323,108.5,112.6,107.8,112,3185029,1731021
JSWENERGY,20100325,111.5,115.35,110.2,114.1,3725741,1594241
JSWENERGY,20100326,115.5,117.45,113.55,114.65,5024715,2488751
JSWENERGY,20100329,115,116.35,111.65,112.1,1980249,1079673
JSWENERGY,20100330,112.6,114.45,111.75,111.85,1314004,836335
JSWENERGY,20100331,112.1,113.5,111.35,111.85,795377,0
JSWENERGY,20100401,112.65,116.15,112.3,115.1,1733918,0
JSWENERGY,20100405,115.65,118.4,115.25,117.65,2762777,1648347
JSWENERGY,20100406,118,118.35,115,116.25,1387394,0
JSWENERGY,20100407,116.75,119.6,116.15,117.45,3910838,1891623
JSWENERGY,20100408,116.75,117.7,115.75,116.7,1188986,558283
JSWENERGY,20100409,117.25,119.75,116.9,117.4,1938694,0
JSWENERGY,20100412,117.05,118.55,116.55,117.35,870769,0
JSWENERGY,20100413,117.2,117.8,115.75,116.15,1274676,874227
JSWENERGY,20100415,116.5,117.9,115.3,115.9,926626,531155
JSWENERGY,20100416,115.95,122.85,114.8,120.1,6311303,0
JSWENERGY,20100419,130,130,117.25,118.9,7616511,0
JSWENERGY,20100420,118.8,121.4,118.8,119.95,2001107,958731
JSWENERGY,20100421,120.75,122.45,119.25,121.45,7031952,4547594
JSWENERGY,20100422,121,122.2,119.8,120.9,2719623,1240327
JSWENERGY,20100423,121.4,122,120.45,121.75,1766398,781721
JSWENERGY,20100426,122,122.5,118.3,119.25,2088695,1059897
JSWENERGY,20100427,119.75,120,116.55,117.6,1184984,696055
JSWENERGY,20100428,116.75,121.9,115.5,119,4033324,1409910
JSWENERGY,20100429,119.95,126.4,119.25,123.75,5671303,2425659
JSWENERGY,20100430,124.75,126.9,124.1,125.65,4520120,0
JSWENERGY,20100503,125.75,130.1,124.25,129.3,6644999,3350667
JSWENERGY,20100504,129.5,131.5,124.4,124.75,4672100,2135751
JSWENERGY,20100505,123.1,126.9,121.3,124.5,4004153,1722044
JSWENERGY,20100506,124.5,125.8,122.6,122.95,2973923,1417677
JSWENERGY,20100507,121.35,122.75,119,120.65,1999244,794529
JSWENERGY,20100510,123,124.75,122.15,124.15,1697670,900979
JSWENERGY,20100511,124.8,125.9,123,124,1898779,0
JSWENERGY,20100512,124.25,124.3,119.7,120.65,2292252,1087531
JSWENERGY,20100513,122,122.7,120.3,120.85,1035370,0
JSWENERGY,20100514,120.15,121.85,120,120.15,1301671,556485
JSWENERGY,20100517,119.75,121.5,118.05,121.15,1123599,538541
JSWENERGY,20100518,121.5,123.65,120,121.9,1347453,585490
JSWENERGY,20100519,120,121.45,117.1,117.9,1375869,927168
JSWENERGY,20100520,118.5,119.5,115.6,116,1352647,735525
JSWENERGY,20100521,114,117.9,112.8,113.7,2842414,1411173
JSWENERGY,20100524,115.4,119.8,115.4,116.4,2159150,1241809
JSWENERGY,20100525,115.5,116.25,112,112.85,1157971,664606
JSWENERGY,20100526,113.9,115.9,113.5,114.95,1317071,719567
JSWENERGY,20100527,115.3,115.7,113.8,114.25,887693,513870
JSWENERGY,20100528,115.5,118.9,115,118.25,1493341,804588
JSWENERGY,20100531,118.05,119.65,117.2,119.2,807481,386648
JSWENERGY,20100601,119,119,115.3,115.95,605246,291335
JSWENERGY,20100602,116.85,119.4,116.1,119,841942,378067
JSWENERGY,20100603,119.5,121.85,119.1,120.85,2107737,1287718
JSWENERGY,20100604,120.95,123.35,119.75,121.75,1107047,492075
JSWENERGY,20100607,118.5,121.2,118.5,120.75,1070727,601776
JSWENERGY,20100608,121,122.2,118,119.2,651342,271835
JSWENERGY,20100609,119.5,120.35,118.45,118.85,396410,161061
JSWENERGY,20100610,120.1,122.75,119.4,122,1245819,472382
JSWENERGY,20100611,123.35,124.5,121.8,122.15,1417100,870150
JSWENERGY,20100614,122.9,123.8,122,122.75,713279,435220
JSWENERGY,20100615,123,123,121.55,122.05,396616,194059
JSWENERGY,20100616,122.7,124.45,122.4,123.7,1179483,697650
JSWENERGY,20100617,124.4,129.5,122.6,128.4,3375946,1697380
JSWENERGY,20100618,129,133,126.55,127.45,4545415,2399374
JSWENERGY,20100621,128.75,130.95,127.3,127.95,1812487,1086336
JSWENERGY,20100622,127.5,129.2,126.3,126.8,1039437,478073
JSWENERGY,20100623,126.25,130.75,126.15,128.2,1644232,833773
JSWENERGY,20100624,128.1,129.7,126.3,126.75,1143934,580814
JSWENERGY,20100625,126.3,129.7,126,127.05,1418903,589902
JSWENERGY,20100628,127.9,128.9,126.15,127.95,1177276,397883
JSWENERGY,20100629,128.5,128.5,122.6,123.15,2620477,1762339
JSWENERGY,20100630,123.1,126.2,122,125.35,3607296,1328193
JSWENERGY,20100701,124.5,125.2,123.35,124.15,1209880,510162
JSWENERGY,20100702,124.6,125.8,123.8,124.6,965506,387399
JSWENERGY,20100705,124.1,126.75,123.65,125,978199,244601
JSWENERGY,20100706,126,126.4,125,125.4,1022814,442430
JSWENERGY,20100707,125.4,125.8,123.9,124.25,667741,383691
JSWENERGY,20100708,125.5,125.9,124.55,124.9,557709,272498
JSWENERGY,20100709,125.4,125.7,124.3,125.05,639640,324206
JSWENERGY,20100712,125.5,125.8,123.5,124,755075,379541
JSWENERGY,20100713,124.4,124.95,122.5,122.85,1135073,668665
JSWENERGY,20100714,123.75,124.4,122.8,123.25,1003054,370612
JSWENERGY,20100715,123.5,125.5,123.1,124.3,1326799,536794
JSWENERGY,20100716,126,126.8,124.65,125.15,1791562,784459
JSWENERGY,20100719,124.3,127,124.1,126.25,1111601,468628
JSWENERGY,20100720,126.9,126.9,124,124.35,737905,385194
JSWENERGY,20100721,124.9,125.9,124.25,124.65,656817,399223
JSWENERGY,20100722,124.9,129.4,124.2,128.9,3389301,1514810
JSWENERGY,20100723,131,132.2,127.8,129.1,5413805,1760487
JSWENERGY,20100726,130.3,130.9,127,127.55,2097431,977609
JSWENERGY,20100727,128,128.4,125.7,126.55,1170876,521398
JSWENERGY,20100728,127,127.8,125.8,126.2,936581,403522
JSWENERGY,20100729,126,126.8,125.05,126.25,730195,300887
JSWENERGY,20100730,127,128.5,126,126.8,1084649,573339
JSWENERGY,20100802,126.8,129.15,125.8,128.45,1356154,674470
JSWENERGY,20100803,129.5,129.95,127.15,128.2,1323057,583816
JSWENERGY,20100804,128.4,128.8,124.65,124.9,1594239,1018414
JSWENERGY,20100805,125.75,126.8,125.05,126.5,841834,420548
JSWENERGY,20100806,126.6,128.35,125.25,126.2,969334,386275
JSWENERGY,20100809,126.2,127.9,126.2,126.85,679291,318217
JSWENERGY,20100810,127,128.95,126,126.9,1367183,526952
JSWENERGY,20100811,127.5,128.7,126.6,127.4,1216893,573048
JSWENERGY,20100812,127,128,125.8,127.25,579586,253327
JSWENERGY,20100813,127.9,127.9,125,125.25,951141,612067
JSWENERGY,20100816,126.3,127.3,124.35,125.05,957776,555369
JSWENERGY,20100817,125.7,126.1,124.5,124.85,393309,210070
JSWENERGY,20100818,125.6,125.6,123.5,123.95,826315,546441
JSWENERGY,20100819,124.75,125.95,123.7,124.5,634094,287718
JSWENERGY,20100820,124.55,124.9,123.4,123.95,584414,387660
JSWENERGY,20100823,124.7,126.65,124,126,1020812,553606
JSWENERGY,20100824,126.5,130.5,125.5,129,4843221,2371794
JSWENERGY,20100825,128.8,133.35,126.9,130.3,4766786,1800592
JSWENERGY,20100826,130.1,131.7,128.2,130.3,1574178,714974
JSWENERGY,20100827,129.95,130.35,126.65,127.3,765383,387528
