SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
JUBLPHARMA,20210212,900,912,885,892.9,36229,0
JUBLPHARMA,20210215,892.9,905,850,854.75,53356,0
JUBLPHARMA,20210216,868.85,868.85,830.05,843.45,31668,0
JUBLPHARMA,20210217,837.75,860.35,830,833.5,26090,0
JUBLPHARMA,20210218,851.95,854.95,781,787.5,233122,0
JUBLPHARMA,20210219,781.3,794,742,772.7,180602,0
JUBLPHARMA,20210222,775,785.35,748,765.9,82762,0
JUBLPHARMA,20210223,765.9,785,746,750.95,91142,0
JUBLPHARMA,20210224,765,775,638.3,759,38071,0
JUBLPHARMA,20210225,778,778,750.15,761.4,128821,0
JUBLPHARMA,20210226,753,778,744.45,769.6,108680,0
JUBLPHARMA,20210301,777.7,785,764,781.25,86329,0
JUBLPHARMA,20210302,786.4,786.4,764.95,774.1,110241,0
JUBLPHARMA,20210303,778.2,801.8,771,788.45,196841,0
JUBLPHARMA,20210304,788.45,796.85,779.35,784.7,82688,0
JUBLPHARMA,20210305,784.7,806.7,746.2,759.6,201057,0
JUBLPHARMA,20210308,764.05,780.05,745,751.9,75596,0
JUBLPHARMA,20210309,764.2,775,748.05,767.05,66304,0
JUBLPHARMA,20210310,775.9,776,757.1,766.75,49467,0
JUBLPHARMA,20210312,766.85,799.8,766.75,784,160154,0
JUBLPHARMA,20210315,776.9,780,751,757.75,88137,0
JUBLPHARMA,20210316,759,767.85,752.5,759.4,94971,0
JUBLPHARMA,20210317,759.55,765.95,730.05,740.4,86376,0
JUBLPHARMA,20210318,744.3,753.65,716.2,719.75,73904,0
JUBLPHARMA,20210319,719.75,740,697.2,712.8,255365,0
JUBLPHARMA,20210322,723.9,724.05,682.35,698.95,213650,0
JUBLPHARMA,20210323,710,720.85,695,699.3,515579,0
JUBLPHARMA,20210324,704,714,675,679.7,140597,0
JUBLPHARMA,20210325,685,685.75,634.1,669.25,328021,0
JUBLPHARMA,20210326,680,681.5,651.4,664.45,206351,0
JUBLPHARMA,20210330,681.55,717.7,668.9,705.75,185104,0
JUBLPHARMA,20210331,715,715,676.05,681.1,146004,0
JUBLPHARMA,20210401,701,722,681.8,712.7,127133,0
JUBLPHARMA,20210405,712.9,719.7,699.95,712.7,104091,0
JUBLPHARMA,20210406,712.55,712.55,685.6,695,180329,0
JUBLPHARMA,20210407,695,702,688.25,691.1,105117,0
JUBLPHARMA,20210408,693.5,710,691,704.3,179289,0
JUBLPHARMA,20210409,704,741.95,704,735.95,286001,0
JUBLPHARMA,20210412,751,793.05,706.7,734.7,671464,0
JUBLPHARMA,20210413,741,766.95,725.1,740.45,131903,0
JUBLPHARMA,20210415,760,760,716.35,727.45,171260,0
JUBLPHARMA,20210416,735,736.9,720,723.25,111710,0
JUBLPHARMA,20210419,730,799.8,722,770.45,2358938,0
JUBLPHARMA,20210420,795,817.95,777.1,801.9,1599236,0
JUBLPHARMA,20210422,813.9,834,809.95,817.65,1018809,0
JUBLPHARMA,20210423,820.8,829,789.1,791.7,432768,0
JUBLPHARMA,20210426,796,824.5,772.2,805.8,457519,0
JUBLPHARMA,20210427,805,809.85,791,794.65,236090,0
JUBLPHARMA,20210428,798.25,804.8,786,795.65,260904,0
JUBLPHARMA,20210429,805,805,770,781.85,201230,0
JUBLPHARMA,20210430,776,803.95,776,798.5,262129,0
JUBLPHARMA,20210503,798.5,809.5,783.05,804.9,223637,0
JUBLPHARMA,20210504,810,831.1,795,804.75,614502,0
JUBLPHARMA,20210505,810.25,839,801.95,835.85,480245,0
JUBLPHARMA,20210506,840,847.6,821.8,838.3,314793,0
JUBLPHARMA,20210507,843.9,843.95,826.6,836,163054,0
JUBLPHARMA,20210510,845.5,855,834.4,848.6,821405,0
JUBLPHARMA,20210511,845,869.35,840,847.05,320754,0
JUBLPHARMA,20210512,845,869.85,837,852.4,383991,0
JUBLPHARMA,20210514,857.65,858.85,808.25,820.9,183646,0
